UTCTimestamp_ms,SpO2,DC_R,acc_power,HR
1703943796470,0,0,0,0
1703943797190,0,0,0,0
1703943797919,0,0,0,0
1703943798998,0,0,0,0
1703943800081,0,5443,0,0
1703943800803,0,5441,43123,0
1703943801883,0,5442,9159,0
1703943802964,0,5442,7952,0
1703943804044,0,5442,53616,0
1703943805123,0,5441,33190,0
1703943805843,0,5443,7830,0
1703943806924,0,5445,25931,0
1703943807999,0,5444,33688,0
1703943809080,0,5442,33155,0
1703943809798,0,5445,13719,0
1703943810878,0,5445,5242,0
1703943811958,0,5443,51131,0
1703943813039,0,5444,27899,0
1703943814118,0,5445,4000,0
1703943814838,0,5444,31693,0
1703943815918,0,5445,7245,0
1703943816997,0,5444,40133,0
1703943818077,0,5444,51800,0
1703943818798,0,5444,32478,0
1703943819878,0,5443,7050,0
1703943820957,0,5442,25861,0
1703943822038,96,5441,15460,0
1703943823118,96,5440,2401,0
1703943823838,97,5445,41225,0
1703943824917,97,5440,46535,0
1703943825996,97,5438,41054,0
1703943827076,97,5439,38278,0
1703943827796,97,5439,49991,0
1703943828876,97,5439,47995,0
1703943829956,97,5437,0,0
1703943831036,96,5439,0,0
1703943832115,97,5438,5101,0
1703943832835,97,5438,4165,0
1703943833915,97,5438,3185,0
1703943834995,97,5437,2714,0
1703943836075,97,5437,2165,0
1703943836793,97,5438,1996,0
1703943837873,97,5437,1742,0
1703943838953,97,5436,1495,0
1703943840033,97,5436,1430,0
1703943841114,96,5436,1258,0
1703943841834,96,5436,1232,0
1703943842912,96,5435,1122,0
1703943843992,96,5437,1101,0
1703943845073,96,5434,948,0
1703943845792,96,5435,1042,0
1703943846872,96,5435,1188,0
1703943847606,96,5436,1288,0
1703943848684,96,5434,1346,0
1703943849764,97,5434,1368,0
1703943850484,97,5435,1487,0
1703943851564,97,5435,1461,0
1703943852644,97,5435,1411,0
1703943853722,97,5433,1397,0
1703943854442,97,5434,1398,0
1703943855522,97,5433,1305,0
1703943856603,97,5433,1243,0
1703943857682,97,5433,1214,0
1703943858761,97,5434,1089,0
1703943859482,97,5433,1114,0
1703943860563,97,5433,1085,0
1703943861642,97,5433,16583,0
1703943862721,96,5433,58190,0
1703943863441,96,5433,58191,0
1703943864521,96,5432,41462,0
1703943865600,96,5432,58188,0
1703943866680,96,5432,58185,0
1703943867761,96,5430,2846,0
1703943868480,96,5432,57403,0
1703943869561,96,5431,56845,0
1703943870639,96,5432,35745,0
1703943871720,96,5431,47460,0
1703943872439,96,5430,15274,0
1703943873519,96,5430,50582,0
1703943874600,96,5430,14171,0
1703943875679,96,5430,42253,0
1703943876758,96,5431,24314,0
1703943877478,96,5429,41786,0
1703943878559,96,5431,19395,0
1703943879638,96,5429,10860,0
1703943880718,96,5430,18128,0
1703943881437,96,5429,10192,0
1703943882518,96,5430,6247,0
1703943883597,96,5429,7407,0
1703943884677,96,5428,1235,0
1703943885758,96,5429,1321,0
1703943886477,96,5428,1292,0
1703943887556,96,5427,1363,0
1703943888636,96,5429,1390,0
1703943889716,96,5429,1487,0
1703943890436,96,5428,1542,0
1703943891516,96,5428,1390,0
1703943892594,96,5427,1514,0
1703943893674,96,5428,1500,0
1703943894755,96,5427,1305,0
1703943895475,96,5428,1097,0
1703943896554,96,5428,1016,0
1703943897286,96,5428,1203,0
1703943898366,96,5427,1243,0
1703943899086,96,5426,1262,0
1703943900167,96,5427,1306,0
1703943901246,96,5428,1324,0
1703943902327,96,5428,1335,0
1703943903405,96,5426,1313,0
1703943904126,96,5425,1298,0
1703943905205,96,5426,1285,0
1703943906285,96,5427,1253,0
1703943907365,96,5427,1337,0
1703943908085,96,5427,1580,0
1703943909163,96,5427,1715,0
1703943910243,96,5426,1643,0
1703943911323,96,5426,1681,0
1703943912405,97,5426,1762,0
1703943913124,97,5426,1887,0
1703943914202,97,5426,1843,0
1703943915282,97,5426,1784,0
1703943916364,97,5427,1718,0
1703943917083,96,5426,1756,0
1703943918162,96,5426,1626,0
1703943919242,96,5425,1342,0
1703943920321,96,5424,1435,0
1703943921402,96,5426,1374,0
1703943922122,96,5427,1572,0
1703943923202,96,5425,1379,0
1703943924281,96,5425,1459,0
1703943925361,96,5424,1376,0
1703943926080,96,5425,1265,0
1703943927160,96,5425,1167,0
1703943928241,96,5425,1109,0
1703943929320,95,5425,1227,0
1703943930399,95,5425,1169,0
1703943931119,95,5425,1358,0
1703943932199,95,5424,1520,0
1703943933279,95,5426,1446,0
1703943934359,96,5425,1450,0
1703943935079,96,5424,1445,0
1703943936158,96,5426,1510,0
1703943937238,96,5425,1448,0
1703943938318,97,5424,1380,0
1703943939398,97,5424,1188,0
1703943940118,97,5423,1161,0
1703943941197,97,5423,1195,0
1703943942276,97,5423,1104,0
1703943943357,97,5424,1097,0
1703943944077,97,5422,1140,0
1703943945157,97,5423,1236,0
1703943946237,96,5423,1211,0
1703943946968,96,5423,1065,0
1703943948048,96,5424,1153,0
1703943948768,96,5423,1092,0
1703943949849,96,5425,950,0
1703943950929,96,5424,1016,0
1703943952010,96,5424,1012,0
1703943952727,96,5424,1275,0
1703943953807,96,5422,1363,0
1703943954887,96,5424,1351,0
1703943955968,96,5424,1405,0
1703943957047,96,5423,1411,0
1703943957766,96,5422,1453,0
1703943958846,96,5423,1334,0
1703943959926,96,5422,1540,0
1703943961007,96,5425,3922,0
1703943961727,96,5422,10203,0
1703943962807,96,5422,16185,0
1703943963885,97,5422,17436,0
1703943964964,97,5423,17864,0
1703943966045,97,5421,17878,0
1703943966764,97,5422,17590,0
1703943967845,97,5422,14871,0
1703943968923,96,5422,7993,0
1703943970004,97,5421,4695,0
1703943970723,96,5421,2644,0
1703943971803,97,5422,2479,0
1703943972884,97,5421,2004,0
1703943973962,97,5421,1684,0
1703943975042,97,5421,1585,0
1703943975762,97,5421,1462,0
1703943976842,96,5421,1694,0
1703943977922,96,5422,2006,0
1703943979002,96,5421,1978,0
1703943979721,96,5421,2002,0
1703943980801,96,5421,2055,0
1703943981881,96,5420,2156,0
1703943982961,96,5421,2150,0
1703943984041,96,5421,2356,0
1703943984761,96,5422,2470,0
1703943985840,97,5423,2530,0
1703943986920,96,5421,2524,0
1703943988000,96,5422,2446,0
1703943988720,96,5422,2300,0
1703943989800,96,5421,1787,0
1703943990879,94,5421,1632,0
1703943991959,90,5413,1638,0
1703943993039,86,5409,2146,0
1703943993759,86,5437,2504,0
1703943994839,84,5425,3078,0
1703943995572,80,5413,3195,0
1703943996650,87,5412,3464,0
1703943997370,87,5418,3426,0
1703943998450,82,5416,3286,0
1703943999530,79,5421,3153,0
1703944000610,73,5418,2611,0
1703944001689,70,5411,2403,0
1703944002409,70,5408,1603,0
1703944003489,70,5407,1467,62
1703944004569,70,5410,1318,61
1703944005649,70,5417,1093,59
1703944006369,70,5407,977,59
1703944007448,70,5409,835,59
1703944008529,70,5418,971,59
1703944009609,70,5417,1473,59
1703944010688,70,5412,1921,59
1703944011408,70,7692,2217,0
1703944012487,70,6312,2535,0
1703944013567,70,8431,3060,0
1703944014647,0,8507,4128,0
1703944015367,0,8507,4742,0
1703944016447,0,6362,5252,0
1703944017528,0,7363,3603,0
1703944018606,0,7339,4666,0
1703944019686,0,7339,8608,0
1703944020404,0,7339,8608,0
1703944021487,0,7278,8608,0
1703944022566,0,7278,7587,0
1703944023646,0,7278,20514,0
1703944024366,0,12885,39433,0
1703944025445,0,12885,42727,0
1703944026525,0,13109,17303,0
1703944027605,0,13208,13764,0
1703944028685,0,13278,9091,0
1703944029405,0,13402,16152,0
1703944030485,0,13506,5943,0
1703944031564,0,13634,9690,0
1703944032644,0,13693,5788,0
