UTCTimestamp_ms,SpO2,DC_R,acc_power,HR
1703939344498,0,0,0,0
1703939345218,0,0,0,0
1703939346298,0,0,0,0
1703939347028,0,0,0,0
1703939348109,0,0,0,0
1703939348831,0,6042,35403,0
1703939349911,0,6049,38717,0
1703939350993,0,6043,30776,0
1703939352072,0,6039,58600,0
1703939353152,0,6054,20999,0
1703939353872,0,6047,40403,0
1703939354954,0,6049,40072,0
1703939356031,0,6046,30074,0
1703939357112,0,6052,54679,0
1703939357831,0,6048,18703,0
1703939358911,0,6051,59973,0
1703939359987,0,6044,169,0
1703939361067,0,6050,46844,0
1703939362148,0,6044,17387,0
1703939362868,0,6047,62441,0
1703939363948,0,6046,53314,0
1703939365026,0,6037,37749,0
1703939366107,0,5999,28256,0
1703939366827,0,6039,24035,0
1703939367907,0,6039,16956,0
1703939368988,0,5729,12661,0
1703939370067,0,5454,11362,0
1703939371147,0,5524,8512,0
1703939371867,0,5528,6908,0
1703939372947,0,5527,6366,0
1703939374026,0,5523,5206,0
1703939375106,0,5526,5024,0
1703939375827,0,5522,3821,0
1703939376907,0,5529,2890,0
1703939377987,0,5525,2452,0
1703939379067,0,5528,1808,0
1703939380147,0,5529,1501,0
1703939380868,0,5526,1264,0
1703939381946,0,5524,1164,62
1703939383026,0,5526,1159,62
1703939384106,0,5499,1427,59
1703939384826,0,5632,1875,59
1703939385906,0,5403,2579,59
1703939386986,0,8365,2955,60
1703939388066,0,8154,3498,60
1703939389147,0,7922,4261,0
1703939389865,0,7922,5363,0
1703939390945,0,7914,7530,0
1703939392026,0,7914,6155,0
1703939393105,0,7701,0,0
1703939393825,0,7695,0,0
1703939394905,0,7695,0,0
1703939395985,0,7757,0,0
1703939397066,0,7775,0,59
1703939398145,0,7785,0,55
1703939398866,0,7798,0,0
1703939399944,0,7822,0,0
1703939401024,0,7834,0,0
1703939402104,0,7848,0,0
1703939402824,0,7864,0,0
1703939403904,0,7899,0,0
1703939404984,0,7899,0,0
1703939406064,0,7930,0,0
1703939407144,0,7951,0,0
1703939407864,0,7967,0,0
1703939408943,0,7983,0,60
1703939410023,0,8005,16870,0
1703939411103,0,8016,14651,0
1703939411823,0,8016,47075,0
1703939412903,0,8032,474,0
1703939413983,0,8032,56839,0
1703939415063,0,8032,16872,0
1703939416143,0,8056,27768,0
1703939416863,0,8072,53653,0
1703939417941,0,8081,37918,58
1703939419022,0,8114,14028,58
1703939420102,0,8159,32287,0
1703939420822,0,8185,10655,0
1703939421902,0,8185,48404,0
1703939422982,0,8172,64272,0
1703939424062,94,8185,63045,0
1703939425142,94,8196,15844,0
1703939425862,96,8196,58229,0
1703939426942,96,8251,28543,60
1703939427673,95,8277,19087,60
1703939428753,94,8299,16065,60
1703939429473,93,8319,14734,61
1703939430553,93,8340,12709,61
1703939431633,92,8366,9702,61
1703939432713,92,8366,8369,60
1703939433794,91,8424,7736,60
1703939434514,91,8434,6552,61
1703939435593,91,8457,4268,61
1703939436674,90,8478,3871,62
1703939437753,90,8512,3009,61
1703939438472,90,8532,2575,61
1703939439553,90,8545,2769,61
1703939440633,90,8569,4402,61
1703939441713,92,8569,4733,61
1703939442792,93,8590,4983,62
1703939443513,93,8601,5097,63
1703939444593,92,8615,5297,62
1703939445672,92,8629,5228,61
1703939446753,92,8644,3956,62
1703939447473,92,8653,3474,62
1703939448552,92,8660,4870,0
1703939449632,93,8684,5515,0
1703939450712,93,8682,6367,0
1703939451792,93,8684,7724,0
1703939452512,94,8684,10649,0
1703939453593,95,8707,17341,0
1703939454673,95,8707,40419,0
1703939455752,95,8737,0,0
1703939456473,95,8751,0,0
1703939457551,95,8767,0,62
1703939458630,95,8783,62461,65
1703939459710,96,8794,6925,64
1703939460791,96,8807,49485,64
1703939461510,96,8820,39146,65
1703939462591,96,8833,31880,64
1703939463671,97,8862,26756,63
1703939464751,97,8877,24021,63
1703939465472,97,8877,16314,64
1703939466550,96,8895,19447,61
1703939467630,96,8903,17704,0
1703939468710,96,8907,19097,0
1703939469790,96,8879,0,0
1703939470510,96,8879,0,0
1703939471590,96,8873,0,64
1703939472671,0,8927,0,63
1703939473750,0,8922,0,65
1703939474470,0,8899,0,64
1703939475550,0,8883,0,64
1703939476629,0,8871,0,64
1703939477709,0,8871,12211,64
1703939478790,0,8884,12211,64
1703939479509,0,8909,12211,0
1703939480589,0,8886,12211,0
1703939481669,0,8866,12211,0
1703939482749,0,8875,12211,0
1703939483469,0,8855,0,0
1703939484550,0,8778,0,0
1703939485628,0,8840,0,0
1703939486707,0,8821,0,0
1703939487788,0,9009,0,0
1703939488508,0,9009,2737,0
1703939489588,0,9009,49628,0
1703939490669,0,9039,46096,0
1703939491748,0,9040,21318,0
1703939492468,0,9045,23176,0
1703939493548,0,9068,11648,0
1703939494626,0,9074,3215,0
1703939495706,0,9074,12192,0
1703939496787,0,9084,12107,0
1703939497507,0,9105,10120,0
1703939498587,0,9117,4875,0
1703939499667,0,9117,16553,0
1703939500747,94,9117,12466,57
1703939501467,94,9163,30979,66
1703939502547,94,9176,29386,68
1703939503627,94,9190,12583,68
1703939504705,94,9193,10026,69
1703939505786,94,9194,10805,69
1703939506505,94,9193,7958,70
1703939507585,95,9207,6100,69
1703939508665,95,9222,4861,69
1703939509746,96,9219,5480,68
1703939510465,96,9207,5798,66
1703939511546,96,9197,8913,66
1703939512626,94,9157,17343,65
1703939513706,94,9202,18827,62
1703939514438,92,9202,20488,67
1703939515157,90,9163,20643,65
1703939516238,90,9155,20399,62
1703939517318,90,9151,19094,63
1703939518398,90,9157,11738,63
1703939519118,90,9157,15343,67
1703939520197,90,9161,5215,67
1703939521277,91,9161,5422,67
1703939522358,91,9165,5487,69
1703939523438,92,9171,2541,70
1703939524158,92,9175,3103,70
1703939525236,93,9176,1948,71
1703939526317,94,9187,2116,72
1703939527396,94,9187,2266,72
1703939528117,95,9188,2192,72
1703939529196,95,9188,2234,72
1703939530276,95,9184,2180,71
1703939531358,96,9187,2122,72
1703939532437,96,9184,2035,70
1703939533157,96,9176,3672,69
1703939534235,96,9165,7833,69
1703939535315,95,9158,8765,68
1703939536395,94,9152,9294,68
1703939537115,94,9145,9343,68
1703939538195,94,9144,8965,67
1703939539275,94,9143,9012,65
1703939540355,94,9137,5649,64
1703939541435,94,9129,4103,64
1703939542155,95,9118,2792,64
1703939543235,95,9107,2605,63
1703939544314,95,9094,2043,63
1703939545395,95,9080,1830,63
1703939546114,95,9075,1657,62
1703939547194,96,9066,1759,62
1703939548275,96,9059,1519,63
1703939549355,96,9056,1662,63
1703939550435,96,9061,1729,61
1703939551155,96,9068,1612,61
1703939552235,96,9072,1575,61
1703939553314,96,9078,1478,61
1703939554393,96,9087,1572,60
1703939555113,96,9089,1428,60
1703939556194,96,9089,1498,61
1703939557275,96,9097,1650,60
1703939558354,96,9097,1584,60
1703939559433,96,9087,1506,60
1703939560154,96,9087,1588,61
1703939561235,96,9085,1672,60
1703939562315,96,9067,1726,60
1703939563392,96,9054,1908,60
1703939564112,95,9058,2452,60
1703939565192,96,9063,3489,60
1703939566273,96,9067,8525,61
1703939567353,96,9067,16544,0
1703939568433,96,9190,8741,0
1703939569153,96,9202,9683,0
1703939570233,0,9115,7009,0
1703939571313,0,9115,48516,0
1703939572391,0,9179,55885,0
1703939573111,0,9215,11776,0
1703939574192,0,9194,19772,0
1703939575272,0,9232,28176,0
1703939576351,0,9205,21197,0
1703939577432,0,9328,19436,0
1703939578152,0,9347,7102,0
1703939579231,0,9249,7343,0
1703939580312,0,9191,4822,0
1703939581392,0,9198,10216,0
1703939582110,0,9209,6454,0
1703939583192,0,9209,6981,0
1703939584271,0,9174,3016,0
1703939585350,0,9216,7003,0
1703939586430,0,9324,5938,0
1703939587150,0,9344,12666,0
1703939588230,0,9357,13104,0
1703939589311,0,9297,1657,0
1703939590391,0,9279,3611,0
1703939591111,0,9197,5016,0
1703939592190,0,9141,3463,0
1703939593269,0,9141,8626,0
1703939594349,0,9141,12404,0
1703939595429,91,9223,61815,0
1703939596150,91,9223,47625,0
1703939597230,91,9171,18385,0
1703939598310,91,9171,9944,0
1703939599389,91,9127,5816,0
1703939600109,91,9123,11795,53
1703939601190,90,9123,4178,57
1703939601921,89,9092,18691,59
1703939603001,89,9092,13326,59
1703939604081,90,9059,11007,60
1703939604801,91,9042,9138,60
1703939605881,92,9033,7490,61
1703939606961,93,9034,6594,60
1703939608042,94,9039,5158,60
1703939608762,95,9024,4401,60
1703939609842,96,9016,3787,62
1703939610922,96,9012,2557,62
1703939612000,96,9013,2641,61
1703939613080,96,9012,2306,61
1703939613801,96,9008,2201,62
1703939614880,96,9008,2146,62
1703939615960,96,9013,2031,62
1703939617040,96,9018,2018,61
1703939617761,96,9022,1852,60
1703939618840,96,9022,1556,62
1703939619920,96,9023,1544,63
1703939621000,96,9028,1678,63
1703939622079,95,9030,1718,62
1703939622799,95,9030,1844,62
1703939623880,95,9028,6918,63
1703939624960,95,9011,13907,65
1703939626040,96,9013,17624,64
1703939626759,96,9048,22468,61
1703939627840,93,9030,25320,61
1703939628919,93,9030,26729,61
1703939629999,93,8990,28142,62
1703939631078,93,8993,27454,62
1703939631798,91,9000,22694,62
1703939632878,91,9002,21577,62
1703939633958,92,9007,15275,62
1703939635038,93,9015,11515,62
1703939635758,95,9028,6603,61
1703939636838,95,9040,6343,61
1703939637919,95,9041,5192,62
1703939638998,95,9042,3034,63
1703939640078,95,9042,2706,64
1703939640798,95,9043,2016,62
1703939641877,95,9041,1736,63
1703939642957,95,9039,1762,62
1703939644038,95,9039,1463,62
1703939644757,95,9041,1683,62
1703939645837,95,9042,1899,62
1703939646917,95,9039,2006,63
1703939647997,95,9037,2125,63
1703939649077,95,9033,2070,63
1703939649797,95,9032,2131,62
1703939650876,95,9030,2052,62
1703939651956,95,9030,1929,61
1703939653036,95,9027,1922,62
1703939653756,95,9022,2012,63
1703939654836,95,9022,2365,63
1703939655917,96,9022,2401,62
1703939656996,96,9030,2498,63
1703939658076,96,9035,2490,64
1703939658796,96,9038,2702,64
1703939659876,96,9046,2609,65
1703939660955,95,9056,2189,66
1703939662036,95,9062,2136,67
1703939662755,95,9065,2988,68
1703939663835,95,9082,4279,68
1703939664915,94,8984,6418,65
1703939665995,94,9055,10106,65
1703939667076,94,9055,13416,65
1703939667796,95,9055,15686,65
1703939668875,95,8968,18694,65
1703939669954,95,8923,23004,65
1703939671034,95,8886,33651,0
1703939671754,95,9018,41575,0
1703939672834,95,9018,5631,0
1703939673915,0,9017,10180,0
1703939674994,0,9002,5310,66
1703939676074,0,8854,5373,66
1703939676794,0,8785,3669,66
1703939677875,0,8785,6322,67
1703939678955,0,8894,8174,66
1703939680033,0,9010,3489,66
1703939680753,0,9006,6847,64
1703939681833,0,8984,7784,56
1703939682913,0,8984,5925,62
1703939683993,0,8982,9192,68
1703939685073,0,8992,9500,66
1703939685793,0,8988,20932,65
1703939686873,0,8991,13823,67
1703939687953,0,8998,16420,70
1703939689033,0,9008,6945,68
1703939689406,0,9033,34178,65
1703939690485,0,9033,1839,62
1703939691565,0,9044,6276,63
1703939692646,0,9043,42150,63
1703939693725,0,9040,28344,63
1703939694446,0,9036,21739,64
1703939695526,95,9032,12116,64
1703939696606,95,9026,11941,64
1703939697686,95,9012,11963,63
1703939698407,95,9005,12009,61
1703939699485,95,9005,11824,65
1703939700564,95,9015,11820,66
1703939701644,95,9028,3165,65
1703939702725,95,9033,1282,67
1703939703444,95,9029,9082,65
1703939704525,95,9036,2892,65
1703939705604,95,9044,20398,65
1703939706684,94,9049,12590,65
1703939707404,94,9057,10005,67
1703939708484,94,9063,8282,67
1703939709563,94,9082,6940,68
1703939710644,94,9089,6011,68
1703939711723,94,9096,4280,68
1703939712443,95,9104,2802,68
1703939713523,95,9104,3786,67
1703939714603,95,9126,5128,65
1703939715683,95,9121,7444,64
1703939716403,96,9136,8588,64
1703939717483,96,9140,9235,64
1703939718564,96,9134,9528,63
1703939719642,96,9126,9133,64
1703939720723,96,9121,8380,64
1703939721442,96,9111,6476,63
1703939722522,96,9100,4825,64
1703939723603,96,9092,3686,63
1703939724683,97,9066,3763,63
1703939725403,97,9052,4497,64
1703939726483,97,9039,11091,63
1703939727563,96,9029,6478,61
1703939728642,96,9029,4174,59
1703939729721,96,9035,3397,61
1703939730441,96,9038,0,62
1703939731521,96,9044,0,61
1703939732601,96,9050,0,62
1703939733681,96,9054,18062,61
1703939734401,96,9058,10683,61
1703939735481,96,9064,7496,63
1703939736562,96,9069,7496,63
1703939737641,96,9070,7496,63
1703939738721,96,9070,7496,63
1703939739440,96,9072,7593,63
1703939740520,95,9078,5940,63
1703939741601,95,9069,13312,63
1703939742680,95,9064,0,61
1703939743400,95,9063,0,60
1703939744480,95,9064,0,58
1703939745561,95,9064,0,59
1703939746640,95,9069,17719,60
1703939747721,95,9069,10727,61
1703939748439,95,9022,11074,64
1703939749519,95,9108,18896,64
1703939750599,93,9108,19524,65
1703939751679,91,9108,18402,64
1703939752399,90,9108,18793,64
1703939753479,90,9006,19430,63
1703939754559,90,9011,19352,64
1703939755639,91,9010,15450,64
1703939756720,91,9014,12594,63
1703939757440,93,9024,11165,62
1703939758518,93,9027,7403,62
1703939759599,94,9030,6112,64
1703939760678,94,9034,6124,63
1703939761399,95,9034,8003,63
1703939762478,95,9038,7813,65
1703939763558,95,9037,7797,65
1703939764638,95,9041,7655,64
1703939765718,95,9047,7648,65
1703939766438,95,9047,6628,65
1703939767518,95,9047,3451,65
1703939768598,95,9053,3378,66
1703939769677,96,9055,2987,66
