UTCTimestamp_ms,SpO2,DC_R,acc_power,HR
1704375570042,0,0,0,0
1704375570762,0,0,0,0
1704375571842,0,0,0,0
1704375572922,0,0,0,0
1704375574003,0,0,0,0
1704375574723,0,7123,36072,0
1704375575803,0,7117,31196,0
1704375576883,0,7117,18970,0
1704375577964,0,7117,39656,0
1704375578698,0,6962,1391,0
1704375579417,0,6912,20154,0
1704375580498,0,6912,17244,0
1704375581578,0,6912,7923,0
1704375582658,0,6912,38682,0
1704375583377,0,6912,9205,0
1704375584457,96,6867,51421,0
1704375585537,97,6912,61676,0
1704375586617,97,6916,48454,62
1704375587699,96,6910,16136,61
1704375588415,96,6910,61578,61
1704375589495,93,6909,54684,61
1704375590575,88,6910,37088,61
1704375591656,83,6908,27508,62
1704375592375,77,6908,24715,61
1704375593453,71,6901,16357,61
1704375594533,70,6901,12464,59
1704375595615,70,7046,11379,60
1704375596694,70,6998,8103,59
1704375597412,70,7091,5948,59
1704375598492,72,7091,34679,0
1704375599571,75,6811,40275,0
1704375600652,0,4534,48286,0
1704375601372,0,4534,60270,0
1704375602452,0,4534,14695,0
1704375603533,0,6113,54748,0
1704375604612,0,6113,43552,0
1704375605693,0,5574,0,0
1704375606412,0,5574,0,0
1704375607492,0,5413,0,0
1704375608571,0,5419,0,0
1704375609653,0,5391,0,0
1704375610373,0,5390,0,0
1704375611452,0,5280,0,0
1704375612533,0,5027,0,0
1704375613612,0,5027,0,0
1704375614693,0,4776,0,0
1704375615413,0,4765,0,0
1704375616490,0,4768,0,0
1704375617571,97,4773,0,0
1704375618650,97,4768,0,0
1704375619370,96,4742,20233,0
1704375620451,96,4718,54586,0
1704375621531,96,4693,43424,81
1704375622610,97,4632,34958,80
1704375623691,97,4632,29862,80
1704375624411,0,4676,29862,80
1704375625490,0,4668,24941,0
1704375626569,0,4885,29027,0
1704375627650,0,5433,21565,0
1704375628370,0,5411,20184,0
1704375629450,0,5411,35518,0
1704375630531,0,5476,0,0
1704375631610,0,5498,0,0
1704375632690,0,5521,0,0
1704375633410,0,5568,0,0
1704375634491,0,5747,0,0
1704375635569,0,5789,26298,0
1704375636648,0,5771,54238,0
1704375637368,0,5769,29249,0
1704375638449,0,5783,37015,0
1704375639529,0,5767,37070,0
1704375640609,0,5757,17799,0
1704375641689,0,5727,16406,79
1704375642409,0,5640,22837,0
1704375643489,0,5564,39281,0
1704375644567,86,5572,14586,0
1704375645647,86,5129,43575,0
1704375646367,86,4934,27866,0
1704375647448,85,4934,60862,0
1704375648528,84,4721,219,0
1704375649608,84,4720,39996,0
1704375650688,84,4728,16166,0
1704375651409,85,4725,65237,0
1704375652488,86,4718,62976,81
1704375653566,87,4726,40383,81
1704375654646,89,4765,31977,80
1704375655366,90,4800,27527,80
1704375656446,91,4789,24425,80
1704375657526,92,4789,20205,81
1704375658606,93,4793,15357,83
1704375659686,93,4784,37357,83
1704375660406,94,4778,14252,81
1704375661487,94,4774,11570,80
1704375662566,94,4767,8555,80
1704375663298,94,4762,6761,81
1704375664018,94,4749,4725,81
1704375665099,94,4749,4516,82
1704375666178,94,4757,3186,83
1704375667259,94,4753,2572,83
1704375668338,94,4747,2257,82
1704375669058,94,4742,1829,81
1704375670138,95,4729,1417,80
1704375671219,95,4717,1160,80
1704375672297,95,4713,1161,79
1704375673017,95,4696,1330,79
1704375674098,95,4685,1510,79
1704375675177,96,4677,1451,79
1704375676258,95,4708,1627,79
1704375677337,95,4737,1803,80
1704375678057,95,4770,1850,79
1704375679137,95,4802,1776,78
1704375680219,95,4753,10001,78
1704375681298,95,5381,15212,76
1704375682017,95,5187,13756,76
1704375683096,94,5187,4119,77
1704375684176,94,5187,23791,77
1704375685256,94,4879,0,77
1704375686336,94,4897,0,77
1704375687057,94,4904,26391,78
1704375688136,95,4954,13605,78
1704375689217,95,4983,9856,76
1704375690296,95,4997,7765,76
1704375691015,96,5001,6300,76
1704375692095,96,5016,6130,76
1704375693176,96,4982,6608,76
1704375694255,96,4948,8703,78
1704375695336,97,4903,10570,78
1704375696056,97,4904,12283,78
1704375697135,96,4908,12596,78
1704375698216,97,4908,13058,79
1704375699296,97,5396,15084,0
1704375700016,97,5572,15742,0
1704375701095,97,6100,19017,0
1704375702173,97,6100,19017,0
1704375703254,97,6100,19017,0
1704375704334,97,6100,15690,0
1704375705054,96,10365,21896,0
1704375706135,96,13939,52763,0
1704375707215,96,14009,0,0
1704375708295,96,14009,0,0
1704375709015,97,14157,0,0
1704375710093,96,14208,0,0
1704375711173,96,14208,0,0
1704375712253,96,14487,0,0
1704375713333,97,14992,0,0
1704375714053,97,15175,0,0
1704375715134,97,15513,42292,0
1704375716214,97,15695,38766,0
1704375717293,96,16048,10862,84
1704375718013,97,16242,50329,83
1704375719092,97,16410,29872,83
1704375720172,97,16688,25915,83
1704375721252,96,16780,20309,82
1704375722332,96,16836,17440,81
1704375723052,97,16854,15201,79
1704375724133,97,16881,11554,79
1704375725212,97,16926,10469,79
1704375726292,97,16975,7157,79
1704375727012,97,17031,5378,78
1704375728092,97,17031,4965,77
1704375729171,97,17040,3699,77
1704375730252,97,17102,3126,77
1704375731332,97,17127,2701,77
1704375732051,97,17135,2339,77
1704375733131,97,17161,2358,77
1704375734211,97,17199,1943,77
1704375735291,97,17224,1837,77
1704375736011,97,17238,1513,77
1704375737091,97,17284,1357,77
1704375738170,97,17317,1151,77
1704375739250,97,17337,1316,77
1704375740330,97,17376,1585,78
1704375741050,97,17411,1373,78
1704375742130,97,17435,1438,78
1704375743210,97,17475,1533,79
1704375744290,97,17499,1787,78
1704375745010,97,17521,1730,78
1704375746090,97,17577,1664,78
1704375747170,97,17620,1666,79
1704375747901,97,17665,1654,79
1704375748983,97,17760,1641,79
1704375749704,97,17794,2296,80
1704375750782,97,17831,1669,80
1704375751862,97,17933,1814,81
1704375752943,97,17936,1651,81
1704375753663,97,17906,1361,80
1704375754742,97,17838,1623,80
1704375755823,97,17855,4424,80
1704375756901,97,17895,3162,79
1704375757981,97,17965,5632,78
1704375758701,96,18012,2923,78
1704375759781,96,18109,2589,78
1704375760861,96,18303,4051,80
1704375761941,96,18356,1618,81
1704375762661,96,18421,1512,83
1704375763742,96,18467,1697,84
1704375764821,96,18506,1702,83
1704375765902,96,18519,1643,82
1704375766980,96,18508,1563,81
1704375767700,96,18554,1556,80
1704375768779,96,18588,1608,80
1704375769860,97,18608,1443,80
1704375770939,97,18628,1372,80
1704375771660,97,18721,1421,80
1704375772741,97,18776,1574,80
1704375773820,97,18794,1648,79
1704375774901,97,18796,1619,80
1704375775979,97,18810,1642,80
1704375776699,97,18756,1723,80
1704375777779,97,18702,1774,80
1704375778859,97,18654,2759,81
1704375779939,97,18567,5766,82
