UTCTimestamp_ms,SpO2,DC_R,acc_power,HR
1705762864525,0,0,0,0
1705762865245,0,0,0,0
1705762866325,0,0,0,0
1705762867405,0,0,0,0
1705762868485,0,6398,0,0
1705762868857,0,6390,35715,0
1705762869938,0,6386,28072,0
1705762871019,0,6387,13059,0
1705762872100,0,6382,45700,0
1705762873179,0,6381,2481,0
1705762873899,0,6376,16770,0
1705762874979,0,6376,17859,0
1705762876059,0,6375,5416,0
1705762877140,0,6362,36345,0
1705762877860,0,6354,62718,0
1705762878939,0,6352,35556,0
1705762880018,0,6352,54407,0
1705762881097,0,6348,28685,0
1705762882178,0,6347,4916,0
1705762882898,0,6345,54754,0
1705762883977,0,6344,41723,0
1705762885058,0,6343,31913,0
1705762886139,0,6328,25029,0
1705762886858,0,6339,19350,0
1705762887938,0,6347,14135,0
1705762889018,0,6340,11343,0
1705762890099,97,6339,8716,0
1705762891175,97,6333,6755,0
1705762891895,96,6331,5814,0
1705762892974,96,6326,6496,0
1705762894053,97,6324,6533,0
1705762895134,97,6326,6487,0
1705762895854,97,6327,6363,0
1705762896934,0,6324,6316,0
1705762898014,0,6324,6187,0
1705762899094,0,6321,4461,0
1705762900174,0,6319,3531,0
1705762900895,0,6317,1984,0
1705762901974,0,6314,1821,0
1705762903054,0,6312,1515,0
1705762904134,0,6313,1356,0
1705762904854,0,6310,1610,0
1705762905934,96,6308,1855,0
1705762907014,96,6306,2199,0
1705762908094,96,6304,2410,0
1705762909174,0,6304,2431,0
1705762909894,96,6305,2413,0
1705762910974,0,6304,2369,0
1705762912054,96,6301,2087,0
1705762913133,97,6301,1797,0
1705762913853,97,6300,2886,0
1705762914933,96,6304,3467,0
1705762916013,96,6303,3753,0
1705762917093,96,6295,3795,0
1705762918173,96,6296,3822,0
1705762918894,96,6292,3801,0
1705762919974,96,6282,2997,0
1705762921053,96,6276,2214,0
1705762922133,96,6276,1863,0
1705762922853,96,6161,2249,0
1705762923932,96,6072,3723,0
1705762925013,96,6029,4083,0
1705762926092,96,6029,4507,0
1705762927172,96,5948,4567,0
1705762927893,96,5948,4661,0
1705762928973,96,5938,4838,0
1705762930052,0,5938,6108,0
1705762931132,0,5930,31197,0
1705762931852,0,5943,27442,0
1705762932932,0,5953,7826,0
1705762934012,0,5925,12964,0
1705762935091,0,5935,58117,0
1705762936171,0,5933,50324,0
1705762936891,0,5933,43047,0
1705762937971,0,5935,29478,0
1705762939051,0,5935,23203,0
1705762940131,0,5927,15796,62
1705762940851,0,5934,11699,62
