UTCTimestamp_ms,SpO2,DC_R,acc_power,HR
1706017718344,0,0,0,0
1706017719064,0,0,0,0
1706017720144,0,0,0,0
1706017721224,0,0,0,0
1706017722305,0,5152,0,0
1706017723025,0,5149,35844,0
1706017723759,0,5147,15295,0
1706017724839,0,5145,44666,0
1706017725919,0,5143,295,0
1706017726998,0,5140,23516,0
1706017727718,0,5139,32410,0
1706017728800,0,5135,28364,0
1706017729878,0,5133,15340,0
1706017730959,0,5132,52203,0
1706017731680,0,5127,36738,0
1706017732759,0,5124,10118,0
1706017733840,0,5122,41005,0
1706017734920,0,5118,25360,0
1706017736000,0,5115,61036,0
1706017736720,0,5113,51915,0
1706017737799,0,5111,43945,0
1706017738881,0,5109,26706,0
1706017739957,0,5105,22857,0
1706017740677,0,5103,20095,0
1706017741758,0,5100,13091,0
1706017742838,0,5097,10468,0
1706017743919,0,5098,8726,0
1706017744995,0,5094,6977,0
1706017745714,0,5091,7361,0
1706017746794,0,5087,7030,0
1706017747875,0,5086,6854,0
1706017748955,0,5086,7598,0
1706017749676,0,5001,8748,0
1706017750755,0,4998,8270,0
1706017751835,0,5031,8581,0
1706017752915,0,5017,8250,0
1706017753993,0,5013,8558,0
1706017754713,0,5012,8393,0
1706017755793,0,5000,7538,0
1706017756874,0,4987,5474,0
1706017757955,0,4987,3943,0
1706017758675,0,4998,3234,0
1706017759754,0,4981,2201,0
1706017760835,0,4980,1890,0
1706017761914,0,4982,1834,0
1706017762995,0,4973,1528,0
1706017763715,0,4981,1439,0
1706017764795,0,4969,1379,0
1706017765875,0,4967,1373,61
1706017766955,0,4974,1395,60
1706017767675,0,4969,1463,59
1706017768754,0,4969,1596,59
1706017769834,0,4979,9693,59
1706017770914,0,5231,47729,0
1706017771994,0,5302,55680,0
1706017772715,0,4916,1276,0
1706017773794,0,4802,17973,0
1706017774875,0,4802,45793,0
1706017775954,0,7802,35868,0
1706017776674,0,7572,53253,0
1706017777754,0,7572,53253,0
1706017778833,0,7572,53253,0
1706017779914,0,7572,0,0
1706017780994,0,13508,0,0
1706017781716,0,21710,0,0
1706017782796,0,21710,0,0
1706017783873,0,20720,0,0
1706017784954,0,20795,0,0
1706017785674,0,20856,20808,0
1706017786753,0,20929,25772,0
1706017787834,0,21034,22878,64
1706017788913,0,21069,11543,64
1706017789993,0,21098,21903,65
1706017790713,0,21123,95,65
1706017791793,0,21149,9975,64
1706017792874,0,21165,61814,63
1706017793954,0,21275,31580,0
1706017794674,0,21412,37705,0
1706017795755,0,21481,33785,0
1706017796834,0,21509,27126,0
1706017797914,0,21546,43670,0
1706017798993,0,21606,58940,0
1706017799713,0,21710,41010,0
1706017800794,0,21821,11084,0
1706017801873,0,21956,38468,0
