UTCTimestamp_ms,SpO2,DC_R,acc_power,HR
1706100921348,0,0,0,0
1706100922068,0,0,0,0
1706100923148,0,0,0,0
1706100924228,0,0,0,0
1706100925308,0,5433,0,0
1706100926028,0,5418,37013,0
1706100927108,0,5431,13333,0
1706100927842,0,5432,30141,0
1706100928923,0,5438,58421,0
1706100930002,0,5436,9957,0
1706100930723,0,5415,14983,0
1706100931802,0,5406,16309,0
1706100932883,0,5432,61848,0
1706100933962,0,5414,48072,0
1706100934682,0,5395,24746,0
1706100935760,0,5442,58832,0
1706100936841,0,5442,48308,0
1706100937921,0,5435,27660,0
1706100939001,0,5433,17901,0
1706100939720,0,5432,31860,0
1706100940800,0,5465,7500,0
1706100941881,0,5465,46465,0
1706100942961,0,5470,0,0
1706100943681,0,5462,0,0
1706100944762,0,5471,0,0
1706100945841,0,5479,0,0
1706100946919,0,5479,0,0
1706100947998,0,5480,0,0
1706100948718,0,5467,12067,0
1706100949798,0,5450,7873,0
1706100950878,0,5463,5401,0
1706100951958,0,5472,4875,0
1706100952678,0,5475,4193,0
1706100953759,0,5468,3614,0
1706100954838,0,5464,3158,0
1706100955919,0,5468,2429,0
1706100956999,0,5467,2295,0
1706100957718,0,5458,2177,0
1706100958798,0,5473,1650,0
1706100959878,0,5457,1680,0
1706100960959,0,5470,1632,0
1706100961679,0,5447,1644,0
1706100962759,0,5464,1576,0
1706100963839,0,5449,1454,0
1706100964919,0,5454,1408,0
1706100965998,0,5466,1305,0
1706100966718,0,5469,1098,0
1706100967799,0,5472,941,0
1706100968878,0,5471,948,0
1706100969958,0,5475,1120,0
1706100970679,0,5462,1217,0
1706100971759,0,5471,1205,0
1706100972839,0,5469,1459,0
1706100973919,0,5471,1728,0
1706100974998,0,5460,2082,0
1706100975719,0,5466,2247,0
1706100976799,0,5443,2228,0
1706100977879,0,5471,2211,0
1706100978959,0,5458,2275,0
1706100979679,0,5450,2181,0
1706100980760,0,5468,1839,0
1706100981840,0,5468,1706,0
1706100982919,0,5452,1600,0
1706100984000,0,5469,1622,0
1706100984718,0,5461,1740,0
1706100985798,0,5467,1677,0
1706100986878,0,5460,7049,0
1706100987959,0,5462,5208,0
1706100988678,0,5449,1622,0
1706100989758,0,5456,4640,0
1706100990838,0,5449,47883,0
1706100991919,0,5462,43746,0
1706100992998,0,5449,53514,0
1706100993718,0,5467,23843,0
1706100994798,0,5456,21769,0
1706100995878,0,5444,28664,0
1706100996958,0,5456,3177,0
1706100997678,0,5453,1726,0
1706100998759,0,5449,1641,0
1706100999839,0,5464,1548,0
1706101000918,0,5444,1557,0
1706101001998,0,5473,1583,0
1706101002717,0,5462,1733,0
1706101003797,0,5443,1812,0
1706101004877,0,5440,1754,0
1706101005957,0,5433,1867,0
1706101006677,0,5456,1911,0
1706101007758,0,5457,1738,0
1706101008837,0,5458,1683,0
1706101009917,0,5432,2387,0
1706101010997,0,5449,1844,0
1706101011718,0,5447,1667,0
1706101012798,0,5452,2545,0
1706101013878,0,5452,2607,0
1706101014958,0,5453,3037,0
1706101015678,0,5458,3491,0
1706101016758,0,5458,4371,0
1706101017839,0,5458,6235,0
1706101018918,0,5448,11492,0
1706101019998,0,5447,5216,0
1706101020718,0,5447,7927,0
1706101021797,0,5451,4454,0
1706101022877,0,5447,3739,0
1706101023957,0,5445,2493,0
1706101024678,0,5447,10975,0
1706101025757,0,5449,7986,0
1706101026837,0,5447,5778,0
1706101027917,0,5447,4920,0
1706101028998,0,5448,4129,0
1706101029717,0,5449,3583,0
1706101030798,0,5448,3008,0
1706101031877,0,5447,2047,0
1706101032957,0,5447,1873,0
1706101033677,0,5446,1587,0
1706101034758,0,5447,1448,0
1706101035837,0,5447,1184,0
1706101036917,0,5447,1318,0
1706101037997,0,5446,1118,0
1706101038717,0,5448,1080,0
1706101039797,0,5449,1285,0
1706101040877,0,5448,1246,0
1706101041956,0,5447,1263,0
1706101042676,0,5449,1872,0
1706101043757,0,5422,2202,0
1706101044836,0,5414,2656,0
1706101045916,0,5413,3432,0
1706101046996,0,5414,4401,0
1706101047716,0,5413,6926,0
1706101048796,0,5414,7862,0
1706101049876,0,5414,4183,0
1706101050956,0,5413,9198,0
1706101051676,0,5413,3045,0
1706101052756,0,5414,4339,0
1706101053837,0,5415,8446,0
1706101054916,0,5415,5978,0
1706101055997,0,5212,7639,0
1706101056717,0,5185,3767,0
1706101057797,0,5179,1949,0
1706101058875,0,5199,14712,0
1706101059955,0,5249,10186,0
1706101060675,0,5250,7550,0
1706101061755,0,5245,6045,0
1706101062836,0,5244,4976,0
1706101063916,0,5242,4311,0
1706101064996,0,5242,3276,0
1706101065716,0,5248,2405,0
1706101066796,0,5245,1876,62
1706101067876,0,5241,1877,62
1706101068956,0,5244,1846,60
1706101069676,0,5247,1657,60
1706101070756,0,5240,1721,60
1706101071836,0,5242,2642,60
