UTCTimestamp_ms,SpO2,DC_R,acc_power,HR
1706709266895,0,0,0,0
1706709267615,0,0,0,0
1706709268695,0,0,0,0
1706709269775,0,0,0,0
1706709270855,0,0,0,0
1706709271575,0,7337,35596,0
1706709272308,0,7262,40590,0
1706709273389,0,7254,31745,0
1706709274469,0,7248,1747,0
1706709275550,0,7236,27407,0
1706709276269,0,7236,48205,0
1706709277351,0,7217,52454,0
1706709278429,0,7213,40459,0
1706709279510,0,7205,7538,0
1706709280229,0,7199,27264,0
1706709281310,97,7197,1618,0
1706709282389,97,7191,9897,0
1706709283470,97,7187,45524,0
1706709284550,96,7183,23344,0
1706709285270,96,7180,1230,0
1706709286350,97,7175,51422,0
1706709287429,96,7173,40106,0
1706709288509,97,7166,30086,0
1706709289228,97,7162,26318,0
1706709290308,96,7162,24517,0
1706709291388,96,7156,22283,0
1706709292469,97,7150,19479,0
1706709293544,97,7149,19821,0
1706709294265,97,7145,0,0
1706709295346,97,7147,0,0
1706709296425,96,7158,0,0
1706709297505,97,7155,1877,0
1706709298226,97,7150,1648,0
1706709299305,96,7145,1552,0
1706709300386,96,7147,1327,0
1706709301466,95,7138,1365,0
1706709302545,95,7138,1326,0
1706709303264,95,7136,1264,0
1706709304344,94,7134,1269,0
1706709305424,94,7136,1381,0
1706709306505,94,7129,1490,0
1706709307225,94,7129,1584,0
1706709308305,94,7118,1741,0
1706709309385,94,7115,1723,0
1706709310465,93,7130,1806,0
1706709311545,93,7124,1740,0
1706709312265,93,7126,1735,0
1706709313346,94,7119,1652,0
1706709314426,94,7122,1508,0
1706709315505,94,7123,1286,0
1706709316225,94,7121,1272,0
1706709317304,94,7103,1354,0
1706709318385,94,7095,1567,0
1706709319464,94,7095,1623,0
1706709320544,94,7095,1633,0
1706709321264,94,6887,1878,0
1706709322345,94,6672,2168,0
1706709323425,94,6687,2338,0
1706709324505,94,6622,2521,0
1706709325224,94,6722,1913,0
1706709326305,94,6675,2492,0
1706709327384,94,6731,0,0
1706709328465,94,6717,0,0
1706709329545,0,6699,2475,0
1706709330265,0,6697,1965,0
1706709331345,0,6666,1718,0
1706709332424,0,6722,34300,0
1706709333504,0,6684,63896,62
1706709334223,0,6729,46703,60
1706709335303,0,6696,9226,59
1706709336383,0,6659,23422,60
1706709337465,0,6770,13710,60
1706709338544,0,6770,53298,59
1706709339264,0,6693,55189,59
1706709340344,0,5317,56621,0
