UTCTimestamp_ms,SpO2,DC_R,acc_power,HR
1706708047648,0,0,0,0
1706708048368,0,0,0,0
1706708049448,0,0,0,0
1706708050528,0,0,0,0
1706708051259,0,0,0,0
1706708051981,0,7504,39888,0
1706708053062,0,7501,33900,0
1706708054142,0,7498,11119,0
1706708055222,0,7497,39521,0
1706708056303,0,7496,59944,0
1706708057022,0,7496,9341,0
1706708058103,0,7496,11382,0
1706708059183,0,7131,58571,0
1706708060262,0,7122,31111,0
1706708060982,0,7122,59056,0
1706708062063,0,7108,31639,0
1706708063141,0,7114,56738,0
1706708064221,0,7178,27723,0
1706708065303,0,7264,9466,0
1706708066022,0,7061,61700,0
1706708067102,0,6730,46794,0
1706708068181,0,6730,36028,0
1706708069260,0,6566,29549,0
1706708069977,0,6559,20243,0
1706708071058,0,6547,15382,62
1706708072138,0,6551,12974,62
1706708073219,0,6559,9481,61
1706708074297,0,6554,6733,59
1706708075017,0,6552,4632,59
1706708076097,0,6554,3227,59
1706708077178,0,8456,3095,59
1706708078256,0,3305,10220,0
1706708078976,0,2715,11847,0
1706708080056,0,7924,14177,0
1706708081136,0,6689,17649,0
1706708082217,0,6689,23419,0
1706708083297,0,7566,34967,0
1706708084017,0,7683,662,0
1706708085097,0,7654,0,0
1706708086177,0,7452,0,0
1706708087256,0,7536,0,0
1706708087976,0,7197,0,0
1706708089056,0,7197,0,0
1706708090136,0,8606,0,0
1706708091216,0,8721,0,0
1706708092296,0,9355,0,0
1706708093017,0,8528,0,0
1706708094097,0,8735,0,0
1706708095177,0,8832,0,0
1706708096257,0,8832,0,0
1706708096975,0,9066,0,0
1706708098055,0,9066,0,0
1706708099136,0,9066,0,0
1706708100215,0,7126,0,0
1706708101295,0,6963,0,0
1706708102015,0,7267,0,0
1706708103096,0,6992,0,0
1706708104176,0,8334,0,0
1706708105256,0,8334,0,0
1706708105974,0,8334,0,0
1706708107054,0,8091,0,0
1706708108134,0,7942,0,0
1706708109214,0,7686,0,0
1706708110294,0,8176,0,0
1706708111014,0,8061,0,0
1706708112095,0,7317,0,0
1706708113174,0,7542,3888,0
1706708114254,0,7974,9586,0
1706708114973,0,8623,357,0
1706708116053,0,8340,60291,0
1706708117133,0,6491,6705,0
1706708118213,0,6694,20963,0
1706708119293,0,6694,12524,0
1706708120013,0,6694,22428,0
1706708121093,0,6531,60930,0
1706708122174,0,6531,61038,0
1706708123253,0,6531,58034,0
1706708123973,0,6548,34820,64
1706708125052,0,6563,21986,61
1706708126132,0,6569,13271,59
1706708127212,0,6573,18434,61
1706708128292,0,6595,55768,64
1706708129012,0,6598,40150,61
1706708130092,0,6596,33820,58
1706708131172,0,6596,33498,58
1706708132252,0,6558,33410,60
1706708132626,0,6503,30200,67
1706708133705,0,6503,26526,0
1706708134784,0,6448,36801,0
1706708135865,0,6359,9537,0
1706708136945,95,6359,5237,0
1706708137665,94,6325,7357,63
1706708138745,94,6348,1325,64
1706708139825,94,6348,0,65
1706708140905,94,6365,21700,63
1706708141625,94,6399,23140,59
1706708142702,95,6413,17448,57
1706708143782,95,6419,13823,56
1706708144863,95,6448,11088,58
1706708145943,96,6448,9296,58
1706708146664,96,6459,8114,62
1706708147743,96,6475,5199,56
1706708148824,96,6472,3699,56
1706708149903,96,6478,2721,59
1706708150624,96,6484,2946,63
1706708151702,96,6471,3254,62
1706708152782,96,6475,3188,62
1706708153862,96,6475,3795,63
1706708154943,0,6510,4718,0
1706708155662,0,6533,5757,0
1706708156743,0,6634,9039,0
1706708157822,0,6634,18633,0
1706708158903,0,6631,0,0
1706708159623,0,6628,0,0
1706708160701,0,6627,0,0
1706708161781,0,6610,0,0
1706708162861,0,6589,0,63
1706708163942,0,6575,0,0
1706708164661,0,6565,0,0
1706708165741,0,6560,0,0
1706708166821,0,6594,0,0
1706708167901,0,6596,0,0
1706708168621,0,6589,0,0
1706708169700,0,6619,0,0
1706708170781,0,6619,0,0
1706708171860,0,6599,0,0
1706708172940,0,6516,0,0
1706708173661,0,6505,0,0
1706708174740,0,6505,0,0
1706708175820,0,6505,0,0
1706708176901,0,6541,0,0
1706708177621,0,6561,0,0
1706708178699,0,6561,0,0
1706708179779,0,6574,60050,60
1706708180859,0,6586,3329,58
1706708181939,96,6592,47082,58
1706708182659,96,6613,37311,61
1706708183740,96,6613,37311,61
1706708184819,96,6564,37311,54
1706708185899,96,6563,26878,59
1706708186619,96,6566,28741,61
1706708187698,96,6566,60172,59
1706708188779,96,6576,13769,57
1706708189858,96,6559,51102,54
1706708190938,96,6562,9900,56
1706708191658,96,6544,40506,60
1706708192738,96,6535,22223,61
1706708193818,97,6549,17195,63
1706708194898,97,6556,12600,64
1706708195618,96,6547,10850,65
1706708196697,96,6537,9583,64
1706708197777,96,6554,8395,65
1706708198857,96,6566,8150,64
1706708199937,95,6572,7489,61
1706708200657,95,6574,7289,59
1706708201737,95,6571,6586,60
1706708202817,95,6568,7469,61
1706708203897,95,6564,5891,63
1706708204617,95,6551,5151,62
1706708205696,95,6551,4717,62
1706708206775,95,6552,4985,64
1706708207856,95,6546,5043,64
1706708208936,95,6543,5005,62
1706708209656,95,6538,5093,61
1706708210736,96,6528,5014,61
1706708211816,96,6533,5621,61
1706708212896,96,6560,6005,61
1706708213616,95,6542,7851,61
1706708214349,95,6542,8813,0
1706708215428,95,6542,10663,0
1706708216508,95,6508,21053,0
1706708217589,95,6517,0,0
1706708218308,95,6510,26351,64
1706708219388,95,6468,57975,62
1706708220468,96,6525,52058,61
1706708221550,96,6517,52058,60
1706708222268,96,6484,52058,59
1706708223351,0,6429,52058,59
1706708224427,0,6433,52058,61
1706708225507,96,6432,14838,60
1706708226587,96,6450,36268,60
1706708227309,96,6468,0,60
1706708228388,96,6457,0,60
1706708229467,96,6444,0,58
