UTCTimestamp_ms,SpO2,DC_R,acc_power,HR
1706964932834,0,0,0,0
1706964933554,0,0,0,0
1706964934634,0,0,0,0
1706964935362,0,0,0,0
1706964936445,0,5134,0,0
1706964937168,0,5156,37225,0
1706964938248,0,5093,63507,0
1706964939329,0,5028,65065,0
1706964940408,0,5039,43141,0
1706964941487,0,5039,38663,0
1706964942207,0,5039,64712,0
1706964943288,0,5039,62387,0
1706964944367,0,5062,28518,0
1706964945444,0,5140,14053,0
1706964946164,0,5140,0,0
1706964947243,0,5140,0,0
1706964948322,0,5141,0,0
1706964949402,0,5141,0,0
1706964950483,0,5140,0,0
1706964951203,0,5140,0,0
1706964952282,0,5139,0,0
1706964953361,0,5139,0,0
1706964954441,0,5139,17432,0
1706964955161,0,5138,51506,0
1706964956241,0,5137,42285,0
1706964957322,0,5135,35271,0
1706964958402,0,5134,28967,0
1706964959481,0,5134,24957,0
1706964960201,0,5135,15333,0
1706964961281,0,5133,14670,0
1706964962361,0,5133,10578,0
1706964963441,0,5132,6768,0
1706964964161,0,5131,6533,0
1706964965239,0,5132,4992,0
1706964966319,0,5130,3432,0
1706964967400,0,5131,3318,0
1706964968480,0,5131,2548,0
1706964969200,0,5132,1861,0
1706964970280,0,5129,1762,0
1706964971359,0,5129,1432,0
1706964972438,0,5129,1415,0
1706964973158,0,5129,1263,0
1706964974239,0,5128,1356,0
1706964975318,0,5127,1321,0
1706964976399,0,5126,1422,0
1706964977477,0,5126,1413,0
1706964978197,0,5125,1259,0
1706964979277,0,5125,1247,0
1706964980357,0,5125,1238,0
1706964981437,0,5125,1273,0
1706964982157,0,5124,1426,0
1706964983237,0,5123,1436,0
1706964984316,0,5124,1479,0
1706964985396,0,5124,1508,0
1706964986476,0,5124,1517,0
1706964987197,0,5125,1534,0
1706964988276,0,5124,1332,0
1706964989008,0,5124,1255,0
1706964990088,0,5124,1252,0
1706964990808,0,5121,1181,0
1706964991888,0,5122,1155,0
1706964992968,0,5122,1064,0
1706964994049,0,5122,1303,0
1706964995127,0,5122,1556,0
1706964995847,0,5121,1772,0
1706964996928,0,5119,1815,0
1706964998007,0,5118,7320,0
1706964999087,0,5118,57904,0
1706964999807,0,5118,58191,0
1706965000886,0,5116,1528,0
1706965001966,0,5116,1429,0
1706965003046,0,5114,1396,0
1706965004126,0,5113,1364,0
1706965004846,0,5112,1382,0
1706965005925,0,5111,1361,0
1706965007005,0,5110,1391,0
1706965008084,0,5110,1199,0
1706965008804,0,5108,1092,0
1706965009886,0,5105,1077,0
1706965010965,0,5106,1201,0
1706965012045,0,5106,1194,0
1706965013124,0,5105,1174,0
1706965013843,0,5104,1285,0
1706965014923,0,5102,9598,0
1706965016003,0,5103,3455,0
1706965017083,0,5100,8110,0
1706965017804,0,5100,4668,0
1706965018883,0,5098,2195,0
1706965019962,0,5100,3445,0
1706965021042,0,5098,1836,0
1706965022122,0,5097,1905,0
1706965022842,0,5095,2002,0
1706965023922,0,5095,1286,0
1706965025001,0,5095,1416,0
1706965026082,0,5094,1411,0
1706965026801,0,5093,1075,0
1706965027882,0,5092,1289,0
1706965028962,0,5093,1235,0
1706965030040,0,5092,1433,0
1706965031120,0,5091,1343,0
1706965031840,0,5092,1357,0
1706965032920,0,5091,1373,0
1706965034000,0,5091,1317,0
1706965035080,0,5091,1197,0
1706965035800,0,5089,947,0
1706965036879,0,5090,1012,0
1706965037959,0,5088,1053,0
1706965039038,0,5087,998,0
1706965040119,0,5086,982,0
1706965040839,0,5087,1176,0
1706965041572,0,5086,1323,0
1706965042651,0,5085,1442,0
1706965043731,0,5087,1215,0
1706965044450,0,5087,1262,0
1706965045531,0,5085,1241,0
1706965046610,0,5084,1272,0
1706965047690,0,5082,1207,0
1706965048770,0,5084,1210,0
1706965049489,0,5084,1510,0
1706965050569,0,5083,1689,0
1706965051649,0,5082,1744,0
1706965052730,0,5081,1789,0
1706965053448,0,5082,1698,0
1706965054528,0,5081,1791,0
1706965055608,0,5080,1611,0
1706965056688,0,5080,1526,0
1706965057769,0,5080,1591,0
1706965058488,0,5080,1580,0
1706965059566,0,5078,1580,0
1706965060646,0,5079,1514,0
1706965061727,0,5078,1485,0
1706965062447,0,5077,1388,0
1706965063527,0,5077,1338,0
1706965064607,0,5076,1263,0
1706965065686,0,5075,1309,0
1706965066765,0,5076,1442,0
1706965067485,0,5075,1476,0
1706965068566,0,5073,1457,0
1706965069646,0,5074,1565,0
1706965070726,0,5074,1637,0
1706965071444,0,5075,1703,0
1706965072525,0,5074,1543,0
1706965073604,0,5073,1530,0
1706965074684,0,5073,1550,0
1706965075764,0,5072,1488,0
1706965076485,0,5073,1438,0
1706965077563,0,5074,1313,0
1706965078643,0,5071,1257,0
1706965079723,0,5071,1276,0
1706965080444,0,5071,1249,0
1706965081524,0,5070,1236,0
1706965082602,0,5070,1157,0
1706965083683,0,5070,1136,0
1706965084763,0,5067,1091,0
1706965085482,0,5069,1225,0
1706965086562,0,5068,1266,0
1706965087642,0,5068,1456,0
1706965088721,0,5068,1481,0
1706965089441,0,5066,1560,0
1706965090521,0,5066,1575,0
1706965091601,0,5066,1420,0
1706965092681,0,5065,1356,0
1706965093761,0,5065,1114,0
1706965094133,0,5065,1272,0
1706965095212,0,5064,1209,0
1706965096292,0,5064,1266,0
1706965097372,0,5065,1225,0
1706965098093,0,5063,1357,0
1706965099173,0,5065,1338,0
1706965100251,0,5063,1326,0
1706965101332,0,5062,1384,0
1706965102411,0,5062,1472,0
1706965103131,0,5063,1469,0
1706965104211,0,5062,1379,0
1706965105291,0,5061,1264,0
1706965106371,0,5062,1220,0
1706965107090,0,5062,1202,0
1706965108170,0,5061,957,0
1706965109250,0,5060,1276,0
1706965110331,0,5061,1365,0
1706965111410,0,5060,1609,0
1706965112129,0,5059,1466,0
1706965113209,0,5060,1503,0
1706965114289,0,5058,1477,0
1706965115369,0,5060,1435,0
1706965116089,0,5059,1309,0
1706965117170,0,5057,1180,0
1706965118248,0,5057,1220,0
1706965119329,0,5056,1237,0
1706965120408,0,5057,1132,0
1706965121128,0,5058,1092,0
1706965122208,0,5056,1208,0
1706965123287,0,5056,1356,0
1706965124367,0,5055,1250,0
1706965125087,0,5054,1350,0
1706965126167,0,5055,1381,0
1706965127247,0,5056,1485,0
1706965128327,0,5056,1294,0
1706965129405,0,5054,1078,0
1706965130126,0,5055,1261,0
1706965131205,0,5055,1208,0
1706965132286,0,5054,1102,0
1706965133365,0,5053,1017,0
1706965134086,0,5052,1078,0
1706965135164,0,5053,1125,0
1706965136244,0,5052,1239,0
1706965137324,0,5052,1402,0
1706965138404,0,5052,1453,0
1706965139124,0,5052,1317,0
1706965140205,0,5052,1279,0
1706965141283,0,5052,1288,0
1706965142364,0,5051,1272,0
1706965143083,0,5050,1249,0
1706965144163,0,5050,1307,0
1706965145243,0,5050,1249,0
1706965146323,0,5051,1308,0
1706965147055,0,5049,1237,0
1706965147775,0,5048,1345,0
1706965148855,0,5049,1271,0
1706965149935,0,5048,1383,0
1706965151015,0,5048,1455,0
1706965151737,0,5048,1503,0
1706965152813,0,5048,1555,0
1706965153894,0,5049,1679,0
1706965154973,0,5048,1728,0
1706965156053,0,5047,1588,0
1706965156773,0,5047,1462,0
1706965157855,0,5048,1510,0
1706965158932,0,5048,1541,0
1706965160012,0,5046,1458,0
1706965160732,0,5047,1384,0
1706965161813,0,5046,1452,0
1706965162893,0,5047,1569,0
1706965163971,0,5045,1675,0
1706965165051,0,5045,1715,0
1706965165772,0,5045,1699,0
1706965166852,0,5046,1669,0
1706965167931,0,5045,1614,0
1706965169011,0,5044,1591,0
1706965169730,0,5044,1630,0
1706965170811,0,5044,1640,0
1706965171891,0,5043,1525,0
1706965172970,0,5044,1522,0
1706965174050,0,5044,1873,0
1706965174770,0,5044,1930,0
1706965175849,0,5044,1866,0
1706965176929,0,5043,1749,0
1706965178009,0,5043,1758,0
1706965178729,0,5042,1670,0
1706965179810,0,5043,1321,0
1706965180890,0,5043,1136,0
1706965181968,0,5044,944,0
1706965183048,0,5042,895,0
1706965183768,0,5043,978,0
1706965184848,0,5041,702,0
1706965185928,0,5041,791,0
1706965187007,0,5042,935,0
1706965187727,0,5042,955,0
1706965188807,0,5041,1057,0
1706965189887,0,5041,1108,0
1706965190967,0,5040,1265,0
1706965192047,0,5041,1273,0
1706965192766,0,5040,1317,0
1706965193845,0,5040,1213,0
1706965194925,0,5041,1235,0
1706965196006,0,5041,1106,0
1706965196726,0,5040,1096,0
1706965197805,0,5041,1171,0
1706965198538,0,5040,1225,0
1706965199617,0,5040,1245,0
1706965200697,0,5040,1366,0
1706965201417,0,5039,1309,0
1706965202497,0,5039,1276,0
1706965203577,0,5039,1253,0
1706965204656,0,5040,1246,0
1706965205376,0,5039,1268,0
1706965206456,0,5038,1227,0
1706965207536,0,5038,1332,0
1706965208617,0,5040,1343,0
1706965209696,0,5040,1379,0
1706965210415,0,5039,1363,0
1706965211496,0,5038,1259,0
1706965212575,0,5038,1374,0
1706965213656,0,5038,1213,0
1706965214375,0,5039,1514,0
1706965215455,0,5038,1454,0
1706965216534,0,5038,1469,0
1706965217614,0,5038,1557,0
1706965218693,0,5039,1455,0
1706965219413,0,5039,1448,0
1706965220494,0,5037,1389,0
1706965221572,0,5036,1218,0
1706965222652,0,5037,1246,0
1706965223373,0,5037,1283,0
1706965224452,0,5038,1216,0
1706965225532,0,5038,1267,0
1706965226613,0,5038,1058,0
1706965227691,0,5037,1102,0
1706965228411,0,5038,1207,0
1706965229491,0,5038,1275,0
1706965230571,0,5038,1402,0
1706965231652,0,5039,1472,0
1706965232372,0,5038,1485,0
1706965233451,0,5038,1302,0
1706965234531,0,5038,1346,0
1706965235610,0,5038,1363,0
1706965236690,0,5038,1278,0
1706965237410,0,5038,1154,0
1706965238490,0,5038,1322,0
1706965239569,0,5038,1276,0
1706965240649,0,5036,1300,0
1706965241370,0,5037,1415,0
1706965242449,0,5037,1412,0
1706965243529,0,5037,1425,0
1706965244609,0,5036,1394,0
1706965245688,0,5037,1330,0
1706965246408,0,5037,1465,0
1706965247488,0,5038,1576,0
1706965248568,0,5038,1471,0
1706965249648,0,5037,1498,0
1706965250368,0,5037,1440,0
1706965251099,0,5036,1520,0
1706965252180,0,5037,1261,0
1706965253260,0,5037,1169,0
1706965254340,0,5037,1231,0
1706965255060,0,5038,1322,0
1706965256141,0,5037,1499,0
1706965257219,0,5036,1560,0
1706965258298,0,5035,1519,0
1706965259018,0,5036,1486,0
1706965260098,0,5036,1382,0
1706965261179,0,5036,1342,0
1706965262257,0,5035,1371,0
1706965263337,0,5036,1411,0
1706965264058,0,5043,2581,0
1706965265139,0,5046,2962,0
1706965266218,0,5030,3572,0
1706965267298,0,5039,4382,0
1706965268016,0,5046,5631,0
1706965269096,0,5046,8006,0
1706965270177,0,5137,5661,0
1706965271257,0,5239,2825,0
1706965272336,0,5239,1669,0
1706965273056,0,5239,7322,0
1706965274134,0,5228,5704,0
1706965275215,0,5228,6456,0
1706965276295,0,5228,6330,0
1706965277015,0,5228,6328,0
1706965278095,0,5229,4996,0
1706965279175,0,5228,3508,0
1706965280254,0,5229,2687,0
1706965281334,0,5229,2190,0
1706965282054,0,5229,3727,0
1706965283134,0,5229,7402,0
1706965284214,0,5230,9763,0
1706965285292,0,5228,9989,0
1706965286012,0,5230,10070,0
1706965287092,0,5228,10159,0
1706965288173,0,5243,10828,0
1706965289253,0,5233,13887,0
1706965290333,0,5233,15114,0
1706965291051,0,5322,15905,0
1706965292131,0,5269,15775,0
1706965293212,0,5197,15856,0
1706965294291,0,5220,15316,0
1706965295011,0,5237,10939,0
1706965296091,0,5235,7712,0
1706965297170,0,5228,3786,0
1706965298250,0,5238,3666,0
1706965299330,0,5236,3177,0
1706965300050,0,5267,2043,0
1706965301130,0,5092,2238,0
1706965302210,0,5268,2274,0
1706965302942,0,5268,2287,62
1706965303662,0,5224,2369,62
1706965304743,0,5303,2436,59
1706965305823,0,5155,3052,59
1706965306902,0,5060,3195,59
1706965307984,0,5209,3278,59
1706965308701,0,5228,3273,59
1706965309781,0,5227,3477,59
1706965310861,0,5243,3536,59
1706965311941,0,5238,3196,60
1706965312660,0,5214,3111,59
1706965313741,0,5234,2678,59
1706965314820,0,5213,2574,59
1706965315900,0,5235,2296,59
1706965316980,0,5201,1664,59
1706965317699,0,5229,1525,59
1706965318780,0,5225,1459,59
1706965319859,0,5212,1457,59
1706965320939,0,5249,1851,59
1706965321658,0,5261,2915,59
1706965322739,0,5242,3488,59
1706965323819,0,5242,5086,59
1706965324899,0,5151,7776,58
1706965325977,0,5151,10926,56
1706965326697,0,5087,11757,54
1706965327777,0,5088,11872,58
1706965328857,0,5088,11663,57
1706965329937,0,5088,10867,57
1706965330658,0,5088,9105,58
1706965331736,0,5089,5329,63
1706965332817,0,4782,3484,0
1706965333896,0,4782,3008,0
1706965334976,0,8189,3494,0
1706965335696,0,8577,3843,0
1706965336776,0,6142,5113,0
1706965337855,0,6867,8343,0
1706965338934,0,6867,8343,0
1706965339654,0,6867,8343,0
1706965340735,0,6867,11981,0
1706965341815,0,6867,4490,0
1706965342895,0,6867,2714,0
1706965343974,0,11066,6136,0
1706965344694,0,11187,7918,0
1706965345774,0,11294,28384,0
1706965346854,0,11457,62748,0
1706965347934,0,11619,28709,0
1706965348654,0,11939,9725,75
1706965349733,0,11939,15670,75
1706965350813,0,12093,51279,71
1706965351893,0,12223,51563,71
1706965352972,0,12290,19438,71
1706965353693,0,12346,46232,71
1706965354773,0,12393,9844,72
1706965355506,0,12429,28491,71
1706965356585,0,12491,5980,71
1706965357305,0,12530,13120,72
1706965358385,0,12581,9427,72
1706965359466,0,12626,2371,72
1706965360546,0,12610,9587,66
1706965361625,0,12610,4310,66
1706965362344,0,12764,3343,66
1706965363424,0,12939,10398,66
1706965364504,0,12939,8713,67
1706965365584,0,12978,11482,67
1706965366304,0,13045,7363,67
1706965367384,0,13045,15073,67
1706965368465,0,13169,9095,67
1706965369542,0,13303,19509,68
1706965370622,0,13347,14069,68
1706965371341,0,13389,14787,68
1706965372422,0,13434,17931,67
1706965373502,0,13469,1962,67
1706965374583,0,13505,19823,67
1706965375302,0,13562,12666,67
1706965376381,0,13635,9774,67
1706965377461,0,13681,8284,67
1706965378540,0,13708,6898,67
1706965379621,0,13734,5729,68
1706965380341,0,13756,3961,68
1706965381421,0,13777,3674,67
1706965382500,0,13804,3185,67
1706965383580,0,13848,2732,68
1706965384300,0,13883,3177,68
1706965385380,0,13912,2736,68
1706965386460,0,13931,7301,68
1706965387540,0,14012,8290,68
1706965388620,96,14059,10891,69
1706965389339,96,14084,13516,68
1706965390420,96,14124,15996,68
1706965391499,96,14489,31364,68
1706965392579,96,14489,7118,68
1706965393299,95,14594,3702,68
1706965394379,96,14617,8199,69
1706965395458,96,14611,22852,70
1706965396537,96,14686,0,70
1706965397617,96,14716,0,69
1706965398337,96,14716,7952,68
1706965399417,96,14707,9819,68
1706965400498,96,14723,8796,68
