UTCTimestamp_ms,SpO2,DC_R,acc_power,HR
1707312126599,0,0,0,0
1707312127319,0,0,0,0
1707312128399,0,0,0,0
1707312129479,0,0,0,0
1707312130209,0,0,0,0
1707312130930,0,0,0,0
1707312132016,0,0,0,0
1707312133092,0,2457,37253,0
1707312134172,0,2432,24183,0
1707312135253,0,2453,4710,0
1707312135974,0,2475,38262,0
1707312137054,0,2478,19701,0
1707312138134,0,2478,24626,0
1707312139215,0,2478,44394,0
1707312139932,0,2478,23237,0
1707312141013,0,2477,31622,0
1707312142093,0,2453,0,0
1707312143171,0,2452,0,0
1707312144251,0,2484,0,0
1707312144969,0,2457,0,0
1707312146048,0,2458,38784,0
1707312147129,0,2467,34062,0
1707312148210,0,2458,28292,0
1707312148928,0,2436,28292,0
1707312150009,0,2390,28292,0
1707312151088,0,2409,28292,0
1707312152169,0,2392,29373,0
1707312153248,0,2407,33844,0
1707312153969,0,2393,33440,0
1707312155048,0,2394,0,0
1707312156127,0,2407,4674,0
1707312157208,0,2378,8021,0
1707312157928,0,2404,8479,0
1707312159008,0,2379,6742,0
1707312160087,0,2391,5712,0
1707312161167,0,2379,4884,0
1707312162248,0,2382,4245,0
1707312162968,0,2384,4137,0
1707312164048,0,2377,3014,0
1707312165128,0,2384,2117,0
1707312166208,0,2377,1989,0
1707312166928,0,2376,1654,0
1707312168006,0,2389,1741,0
1707312169086,0,2377,1724,0
1707312170167,0,2381,1726,0
1707312171247,0,2384,1807,0
1707312171967,0,2375,1788,0
1707312173046,0,2386,1747,0
1707312174127,0,2368,1622,0
1707312175206,0,2387,1559,0
1707312175927,0,2371,1578,0
1707312177007,0,2376,1492,0
1707312178086,0,2385,1319,0
1707312179166,0,2369,1286,0
1707312180246,0,2387,1007,0
1707312180965,0,2360,1010,0
1707312182045,0,2385,1012,0
1707312183126,0,2358,1162,0
1707312184206,0,2367,1458,0
1707312184926,0,2367,1650,0
1707312186006,0,2371,1679,0
1707312187084,0,2363,1748,0
1707312188164,0,2376,1637,0
1707312189245,0,2366,1550,0
1707312189965,0,2366,1399,0
1707312191045,0,2367,1413,0
1707312192125,0,2376,1377,0
1707312193205,0,2350,1353,0
1707312193924,0,2369,6665,0
1707312195005,0,2375,24186,0
1707312196085,0,2351,32619,0
1707312197163,0,2367,1664,0
1707312198244,0,2377,1549,0
1707312198964,0,2349,1580,0
1707312200043,0,2370,1539,0
1707312201124,0,2378,1550,0
1707312202204,0,2354,1436,0
1707312202924,0,2350,1421,0
1707312204004,0,2370,1477,0
1707312205084,0,2371,1333,0
1707312206162,0,2350,1291,0
1707312207243,0,2345,5363,0
1707312207963,0,2364,6522,0
1707312209042,0,2377,4885,0
1707312210123,0,2348,1144,0
1707312211202,0,2364,1185,0
1707312211922,0,2357,1212,0
1707312213003,0,2347,1154,0
1707312214083,0,2360,1131,0
1707312214816,0,2356,1281,0
1707312215895,0,2356,1372,0
1707312216614,0,2358,1509,0
1707312217695,0,2354,2384,0
1707312218774,0,2362,2493,0
1707312219855,0,2352,1794,0
1707312220575,0,2364,2006,0
1707312221655,0,2353,1706,0
1707312222734,0,2360,1763,0
1707312223814,0,2348,1724,0
1707312224893,0,2356,1594,0
1707312225613,0,2353,1352,0
1707312226694,0,2352,1461,0
1707312227773,0,2360,1699,0
1707312228853,0,2352,1467,0
1707312229573,0,2355,1441,0
1707312230654,0,2356,1498,0
1707312231734,0,2353,1385,0
1707312232813,0,2350,1244,0
1707312233892,0,2347,1209,0
1707312234612,0,2348,1298,0
1707312235693,0,2345,1273,0
1707312236772,0,2358,1209,0
1707312237852,0,2334,1221,0
1707312238572,0,2350,1292,0
1707312239653,0,2367,1311,0
1707312240732,0,2356,1184,0
1707312241813,0,2337,1262,0
1707312242892,0,2331,1307,0
1707312243611,0,2338,1329,0
1707312244691,0,2347,1385,0
1707312245771,0,2356,1447,0
1707312246851,0,2358,1375,0
1707312247571,0,2357,1425,0
1707312248651,0,2357,1345,0
1707312249731,0,2350,1323,0
1707312250811,0,2335,1305,0
1707312251891,0,2329,1204,0
1707312252610,0,2346,1073,0
1707312253690,0,2360,977,0
1707312254770,0,2362,1061,0
1707312255851,0,2356,1278,0
1707312256570,0,2354,1287,0
1707312257650,0,2351,1219,0
1707312258730,0,2346,1182,0
1707312259811,0,2344,1249,0
1707312260891,0,2345,1293,0
1707312261610,0,2352,1103,0
1707312262689,0,2353,1010,0
1707312263769,0,2353,1133,0
1707312264849,0,2348,1161,0
1707312265569,97,2338,1174,0
1707312266649,96,2335,1267,0
1707312267729,97,2334,1327,0
1707312268810,97,2336,1349,0
1707312269890,97,2336,1288,0
1707312270609,96,2337,1377,0
1707312271689,96,2340,1428,0
1707312272768,96,2338,1468,0
1707312273849,96,2334,1419,0
1707312274569,96,2327,1494,0
1707312275648,96,2326,1638,0
1707312276728,96,2328,1506,0
1707312277809,96,2338,1555,0
1707312278889,97,2351,1550,0
1707312279609,97,2357,1880,0
1707312280687,97,2347,1611,0
1707312281767,97,2333,1585,0
1707312282847,97,2322,1474,0
1707312283567,97,2326,1360,0
1707312284648,97,2331,1355,0
1707312285727,97,2333,1382,0
1707312286807,97,2331,2264,0
1707312287888,97,2334,2649,0
1707312288607,96,2337,2678,0
1707312289686,97,2343,2728,0
1707312290766,96,2337,2813,0
1707312291846,96,2332,2808,0
1707312292566,97,2324,2215,0
1707312293646,97,2318,1753,0
1707312294726,96,2317,1733,0
1707312295806,96,2319,1742,0
1707312296887,96,2319,1555,0
1707312297606,96,2320,1381,0
1707312298686,96,2319,1333,0
1707312299419,96,2318,1311,0
1707312300498,96,2318,1249,0
1707312301218,96,2318,1278,0
1707312302299,96,2315,1368,0
1707312303378,96,2314,1430,0
1707312304459,96,2315,1485,0
1707312305539,96,2318,1503,0
1707312306260,97,2328,1550,0
1707312307339,97,2332,1370,0
1707312308416,96,2339,1266,0
1707312309497,97,2333,1168,0
1707312310217,97,2316,947,0
1707312311297,97,2313,938,0
1707312312377,97,2319,998,0
1707312313457,97,2328,1039,0
1707312314538,97,2337,1177,0
1707312315257,97,2338,1283,0
1707312316337,97,2325,1311,0
1707312317418,97,2314,1388,0
1707312318495,97,2313,1494,0
1707312319216,96,2333,1475,0
1707312320297,96,2335,1465,0
1707312321376,97,2313,1400,0
1707312322456,97,2318,1524,0
1707312323536,96,2334,1630,0
1707312324257,97,2335,1518,0
1707312325336,96,2318,1479,0
1707312326416,97,2314,1451,0
1707312327495,97,2312,1494,0
1707312328215,96,2310,1542,0
1707312329295,96,2311,1757,0
1707312330375,96,2312,1654,0
1707312331455,96,2312,1674,0
1707312332535,96,2311,1636,0
1707312333255,96,2312,1605,0
1707312334335,96,2313,1600,0
1707312335415,96,2316,1488,0
1707312336493,97,2329,1562,0
1707312337213,97,2332,1564,0
1707312338294,97,2322,1620,0
1707312339374,97,2310,1710,0
1707312340454,96,2313,1528,0
1707312341535,96,2328,1572,0
1707312342255,97,2330,1440,0
1707312343334,97,2316,1422,0
1707312344414,97,2311,1282,0
1707312345493,97,2328,1256,0
1707312346213,97,2330,1159,0
1707312347293,97,2313,1705,0
1707312348373,97,2314,1403,0
1707312349454,97,2330,1595,0
1707312350533,97,2324,1568,0
1707312351253,0,2309,1705,0
1707312352333,0,2313,1751,0
1707312353413,0,2324,1758,0
1707312354493,97,2325,1743,0
1707312355212,97,2328,1859,0
1707312356292,97,2326,1790,0
1707312357372,0,2324,1689,0
1707312358452,0,2316,1601,0
1707312359532,97,2309,1518,0
1707312360252,0,2325,1531,0
1707312361332,0,2327,1480,0
1707312362412,97,2314,1477,0
1707312363492,97,2308,1462,0
1707312364211,96,2314,1505,0
1707312365291,96,2327,1508,0
1707312366372,96,2327,1393,0
1707312367451,97,2320,1251,0
1707312368531,97,2313,1333,0
1707312369251,97,2306,1266,0
1707312370331,97,2310,1386,0
1707312371411,97,2323,1380,0
1707312372491,0,2330,1239,0
1707312373210,0,2327,1225,0
1707312374290,97,2322,1206,0
1707312375370,0,2319,1254,0
1707312376450,0,2318,1223,0
1707312377530,0,2319,1279,0
1707312378250,0,2320,1455,0
1707312379330,0,2330,1609,0
1707312380410,0,2322,1490,0
1707312381490,0,2314,1452,0
1707312382210,97,2307,1376,0
1707312382941,97,2306,1229,0
1707312384021,97,2310,1149,0
1707312385102,97,2316,1182,0
1707312386182,97,2321,1347,0
1707312386902,97,2323,1457,0
1707312387982,96,2329,1486,0
1707312389062,96,2324,1514,0
1707312390141,97,2318,1590,0
1707312390863,97,2309,1447,0
1707312391940,97,2305,1410,0
1707312393021,96,2306,1372,0
1707312394101,96,2309,1271,0
1707312395181,96,2312,1277,0
1707312395901,97,2319,1319,0
1707312396980,97,2322,1242,0
1707312398061,96,2327,1182,0
1707312399141,97,2321,1136,0
1707312399861,96,2306,1245,0
1707312400939,97,2303,1167,0
1707312402020,97,2313,1252,0
1707312403100,97,2326,1191,0
1707312404180,97,2316,1188,0
1707312404900,97,2304,1315,0
1707312405979,97,2311,1260,0
1707312407061,97,2324,1323,0
1707312408139,97,2325,1631,0
1707312408859,97,2316,1690,0
1707312409941,97,2314,1813,0
1707312411018,97,2310,1753,0
1707312412099,96,2305,1936,0
1707312413179,96,2303,2012,0
1707312413898,96,2302,2006,0
1707312414978,96,2308,1904,0
1707312416059,97,2318,1965,0
1707312417139,97,2324,1832,0
1707312417859,0,2317,1691,0
1707312418939,0,2303,1474,0
1707312420017,0,2310,1398,0
1707312421097,97,2324,1235,0
1707312422178,97,2303,1001,0
1707312422898,96,2306,1058,0
1707312423978,97,2320,993,0
1707312425058,0,2304,1028,0
1707312426138,0,2309,1057,0
1707312426858,0,2321,1133,0
1707312427938,0,2322,1165,0
1707312429016,0,2320,1256,0
1707312430097,0,2314,1501,0
1707312431177,97,2309,1635,0
1707312431896,97,2303,1713,0
1707312432976,96,2301,1747,0
1707312434057,96,2303,1767,0
1707312435137,96,2306,1857,0
1707312435857,97,2311,1727,0
1707312436937,97,2316,1754,0
1707312438015,97,2317,1652,0
1707312439095,0,2323,1509,0
1707312440176,0,2321,1421,0
1707312440896,0,2311,1238,0
1707312441975,0,2305,1235,0
1707312443056,0,2301,1943,0
1707312444136,0,2306,8560,0
1707312444856,0,2312,9973,0
1707312445936,0,2302,11972,0
1707312447015,0,2372,14922,0
1707312448095,0,2372,19888,0
1707312449175,0,2432,29753,0
1707312449895,0,2437,43389,0
1707312450975,0,2437,5641,0
1707312452055,0,2344,7314,0
1707312453135,0,2344,4217,0
1707312453855,0,2344,3216,0
1707312454935,0,2325,5520,0
1707312456016,0,2325,3566,0
1707312457093,0,2326,6170,0
1707312458174,0,2326,4161,0
1707312458894,0,2316,26381,0
1707312459974,0,2306,26379,0
1707312461054,0,2223,26417,0
1707312462134,0,2202,26452,0
1707312462854,0,2211,26402,0
1707312463934,0,2211,26392,0
1707312465015,0,2210,38443,0
1707312465747,0,2210,5422,0
1707312466827,0,2210,25099,0
1707312467546,0,2211,17586,0
1707312468625,0,2211,17427,0
1707312469706,0,2212,14284,0
1707312470785,0,2213,11660,0
1707312471506,0,2213,10067,0
1707312472585,0,2213,8729,0
1707312473665,0,2213,7729,0
1707312474744,0,2214,6181,0
1707312475824,0,2214,3688,0
1707312476544,0,2214,3328,0
1707312477625,0,2214,2855,0
1707312478705,0,2213,2232,0
1707312479784,0,2213,2263,0
1707312480504,0,2214,2000,0
1707312481586,0,2204,1864,0
1707312482666,0,2305,2095,0
1707312483745,0,2335,1582,0
1707312484824,0,2335,1804,0
1707312485544,0,2335,1938,0
1707312486623,0,2335,2212,0
1707312487704,0,2335,2688,0
1707312488784,0,2361,4693,0
1707312489503,0,2361,5835,0
1707312490584,0,2359,10077,0
1707312491663,0,2357,12598,0
1707312492744,0,2361,10148,0
1707312493822,0,2361,8345,0
1707312494543,0,2362,7008,0
1707312495623,0,2362,6036,0
1707312496703,0,2362,5608,0
1707312497783,0,2362,3933,0
