UTCTimestamp_ms,SpO2,DC_R,acc_power,HR
1708002719227,0,0,0,0
1708002719947,0,0,0,0
1708002721027,0,0,0,0
1708002722107,0,0,0,0
1708002723187,0,0,0,0
1708002723908,0,0,40148,0
1708002724640,0,5746,47035,0
1708002725722,0,5467,37936,0
1708002726801,0,5372,11491,0
1708002727881,0,5372,682,0
1708002728602,0,4387,17236,0
1708002729681,0,4387,60740,0
1708002730762,0,4387,63872,0
1708002731842,0,4387,25029,0
1708002732562,0,4387,0,0
1708002733642,0,4112,0,0
1708002734723,0,4109,0,0
1708002735803,0,4105,0,0
1708002736882,0,4105,57332,0
1708002737602,0,4094,21700,0
1708002738679,0,4087,63255,0
1708002739757,0,4085,52390,0
1708002740837,0,4084,44069,0
1708002741558,0,4074,37420,0
1708002742638,0,4074,30067,0
1708002743717,0,4068,18386,0
1708002744798,0,4067,16433,0
1708002745877,0,4065,13825,0
1708002746597,0,4064,7514,0
1708002747677,0,4058,7013,0
1708002748757,0,4055,4675,0
1708002749838,0,4047,3545,0
1708002750557,0,4045,3553,0
1708002751637,0,4047,3105,0
1708002752718,0,4034,4035,0
1708002753796,0,4030,4369,0
1708002754876,0,4028,4428,0
1708002755596,0,4023,4399,0
1708002756676,0,4023,4448,0
1708002757757,0,4022,4164,0
1708002758838,0,4019,2825,0
1708002759557,0,4021,2288,0
1708002760637,0,4016,1775,0
1708002761717,0,4009,1802,0
1708002762798,0,4003,1541,0
1708002763878,0,4003,1499,0
1708002764597,0,3998,1660,0
1708002765678,0,3993,1487,0
1708002766758,0,3990,1622,0
1708002767836,0,3987,1615,0
1708002768557,0,3982,1785,0
1708002769636,0,3985,2072,0
1708002770718,0,3986,1721,0
1708002771797,0,3985,0,0
1708002772877,0,3977,0,0
1708002773597,0,3974,0,0
1708002774677,0,3971,3398,0
1708002775756,0,3973,3008,0
1708002776837,0,3972,2457,0
1708002777557,0,3963,2209,0
1708002778638,0,3964,1922,0
1708002779717,0,3963,1784,0
1708002780796,0,3953,1755,0
1708002781876,0,3949,1955,0
1708002782596,0,3949,3221,0
1708002783676,0,3949,3491,0
1708002784756,0,3946,10227,0
1708002785835,0,3947,42202,0
