UTCTimestamp_ms,SpO2,DC_R,acc_power,HR
1708781133359,0,0,0,0
1708781134079,0,0,0,0
1708781135159,0,0,0,0
1708781136239,0,0,0,0
1708781136970,0,6161,0,0
1708781137691,0,6160,35999,0
1708781138772,0,6161,20395,0
1708781139854,0,6163,56641,0
1708781140933,0,6164,20542,0
1708781142013,0,6165,39954,0
1708781142733,0,6168,48423,0
1708781143813,0,6168,49328,0
1708781144894,0,6171,32856,0
1708781145972,0,6170,7776,0
1708781146691,0,6172,38717,0
1708781147772,0,6172,8471,0
1708781148852,0,6171,43328,0
1708781149932,0,6173,15164,0
1708781151012,0,6172,60421,0
1708781151732,0,6171,53236,0
1708781152812,0,6170,37397,0
1708781153892,0,6171,27131,0
1708781154971,0,6169,23906,0
1708781155690,0,6169,16408,0
1708781156771,0,6169,11681,0
1708781157851,0,6054,10277,0
1708781158931,0,5948,7327,0
1708781160008,0,5917,5452,0
1708781160728,0,5917,4557,0
1708781161808,0,5852,3673,0
1708781162888,0,5856,3491,0
1708781163966,0,5852,3340,0
1708781164687,0,5848,3189,0
1708781165767,0,5844,2957,0
1708781166847,0,5841,2233,0
1708781167927,0,5837,2101,0
1708781169007,0,5836,1901,0
1708781169727,0,5833,1713,0
1708781170807,0,5829,1675,0
1708781171887,0,5827,1566,0
1708781172966,0,5825,1463,0
1708781173688,0,5808,1397,60
1708781174767,0,6652,22408,0
1708781175847,0,7122,26134,0
1708781176927,0,7478,31356,0
1708781178008,0,7478,39192,0
1708781178727,0,5925,52243,0
1708781179807,0,5925,12794,0
1708781180888,0,5925,14195,0
1708781181966,0,5925,0,0
1708781182686,0,5320,0,0
1708781183766,0,5320,0,0
1708781184846,0,5317,0,0
1708781185927,0,5324,0,0
1708781187006,0,5336,0,0
1708781187726,0,5316,0,0
1708781188807,0,5332,0,0
1708781189886,0,5324,0,0
1708781190966,0,5339,0,0
1708781191685,0,5348,0,0
1708781192765,0,5355,0,0
1708781193845,0,5363,0,0
1708781194925,0,5381,0,67
1708781196005,0,5392,0,66
1708781196725,0,5400,62425,66
1708781197806,0,5410,44848,67
1708781198886,0,5424,53564,0
1708781199965,0,5439,14059,0
1708781200685,0,5439,21048,0
1708781201764,0,5440,52573,0
1708781202845,0,5442,33468,0
1708781203924,0,5440,6658,0
1708781205004,0,5435,24579,0
1708781205724,0,5432,37128,73
1708781206804,0,5425,50681,0
1708781207885,0,5457,50877,0
1708781208964,0,5457,55149,0
1708781209684,0,5510,44152,0
1708781210765,0,5484,7434,0
1708781211843,0,5436,49453,0
1708781212923,0,5428,7549,0
1708781214003,0,5429,60533,0
1708781214723,0,5430,25405,0
1708781215803,0,5438,34234,0
1708781216883,0,5445,24801,0
1708781217963,0,5444,10808,0
1708781218683,0,5445,13100,0
1708781219763,0,5451,10790,0
1708781220843,0,5453,13110,0
1708781221923,0,5458,16259,0
1708781222655,0,5460,8495,0
1708781223376,0,5456,11978,0
1708781224455,0,5452,2168,0
1708781225535,0,5487,6733,0
1708781226616,0,5534,9108,0
1708781227336,0,5547,6244,0
1708781228415,0,5576,9147,0
1708781229496,0,5589,6622,0
1708781230576,0,5616,3621,0
1708781231656,0,5632,4505,0
1708781232378,0,5637,4890,72
1708781233454,0,5638,5831,71
1708781234533,0,5643,9351,72
1708781235614,0,5654,28390,72
1708781236335,0,5653,52226,72
1708781237415,0,5652,52226,72
1708781238494,0,5651,52226,71
1708781239574,0,5658,52226,0
1708781240654,0,5647,52226,0
1708781241374,0,5630,52226,0
1708781242454,0,5628,55191,0
1708781243532,0,5581,0,0
1708781244613,0,5581,0,0
1708781245333,0,5506,0,0
1708781246414,0,5516,0,0
1708781247493,0,5523,0,0
1708781248573,0,5537,0,0
1708781249654,0,5561,0,0
1708781250373,0,5586,0,0
1708781251454,0,5658,0,0
1708781252533,0,5759,0,0
1708781253612,0,5761,0,0
1708781254332,0,5716,0,0
1708781255412,0,5634,0,0
1708781256492,0,5585,0,0
1708781257572,0,5585,59315,0
1708781258652,0,5552,22829,0
1708781259372,0,5551,29011,0
1708781260453,0,5526,0,0
1708781261532,0,5519,0,0
1708781262612,0,5514,0,71
1708781263332,0,5508,0,71
1708781264411,0,5543,10530,0
1708781265492,0,5577,10530,0
1708781266571,0,5586,10530,0
1708781267651,0,5470,10530,0
1708781268371,0,5470,10530,0
1708781269451,0,5351,10530,0
1708781270532,0,5346,0,0
1708781271611,0,5349,0,0
1708781272331,0,5369,0,69
1708781273412,0,5375,0,0
1708781274491,0,5456,0,0
1708781275570,0,5475,0,0
1708781276650,0,5495,0,0
1708781277370,0,5510,0,0
1708781278450,0,5529,0,0
1708781279531,0,5533,0,0
1708781280610,0,5588,0,0
1708781281330,0,5588,0,0
1708781282410,93,5713,0,0
1708781283490,93,5679,0,0
1708781284570,93,5664,0,0
1708781285649,93,5656,0,0
1708781286369,93,5655,0,0
1708781287449,92,5665,0,0
1708781288530,91,5668,0,0
1708781289609,91,5660,0,68
1708781290329,91,5649,0,70
1708781291409,92,5636,0,69
1708781292489,93,5618,13108,70
1708781293569,93,5620,50923,70
1708781294650,94,5622,38825,70
1708781295369,95,5614,32759,70
1708781296448,95,5611,27298,71
1708781297528,96,5608,21961,71
1708781298608,96,5605,17715,71
1708781299328,96,5605,14438,74
1708781300408,96,5608,13821,73
1708781301489,96,5608,10807,73
1708781302568,96,5612,8958,73
1708781303648,96,5618,9033,73
1708781304368,96,5622,7750,73
1708781305448,96,5615,7192,73
1708781306527,96,5612,6629,73
1708781307607,96,5612,4602,73
1708781308327,96,5610,3642,72
1708781309407,96,5604,3063,72
1708781310487,97,5599,2541,73
1708781311567,97,5598,2144,72
1708781312647,97,5595,2184,72
1708781313367,97,5592,2443,71
1708781314447,97,5591,2760,72
1708781315528,97,5592,2779,72
1708781316607,97,5588,2685,72
1708781316980,97,5587,2667,72
1708781318058,96,5588,2556,72
1708781319140,97,5591,8540,72
1708781320221,97,5595,9969,71
1708781321301,97,5592,12121,72
1708781322020,97,5595,15506,72
1708781323099,97,5598,21571,72
1708781324179,97,5600,35766,72
1708781325259,97,5609,56537,72
1708781325979,97,5612,0,72
1708781327060,97,5611,16148,72
1708781328137,96,5612,9165,72
1708781329217,96,5617,7817,73
1708781330298,96,5615,6177,73
1708781331018,96,5613,5259,73
1708781332098,95,5616,4596,74
1708781333178,95,5618,3976,74
1708781334258,95,5622,3725,73
1708781334978,95,5630,3009,73
1708781336058,95,5638,2568,73
1708781337138,95,5643,2533,72
1708781338217,95,5652,2315,72
1708781339297,95,5658,2110,72
1708781340017,94,5668,1998,72
1708781341097,94,5683,2691,72
1708781342177,94,5694,2996,72
1708781343257,94,5708,3109,72
1708781343977,94,5709,3375,72
1708781345058,94,5708,3436,72
1708781346137,94,5710,3423,72
1708781347217,94,5713,3279,72
1708781348298,94,5713,2414,72
1708781349016,95,5714,2384,72
1708781350096,95,5716,2034,71
1708781351176,95,5714,1781,71
1708781352256,95,5708,10308,71
1708781352976,95,5700,8622,71
1708781354056,95,5689,4650,71
1708781355137,95,5681,6779,71
1708781356216,95,5671,5380,72
1708781357296,95,5664,2518,72
1708781358016,95,5660,3010,72
1708781359097,95,5656,3210,72
1708781360175,95,5654,2865,72
1708781361255,95,5657,2645,72
1708781361975,95,5660,3001,72
1708781363055,95,5660,2794,72
1708781364136,95,5666,2523,72
1708781365215,95,5683,2128,72
1708781366295,95,5710,2108,72
1708781367015,95,5728,1994,72
1708781368096,94,5748,1580,72
1708781369175,94,5755,1601,72
1708781370254,93,5761,1616,72
1708781370974,93,5765,1384,72
1708781372054,93,5770,1296,71
1708781373136,93,5768,1731,72
1708781374214,93,5764,2045,72
1708781375294,93,5762,2131,71
1708781376014,93,5758,2040,71
1708781377094,93,5750,2236,71
