UTCTimestamp_ms,SpO2,DC_R,acc_power,HR
1709820269875,0,0,0,0
1709820270595,0,0,0,0
1709820271675,0,0,0,0
1709820272404,0,0,0,0
1709820273486,0,0,0,0
1709820274208,0,5113,38559,0
1709820275289,0,5098,21120,0
1709820276369,0,5098,64864,0
1709820277450,0,5093,23638,0
1709820278529,0,5088,46306,0
1709820279249,0,5087,58507,0
1709820280330,0,5086,55117,0
1709820281408,0,5085,43553,0
1709820282488,0,5086,10572,0
1709820283209,0,5087,49636,0
1709820284288,0,5086,23769,0
1709820285369,0,5089,47384,0
1709820286448,0,5093,31198,0
1709820287529,0,5093,2406,0
1709820288248,0,5087,55789,0
1709820289328,0,5085,47601,0
1709820290408,0,5085,32748,0
1709820291487,0,5107,27922,0
1709820292208,0,5104,24820,0
1709820293287,0,5112,17316,0
1709820294367,0,5112,14847,0
1709820295447,0,5109,13543,0
1709820296524,0,5115,10797,0
1709820297244,0,5114,9036,0
1709820298324,0,5120,5494,0
1709820299404,0,5103,4246,0
1709820300483,0,5103,4197,0
1709820301203,0,5108,3895,0
1709820302283,0,5105,0,0
1709820303363,0,5100,0,0
1709820304443,0,5115,0,0
1709820305523,0,5115,1569,0
1709820306243,0,5118,3677,0
1709820307322,0,5102,2862,0
1709820308402,0,5115,2457,0
1709820309483,0,5107,2077,0
1709820310203,0,5113,1916,0
1709820311283,0,5105,2070,0
1709820312363,0,5107,1692,0
1709820313443,0,5104,1747,0
1709820314523,0,5100,1774,0
1709820315244,0,5092,1880,0
1709820316322,0,5092,1765,0
1709820317402,0,5092,1650,0
1709820318482,0,5100,1600,0
1709820319202,0,5106,1578,0
1709820320282,0,5104,1485,0
1709820321362,0,5113,1429,0
1709820322443,0,5105,1555,0
1709820323522,0,5105,1686,0
1709820324242,0,4956,4314,0
1709820325321,0,4797,9694,0
1709820326401,0,4797,10968,0
1709820327481,0,4814,12756,0
1709820328201,0,4814,12775,0
1709820329281,0,4814,12801,0
1709820330361,0,4825,12901,0
1709820331441,0,4825,11882,0
1709820332521,0,4829,8302,0
1709820333239,0,4829,3212,0
1709820334320,0,4829,3247,0
1709820335400,0,4828,7848,0
1709820336480,0,4831,18615,0
1709820337200,0,4830,12053,0
1709820338280,0,4840,4904,61
1709820339360,0,4844,8809,61
1709820340440,0,4843,39298,61
1709820341518,0,4850,48641,61
1709820342238,0,4881,47684,60
1709820343319,0,4880,17959,60
1709820344398,0,4873,24877,60
1709820345479,0,4858,17002,58
1709820346199,0,5040,7447,0
1709820347279,0,4160,16579,0
1709820348359,0,4160,12138,0
1709820349439,0,4388,8493,0
1709820350172,0,4797,15758,0
1709820350891,0,6295,20589,0
1709820351971,0,6287,21807,0
1709820353051,0,6287,51157,0
1709820354131,0,6150,26141,0
1709820354851,0,6171,15038,0
1709820355932,0,6112,8439,0
1709820357012,0,6111,0,0
