UTCTimestamp_ms,SpO2,DC_R,acc_power,HR
1720982557472,0,0,0,0
1720982558192,0,0,0,0
1720982559272,0,0,0,0
1720982559994,0,0,0,0
1720982561074,0,0,0,0
1720982561794,0,0,0,0
1720982562874,0,5840,37395,2
1720982563954,0,5842,16707,1
1720982565034,0,5841,33947,1
1720982566114,0,5839,59529,0
1720982566834,0,5837,14975,0
1720982567914,0,5834,18372,0
1720982568994,0,5833,16178,0
1720982570075,0,5831,63246,0
1720982570794,0,5830,37913,0
1720982571874,0,5829,22917,0
1720982572954,0,5828,57089,0
1720982574034,0,5826,34590,0
1720982575114,0,5825,11562,0
1720982575834,0,5824,51942,0
1720982576914,0,5823,49246,0
1720982577994,0,5822,36627,0
1720982579074,0,5819,23408,0
1720982579794,0,5818,22239,0
1720982580874,0,5817,16822,0
1720982581954,0,5816,10683,0
1720982583034,0,5814,10359,0
1720982584114,0,5813,7857,0
1720982584834,0,5812,6876,0
1720982585914,0,5811,6461,0
1720982586994,0,5809,4939,0
1720982588074,0,5808,4628,0
1720982588794,0,5806,4146,0
1720982589874,0,5806,3737,0
1720982590954,0,5805,2397,0
1720982592034,0,5803,2544,0
1720982593114,0,5803,2097,0
1720982593834,0,5802,2022,0
1720982594914,0,5801,2643,0
1720982595994,0,5801,2690,0
1720982597074,0,5803,0,0
1720982597794,0,5802,4978,0
1720982598874,0,5802,5390,0
1720982599954,0,5747,4744,0
1720982601033,0,5896,4223,0
1720982602114,0,5890,3487,0
1720982602834,0,5890,2997,0
1720982603914,0,5801,2632,0
1720982604993,0,5796,2529,0
1720982606073,0,5795,2004,0
1720982606793,0,5805,1606,0
1720982607873,0,5822,1552,0
1720982608954,0,5815,1561,0
1720982610034,0,5798,1496,0
1720982611114,0,5797,1494,0
1720982611833,0,5797,1491,0
1720982612913,0,5798,1528,0
1720982613993,0,5770,2250,0
1720982615073,0,5716,2548,0
1720982615793,0,5716,2923,0
1720982616873,0,5805,3533,0
1720982617597,0,5811,4617,0
1720982618677,0,9143,6616,0
1720982619765,0,10073,8865,0
1720982620485,0,10073,0,0
1720982621568,0,10073,0,0
1720982622660,0,10073,0,0
1720982623725,0,10073,0,0
1720982624442,0,10073,0,0
1720982625529,0,10073,0,0
1720982626609,0,7863,37658,0
1720982627689,0,6859,11596,0
1720982628769,0,7003,40477,0
1720982629489,0,6956,47429,0
1720982630569,0,7288,669,0
1720982631647,0,6984,34802,0
1720982632727,0,6984,40163,0
1720982633445,0,6984,18419,0
1720982634525,0,6934,62139,0
1720982635605,0,6963,35535,0
1720982636685,0,6922,23877,0
1720982637765,0,6941,1485,0
1720982638484,0,6969,21780,0
1720982639564,0,7027,38595,0
1720982640644,0,7027,62246,0
1720982641724,0,7104,59050,0
1720982642444,0,7111,27740,0
1720982643524,0,7121,21126,0
1720982644604,0,7137,43956,0
1720982645682,0,7161,4530,0
1720982646762,0,7166,20303,0
1720982647483,0,7168,6899,0
1720982648562,0,7172,10184,0
1720982649642,0,7175,13852,0
1720982650722,0,7175,9541,0
1720982651442,0,7170,4511,0
1720982652521,0,7175,6220,0
1720982653601,0,7185,5381,0
1720982654681,0,7190,0,91
1720982655761,0,7207,0,90
1720982656481,0,7212,0,90
1720982657561,0,7219,0,90
1720982658641,0,7223,0,90
1720982659720,0,7226,0,90
1720982660440,0,7234,0,91
1720982661520,0,7242,9956,91
1720982662600,0,7254,17349,91
1720982663680,0,7258,10326,91
1720982664760,0,7266,10234,92
1720982665480,0,7272,6599,94
1720982666559,0,7270,8288,0
1720982667639,0,7263,3025,0
1720982668719,0,7256,6293,0
1720982669439,0,7247,7798,0
1720982670519,0,7255,3971,0
1720982671599,94,7256,4383,0
1720982672679,94,7263,5982,0
1720982673757,94,7263,3811,0
1720982674477,94,7272,4153,0
1720982675557,94,7276,7530,0
1720982676637,94,7284,7967,0
1720982677717,95,7301,17731,0
1720982678437,95,7307,0,95
1720982679518,95,7316,0,95
1720982680250,94,7319,0,94
1720982681330,93,7324,7814,94
1720982682410,93,7326,39389,94
1720982683130,92,7335,28293,94
1720982684210,92,7338,20349,93
1720982685290,92,7339,16742,93
1720982686371,93,7343,14414,94
1720982687088,93,7347,9139,95
1720982688168,93,7355,8109,95
1720982689248,93,7359,6612,95
1720982690329,93,7360,4399,95
1720982691408,93,7361,4219,95
1720982692129,92,7362,3671,94
1720982693208,92,7371,2763,93
1720982694287,91,7374,2876,93
1720982695367,91,7374,3000,93
