UTCTimestamp_ms,SpO2,DC_R,acc_power,HR
1723109106207,0,0,0,0
1723109106927,0,0,0,0
1723109108007,0,0,0,0
1723109109087,0,0,0,0
1723109110167,0,0,0,0
1723109110887,0,4507,0,0
1723109111610,0,4494,40930,0
1723109112690,0,4490,19611,0
1723109113770,0,4485,41955,0
1723109114850,0,4481,61999,0
1723109115570,0,4481,20074,0
1723109116650,0,4472,27786,0
1723109117730,0,4469,22259,0
1723109118811,0,4469,6819,0
1723109119530,0,4469,45179,0
1723109120610,96,4460,34605,0
1723109121690,97,4453,6967,0
1723109122770,97,4449,40268,0
1723109123850,96,4455,25193,0
1723109124570,97,4451,60119,0
1723109125650,97,4451,51959,0
1723109126730,97,4445,44235,0
1723109127810,96,4441,27376,0
1723109128530,96,4440,23478,0
1723109129610,96,4443,20017,0
1723109130690,97,4446,12298,0
1723109131771,97,4443,10446,0
1723109132851,97,4438,8947,0
1723109133570,96,4435,5752,0
1723109134651,96,4430,8992,0
1723109135731,97,4426,10453,0
1723109136810,97,4423,11201,0
1723109137531,96,4422,11949,0
1723109138610,96,4414,15518,0
1723109139690,97,4408,19661,0
1723109140770,97,4411,21939,0
1723109141850,97,4423,24764,0
1723109142570,97,4401,29303,0
1723109143650,97,4394,37798,0
1723109144731,0,4411,45146,0
1723109145811,0,4401,62507,0
1723109146531,0,4411,0,0
1723109147611,0,4413,0,0
1723109148691,0,4412,8354,0
1723109149771,0,4415,8307,0
1723109150851,0,4396,6152,0
1723109151570,0,4410,4948,0
1723109152651,0,4418,4148,0
1723109153731,0,4398,3563,0
1723109154811,0,4388,3249,0
1723109155531,0,4398,2118,0
1723109156611,0,4411,1579,0
1723109157691,0,4404,1320,0
1723109158771,0,4385,1141,0
1723109159851,0,4398,1153,0
1723109160571,0,4408,1203,0
1723109161651,0,4395,1337,0
1723109162731,0,4374,1349,0
1723109163811,0,4376,1354,0
1723109164531,0,4390,1309,0
1723109165611,0,4383,1290,0
1723109166691,0,4393,1104,0
1723109167771,0,4392,1088,0
1723109168851,0,4394,946,0
1723109169571,0,4380,1036,0
1723109170651,0,4389,1161,0
1723109171731,0,4390,1171,0
1723109172811,0,4387,9655,0
1723109173531,0,4379,10221,0
1723109174611,0,4373,41574,0
1723109175691,0,4382,2674,0
1723109176771,0,4380,2998,0
1723109177851,0,4377,17483,0
1723109178571,0,4355,48492,0
1723109179651,0,4357,45566,0
1723109180731,0,4353,7448,0
1723109181811,0,4354,24685,0
1723109182531,0,4353,13811,0
1723109183612,0,4360,6166,0
1723109184691,0,4348,12263,0
1723109185771,0,4350,6616,0
1723109186851,0,4354,3157,0
1723109187571,0,4364,5638,0
1723109188651,0,4358,3074,0
1723109189731,0,4359,2014,0
1723109190811,0,4341,2095,0
1723109191531,0,4345,1967,0
1723109192611,0,4364,1294,0
1723109193691,0,4366,1813,0
1723109194771,0,4353,2997,0
1723109195852,0,4337,5212,0
1723109196572,0,4350,4743,0
1723109197652,0,4350,3303,0
1723109198732,0,4351,3576,0
1723109199811,0,4358,4422,0
1723109200532,0,4353,9065,0
1723109201611,0,4356,1603,0
1723109202691,0,4367,1450,0
1723109203771,0,4360,1444,0
1723109204851,0,4350,1186,0
1723109205571,0,4336,1231,0
1723109206651,0,4335,1345,0
1723109207732,0,4349,1440,0
1723109208811,0,4352,1347,0
1723109209532,0,4329,1962,0
1723109210612,0,4336,1796,0
1723109211692,0,4353,1301,0
1723109212772,0,4329,1120,0
1723109213851,0,4344,1002,0
1723109214571,0,4343,1100,0
1723109215651,0,4334,1101,0
1723109216732,0,4338,1103,0
1723109217811,0,4333,1127,0
1723109218532,0,4340,1110,0
1723109219612,0,4340,1150,0
1723109220692,0,4329,1140,0
1723109221772,0,4335,1124,0
1723109222852,0,4327,1201,0
1723109223572,0,4326,1233,0
1723109224652,0,4335,1273,0
1723109225375,0,4326,1331,0
1723109226455,0,4318,1334,0
1723109227175,0,4323,1332,0
1723109228255,0,4324,1376,0
1723109229335,0,4320,1387,0
1723109230415,0,4321,1389,0
1723109231495,0,4324,1323,0
1723109232215,0,4315,1366,0
1723109233295,0,4315,1337,0
1723109234375,0,4314,1229,0
1723109235455,0,4326,1246,0
1723109236175,0,4323,1134,0
1723109237256,0,4312,1137,0
1723109238335,0,4316,1092,0
1723109239415,0,4330,1066,0
1723109240495,0,4314,994,0
1723109241215,0,4311,1081,0
1723109242295,0,4327,1359,0
1723109243375,0,4311,1341,0
1723109244455,0,4310,1402,0
1723109245175,0,4324,1320,0
1723109246255,0,4302,1403,0
1723109247336,0,4312,1366,0
1723109248415,0,4319,1221,0
1723109249496,0,4313,1070,0
1723109250215,0,4297,1105,0
1723109251295,0,4308,1211,0
1723109252375,0,4307,1348,0
1723109253455,0,4312,1304,0
1723109254175,0,4302,1430,0
1723109255255,0,4314,1354,0
1723109256336,0,4318,1341,0
1723109257415,0,4298,1185,0
1723109258496,0,4296,1216,0
1723109259216,0,4298,946,0
1723109260296,0,4307,1049,0
1723109261376,0,4313,981,0
1723109262455,0,4316,932,0
1723109263175,0,4315,1015,0
1723109264255,0,4302,1042,0
1723109265336,0,4293,1115,0
1723109266416,0,4293,1201,0
1723109267496,0,4303,1132,0
1723109268216,0,4295,1254,0
1723109269296,0,4296,1111,0
1723109270376,0,4308,1068,0
1723109271456,0,4299,1001,0
1723109272176,0,4295,1102,0
1723109273256,0,4288,1132,0
1723109274336,0,4289,1131,0
1723109275416,0,4291,1148,0
1723109276496,0,4286,1095,0
1723109277216,0,4284,1157,0
1723109278296,0,4284,1139,0
1723109279376,0,4285,1071,0
1723109280456,0,4294,1031,0
1723109281176,0,4292,1117,0
1723109282256,0,4290,1098,0
1723109283336,0,4299,1086,0
1723109284416,0,4304,1295,0
1723109285496,0,4282,1283,0
1723109286216,0,4286,1362,0
1723109287296,0,4290,1313,0
1723109288376,0,4293,1285,0
1723109289456,0,4289,1360,0
1723109290176,0,4296,1251,0
1723109291256,0,4294,1177,0
1723109292336,0,4289,1108,0
1723109293416,0,4293,1188,0
1723109294496,0,4292,1222,0
1723109295216,0,4288,1299,0
1723109296296,0,4284,1349,0
1723109297376,0,4286,1279,0
1723109298456,0,4296,1363,0
1723109299176,0,4289,1193,0
1723109300256,0,4280,1235,0
1723109301336,0,4287,1234,0
1723109302416,0,4295,1207,0
1723109303496,0,4296,1400,0
1723109304216,0,4288,1251,0
1723109305296,0,4278,1301,0
1723109306377,0,4287,1240,0
1723109307456,0,4292,1278,0
1723109308176,0,4278,1347,0
1723109309256,0,4294,1409,0
1723109310336,0,4280,1440,0
1723109311416,0,4277,1425,0
1723109312496,0,4285,1359,0
1723109313216,0,4295,1321,0
1723109314296,0,4273,1316,0
1723109315376,0,4281,1258,0
1723109316456,0,4293,1302,0
1723109317176,0,4282,1162,0
1723109318256,0,4293,1181,0
1723109319337,0,4281,1171,0
1723109320416,0,4290,1083,0
1723109321497,0,4279,967,0
1723109322217,0,4282,1063,0
1723109323296,0,4285,1118,0
1723109324376,0,4286,1190,0
1723109325456,0,4285,1132,0
1723109326176,0,4286,1151,0
1723109327256,0,4280,1118,0
1723109328337,0,4286,1092,0
1723109329416,0,4267,1079,0
1723109330496,0,4284,1152,0
1723109331217,0,4292,1163,0
1723109332297,0,4267,1228,0
1723109333377,0,4272,1311,0
1723109334101,0,4290,1458,0
1723109334820,0,4275,1376,0
1723109335900,0,4275,1377,0
1723109336980,0,4276,1288,0
1723109338060,0,4278,1294,0
1723109339140,0,4277,1503,0
1723109339860,0,4281,1491,0
1723109340940,0,4273,1623,0
1723109342020,0,4275,1639,0
1723109343100,0,4269,1633,0
1723109343820,0,4283,1683,0
