UTCTimestamp_ms,SpO2,DC_R,acc_power,HR
1722789234207,0,0,0,0
1722789234927,0,0,0,0
1722789236007,0,0,0,0
1722789237086,0,0,0,0
1722789238166,0,0,0,0
1722789238886,0,0,0,0
1722789239609,0,5327,42416,0
1722789240689,0,5327,48559,0
1722789241769,0,5367,35189,0
1722789242850,0,5367,8286,0
1722789243570,0,5367,62372,0
1722789244649,0,5329,12430,0
1722789245730,0,5318,47096,0
1722789246811,0,5324,34596,0
1722789247530,0,5318,56395,0
1722789248610,0,5318,0,0
1722789249690,0,5315,59820,0
1722789250770,0,5312,47932,0
1722789251850,0,5302,9899,0
1722789252570,0,5294,39972,0
1722789253649,0,5296,2151,0
1722789254730,0,5296,23540,0
1722789255810,0,5290,2462,0
1722789256530,0,5286,36341,0
1722789257610,0,5282,18324,0
1722789258690,0,5280,56245,0
1722789259770,0,5276,13778,0
1722789260850,0,5272,64397,0
1722789261570,0,5267,44991,0
1722789262650,0,5266,64865,0
1722789263730,0,5262,62133,0
1722789264810,0,5258,43374,0
1722789265530,0,5254,29516,0
1722789266610,0,5251,28296,0
1722789267690,0,5251,19548,0
1722789268770,0,5246,13429,0
1722789269850,0,5242,12905,0
1722789270570,0,5238,8951,0
1722789271650,0,5239,6318,0
1722789272730,0,5234,6058,0
1722789273811,0,5230,3596,0
1722789274530,0,5226,2716,0
1722789275610,0,5224,2271,0
1722789276690,0,5218,1519,0
1722789277770,0,5219,1571,0
1722789278850,0,5214,1503,0
1722789279570,0,5212,1354,0
1722789280650,0,5211,1187,0
1722789281730,0,5211,1159,0
1722789282811,0,5211,989,0
1722789283530,0,5203,924,0
1722789284610,0,5202,812,0
1722789285691,0,5201,821,0
1722789286770,0,5199,925,0
1722789287851,0,5195,866,0
1722789288570,0,5193,878,0
1722789289650,0,5193,1958,0
1722789290730,0,5190,3455,0
1722789291810,0,5189,6685,0
1722789292530,0,5185,9248,0
1722789293610,0,5184,10527,0
1722789294690,0,5182,10976,0
1722789295770,0,5180,11128,0
1722789296851,0,5181,10978,0
1722789297570,0,5178,9584,0
1722789298651,0,5176,6537,0
1722789299730,0,5174,4194,0
1722789300810,0,5172,4682,0
1722789301530,0,5169,36299,0
1722789302610,0,5166,36161,0
1722789303690,0,5166,1681,0
1722789304770,0,5167,1230,0
1722789305850,0,5164,1107,0
1722789306570,0,5160,940,0
1722789307650,0,5163,886,0
1722789308730,0,5158,1046,0
1722789309811,0,5157,1124,0
1722789310531,0,5155,34967,0
1722789311611,0,5153,23370,0
1722789312690,0,5154,7532,0
1722789313770,0,5152,24338,0
1722789314850,0,5152,62546,0
1722789315570,0,5148,37647,0
1722789316650,0,5146,63993,0
1722789317730,0,5145,33415,0
1722789318811,0,5144,19168,0
1722789319531,0,5143,33150,0
1722789320611,0,5142,16243,0
1722789321691,0,5138,8526,0
1722789322771,0,5138,12210,0
1722789323850,0,5136,2142,0
1722789324571,0,5135,6719,0
1722789325650,0,5134,5584,0
1722789326730,0,5133,1726,0
1722789327811,0,5130,3725,0
1722789328530,0,5131,2727,0
1722789329611,0,5130,1465,0
1722789330691,0,5128,1878,0
1722789331771,0,5128,1606,0
1722789332851,0,5127,1332,0
1722789333570,0,5125,1263,0
1722789334650,0,5124,1129,0
1722789335730,0,5123,962,0
1722789336811,0,5119,1052,0
1722789337530,0,5120,1165,0
1722789338611,0,5120,1372,0
1722789339691,0,5115,1422,0
1722789340771,0,5115,1484,0
1722789341851,0,5116,1581,0
1722789342571,0,5114,1595,0
1722789343651,0,5115,1499,0
1722789344374,0,5112,1438,0
1722789345454,0,5111,1152,0
1722789346174,0,5110,1133,0
1722789347254,0,5110,1101,0
1722789348334,0,5110,1105,0
1722789349414,0,5108,1169,0
1722789350494,0,5107,2011,0
1722789351214,0,5106,2796,0
1722789352294,0,5102,3276,0
1722789353374,0,5104,5576,0
1722789354454,0,5104,1837,0
1722789355174,0,5105,2547,0
1722789356254,0,5104,1497,0
1722789357334,0,5101,1292,0
1722789358414,0,5101,1431,0
1722789359494,0,5100,1064,0
1722789360214,0,5099,1055,0
1722789361294,0,5097,1081,0
1722789362374,0,5096,1009,0
1722789363454,0,5096,1074,0
1722789364174,0,5092,1223,0
1722789365254,0,5094,1281,0
1722789366334,0,5094,1637,0
1722789367414,0,5095,1700,0
1722789368494,0,5090,1802,0
1722789369214,0,5092,1891,0
1722789370294,0,5094,1713,0
1722789371374,0,5093,1656,0
1722789372454,0,5090,1279,0
1722789373174,0,5089,1251,0
1722789374254,0,5089,1234,0
1722789375334,0,5087,1152,0
1722789376415,0,5089,1194,0
1722789377494,0,5085,1185,0
1722789378214,0,5087,1156,0
1722789379294,0,5087,1158,0
1722789380374,0,5086,1055,0
1722789381454,0,5084,966,0
1722789382174,0,5082,1051,0
1722789383254,0,5083,1112,0
1722789384334,0,5082,1270,0
1722789385415,0,5081,1403,0
1722789386495,0,5081,1479,0
1722789387214,0,5083,1672,0
1722789388294,0,5080,1737,0
1722789389374,0,5078,1747,0
1722789390454,0,5078,1634,0
1722789391174,0,5077,1622,0
1722789392254,0,5079,1368,0
1722789393335,0,5076,1169,0
1722789394415,0,5078,1026,0
1722789395495,0,5079,1037,0
1722789396215,0,5074,1119,0
1722789397295,0,5073,1033,0
1722789398374,0,5075,1182,0
1722789399454,0,5074,1315,0
1722789400174,0,5074,1320,0
1722789401254,0,5075,1350,0
1722789402335,0,5073,1288,0
1722789403415,0,5072,1351,0
1722789404495,0,5070,1354,0
1722789405215,0,5070,1409,0
1722789406295,0,5070,1331,0
1722789407375,0,5072,1375,0
1722789408455,0,5069,1460,0
1722789409175,0,5068,1346,0
1722789410254,0,5071,1227,0
1722789411335,0,5069,1281,0
1722789412415,0,5070,1236,0
1722789413495,0,5070,1299,0
1722789414215,0,5069,1272,0
1722789415295,0,5067,1424,0
1722789416375,0,5069,1404,0
1722789417455,0,5066,1387,0
1722789418175,0,5066,1274,0
1722789419255,0,5065,1112,0
1722789420335,0,5064,1073,0
1722789421415,0,5067,1091,0
1722789422495,0,5067,1210,0
1722789423215,0,5063,1326,0
1722789424295,0,5064,1393,0
1722789425375,0,5066,1391,0
1722789426455,0,5066,1369,0
1722789427175,0,5064,1646,0
1722789428255,0,5066,1318,0
1722789429335,0,5064,1308,0
1722789430415,0,5063,1356,0
1722789431495,0,5062,1319,0
1722789432215,0,5063,1386,0
1722789433295,0,5062,1432,0
1722789434375,0,5062,1356,0
1722789435455,0,5062,1292,0
1722789436175,0,5062,1111,0
1722789437255,0,5061,1062,0
1722789438335,0,5062,1052,0
1722789439415,0,5059,983,0
1722789440138,0,5058,905,0
1722789440858,0,5060,767,0
1722789441939,0,5058,1130,0
1722789443018,0,5060,1326,0
1722789444098,0,5060,1489,0
1722789444819,0,5061,1621,0
1722789445898,0,5058,1771,0
1722789446979,0,5061,1693,0
1722789448059,0,5057,1623,0
1722789449139,0,5058,1538,0
1722789449859,0,5055,1177,0
1722789450939,0,5058,1197,0
1722789452018,0,5057,1052,0
1722789453098,0,5055,972,0
1722789453819,0,5057,979,0
1722789454898,0,5057,1059,0
1722789455979,0,5057,1126,0
1722789457059,0,5055,1177,0
1722789458139,0,5052,1339,0
1722789458859,0,5054,1224,0
1722789459939,0,5055,1193,0
1722789461018,0,5055,1225,0
1722789462098,0,5053,1152,0
1722789462819,0,5054,1237,0
1722789463898,0,5054,1558,0
1722789464979,0,5051,1559,0
1722789466059,0,5052,1605,0
1722789467138,0,5053,1675,0
1722789467859,0,5054,1661,0
1722789468939,0,5053,1511,0
1722789470019,0,5052,1310,0
1722789471099,0,5053,1367,0
1722789471819,0,5054,1415,0
1722789472899,0,5052,1275,0
1722789473980,0,5053,1479,0
1722789475059,0,5051,1413,0
1722789476138,0,5050,1410,0
1722789476859,0,5056,1918,0
1722789477939,0,5068,9110,0
1722789479019,0,5068,14047,0
1722789480099,0,5068,16367,0
1722789480819,0,5068,19639,0
1722789481899,0,5068,24560,0
1722789482979,0,5069,32538,0
1722789484059,0,5070,42479,0
1722789485139,0,5069,40351,0
1722789485860,0,5067,3430,0
1722789486939,0,5068,4653,0
1722789488019,0,5067,42558,0
1722789489099,0,5067,42608,0
1722789489819,0,5066,42592,0
1722789490899,0,5066,42536,0
1722789491979,0,5068,42526,0
1722789493058,0,5067,42518,0
1722789494139,0,5069,7430,0
1722789494858,0,5067,3280,0
1722789495939,0,5069,4072,0
1722789497019,0,5066,1858,0
1722789498099,0,5066,3397,0
1722789498819,0,5065,10069,0
1722789499899,0,5064,8248,0
1722789500979,0,5066,5967,0
1722789502058,0,5067,4520,0
1722789503139,0,5065,3851,0
1722789503859,0,5065,3321,0
1722789504939,0,5063,2515,0
1722789506019,0,5066,1652,0
1722789507099,0,5066,1573,0
1722789507819,0,5066,1334,0
1722789508899,0,5062,1049,0
1722789509979,0,5063,1120,0
1722789511059,0,5064,1278,0
1722789512139,0,5064,1264,0
1722789512859,0,5064,1371,0
1722789513939,0,5065,1907,0
1722789515019,0,5065,3821,0
1722789516099,0,5062,2931,0
