UTCTimestamp_ms,SpO2,DC_R,acc_power,HR
1721417301494,0,0,0,0
1721417302215,0,0,0,0
1721417303294,0,0,0,0
1721417304374,0,0,0,0
1721417305454,0,0,0,0
1721417306174,0,0,0,0
1721417307254,0,0,3026,2
1721417308334,0,7306,62883,0
1721417309414,0,7230,58748,0
1721417310494,0,7344,35772,0
1721417311214,0,7359,29819,0
1721417311938,0,7359,53658,0
1721417313018,0,7111,28456,0
1721417314098,0,6932,15138,0
1721417314817,0,7154,29810,0
1721417315897,0,7179,0,0
1721417316978,0,7179,0,0
1721417318057,0,7179,0,0
1721417319138,0,7048,0,0
1721417319857,0,6939,0,0
1721417320938,0,7094,0,0
1721417322018,0,7094,0,0
1721417323098,0,7284,0,0
1721417323818,0,7276,0,0
1721417324898,0,7269,0,0
1721417325978,0,7263,39636,0
1721417327058,0,7252,27974,0
1721417328138,0,7238,23708,0
1721417328858,0,7221,20226,0
1721417329938,0,7215,17709,0
1721417331018,0,7201,15976,0
1721417332098,0,7190,13799,0
1721417332818,0,7180,12884,0
1721417333898,0,7169,11332,0
1721417334978,0,7160,10144,0
1721417336058,0,7148,8943,0
1721417337138,0,7137,4967,0
1721417337858,0,7135,3801,0
1721417338938,0,7131,3120,0
1721417340019,0,7129,2636,0
1721417341098,0,7126,1904,0
1721417341818,0,7118,1419,0
1721417342898,0,7109,1475,0
1721417343978,0,7095,2403,0
1721417345058,0,7050,3172,0
1721417346138,88,7070,3850,0
1721417346858,88,7070,4536,0
1721417347938,88,7070,4521,0
1721417349018,88,7070,4503,0
1721417350098,88,7044,4216,0
1721417350819,88,7003,4071,0
1721417351898,87,7006,3112,0
1721417352979,87,7006,2632,0
1721417354059,87,7011,1988,0
1721417355139,87,7021,2144,0
1721417355859,87,7004,1993,0
1721417356938,87,7000,1769,0
1721417358019,87,6994,1730,0
1721417359098,87,6991,1820,0
1721417359819,87,7000,1763,0
1721417360898,87,6987,1555,0
1721417361979,87,6981,1419,62
1721417363059,88,6974,1382,61
1721417364139,88,6956,1310,61
1721417364859,88,6956,1926,60
1721417365939,0,6800,35019,60
1721417367019,0,7601,41384,62
1721417368099,0,7760,24092,0
1721417368819,0,7760,5068,0
1721417369899,0,7354,11269,0
1721417370984,0,7354,30698,0
1721417372066,0,7354,0,0
1721417373148,0,7354,0,0
1721417373867,0,7354,0,0
1721417374944,0,7354,0,0
1721417376024,0,7354,0,0
1721417377108,0,6966,0,0
1721417377828,95,6745,0,0
1721417378909,95,6745,0,0
1721417379989,95,6941,0,0
1721417381069,95,7037,0,58
1721417382149,95,6901,0,58
1721417382869,95,7389,0,60
1721417383949,95,7200,0,60
1721417385029,95,7200,0,54
1721417386106,95,6932,0,68
1721417386826,95,6932,0,63
1721417387906,95,6820,0,63
1721417388986,95,6826,21563,63
1721417390066,95,6856,13480,63
1721417391146,95,6879,9836,62
1721417391866,95,6974,5993,62
1721417392946,95,6982,8470,62
1721417394026,95,7003,4981,62
1721417395106,95,7011,4368,62
1721417395826,95,6966,4806,62
1721417396906,95,7000,6727,62
1721417397986,96,7000,10183,62
1721417399067,96,7000,10994,63
1721417400147,96,6842,11624,63
1721417400865,97,6850,11749,65
1721417401945,97,6776,13544,64
1721417403025,97,6756,13423,64
1721417404105,97,6756,11047,64
1721417404826,97,6760,9849,64
1721417405905,97,6729,9077,64
1721417406986,98,6728,8769,64
1721417408066,97,6727,5796,64
1721417409146,97,6698,4528,64
1721417409866,97,6681,3014,64
1721417410946,97,6699,2259,64
1721417412026,97,6692,2096,64
1721417413106,96,6680,2201,64
1721417413826,96,6692,2421,64
1721417414906,96,6673,2728,64
1721417415987,95,6784,2689,65
1721417417066,95,6833,2763,65
1721417418146,95,6869,3027,65
1721417418866,95,6930,2803,65
1721417419946,95,6936,2893,65
1721417421026,95,6948,2455,65
1721417422106,95,6974,2343,65
1721417422826,95,6960,2329,65
1721417423906,96,6930,2122,64
1721417424986,96,6934,2120,64
1721417426066,96,6919,2003,64
1721417427145,96,6895,1795,64
1721417427865,96,6896,6925,64
1721417428945,96,6896,2057,64
1721417430025,96,6887,1891,64
1721417431105,96,6877,1819,63
1721417431825,96,6860,1789,63
1721417432905,96,6886,1703,63
1721417433985,95,6892,1691,64
1721417435065,95,6872,1778,64
1721417436145,95,6883,1785,64
1721417436865,95,6865,2161,64
1721417437945,95,6812,2235,64
