UTCTimestamp_ms,SpO2,DC_R,acc_power,HR
1722966387149,0,0,0,0
1722966387869,0,0,0,0
1722966388949,0,0,0,0
1722966390029,0,0,0,0
1722966391109,0,0,0,0
1722966391829,0,0,0,0
1722966392552,0,6917,37064,0
1722966393632,0,6917,29353,0
1722966394712,0,6917,16605,0
1722966395792,0,6917,47406,0
1722966396512,0,6917,210,0
1722966397592,0,7013,17561,0
1722966398672,0,7013,20655,0
1722966399753,0,7011,4268,0
1722966400472,0,7008,41047,0
1722966401552,0,7005,63512,0
1722966402632,0,7005,36953,0
1722966403712,0,6999,59041,0
1722966404792,0,6996,28357,0
1722966405512,0,6990,12457,0
1722966406592,0,6988,61424,0
1722966407672,0,6983,43341,0
1722966408752,0,6980,36445,0
1722966409472,0,6977,28879,0
1722966410552,0,6975,20054,0
1722966411632,0,6969,16327,0
1722966412713,0,6968,12740,0
1722966413793,0,6961,8822,0
1722966414512,0,6961,7096,0
1722966415592,0,6956,4559,0
1722966416672,0,6956,8031,0
1722966417753,0,6867,14641,0
1722966418472,0,6867,19199,0
1722966419552,0,6867,22377,0
1722966420632,0,6816,22949,0
1722966421712,0,6811,24362,0
1722966422793,0,6803,26205,0
1722966423512,0,6801,29020,0
1722966424592,0,6796,27165,0
1722966425673,0,6790,26697,0
1722966426753,0,6786,31295,0
1722966427472,0,6784,45202,0
1722966428552,0,6779,0,0
1722966429632,0,6777,0,0
1722966430712,0,6777,2403,0
1722966431793,0,6777,2262,0
1722966432512,95,6777,2335,0
1722966433592,95,6764,1961,0
1722966434672,95,6759,2488,0
1722966435753,95,6743,4034,0
1722966436472,95,6703,5792,0
1722966437553,95,6798,6595,0
1722966438633,95,6789,6760,0
1722966439712,96,6741,7158,0
1722966440793,96,6744,7250,0
1722966441512,95,6734,6585,0
1722966442592,95,6734,4971,0
1722966443672,95,6736,3831,0
1722966444753,94,6728,3484,0
1722966445473,94,6729,3028,0
1722966446553,94,6727,2190,0
1722966447633,94,6724,1900,61
1722966448713,93,6727,1720,60
1722966449792,93,6717,1597,61
1722966450512,93,6687,1569,61
1722966451593,92,6725,2090,59
1722966452673,92,6689,3531,59
1722966453753,92,6688,19471,0
1722966454473,93,6733,64975,0
1722966455553,93,6733,56537,0
1722966456636,93,6992,34180,0
1722966457717,93,6928,27485,0
1722966458798,93,7242,49002,0
1722966459517,93,7116,13418,0
1722966460594,93,7116,13418,0
1722966461675,94,7116,13418,0
1722966462757,94,7116,13418,0
1722966463477,95,6880,65443,0
1722966464558,95,6880,51943,0
1722966465637,95,6926,60940,0
1722966466717,95,6954,12363,0
1722966467796,94,6991,31668,0
1722966468516,94,7043,3009,0
1722966469596,94,7060,30446,0
1722966470676,95,7071,38236,60
1722966471756,95,7084,46325,60
1722966472475,95,7096,47216,60
1722966473555,95,7117,37262,61
1722966474635,95,7140,29175,61
1722966475715,95,7160,25199,59
1722966476795,95,7183,21641,58
1722966477516,95,7197,19687,58
1722966478595,95,7209,11902,58
1722966479675,95,7226,8992,58
1722966480755,95,7243,10951,58
1722966481475,95,7255,13064,59
1722966482555,95,7267,8627,58
1722966483635,95,7282,8172,58
1722966484714,95,7299,5860,57
1722966485794,95,7315,8971,57
1722966486514,95,7329,4667,57
1722966487594,94,7342,3552,59
1722966488674,94,7350,2879,59
1722966489754,94,7354,2598,59
1722966490474,94,7366,1463,59
1722966491554,94,7381,45426,0
1722966492634,94,7388,53684,0
1722966493714,94,7375,73,0
1722966494794,95,7372,8271,0
1722966495514,96,7372,32858,0
1722966496594,97,7372,16512,0
1722966497329,97,7384,26162,0
1722966498407,97,7395,17403,0
1722966499128,96,7406,28361,0
1722966500207,97,7412,18859,60
1722966501287,96,7417,59228,60
1722966502367,96,7431,39086,60
1722966503447,96,7443,32752,60
1722966504167,96,7445,27385,60
1722966505247,96,7448,23658,60
1722966506327,95,7458,15817,60
1722966507407,95,7466,11492,60
1722966508127,95,7476,10702,60
1722966509207,95,7484,7050,60
1722966510289,95,7491,5315,60
1722966511366,95,7494,5102,60
1722966512446,95,7495,3350,60
1722966513166,95,7498,2399,60
1722966514246,95,7506,1770,59
1722966515326,96,7514,2087,59
1722966516406,96,7523,2961,59
1722966517126,95,7532,1580,59
1722966518206,95,7539,1539,59
1722966519286,95,7544,1585,59
1722966520366,94,7548,1543,60
1722966521446,94,7549,1635,60
1722966522166,93,7548,1721,60
1722966523246,93,7549,1760,60
1722966524325,93,7551,1693,60
1722966525405,93,7556,1700,60
1722966526125,94,7556,2065,60
1722966527205,94,7554,2231,61
1722966528285,95,7553,2171,60
1722966529365,95,7553,2167,60
1722966530445,96,7556,2172,60
1722966531165,96,7565,2176,60
1722966532245,96,7565,8147,60
1722966533325,96,7571,9575,60
1722966534405,97,7577,4031,60
1722966535125,97,7588,3635,60
1722966536205,97,7598,4730,60
1722966537285,97,7608,2457,60
1722966538364,97,7629,2480,60
1722966539444,97,7632,2194,60
1722966540164,97,7634,1595,60
1722966541244,96,7635,1638,60
1722966542324,96,7632,2087,60
1722966543404,96,7630,1800,60
1722966544124,96,7626,2433,60
1722966545204,95,7622,1647,61
1722966546284,95,7618,1646,62
1722966547364,95,7619,1748,62
1722966548445,95,7620,1832,63
1722966549165,95,7621,1659,63
1722966550244,95,7620,1649,63
1722966551323,95,7623,1691,62
1722966552403,95,7623,41218,62
1722966553123,95,7624,1741,62
1722966554203,95,7627,1672,63
1722966555283,95,7642,1554,63
1722966556363,94,7650,1463,63
1722966557443,94,7654,1427,63
1722966558163,94,7656,1398,63
1722966559244,94,7659,1206,0
1722966560324,94,7660,1216,0
1722966561404,94,7663,17454,0
1722966562124,94,7538,2568,0
1722966563204,94,7585,16637,0
1722966564284,94,7588,19252,0
1722966565362,94,7588,4711,0
1722966566443,94,7572,36420,0
1722966567163,94,7587,30676,0
1722966568243,0,7598,5874,0
1722966569323,0,7605,17507,0
1722966570402,0,7620,9552,0
1722966571123,0,7632,1856,63
1722966572202,0,7638,7961,63
1722966573283,0,7645,6342,63
1722966574363,0,7651,6403,63
1722966575443,0,7653,4082,62
1722966576163,0,7657,4793,62
1722966577243,0,7660,7484,61
1722966578323,0,7660,4354,60
1722966579401,0,7664,5499,60
1722966580121,0,7649,2649,0
1722966581201,0,7649,5116,0
1722966582282,0,7583,7880,0
1722966583362,95,7581,6107,0
1722966584442,95,7626,8628,0
1722966585162,95,7661,5226,0
1722966586242,95,7702,12660,0
1722966587322,95,7716,6649,62
1722966588402,95,7744,7089,63
1722966589122,95,7767,2759,63
1722966590202,95,7801,8043,62
1722966591282,95,7820,4837,62
1722966592362,95,7838,5144,62
1722966593440,95,7857,13982,62
1722966594160,94,7863,11223,62
1722966595240,94,7863,9615,62
1722966596320,94,7865,8083,62
1722966597400,94,7866,6785,62
1722966598120,95,7864,5413,62
1722966599200,95,7854,4603,62
1722966600281,95,7848,3756,62
1722966601361,96,7838,2836,61
1722966602441,96,7829,2149,61
1722966603161,96,7824,2328,61
1722966604241,96,7823,2314,61
1722966605321,96,7821,2548,61
1722966606401,96,7814,2952,61
1722966607119,96,7809,3624,60
1722966608199,96,7805,4636,60
1722966609279,96,7802,5469,60
1722966610360,96,7810,8519,60
1722966611439,96,7797,6669,59
1722966612160,96,7787,38189,60
1722966613240,96,7786,26489,60
1722966614320,97,7795,19825,0
1722966615400,97,7801,19815,0
1722966616120,97,7796,19812,0
1722966617200,96,7795,19810,0
1722966618280,0,7797,15156,0
1722966619360,0,7800,17037,0
1722966620440,0,7805,18223,0
1722966620814,0,7805,0,0
1722966621893,0,7803,0,62
1722966622973,0,7802,0,62
1722966624053,0,7801,0,62
1722966624773,0,7793,0,62
1722966625854,0,7783,0,0
1722966626934,0,7799,0,0
1722966628013,0,7776,0,0
1722966629093,0,7660,0,0
1722966629814,0,7659,0,0
1722966630893,0,7659,0,0
1722966631973,0,7633,0,0
1722966633054,0,7645,0,0
1722966633774,0,7666,0,0
1722966634852,0,7688,0,63
1722966635932,0,7700,0,63
1722966637012,0,7763,0,0
1722966638092,0,7717,0,0
1722966638813,0,7755,0,0
1722966639892,0,7771,0,0
1722966640972,0,7808,0,0
1722966642052,0,7810,0,0
1722966642772,0,7820,0,0
1722966643852,0,7823,0,0
1722966644933,95,7881,0,0
1722966646012,95,7869,0,0
1722966647092,95,7869,0,0
1722966647813,95,7869,0,0
1722966648891,95,7881,0,0
1722966649971,95,7894,0,0
1722966651051,95,7906,0,0
1722966651772,96,7922,0,0
1722966652851,96,7929,0,0
1722966653931,95,7926,23478,0
1722966655010,95,7912,41819,0
1722966656091,95,7892,31423,0
1722966656811,94,7875,23353,80
1722966657890,94,7881,17401,80
1722966658971,94,7892,14663,79
1722966660051,94,7902,12777,78
1722966660771,94,7906,9595,78
1722966661851,94,7909,6811,75
1722966662930,94,7908,6071,74
1722966664009,94,7901,4889,73
1722966665089,94,7905,4289,76
1722966665810,94,7919,3659,75
1722966666889,95,7931,3348,75
1722966667970,95,7941,2551,74
1722966669050,95,7945,2514,73
1722966669770,96,7948,2531,69
1722966670850,96,7950,2517,63
1722966671930,96,7955,2754,64
1722966673010,96,7958,4138,64
1722966674090,96,7958,4598,63
1722966674810,96,7951,3579,63
1722966675890,96,7951,2513,63
1722966676969,96,7945,4072,0
1722966678049,96,7932,4657,0
1722966678769,96,7968,5458,0
1722966679849,96,7931,6765,0
1722966680930,96,7827,9342,0
1722966682009,96,7827,22409,0
1722966683089,96,7883,0,0
1722966683810,96,7920,0,0
1722966684889,96,8014,0,0
1722966685969,0,8014,0,0
1722966687050,0,8034,0,0
1722966687769,0,8062,0,0
1722966688849,0,8053,0,0
1722966689930,0,8037,0,0
1722966691008,0,8067,0,0
1722966692088,0,8038,0,0
1722966692808,0,8045,0,0
1722966693888,0,8106,0,0
1722966694968,0,8072,0,0
1722966696048,0,8123,0,0
1722966696768,0,8086,0,0
1722966697848,0,8086,0,0
1722966698929,0,8130,0,0
1722966700008,0,8130,0,0
1722966701088,0,8130,0,0
1722966701808,0,8130,0,0
1722966702888,0,8125,0,0
1722966703968,0,8125,0,0
1722966705047,0,8134,0,0
1722966705767,0,8136,0,0
1722966706847,0,8140,0,68
1722966707927,0,8147,0,67
1722966709007,0,8158,0,67
1722966710087,0,8169,0,74
1722966710807,0,8169,54803,72
1722966711887,0,8171,33931,72
1722966712967,0,8194,23035,0
1722966714047,0,8194,23035,0
1722966714767,0,8153,23035,0
1722966715847,0,8059,22876,0
1722966716928,0,8025,22164,0
1722966718007,0,8025,14958,0
1722966719086,0,8025,30601,0
1722966719806,0,8074,21940,0
1722966720886,0,8081,15547,0
1722966721966,0,8081,21761,70
1722966723046,0,8081,13900,70
1722966723766,95,8137,42345,70
1722966724846,95,8194,38021,69
1722966725927,95,8211,29383,69
1722966727006,95,8223,23721,69
1722966728086,95,8230,20241,70
1722966728806,95,8236,17311,69
1722966729886,95,8227,13504,68
1722966730966,96,8222,9028,68
1722966732046,96,8219,7076,66
1722966732765,96,8211,5979,63
1722966733845,95,8215,4446,61
1722966734925,0,8211,4153,61
1722966736005,0,8184,4351,62
1722966737085,0,8162,4108,63
1722966737805,0,8148,11886,62
1722966738885,0,8146,17039,61
1722966739965,0,8076,0,62
1722966741045,96,8081,0,61
1722966741765,96,8182,0,59
1722966742845,96,8163,0,59
1722966743925,96,8074,0,60
1722966745005,96,8074,0,60
1722966745738,96,8180,0,61
1722966746460,96,8149,0,60
1722966747538,96,8113,0,60
1722966748619,96,8128,0,60
1722966749699,97,8128,0,60
1722966750418,97,8106,0,60
1722966751499,97,8108,0,60
1722966752578,97,8115,0,60
1722966753658,96,8123,35262,61
1722966754738,96,8125,28665,60
1722966755458,95,8125,22812,61
1722966756538,95,8124,17875,61
1722966757618,95,8124,15200,61
1722966758698,94,8123,13114,61
1722966759416,94,8120,10609,60
1722966760497,94,8116,9144,61
1722966761577,94,8112,5898,61
1722966762657,94,8109,4885,59
1722966763737,95,8107,4315,60
1722966764457,95,8108,2613,60
1722966765537,95,8109,2171,59
1722966766617,95,8111,1511,59
1722966767697,95,8112,1331,58
1722966768417,95,8109,1349,59
1722966769497,95,8106,1454,59
1722966770577,95,8104,1415,58
1722966771657,95,8106,5992,58
1722966772737,95,8104,3462,58
1722966773456,95,8102,2042,58
1722966774536,95,8102,1625,58
1722966775616,95,8103,1555,59
1722966776696,96,8103,1479,59
1722966777416,96,8104,1351,59
1722966778496,96,8108,1352,59
1722966779576,95,8115,1206,59
1722966780656,95,8119,1232,60
1722966781736,95,8123,1243,60
1722966782456,95,8127,1239,60
1722966783537,95,8127,1189,60
1722966784616,95,8129,6759,60
1722966785696,95,8138,6711,60
1722966786416,95,8158,3019,60
1722966787495,95,8170,3676,60
1722966788575,95,8176,3058,60
1722966789655,95,8175,1741,60
1722966790735,95,8169,2031,60
1722966791455,95,8165,1565,61
1722966792535,95,8165,1425,62
1722966793615,95,8162,1795,62
1722966794695,94,8161,1485,63
1722966795415,94,8160,1512,63
1722966796495,94,8158,1546,62
1722966797575,94,8153,1474,60
1722966798655,94,8150,1489,60
1722966799735,95,8143,1616,61
1722966800456,95,8129,1704,60
1722966801534,95,8115,1606,60
1722966802614,96,8106,1450,60
1722966803694,96,8095,1572,59
1722966804414,96,8087,1537,59
1722966805494,96,8082,1430,58
1722966806574,96,8074,1363,57
1722966807654,95,8072,1350,57
1722966808734,95,8066,1282,58
1722966809454,95,8063,1215,59
1722966810535,95,8057,1175,58
1722966811614,95,8052,1336,58
1722966812694,95,8047,1288,59
1722966813415,95,8040,7042,60
1722966814494,95,8039,2772,60
1722966815573,95,8040,5321,62
1722966816653,95,8037,3333,64
1722966817733,95,8034,1821,64
1722966818453,95,8034,3057,61
1722966819533,95,8033,1937,59
1722966820613,95,8034,1461,59
1722966821693,96,8033,1567,59
1722966822413,96,8039,1314,58
1722966823493,96,8046,1157,57
1722966824573,96,8047,1073,57
1722966825653,96,8049,1177,58
1722966826734,96,8048,1407,58
1722966827454,95,8048,1488,58
1722966828534,95,8046,1377,58
1722966829612,95,8047,1420,58
1722966830692,95,8049,1470,58
1722966831412,95,8047,1375,57
1722966832492,95,8042,1171,57
1722966833572,95,8037,1059,58
1722966834652,95,8033,1008,59
1722966835733,95,8034,918,58
1722966836452,95,8034,873,57
1722966837533,95,8034,1008,58
1722966838612,95,8039,996,58
1722966839693,94,8048,1044,58
1722966840413,94,8051,1002,58
1722966841493,93,8051,968,58
1722966842573,93,8045,937,58
1722966843651,93,8043,924,58
1722966844731,93,8039,994,57
1722966845451,93,8033,984,57
1722966846531,93,8033,990,58
1722966847611,93,8029,1105,57
1722966848691,93,8023,1329,58
1722966849411,93,8019,1410,58
1722966850491,94,8016,1456,58
1722966851572,94,8016,1448,58
1722966852652,94,8016,1541,58
1722966853732,94,8016,1469,59
1722966854452,94,8016,1402,58
1722966855532,95,8013,1479,58
1722966856612,95,8009,1359,59
1722966857690,95,8009,1296,59
1722966858410,95,8009,1162,59
1722966859490,95,8008,1100,59
1722966860571,95,8010,1065,59
1722966861650,95,8010,1109,59
1722966862730,95,8012,1200,59
1722966863451,94,8014,1178,59
1722966864531,94,8014,1205,59
1722966865611,94,8013,1281,60
1722966866691,94,8013,1320,59
1722966867411,94,8016,1214,59
1722966868491,94,8012,1170,59
1722966869571,94,8013,1103,60
1722966870651,94,8015,1068,60
1722966871383,94,8015,1120,59
1722966872103,94,8013,1264,59
1722966873183,94,8011,1335,59
1722966874263,94,8010,1366,59
1722966875343,94,8009,1220,58
1722966876064,94,8006,1286,59
1722966877143,94,8004,1204,58
1722966878223,94,8003,1243,58
1722966879304,94,8003,1209,58
1722966880383,94,8002,1223,58
1722966881103,94,8000,1231,58
1722966882184,94,7997,1275,58
1722966883264,94,7997,1249,58
1722966884344,94,7996,1188,58
1722966885064,94,7995,1153,58
1722966886142,94,7998,1103,58
1722966887222,94,7995,1182,58
1722966888303,94,7994,1021,58
1722966889382,94,7989,984,57
1722966890102,94,7989,948,57
1722966891182,94,7991,876,58
1722966892262,94,7992,989,58
1722966893343,94,7990,1009,58
1722966894062,94,7988,1106,58
1722966895143,94,7988,1098,57
1722966896222,94,7986,1261,57
1722966897304,94,7986,1247,57
1722966898383,94,7988,1186,57
1722966899103,94,7987,1326,57
1722966900182,94,7986,1402,57
1722966901261,94,7987,1472,57
1722966902341,94,7985,1392,57
1722966903061,94,7988,1586,56
1722966904142,94,7993,1757,56
1722966905221,94,8002,1776,57
1722966906301,94,8013,1732,57
1722966907382,94,8021,1640,57
1722966908102,94,8023,1683,57
1722966909182,94,8029,1609,57
1722966910262,94,8038,1286,57
1722966911342,94,8047,1312,57
1722966912062,94,8054,1231,58
1722966913142,94,8055,1178,58
1722966914222,94,8052,1099,58
1722966915300,94,8050,1096,59
1722966916381,95,8048,1125,59
1722966917100,95,8041,1023,58
1722966918181,95,8036,957,59
1722966919260,95,8033,988,58
1722966920341,95,8027,1130,58
1722966921061,94,8021,1359,58
1722966922141,94,8019,1370,58
1722966923221,94,8014,1419,58
1722966924301,94,8011,1551,58
1722966925381,94,8009,1523,59
1722966926101,94,8004,1430,59
1722966927181,94,7998,1340,59
1722966928261,94,7994,1366,59
1722966929339,94,7993,1276,59
1722966930060,94,7990,1250,59
1722966931140,94,7985,1247,59
1722966932220,94,7981,1354,59
1722966933300,94,7977,1305,60
1722966934380,94,7973,1596,60
1722966935100,94,7974,1736,60
1722966936180,93,7972,1753,60
1722966937260,94,7970,1762,60
1722966938340,94,7971,1736,59
1722966939060,94,7971,1827,58
1722966940140,94,7976,1719,58
1722966941220,94,7982,1522,58
1722966942300,94,7980,1306,58
1722966943379,94,7980,1275,58
1722966944099,94,7981,1204,58
1722966945179,95,7978,1489,58
1722966946259,95,7976,1466,58
1722966947339,95,7973,1572,58
1722966948059,95,7969,1489,58
1722966949139,95,7964,1486,58
1722966950219,95,7960,1390,59
1722966951299,95,7958,1233,58
1722966952379,95,7960,1050,58
1722966953099,95,7962,1157,58
1722966954179,95,7962,1213,58
1722966955259,95,7962,1399,58
1722966956339,95,7956,1362,58
1722966957059,95,7951,1447,58
1722966958138,95,7954,1528,58
1722966959218,95,7954,1512,58
1722966960298,95,7953,1520,59
1722966961378,95,7952,1378,59
1722966962098,95,7952,1303,59
1722966963178,95,7949,1141,59
1722966964258,95,7947,1157,59
1722966965338,95,7947,1256,60
1722966966058,95,7947,1373,60
1722966967138,95,7947,1419,60
1722966968218,95,7952,1604,59
1722966969298,95,7956,1760,58
1722966970378,95,7955,1812,58
1722966971098,95,7957,1784,58
1722966972177,95,7952,1633,57
1722966973257,95,7952,1530,57
1722966974337,95,7952,1374,57
1722966975057,95,7953,1167,57
1722966976137,95,7954,1229,57
1722966977217,95,7952,1201,57
1722966978297,95,7951,1251,57
1722966979377,95,7948,1279,57
1722966980097,95,7948,1285,57
1722966981177,96,7952,1314,58
1722966982257,95,7948,1168,57
1722966983338,95,7947,1152,57
1722966984057,95,7947,1016,57
1722966985138,95,7949,1114,57
1722966986218,94,7947,1075,57
1722966987296,94,7944,1073,57
1722966988376,94,7943,1190,57
1722966989096,95,7939,1215,57
1722966990176,95,7939,1298,57
1722966991256,95,7938,1336,58
1722966992336,95,7939,1296,58
1722966993056,95,7942,1298,58
1722966994136,95,7943,1190,57
1722966995216,95,7945,1411,58
1722966996296,95,7948,1278,58
1722966997377,95,7956,1203,58
1722966998096,95,7956,1202,58
1722966999177,95,7966,1284,58
1722967000257,95,7974,1344,58
1722967000990,95,7975,1461,58
1722967001709,95,7976,1383,58
1722967002789,95,7977,1422,57
1722967003869,95,7976,1369,58
1722967004949,95,7974,1320,58
1722967006029,95,7970,1375,57
1722967006749,95,7966,1109,58
1722967007829,95,7960,1224,58
1722967008909,95,7955,1246,57
1722967009989,95,7953,1244,57
1722967010710,95,7948,1243,57
1722967011789,96,7945,1303,58
1722967012869,96,7946,1313,58
1722967013950,96,7954,1417,57
1722967015029,96,7961,1224,57
1722967015748,96,7965,1337,58
1722967016828,96,7965,1235,58
1722967017908,96,7967,1169,58
1722967018988,96,7966,1338,58
1722967019708,96,7963,1453,58
1722967020788,96,7957,1355,59
1722967021868,95,7955,1406,58
1722967022949,95,7956,1458,58
1722967024028,95,7951,1462,59
1722967024748,95,7947,1315,59
1722967025829,95,7946,1115,59
1722967026908,95,7946,1192,59
1722967027988,95,7943,1105,60
1722967028709,95,7941,1199,60
1722967029789,95,7940,1144,60
1722967030867,95,7940,1270,60
1722967031948,95,7936,1312,60
1722967033027,95,7934,1315,60
1722967033747,95,7933,1248,61
1722967034828,95,7935,1264,60
1722967035907,95,7938,1234,60
1722967036987,95,7941,1287,61
1722967037707,94,7944,1324,61
1722967038787,94,7946,1364,59
1722967039867,94,7946,1410,59
1722967040948,94,7951,1458,60
1722967042027,94,7951,1387,63
1722967042748,95,7950,1306,65
1722967043828,95,7948,1274,66
1722967044906,95,7950,1197,67
1722967045987,95,7952,1193,68
1722967046707,95,7956,1111,67
