UTCTimestamp_ms,SpO2,DC_R,acc_power,HR
1724763676456,0,0,0,0
1724763677176,0,0,0,0
1724763678256,0,0,0,0
1724763679335,0,0,0,0
1724763680415,0,0,0,0
1724763681136,0,0,0,0
1724763682216,0,4383,44775,0
1724763683296,0,4388,49893,0
1724763684376,0,4381,39594,0
1724763685456,0,4378,13000,0
1724763686176,0,4380,58857,0
1724763687256,0,4375,57521,0
1724763687979,0,4378,4172,0
1724763689060,0,4375,14325,0
1724763689779,0,4377,39782,0
1724763690859,0,4381,10667,0
1724763691939,0,4371,0,0
1724763693019,0,4375,43954,0
1724763694099,0,4368,58115,0
1724763694819,0,4369,37,0
1724763695899,0,4366,34583,0
1724763696980,0,4366,2942,0
1724763698060,0,4368,51850,0
1724763698779,0,4368,37013,0
1724763699859,0,4364,26890,0
1724763700940,0,4360,10657,0
1724763702020,0,4362,48171,0
1724763703100,0,4355,43067,0
1724763703820,0,4359,35270,0
1724763704900,0,4360,19381,0
1724763705980,0,4357,18490,0
1724763707060,0,4360,12215,0
1724763707780,0,4355,8670,0
1724763708860,0,4357,8267,0
1724763709940,0,4348,5860,0
1724763711020,0,4347,3767,0
1724763712100,97,4348,3326,0
1724763712820,96,4345,2249,0
1724763713899,97,4347,1733,0
1724763714981,0,4344,1690,0
1724763716060,0,4340,1274,0
1724763716780,0,4336,1214,0
1724763717860,0,4335,1385,0
1724763718940,0,4333,1331,0
1724763720020,0,4336,1382,0
1724763721100,0,4338,1396,0
1724763721820,0,4333,1366,0
1724763722900,0,4333,1187,0
1724763723981,0,4332,1135,0
1724763725061,0,4331,1090,0
1724763725780,0,4329,1051,0
1724763726860,0,4332,1078,0
1724763727941,0,4329,1225,0
1724763729020,0,4328,1499,0
1724763730101,0,4326,1518,0
1724763730820,0,4325,1644,0
1724763731900,0,4322,1734,0
1724763732981,0,4322,1728,0
1724763734061,0,4320,1613,0
1724763734781,0,4320,1509,0
1724763735862,0,4318,1438,0
1724763736941,0,4322,1313,0
1724763738021,0,4318,1166,0
1724763739101,0,4318,990,0
1724763739821,0,4321,1006,0
1724763740901,0,4318,967,0
1724763741980,0,4317,1048,0
1724763743061,0,4316,14717,0
1724763743780,0,4313,36101,0
1724763744861,0,4314,46037,0
1724763745941,97,4310,20259,0
1724763747021,97,4308,1569,0
1724763748101,97,4307,1591,0
1724763748821,97,4311,1621,0
1724763749901,97,4307,1522,0
1724763750981,97,4308,1502,0
1724763752061,97,4306,1327,0
1724763752781,0,4306,1289,0
1724763753862,97,4303,43745,0
1724763754941,0,4305,30151,0
1724763756021,0,4310,46436,0
1724763757102,0,4300,21325,0
1724763757821,0,4307,13567,0
1724763758901,0,4302,22331,0
1724763759981,0,4303,9784,0
1724763761062,0,4296,6141,0
1724763761781,0,4296,10209,0
1724763762861,0,4294,4315,0
1724763763941,0,4299,3042,0
1724763765022,0,4300,4335,0
1724763766102,0,4298,1662,0
1724763766822,0,4292,2385,0
1724763767901,0,4294,1816,0
1724763768981,97,4290,1241,0
1724763770062,97,4292,1333,0
1724763770781,97,4296,1055,0
1724763771862,96,4290,740,0
1724763772942,96,4290,784,0
1724763774021,97,4288,928,0
1724763775102,97,4288,1072,0
1724763775822,97,4291,1192,0
1724763776902,97,4285,1369,0
1724763777982,96,4286,1374,0
1724763779062,97,4284,1496,0
1724763779782,96,4291,1438,0
1724763780862,97,4289,1428,0
1724763781942,97,4283,1484,0
1724763783022,97,4283,1513,0
1724763784102,96,4285,1459,0
1724763784822,96,4284,1454,0
1724763785902,96,4289,1627,0
1724763786982,96,4289,1599,0
1724763788063,97,4286,1625,0
1724763788782,97,4281,1667,0
1724763789862,97,4288,1767,0
1724763790942,97,4279,1856,0
1724763792022,97,4278,1896,0
1724763793102,96,4277,1884,0
1724763793822,96,4279,1696,0
1724763794902,96,4280,1618,0
1724763795983,96,4278,1707,0
1724763797062,95,4280,1542,0
1724763797782,95,4282,1491,0
1724763798862,95,4276,1432,0
1724763799942,95,4274,1422,0
1724763801022,95,4271,1409,0
1724763802103,95,4270,1452,0
1724763802822,94,4268,1486,0
1724763803902,94,4277,1533,0
1724763804982,94,4272,1364,0
1724763806063,94,4272,1387,0
1724763806783,94,4273,1213,0
1724763807863,95,4272,1313,0
1724763808943,95,4274,1241,0
1724763810023,95,4271,1181,0
1724763811103,95,4272,1056,0
1724763811823,95,4271,1252,0
1724763812903,95,4271,1635,0
1724763813983,95,4269,1689,0
1724763815063,95,4271,1816,0
1724763815783,95,4268,1903,0
1724763816863,95,4267,2042,0
1724763817943,96,4269,1982,0
1724763819023,96,4271,1924,0
1724763820103,96,4268,1743,0
1724763820823,97,4269,1735,0
1724763821903,97,4267,1786,0
1724763822983,97,4266,1594,0
1724763824063,96,4268,1609,0
1724763824783,96,4268,1680,0
1724763825863,96,4265,1506,0
1724763826943,96,4269,1595,0
1724763828023,96,4268,1513,0
1724763829103,97,4266,1502,0
1724763829823,96,4263,1526,0
1724763830903,96,4268,1464,0
1724763831983,95,4263,1349,0
1724763833063,95,4266,1280,0
1724763833783,95,4264,1259,0
1724763834863,95,4263,1203,0
1724763835944,95,4261,1255,0
1724763837024,95,4261,1257,0
1724763838104,95,4260,1268,0
1724763838824,96,4263,1231,0
1724763839904,96,4260,1235,0
1724763840984,96,4263,1364,0
1724763842064,96,4259,1448,0
1724763842784,96,4260,1451,0
1724763843864,96,4260,1570,0
1724763844943,96,4260,1561,0
1724763846024,96,4261,1664,0
1724763847104,96,4258,1740,0
1724763847824,96,4261,1467,0
1724763848904,96,4258,1373,0
1724763849984,96,4259,1099,0
1724763851064,96,4257,1193,0
1724763851784,96,4260,1001,0
1724763852864,96,4260,1196,0
1724763853944,96,4258,1145,0
1724763855024,96,4255,1082,0
1724763856105,96,4255,1007,0
1724763856824,95,4255,1076,0
1724763857904,95,4259,876,0
1724763858984,95,4255,943,0
1724763860064,94,4253,987,0
1724763860784,94,4252,1116,0
1724763861864,94,4253,1165,0
1724763862944,95,4255,1315,0
1724763864025,95,4258,1286,0
1724763865104,95,4255,1256,0
1724763865825,95,4255,1217,0
1724763866904,95,4257,1124,0
1724763867984,96,4254,1009,0
1724763869064,96,4257,1007,0
1724763869784,96,4254,925,0
1724763870864,96,4257,974,0
1724763871944,96,4258,968,0
1724763873025,96,4255,1151,0
1724763874104,96,4247,1346,0
1724763874825,97,4252,1077,0
1724763875904,97,4250,1164,0
1724763876985,97,4249,1265,0
1724763878065,97,4252,1162,0
1724763878785,97,4251,1394,0
1724763879865,96,4251,1453,0
1724763880945,97,4251,1513,0
1724763882025,97,4249,1481,0
1724763883105,96,4248,1522,0
1724763883825,97,4252,1572,0
1724763884905,96,4248,1377,0
1724763885985,96,4250,1314,0
1724763887065,96,4249,1219,0
1724763887785,95,4250,1130,0
1724763888865,95,4248,1137,0
1724763889946,95,4249,1128,0
1724763891025,95,4249,1236,0
1724763892105,95,4250,1187,0
1724763892825,95,4248,1274,0
1724763893905,95,4246,1409,0
1724763894985,95,4253,1393,0
1724763896065,95,4249,1362,0
1724763896785,95,4248,1330,0
1724763897865,95,4248,1197,0
1724763898945,95,4247,1052,0
1724763900025,95,4247,890,0
1724763901105,95,4248,960,0
1724763901825,95,4246,1314,0
1724763902905,95,4246,1379,0
1724763903985,95,4243,1497,0
1724763905066,95,4249,1704,0
1724763905785,95,4248,1713,0
1724763906866,95,4245,1731,0
1724763907946,95,4248,1697,0
1724763909026,95,4245,1532,0
1724763910106,95,4248,1522,0
1724763910826,95,4247,1325,0
1724763911906,96,4246,1343,0
1724763912986,96,4248,1265,0
1724763914066,96,4244,1185,0
1724763914786,96,4245,1104,0
1724763915866,95,4243,1050,0
1724763916589,95,4243,972,0
1724763917669,95,4240,988,0
1724763918749,95,4241,1143,0
1724763919469,95,4240,1242,0
1724763920549,95,4240,1381,0
1724763921629,95,4243,1529,0
1724763922709,96,4241,1508,0
1724763923429,96,4243,1422,0
1724763924509,96,4241,1379,0
1724763925589,96,4242,1465,0
1724763926669,96,4241,1363,0
1724763927749,96,4244,1284,0
1724763928470,96,4246,1239,0
1724763929550,96,4245,1222,0
1724763930630,96,4240,1320,0
1724763931710,96,4240,1275,0
1724763932430,96,4240,1347,0
1724763933510,96,4240,1376,0
1724763934590,96,4244,1391,0
1724763935670,95,4249,1421,0
1724763936750,95,4241,1312,0
1724763937470,95,4240,1293,0
1724763938550,95,4241,1129,0
1724763939630,95,4239,1262,0
1724763940710,96,4247,1201,0
1724763941430,96,4247,1257,0
1724763942510,96,4243,1207,0
1724763943590,96,4248,1325,0
1724763944670,96,4242,1359,0
1724763945750,96,4247,1352,0
1724763946470,96,4243,1277,0
1724763947550,96,4240,1172,0
1724763948630,96,4242,1153,0
1724763949710,96,4238,1122,0
1724763950430,96,4242,1102,0
1724763951510,96,4239,1002,0
1724763952590,96,4241,998,0
1724763953670,96,4240,1116,0
1724763954750,96,4240,1251,0
1724763955470,96,4247,1329,0
1724763956550,96,4246,1254,0
1724763957630,96,4242,1270,0
1724763958710,96,4244,1351,0
1724763959430,97,4241,1236,0
