UTCTimestamp_ms,SpO2,DC_R,acc_power,HR
1725463037469,0,0,0,0
1725463038189,0,0,0,0
1725463039269,0,0,0,0
1725463040348,0,0,0,0
1725463041428,0,0,0,0
1725463042148,0,0,0,0
1725463043228,0,7040,38406,0
1725463044308,0,7025,27818,0
1725463045032,0,7012,8796,0
1725463046112,0,6992,28766,0
1725463046832,0,6989,54635,0
1725463047911,0,6973,5635,0
1725463048992,0,6959,1642,0
1725463050073,0,6952,56489,0
1725463050792,0,6945,24394,0
1725463051872,96,6940,64115,0
1725463052952,97,6929,40318,0
1725463054032,97,6891,55685,0
1725463055112,96,6849,42603,0
1725463055832,97,6843,11575,0
1725463056912,96,6781,59442,0
1725463057992,97,6782,53134,0
1725463059072,97,6773,35408,0
1725463059792,96,6767,26863,0
1725463060872,95,6759,23845,0
1725463061952,94,6752,16786,0
1725463063033,92,6747,11639,0
1725463064112,90,6747,9673,0
1725463064832,88,6742,6478,62
1725463065912,86,6739,4932,61
1725463066992,85,6735,3836,61
1725463068072,85,6727,2905,60
1725463068792,85,6722,2712,60
1725463069872,85,6716,2592,60
1725463070952,85,6768,1913,60
1725463072032,85,6768,2067,0
1725463073113,85,6899,2310,0
1725463073832,85,6899,2526,0
1725463074912,85,6907,3087,0
1725463075993,85,6875,4111,0
1725463077073,85,6875,5450,0
1725463077792,85,8894,0,0
1725463078872,85,8894,0,0
1725463079960,0,7823,0,0
1725463081040,0,7823,0,0
1725463082121,0,6715,0,0
1725463082838,0,6715,0,0
1725463083917,0,6715,0,0
1725463084997,0,6715,0,0
1725463086083,0,6821,0,0
1725463086803,0,6308,0,0
1725463087884,0,6365,0,0
1725463088964,0,6365,0,0
1725463090044,0,6420,0,0
1725463091124,0,6413,0,0
1725463091844,0,6391,0,0
1725463092921,0,6389,0,0
1725463094001,0,6391,0,0
1725463095081,0,6399,0,59
1725463095801,0,6395,0,59
1725463096882,0,6403,0,58
1725463097961,0,6403,0,57
1725463099041,0,6382,0,58
1725463100122,0,6374,0,60
1725463100842,0,6383,0,60
1725463101920,0,6383,0,59
1725463103000,0,6252,0,58
1725463104080,0,6217,0,58
1725463104800,0,6197,0,58
1725463105880,0,6223,0,58
1725463106960,0,6396,46185,59
1725463108040,0,6417,32105,57
1725463109120,0,6420,39499,58
1725463109840,0,6334,39848,62
1725463110920,0,6334,29519,62
1725463112000,0,6183,61244,63
1725463113080,0,6178,3836,63
1725463113800,0,6233,42023,64
1725463114881,0,6269,8816,63
1725463115960,0,6261,865,0
1725463117040,0,6324,30467,0
1725463118121,0,6291,21449,0
1725463118841,0,6328,41738,0
1725463119920,0,6347,14848,0
1725463121001,0,6337,57417,0
1725463122081,92,6337,10837,0
1725463122801,92,6356,52911,0
1725463123881,92,6499,13319,0
1725463124961,92,6520,32719,0
1725463126040,92,6461,23487,0
1725463127120,92,6476,5932,0
1725463127841,91,6488,14380,0
1725463128919,91,6494,3740,62
1725463129999,91,6516,7467,62
1725463131079,92,6527,6888,62
1725463131799,92,6516,23836,62
1725463132879,93,6519,17222,62
1725463133959,94,6511,14619,62
1725463135039,94,6499,12888,59
1725463136120,95,6498,12197,59
1725463136840,96,6497,10818,58
1725463137920,96,6493,9097,58
1725463139000,96,6493,8064,59
1725463140080,96,6495,7473,59
1725463140800,96,6494,5797,59
1725463141880,96,6490,5317,60
1725463142960,95,6487,4846,60
1725463144040,95,6490,5628,60
1725463145120,95,6512,5960,60
1725463145840,94,6528,6590,59
1725463146920,93,6538,6585,59
1725463148000,92,6556,6517,59
1725463149081,92,6568,6071,59
1725463149801,91,6570,6558,60
1725463150881,91,6495,6609,0
1725463151959,91,6489,6520,0
1725463153039,92,6509,8707,0
1725463154119,92,6509,11905,0
1725463154839,92,6495,19843,0
1725463155919,93,6501,0,0
1725463157000,93,6501,0,0
1725463158079,94,6511,0,63
1725463158799,94,6562,0,63
1725463159879,95,6604,0,63
1725463160959,95,6654,0,62
1725463162039,95,6668,58904,62
1725463163119,95,6686,42073,63
1725463163840,95,6707,28724,63
1725463164919,96,6723,19648,64
1725463165999,96,6732,16564,66
1725463167079,96,6735,14085,67
1725463167799,96,6704,11022,67
1725463168880,96,6682,7094,67
1725463169960,96,6682,7625,66
1725463171040,96,6637,8770,65
1725463172119,96,6620,8703,64
1725463172840,96,6604,10296,64
1725463173920,96,6584,13585,64
1725463175000,96,6570,0,64
1725463176080,95,6553,36495,63
1725463176800,94,6532,17258,63
1725463177878,93,6519,14030,63
1725463178958,92,6520,11129,63
1725463180039,92,6531,9441,62
1725463181118,91,6521,8066,63
1725463181839,91,6516,5943,64
1725463182918,91,6518,5283,63
1725463183999,92,6536,4359,62
1725463185079,92,6542,4281,61
1725463185799,93,6554,4440,62
1725463186879,94,6559,4670,62
1725463187959,94,6561,5251,62
1725463189039,95,6576,5449,62
1725463190119,95,6598,5873,62
1725463190839,95,6617,5392,63
1725463191919,94,6625,5568,63
1725463192999,94,6629,5659,63
1725463194079,93,6650,5158,62
1725463194799,92,6658,5663,62
1725463195879,92,6662,4604,61
1725463196959,91,6674,4954,61
1725463198039,91,6694,4280,61
1725463199120,91,6703,3870,62
1725463199839,91,6704,3518,62
1725463200920,91,6723,3440,62
1725463202000,92,6609,5723,62
1725463203080,93,6550,7892,62
1725463203800,95,6522,13116,62
1725463204878,95,6545,14404,62
1725463205958,95,6542,14973,63
1725463207038,95,6548,19631,64
1725463208118,94,6634,22815,0
1725463208839,94,6640,25626,0
1725463209918,95,6640,29177,0
1725463210998,95,6542,32756,0
1725463212079,95,6524,63103,0
1725463212799,96,6524,0,0
1725463213879,96,6529,0,0
1725463214959,96,6535,0,0
1725463216039,96,6551,0,0
1725463217120,96,6561,0,0
1725463217839,96,6564,56303,69
1725463218919,95,6574,11374,69
1725463219999,95,6578,61193,67
1725463221079,95,6565,47973,65
1725463221799,95,6564,39202,65
1725463222879,94,6601,33327,0
1725463223959,94,6673,31050,0
1725463225040,94,6673,32033,0
1725463226119,95,6728,29566,0
1725463226839,95,6571,34873,0
1725463227919,95,6571,50996,0
1725463228999,95,6571,13585,0
1725463230079,95,6452,0,0
1725463230799,96,6470,0,0
1725463231878,96,6474,0,0
1725463232958,96,6476,0,0
1725463234038,96,6485,0,65
1725463235118,96,6492,0,64
1725463235838,96,6493,0,63
1725463236918,96,6498,20803,63
1725463237998,96,6504,18503,63
1725463239078,96,6501,18754,63
1725463239798,96,6500,14369,64
1725463240878,95,6500,12183,64
1725463241958,95,6493,10407,64
1725463243038,94,6499,9200,63
1725463244118,93,6505,8878,62
1725463244838,93,6503,6699,61
1725463245918,92,6510,5960,61
1725463246998,92,6520,5378,0
1725463248079,92,6518,5784,0
1725463248798,92,6487,6096,0
1725463249879,92,6523,8268,0
1725463250959,93,6523,8507,0
1725463252039,93,6493,9923,0
1725463252773,93,6493,23774,0
1725463253492,93,6567,7850,0
1725463254572,93,6581,22249,0
1725463255652,93,6596,3941,0
1725463256732,93,6603,18711,0
1725463257452,93,6615,12703,0
1725463258532,93,6626,10163,0
1725463259612,93,6640,25713,0
1725463260691,93,6656,23920,62
1725463261771,93,6672,19897,63
1725463262491,93,6682,17659,64
1725463263572,93,6691,14325,64
1725463264651,94,6709,14571,64
1725463265731,94,6716,12274,63
1725463266451,94,6719,10916,63
1725463267531,94,6721,13801,63
1725463268612,94,6724,7636,63
1725463269691,95,6723,6802,63
1725463270771,95,6718,7392,63
1725463271492,95,6713,6157,63
1725463272572,96,6712,5961,63
1725463273652,96,6708,5760,63
1725463274731,96,6707,5886,63
1725463275452,96,6710,5802,64
1725463276532,96,6712,4693,64
1725463277612,96,6711,4554,64
1725463278692,96,6710,10415,64
1725463279770,96,6717,10921,64
1725463280491,97,6717,10177,64
1725463281570,97,6725,5526,63
1725463282650,96,6730,6277,64
1725463283730,96,6734,10536,63
1725463284450,96,6737,4161,63
1725463285531,96,6738,3713,63
1725463286612,96,6845,7804,0
1725463287692,96,6845,8991,0
1725463288771,96,6771,10801,0
1725463289492,96,6710,13615,0
1725463290571,96,6697,18754,0
1725463291652,96,6694,30618,0
1725463292732,96,6566,25866,0
1725463293452,96,6566,0,0
1725463294532,96,6469,0,0
1725463295612,0,6465,0,0
1725463296692,0,6465,0,0
1725463297772,0,6472,14274,0
1725463298492,0,6494,59843,68
1725463299571,0,6533,52067,67
1725463300652,0,6558,23090,67
1725463301732,0,6565,26773,64
1725463302451,0,6569,17566,63
1725463303531,0,6590,21866,61
1725463304611,0,6580,16628,65
1725463305691,0,6628,20226,65
1725463306771,0,6664,24561,65
1725463307491,0,6709,19464,65
1725463308571,0,6706,0,66
1725463309651,0,6694,0,0
1725463310731,0,6634,0,0
1725463311451,0,6634,0,0
1725463312531,0,6557,0,0
1725463313611,0,6579,0,0
1725463314691,0,6632,0,0
1725463315771,0,6672,0,0
1725463316492,0,6681,0,0
1725463317571,0,6695,0,0
1725463318651,0,6703,0,0
1725463319731,0,6684,0,0
1725463320451,0,6662,3114,64
1725463321531,0,6664,5505,65
1725463322611,0,6667,33997,63
1725463323691,0,6677,35541,63
1725463324771,0,6689,27582,64
1725463325492,0,6698,30378,64
1725463326572,0,6695,31723,64
1725463327650,0,6683,30024,0
1725463328730,0,6713,13015,0
1725463329450,0,6694,2490,0
1725463330530,0,6699,10546,0
1725463331610,0,6732,40969,0
1725463332690,0,6752,33326,0
1725463333770,0,6746,11546,0
1725463334491,0,6746,11450,0
1725463335570,0,6789,12914,0
1725463336651,0,6866,11072,0
1725463337731,0,6889,17583,71
1725463338451,0,6910,15361,57
1725463339531,0,6906,3264,0
1725463340611,0,6939,19293,0
1725463341691,0,6982,19721,0
1725463342771,0,6982,10705,67
1725463343491,0,7040,14800,60
1725463344571,0,7036,8560,59
1725463345650,0,7036,17164,0
1725463346730,0,7036,8010,0
1725463347450,0,7036,25866,68
1725463348530,0,7036,12237,70
1725463349610,0,6987,9330,68
1725463350691,0,6987,6826,76
1725463351770,0,7012,5440,76
1725463352491,0,7023,5081,74
1725463353569,0,7003,4716,73
1725463354649,0,6994,4453,74
1725463355729,0,6980,4202,67
1725463356450,0,6963,4024,67
1725463357530,0,6963,9343,66
1725463358610,0,7237,10782,66
1725463359690,0,7498,12884,69
1725463360770,0,7498,16237,69
1725463361490,0,7503,22398,69
1725463362570,91,7504,37150,68
1725463363650,91,7507,44566,65
1725463364730,90,7509,0,67
1725463365450,90,7511,0,66
1725463366530,90,7511,42162,65
1725463367610,91,7523,24716,65
1725463368690,91,7531,17928,65
1725463369770,91,7525,14263,64
1725463370490,92,7518,11923,64
1725463371570,92,7519,10247,63
1725463372650,92,7521,7991,63
1725463373730,93,7524,6949,62
1725463374450,93,7527,4917,62
1725463375530,93,7531,3313,62
1725463376610,93,7535,2959,62
1725463377690,93,7537,2175,62
1725463378770,93,7533,1976,62
1725463379490,93,7531,2193,62
1725463380569,93,7536,2323,62
1725463381649,93,7540,2318,62
1725463382729,94,7540,2467,61
1725463383449,94,7541,2332,62
1725463384529,94,7546,2244,62
1725463385609,94,7557,1980,63
1725463386690,93,7561,2006,63
1725463387769,93,7571,2013,64
1725463388489,92,7581,2249,63
1725463389569,92,7586,2243,62
1725463390649,92,7588,2482,62
1725463391729,92,7592,2538,61
1725463392449,93,7596,2775,61
1725463393529,93,7595,2821,60
1725463394609,94,7585,2901,61
1725463395690,94,7583,3027,63
1725463396770,94,7587,3037,63
1725463397490,95,7588,3019,63
1725463398570,95,7586,3245,63
1725463399650,95,7580,3219,63
1725463400729,95,7577,3310,64
1725463401450,95,7575,3322,65
1725463402530,95,7574,3060,66
1725463403610,96,7575,3120,68
1725463404690,96,7578,2692,68
1725463405770,95,7580,2503,66
1725463406490,95,7579,2062,64
1725463407568,95,7574,1916,65
1725463408649,95,7570,1734,65
1725463409728,95,7566,1861,66
1725463410449,96,7563,1924,66
1725463411529,96,7564,2022,66
1725463412609,96,7560,2161,65
1725463413689,96,7559,2669,65
1725463414769,96,7564,3876,64
1725463415489,96,7575,3743,64
1725463416569,96,7575,4854,64
1725463417649,96,7233,5619,64
1725463418729,96,7196,13829,64
1725463419449,96,7273,9165,65
1725463420529,96,7334,10234,63
1725463421609,96,7320,17579,65
1725463422689,96,7383,0,67
1725463423769,95,7432,0,68
1725463424490,95,7432,0,68
1725463425570,95,7432,0,67
1725463426649,95,7509,0,68
1725463427729,95,7532,50278,69
1725463428449,0,7532,31868,69
1725463429529,0,7530,19148,70
1725463430610,0,7517,11561,72
1725463431690,96,7496,9430,79
1725463432769,94,7465,7387,80
1725463433490,94,7457,6212,78
1725463434570,95,7444,5437,77
1725463435648,95,7432,3490,76
1725463436728,96,7425,3290,75
1725463437448,97,7422,2970,73
1725463438529,97,7421,2922,71
1725463439608,98,7413,3597,71
1725463440689,98,7406,3665,69
1725463441768,98,7403,3552,69
1725463442489,98,7396,3262,69
1725463443568,97,7398,3366,68
1725463444649,97,7403,3418,67
1725463445729,97,7408,2603,66
1725463446449,96,7414,2789,65
1725463447529,97,7413,2646,64
1725463448609,97,7412,3056,63
1725463449689,97,7417,3277,63
1725463450769,96,7417,3056,63
1725463451489,97,7413,3186,63
1725463452569,96,7418,3110,63
1725463453649,96,7423,3148,63
1725463454729,96,7424,3265,63
1725463455449,95,7478,3884,63
1725463456529,95,7467,9749,64
1725463457609,95,7467,15470,65
1725463458689,95,7467,18147,65
