UTCTimestamp_ms,SpO2,DC_R,acc_power,HR
1725901421818,0,0,0,0
1725901422538,0,0,0,0
1725901423618,0,0,0,0
1725901424697,0,0,0,0
1725901425778,0,0,0,0
1725901426141,0,0,0,0
1725901427221,0,4054,35788,0
1725901428301,0,4045,25899,0
1725901429381,0,4045,63482,0
1725901430461,0,4042,23267,0
1725901431181,0,4026,47361,0
1725901432261,0,4032,57675,0
1725901433341,0,4019,55999,0
1725901434422,0,4022,42241,0
1725901435141,0,4013,6146,0
1725901436221,0,4015,47344,0
1725901437301,0,4013,20069,0
1725901438381,0,4006,45108,0
1725901439461,0,4017,25410,0
1725901440187,0,4017,6904,0
1725901441269,0,6535,7000,0
1725901442351,0,6821,5813,0
1725901443431,0,7049,57487,0
1725901444141,0,5123,1998,0
1725901445221,0,6448,19581,0
1725901446313,0,6800,0,0
1725901447392,0,6800,0,0
1725901448472,0,3795,0,0
1725901449192,0,3795,0,0
1725901450261,0,3880,0,0
1725901451341,0,3870,0,0
1725901452421,0,3872,0,0
1725901453141,0,3863,0,0
1725901454221,0,3864,0,0
1725901455301,0,3859,0,0
1725901456381,0,3861,28503,0
1725901457461,0,3851,24484,0
1725901458181,0,3854,31561,0
1725901459261,0,3844,25975,0
1725901460341,0,3847,22048,0
1725901461421,0,3841,18840,0
1725901462141,0,3844,16599,0
1725901463221,0,3837,15477,0
1725901464301,0,3840,8242,0
1725901465381,0,3834,6254,0
1725901466462,0,3835,4298,0
1725901467181,0,3829,3664,0
1725901468261,0,3832,2925,0
1725901469341,0,3828,2430,0
1725901470421,0,3822,1957,0
1725901471141,0,3828,1779,0
1725901472221,0,3828,1475,0
1725901473302,0,3818,1417,0
1725901474381,0,3822,1239,0
1725901475462,0,3810,1095,0
1725901476181,0,3820,1068,0
1725901477261,0,3809,1320,0
1725901478341,0,3818,1378,0
1725901479421,0,3806,1405,0
1725901480141,0,3813,1306,0
1725901481221,0,3805,1283,0
1725901482301,0,3813,1391,0
1725901483381,0,3807,1367,0
1725901484461,0,3805,1303,0
1725901485181,0,3809,1179,0
1725901486262,0,3799,1425,0
1725901487341,0,3805,1561,0
1725901488421,0,3800,6323,0
1725901489141,0,3807,25894,0
1725901490221,0,3801,1253,0
1725901491301,0,3802,2697,0
1725901492381,0,3800,10537,0
1725901493461,0,3798,38117,0
1725901494181,0,3797,48877,0
1725901495261,0,3787,43769,0
1725901496341,0,3797,17417,0
1725901497422,0,3786,24852,0
1725901498141,0,3788,13295,0
1725901499222,0,3797,9407,0
1725901500301,0,3782,12204,0
1725901501381,0,3791,1139,0
1725901502461,0,3784,1207,0
1725901503181,0,3777,1357,0
1725901504261,0,3789,1552,0
1725901505341,0,3777,1504,0
1725901506422,0,3782,1535,0
1725901507142,0,3783,1537,0
1725901508221,0,3771,1636,0
1725901509301,0,3780,1664,0
1725901510381,0,3771,1483,0
1725901511461,0,3775,1440,0
1725901512181,0,3778,1402,0
1725901513261,0,3768,1444,0
1725901514341,0,3777,1330,0
1725901515422,0,3766,1337,0
1725901516141,0,3768,1264,0
1725901517222,0,3772,3068,0
1725901517945,0,3764,4900,0
1725901519025,0,3772,7724,0
1725901520105,0,3768,5252,0
1725901520825,0,3762,2483,0
1725901521905,0,3770,1968,0
1725901522985,0,3769,1667,0
1725901524065,0,3765,1713,0
1725901524785,0,3771,1265,0
1725901525865,0,3760,1425,0
1725901526945,0,3769,1318,0
1725901528025,0,3769,1424,0
1725901529105,0,3762,1188,0
1725901529825,0,3764,1140,0
1725901530905,0,3755,1054,0
1725901531985,0,3764,977,0
1725901533065,0,3753,957,0
1725901533785,0,3760,855,0
1725901534865,0,3753,818,0
1725901535945,0,3759,858,0
1725901537025,0,3756,864,0
1725901538105,0,3753,1028,0
1725901538825,0,3757,990,0
1725901539905,0,3754,1043,0
1725901540985,0,3754,1048,0
1725901542065,0,3754,1101,0
1725901542785,0,3748,1204,0
1725901543865,0,3753,1403,0
1725901544945,0,3745,1431,0
1725901546025,0,3753,1633,0
1725901547105,0,3747,1605,0
1725901547825,0,3747,1547,0
1725901548905,0,3751,1434,0
1725901549985,0,3748,1332,0
1725901551065,0,3750,1454,0
1725901551785,0,3747,1352,0
1725901552865,0,3749,1415,0
1725901553945,0,3749,1255,0
1725901555025,0,3749,1358,0
