UTCTimestamp_ms,SpO2,DC_R,acc_power,HR
1726136819913,0,0,0,0
1726136820633,0,0,0,0
1726136821713,0,0,0,0
1726136822793,0,0,0,0
1726136823873,0,0,0,0
1726136824593,0,5781,0,0
1726136825673,0,5781,35536,0
1726136826396,0,5773,11606,0
1726136827476,0,5762,29825,0
1726136828556,0,5743,52486,0
1726136829276,0,5736,9932,0
1726136830356,0,5732,16154,0
1726136831436,0,5736,12230,0
1726136832517,0,5742,63302,0
1726136833236,0,5735,38111,0
1726136834316,0,5730,28730,0
1726136835396,0,5733,824,0
1726136836476,0,5741,37810,0
1726136837556,0,5738,20697,0
1726136838277,0,5724,56638,0
1726136839357,0,5717,50467,0
1726136840437,0,5705,41520,0
1726136841516,0,5697,23837,0
1726136842236,0,5700,21467,0
1726136843316,0,5711,17820,0
1726136844396,0,5714,10979,0
1726136845477,0,5718,9485,0
1726136846556,0,5708,7902,0
1726136847276,0,5684,4855,0
1726136848356,0,5682,3836,0
1726136849437,0,5685,2932,0
1726136850516,0,5631,4779,0
1726136851237,0,6836,5528,0
1726136852317,0,6265,6319,0
1726136853397,0,6455,7707,0
1726136854477,0,6455,10189,0
1726136855557,0,5656,15051,0
1726136856277,0,5775,29248,0
1726136857356,0,5759,0,0
1726136858437,0,5684,0,0
1726136859517,0,5753,0,0
1726136860237,0,5785,48331,0
1726136861317,0,5795,58848,0
1726136862397,0,5791,19636,0
1726136863477,0,5814,4426,0
1726136864557,0,5817,58129,0
1726136865277,0,7617,60392,0
1726136866357,0,7426,60392,0
1726136867437,0,6646,55650,0
1726136868517,0,6386,65185,0
1726136869237,0,6386,16319,0
1726136870317,0,6651,44592,0
1726136871397,0,6648,3161,0
1726136872477,0,6632,0,0
1726136873557,0,6635,0,0
1726136874277,0,6602,0,0
1726136875357,0,6702,0,0
1726136876437,0,6468,0,0
1726136877517,0,6369,0,0
1726136878237,0,6441,0,0
1726136879317,0,6441,0,0
1726136880397,0,6574,0,0
1726136881477,0,6575,0,0
1726136882557,0,6568,0,0
1726136883277,0,6562,0,0
1726136884358,0,6566,32849,0
1726136885437,0,6558,20418,0
1726136886517,0,6556,36906,0
1726136887237,0,6544,60409,0
1726136888317,0,6557,51939,0
1726136889397,0,6623,54879,0
1726136890477,0,6612,50274,0
1726136891557,0,6609,32670,0
1726136892277,0,6611,41356,0
1726136893357,0,6610,37546,0
1726136894437,0,6606,61641,0
1726136895517,0,6599,20743,0
1726136896237,0,6604,36791,0
1726136897318,0,6597,17283,0
1726136898398,0,6588,19005,0
1726136899478,0,6573,8310,0
1726136900558,0,6580,4427,0
1726136901278,0,6564,5276,0
1726136902357,0,6571,3432,0
1726136903437,0,6582,2436,0
1726136904517,0,6566,2217,0
1726136905238,0,6573,1620,0
1726136906317,0,6572,1314,0
1726136907398,0,6552,1695,0
1726136908478,0,6559,1385,0
1726136909558,0,6563,1348,0
1726136910278,0,6561,1498,0
1726136911358,0,6561,4355,0
1726136912438,0,6551,1142,0
1726136913518,0,6547,1161,0
1726136914238,0,6551,1065,0
1726136915318,0,6540,1189,0
1726136916398,0,6538,1327,0
1726136917478,0,6544,1403,0
1726136918558,0,6544,1396,0
1726136919278,0,6524,1476,0
1726136920358,0,6543,1429,0
1726136921438,0,6526,25658,0
1726136922518,0,6531,12836,0
1726136923238,0,6531,6454,0
1726136924318,0,6530,12283,0
1726136925398,0,6509,6010,0
1726136926478,0,6526,28572,0
1726136927558,0,6519,1461,0
1726136928278,0,6513,1482,0
1726136929358,0,6506,1442,0
1726136930438,0,6494,1382,0
1726136931518,0,6521,1432,0
1726136932238,0,6489,1313,0
1726136933318,0,6511,1328,0
1726136934398,0,6494,1310,0
1726136935478,0,6498,1342,0
1726136936558,0,6492,1367,0
1726136937278,0,6495,1244,0
1726136938358,0,6494,1215,0
1726136939438,0,6501,1153,0
1726136940518,0,6494,1135,0
1726136941238,0,6488,1090,0
1726136942318,0,6495,1029,0
1726136943398,0,6478,1010,0
1726136944478,0,6476,1231,0
1726136945558,0,6492,4879,0
1726136946278,0,6469,3679,0
1726136947358,0,6473,4940,0
1726136948438,0,6487,4748,0
1726136949518,0,6467,1910,0
1726136950238,0,6478,1840,0
1726136951318,0,6470,1630,0
1726136952398,0,6483,1366,0
1726136953479,0,6465,1034,0
1726136954559,0,6463,905,0
1726136955279,0,6456,949,0
1726136956359,0,6461,1031,0
1726136957082,0,6453,1276,0
1726136958162,0,6450,1547,0
1726136958882,0,6451,1104,0
1726136959962,0,6448,1181,0
1726136961042,0,6459,1205,0
1726136962122,0,6455,1238,0
1726136963202,0,6447,1331,0
1726136963922,0,6447,1414,0
1726136965002,0,6444,1264,0
1726136966082,0,6440,1193,0
1726136967162,0,6452,1255,0
1726136967882,0,6431,1149,0
1726136968962,0,6438,997,0
1726136970042,0,6447,1032,0
1726136971122,0,6438,1062,0
1726136972202,0,6442,1071,0
1726136972922,0,6434,1034,0
1726136974002,0,6449,1122,0
1726136975082,0,6434,1077,0
1726136976162,0,6450,1052,0
1726136976882,0,6436,1108,0
1726136977962,0,6426,1131,0
1726136979042,0,6445,1097,0
1726136980122,0,6419,996,0
1726136981203,0,6432,1082,0
1726136981922,0,6437,1005,0
1726136983002,0,6422,1007,0
1726136984082,0,6436,1069,0
1726136985162,0,6440,1180,0
1726136985882,0,6424,1363,0
1726136986962,0,6416,1478,0
1726136988042,0,6449,1455,0
1726136989122,0,6422,1657,0
1726136990202,0,6434,1670,0
1726136990922,0,6424,1643,0
1726136992002,0,6418,1507,0
1726136993083,0,6423,1479,0
1726136994163,0,6412,1427,0
1726136994883,0,6420,1173,0
1726136995963,0,6417,1245,0
1726136997043,0,6418,1210,0
1726136998122,0,6415,1191,0
1726136999202,0,6423,1137,0
1726136999922,0,6416,1171,0
1726137001002,0,6422,1192,0
1726137002084,0,6412,1022,0
1726137003163,0,6412,1105,0
1726137003883,0,6411,1146,0
1726137004963,0,6415,1305,0
1726137006043,0,6411,1404,0
1726137007123,0,6411,1697,0
1726137008203,0,6404,1650,0
1726137008923,0,6422,1565,0
1726137010003,0,6419,1615,0
1726137011083,0,6413,1660,0
1726137012163,0,6417,1614,0
1726137012883,0,6407,1374,0
1726137013963,0,6425,1261,0
1726137015043,0,6407,1297,0
1726137016123,0,6425,1291,0
1726137017203,0,6398,1230,0
1726137017923,0,6416,1232,0
1726137019003,0,6398,1319,0
1726137020083,0,6402,1361,0
1726137021163,0,6422,1350,0
1726137021883,0,6403,1363,0
1726137022963,0,6406,1376,0
1726137024043,0,6410,1365,0
1726137025123,0,6388,1275,0
1726137026203,0,6410,1240,0
1726137026923,0,6398,1222,0
1726137028003,0,6409,1266,0
1726137029083,0,6399,1165,0
1726137030163,0,6419,1152,0
1726137030883,0,6400,1081,0
1726137031963,0,6399,1083,0
1726137033044,0,6397,1123,0
1726137034123,0,6390,1044,0
1726137035203,0,6411,1118,0
1726137035923,0,6393,1239,0
1726137037003,0,6412,1428,0
1726137038083,0,6389,1408,0
1726137039163,0,6394,1377,0
1726137039883,0,6399,1411,0
1726137040963,0,6411,1420,0
1726137042043,0,6415,1321,0
1726137043123,0,6405,1143,0
1726137044203,0,6378,1104,0
1726137044923,0,6379,1103,0
1726137046004,0,6390,1022,0
1726137047084,0,6400,1032,0
1726137048163,0,6400,1006,0
1726137048884,0,6387,904,0
1726137049963,0,6379,1008,0
1726137051044,0,6398,1052,0
1726137052123,0,6398,991,0
1726137053204,0,6373,985,0
1726137053923,0,6393,974,0
1726137055003,0,6409,970,0
1726137056084,0,6387,978,0
1726137057163,0,6371,971,0
1726137057884,0,6391,1065,0
1726137058964,0,6402,1070,0
1726137060044,0,6382,1204,0
1726137061124,0,6389,1439,0
1726137062205,0,6380,1526,0
1726137062924,0,6399,1641,0
1726137064004,0,6385,1572,0
1726137065084,0,6382,1553,0
1726137066164,0,6376,1516,0
1726137066884,0,6400,1388,0
1726137067963,0,6376,1384,0
1726137069044,0,6377,1313,0
1726137070124,0,6386,1586,0
1726137071204,0,6364,1725,0
1726137071924,0,6386,1813,0
1726137073004,0,6371,2058,0
1726137074084,0,6382,2274,0
1726137075164,0,6382,2555,0
1726137075884,0,6413,2713,0
1726137076964,0,6420,3635,0
1726137078044,0,6420,2937,0
