UTCTimestamp_ms,SpO2,DC_R,acc_power,HR
1727456727818,0,0,0,0
1727456728538,0,0,0,0
1727456729618,0,0,0,0
1727456730698,0,0,0,0
1727456731778,0,0,0,0
1727456732498,0,0,0,0
1727456733578,0,5009,10596,0
1727456734658,0,4978,20622,0
1727456735738,0,4953,16777,0
1727456736818,0,4946,63264,0
1727456737538,0,4940,62810,0
1727456738618,0,4962,29360,0
1727456739698,0,4965,17731,0
1727456740778,0,4981,28165,0
1727456741498,0,4812,14009,0
1727456742578,0,4798,0,0
1727456743659,0,4795,0,0
1727456744738,0,4786,0,0
1727456745819,0,4786,0,0
1727456746539,0,4774,0,0
1727456747262,0,4778,0,0
1727456748342,0,4765,59597,0
1727456749422,0,4754,63666,0
1727456750142,0,4769,55824,0
1727456751222,0,4768,44409,0
1727456752302,0,4755,38059,0
1727456753382,0,4740,33111,0
1727456754462,0,4738,29250,0
1727456755182,0,4734,25533,0
1727456756262,0,4722,14178,0
1727456757342,0,4722,12996,0
1727456758422,0,4717,9769,0
1727456759142,0,4712,7771,0
1727456760222,0,4703,8605,0
1727456761302,0,4701,8116,0
1727456762382,0,4697,8551,0
1727456763462,0,4686,10296,0
1727456764182,0,4679,10293,0
1727456765263,0,4683,0,0
1727456766344,0,4677,0,0
1727456767423,0,4675,6570,0
1727456768143,0,4659,4159,0
1727456769223,0,4658,3352,0
1727456770303,0,4652,2730,0
1727456771383,0,4655,2361,0
1727456772463,0,4642,2042,0
1727456773183,0,4644,1582,0
1727456774263,0,4629,1278,0
1727456775343,0,4626,1318,0
1727456776423,0,4629,1307,0
1727456777143,0,4628,1226,0
1727456778223,0,4623,1245,0
1727456779303,0,4611,1249,0
1727456780383,0,4609,1205,0
1727456781463,0,4609,1131,0
1727456782183,0,4609,1072,0
1727456783263,0,4598,1258,0
1727456784343,0,4593,1222,0
1727456785423,0,4594,1207,0
1727456786143,0,4598,1345,0
1727456787223,0,4589,1458,0
1727456788303,0,4590,1445,0
1727456789383,0,4580,1390,0
1727456790463,0,4582,1420,0
1727456791183,0,4578,1408,0
1727456792264,0,4570,1167,0
1727456793343,0,4575,1211,0
1727456794423,0,4571,34824,0
1727456795143,0,4557,57740,0
1727456796223,0,4554,58181,0
1727456797303,0,4553,1395,0
1727456798384,0,4550,1404,0
1727456799464,0,4558,1385,0
1727456800184,0,4555,1311,0
1727456801264,0,4550,1199,0
1727456802343,0,4536,1119,0
1727456803424,0,4530,1062,0
1727456804144,0,4529,995,0
1727456805224,0,4534,991,0
1727456806304,0,4543,1053,0
1727456807384,0,4540,1210,0
1727456808464,0,4538,1282,0
1727456809184,0,4534,8259,0
1727456810264,0,4518,14219,0
1727456811344,0,4508,9623,0
1727456812424,0,4512,3774,0
1727456813144,0,4516,6749,0
1727456814224,0,4513,4253,0
1727456815304,0,4515,2050,0
1727456816384,0,4503,2719,0
1727456817464,0,4502,2269,0
1727456818184,0,4495,2037,0
1727456819264,0,4494,1807,0
1727456820344,0,4506,976,0
1727456821424,0,4490,1134,0
1727456822144,0,4490,1189,0
1727456823224,0,4487,1283,0
1727456824304,0,4491,1268,0
1727456825384,0,4491,1395,0
1727456826464,0,4483,1584,0
1727456827184,0,4482,1615,0
1727456828264,0,4482,1739,0
1727456829344,0,4482,1370,0
1727456830425,0,4475,1422,0
1727456831145,0,4471,1283,0
1727456832225,0,4484,1179,0
1727456833305,0,4467,1180,0
1727456834385,0,4465,1261,0
1727456835465,0,4462,1258,0
1727456836185,0,4470,1239,0
1727456837265,0,4461,1392,0
1727456838345,0,4465,1292,0
1727456839425,0,4461,1221,0
1727456840145,0,4469,1252,0
1727456841225,0,4460,1264,0
1727456842305,0,4450,1338,0
1727456843385,0,4450,1375,0
1727456844465,0,4450,1577,0
1727456845185,0,4443,1618,0
1727456846265,0,4443,1697,0
1727456847345,0,4443,1946,0
1727456848425,0,4443,1889,0
1727456849145,0,4448,1675,0
1727456850225,0,4454,1693,0
1727456851305,0,4446,1658,0
1727456852385,0,4446,1717,0
1727456853465,0,4444,1718,0
1727456854185,0,4441,1855,0
1727456855265,0,4428,2036,0
1727456856345,0,4430,2218,0
1727456857425,0,4425,2510,0
1727456858145,0,4432,2924,0
1727456859225,0,4445,2978,0
1727456860305,0,4433,4738,0
1727456861385,0,4436,3660,0
1727456862466,0,4421,3322,0
1727456863186,0,4416,2532,0
1727456864266,0,4420,3969,0
1727456865346,0,4416,3437,0
1727456866426,0,4429,2947,0
1727456867146,0,4426,2472,0
1727456868226,0,4422,2223,0
1727456869306,0,4426,1901,0
1727456870386,0,4409,1694,0
1727456871466,0,4409,1495,0
1727456872186,0,4406,1228,0
1727456873266,0,4419,1186,0
1727456874346,0,4402,1044,0
1727456875426,0,4407,1119,0
1727456876146,0,4409,1152,0
1727456877226,0,4415,1220,0
1727456878306,0,4400,1188,0
1727456879386,0,4397,1151,0
1727456880466,0,4392,1194,0
1727456881186,0,4406,1145,0
1727456882266,0,4398,1178,0
1727456883346,0,4406,1230,0
1727456884426,0,4399,1335,0
1727456885146,0,4402,1493,0
1727456886227,0,4394,1522,0
1727456887306,0,4395,1689,0
1727456888386,0,4398,1582,0
1727456889467,0,4400,1486,0
1727456890186,0,4397,1260,0
1727456891266,0,4382,1146,0
1727456892346,0,4393,1202,0
1727456893427,0,4406,1202,0
1727456894147,0,4399,1247,0
1727456895227,0,4393,1413,0
1727456896307,0,4405,1479,0
1727456897387,0,4386,1434,0
1727456898467,0,4382,1541,0
1727456899187,0,4381,1527,0
1727456900267,0,4384,1448,0
1727456901347,0,4382,1403,0
1727456902427,0,4376,1529,0
1727456903147,0,4386,1563,0
1727456904227,0,4365,1560,0
1727456905307,0,4378,1635,0
1727456906387,0,4383,1455,0
1727456907467,0,4384,1421,0
1727456908187,0,4383,1487,0
1727456909267,0,4376,1291,0
1727456910347,0,4371,1338,0
1727456911427,0,4370,1448,0
1727456912147,0,4370,1565,0
1727456913227,0,4370,1430,0
1727456914307,0,4364,1311,0
1727456915388,0,4366,1594,0
1727456916467,0,4372,1524,0
1727456917187,0,4377,1636,0
1727456918267,0,4374,1642,0
1727456919347,0,4354,1662,0
1727456920427,0,4371,1685,0
1727456921147,0,4364,1652,0
1727456922227,0,4353,1500,0
1727456923307,0,4368,1300,0
1727456924388,0,4359,1097,0
1727456925468,0,4358,1237,0
1727456926188,0,4370,1289,0
1727456927268,0,4367,1150,0
1727456928348,0,4357,1248,0
1727456929427,0,4358,1264,0
1727456930147,0,4351,1264,0
1727456931228,0,4356,1366,0
1727456932307,0,4347,1479,0
1727456933388,0,4344,1587,0
1727456934468,0,4346,1598,0
1727456935188,0,4341,1576,0
1727456936268,0,4345,1590,0
1727456937348,0,4357,1567,0
1727456938428,0,4356,1444,0
1727456939148,0,4354,1194,0
1727456940228,0,4353,1176,0
1727456941308,0,4356,1216,0
1727456942388,0,4345,1243,0
1727456943468,0,4346,1420,0
1727456944188,0,4345,1520,0
1727456945268,0,4345,1611,0
1727456946349,0,4344,1629,0
1727456947428,0,4343,1430,0
1727456948148,0,4344,1357,0
1727456949228,0,4343,1262,0
1727456950308,0,4355,1071,0
1727456951388,0,4341,1148,0
