UTCTimestamp_ms,SpO2,DC_R,acc_power,HR
1728056152594,0,0,0,0
1728056153314,0,0,0,0
1728056154394,0,0,0,0
1728056155473,0,0,0,0
1728056156554,0,0,0,0
1728056157274,0,0,0,0
1728056158354,0,0,8867,0
1728056159434,0,3242,335,0
1728056160157,0,3242,56123,0
1728056161237,0,3263,32709,0
1728056161957,0,3301,26143,0
1728056163037,0,3303,49063,0
1728056164117,0,3303,17972,0
1728056165198,0,3290,55465,0
1728056165917,0,3286,46081,0
1728056166997,0,3283,0,0
1728056168077,0,3278,35999,0
1728056169157,0,3274,26326,0
1728056170238,0,3273,57347,0
1728056170957,0,3269,36957,0
1728056172037,0,3264,23195,0
1728056173118,96,3266,11014,0
1728056174198,97,3264,2587,0
1728056174917,97,3264,46722,0
1728056175997,96,3264,34509,0
1728056177078,96,3264,30621,0
1728056178158,96,3250,20916,0
1728056179238,97,3257,14930,0
1728056179957,97,3257,13430,0
1728056181037,97,3251,10207,0
1728056182118,96,3248,9174,0
1728056183197,96,3248,8343,0
1728056183917,96,3244,6505,0
1728056184997,96,3242,6639,0
1728056186077,96,3244,6460,0
1728056187158,96,3244,5703,0
1728056188238,96,3241,4087,0
1728056188958,97,3240,3982,0
1728056190038,97,3240,3940,0
1728056191119,96,3241,3446,62
1728056192198,96,3240,2857,62
1728056192918,96,3239,1759,61
1728056193998,96,3232,1385,61
1728056195078,97,3232,3505,60
1728056196158,97,5840,3989,59
1728056197238,97,6683,4713,61
1728056197958,0,5014,5853,0
1728056199038,0,5014,7760,0
1728056200118,0,3183,11590,0
1728056201198,0,3147,22834,0
1728056201922,0,3147,0,0
1728056203005,94,6922,0,0
1728056204087,92,6922,0,0
1728056205163,89,6922,0,0
1728056206243,85,6922,0,0
1728056206963,83,6922,0,0
1728056208048,82,6922,0,0
1728056209129,82,7016,0,0
1728056210210,81,7016,0,0
1728056210929,81,7016,0,0
1728056212010,81,6923,0,0
1728056213089,82,6929,0,0
1728056214166,82,6920,0,65
1728056215246,82,6918,0,63
1728056215966,81,6922,0,63
1728056217045,81,6919,18087,62
1728056218124,82,6919,19038,62
1728056219205,83,6933,12784,64
1728056219924,84,6941,10676,63
1728056221005,86,6949,49843,63
1728056222085,88,6960,29164,63
1728056223165,89,6960,44259,62
1728056224245,90,6948,4759,62
1728056224965,91,6946,3991,62
1728056226045,92,6949,3663,62
1728056227125,92,6955,2683,62
1728056228206,93,6959,2465,61
1728056228926,94,6959,2217,60
1728056230006,95,6968,1651,0
1728056231086,95,6968,35881,0
1728056232166,95,6966,28117,60
1728056233246,96,6948,13358,62
1728056233966,96,6934,19418,63
1728056235044,96,6921,16580,64
1728056236125,96,6914,11725,62
1728056237205,96,6919,13074,61
1728056237925,96,6926,14009,60
1728056239005,96,6926,11430,58
1728056240084,95,6926,10129,59
1728056241165,95,6952,10079,61
1728056242245,94,6960,9451,61
1728056242965,94,6964,8711,61
1728056244045,94,6967,6855,60
1728056245125,93,6972,4671,60
1728056246205,93,6971,2882,59
1728056246925,93,6976,2578,61
1728056248005,93,6974,2366,60
1728056249085,93,6980,2723,61
1728056250165,94,6985,1974,61
1728056251245,94,6986,2132,60
1728056251965,95,6985,2176,60
1728056253045,95,6986,2018,60
1728056254123,95,6983,1874,59
1728056255204,96,6981,1848,59
1728056255925,96,6975,1792,58
1728056257004,96,6974,1461,59
1728056258084,96,6979,3637,59
1728056259164,96,6987,1822,60
1728056260244,96,6983,2471,60
1728056260964,96,6980,3358,61
1728056262044,96,6994,3879,63
1728056263124,96,6983,4709,62
1728056264204,96,6978,5965,59
1728056264925,96,6980,7790,0
1728056266005,96,7013,11826,0
1728056267085,96,7022,0,0
1728056268165,96,7026,0,0
1728056269245,96,7026,0,0
1728056269965,96,7048,0,0
1728056271045,96,7077,0,0
1728056272124,95,7106,0,0
1728056273203,95,7122,0,57
1728056273924,95,7140,0,0
1728056275004,95,7160,0,0
1728056276083,96,7160,0,0
1728056277163,96,7182,0,0
1728056278243,96,7184,45585,0
1728056278964,96,7189,32067,0
1728056280043,96,7200,12311,57
1728056281123,95,7215,1230,57
1728056282203,95,7225,41704,56
1728056282924,94,7225,34326,56
1728056284003,93,7228,28795,56
1728056285083,93,7234,23612,57
1728056286164,93,7241,23620,58
1728056287244,93,7238,20135,59
1728056287964,93,7274,19747,0
1728056289044,94,7305,23036,0
1728056290124,94,7285,13271,0
1728056291202,94,7285,4021,0
1728056291922,93,7176,35708,0
1728056293003,93,7119,18714,0
1728056294082,94,7105,45121,0
1728056295163,94,7260,28999,0
1728056296243,94,7260,4594,0
1728056296963,94,7305,18560,0
1728056298043,94,7300,49236,0
1728056299123,94,7300,4448,59
1728056300203,94,7297,17291,58
1728056300923,94,7299,33920,58
1728056302003,94,7305,48703,59
1728056303083,94,7305,31034,58
1728056304163,94,7305,24273,58
1728056305243,94,7352,20181,59
1728056305963,95,7358,17009,59
1728056307043,95,7369,14684,59
1728056308123,95,7379,10462,58
1728056309202,95,7387,6638,59
1728056309921,96,7398,6189,59
1728056311002,96,7402,4514,59
1728056312081,96,7406,3282,58
1728056313162,96,7405,2918,59
1728056314242,96,7409,2852,60
1728056314962,96,7413,2779,60
1728056316042,95,7419,2580,61
1728056317122,94,7427,2511,61
1728056318202,93,7427,2515,61
1728056318922,93,7429,2691,61
1728056320002,92,7431,2165,61
1728056321082,92,7433,2348,61
1728056322162,92,7433,2353,62
1728056323242,92,7433,1951,63
1728056323962,93,7433,1786,63
1728056325042,93,7437,1614,64
1728056326122,93,7445,1659,63
1728056327202,94,7453,1713,61
1728056327576,94,7460,1490,61
1728056328654,94,7464,1437,62
1728056329735,94,7468,1550,63
1728056330815,94,7473,1704,63
1728056331897,94,7476,3008,62
1728056332616,94,7445,6172,61
1728056333696,94,7373,7246,60
1728056334776,94,7259,8845,0
1728056335856,94,7259,11356,0
1728056336576,94,7248,15677,0
1728056337656,94,7248,25881,0
1728056338736,94,7254,0,0
1728056339817,94,7258,0,0
1728056340896,94,7256,0,0
1728056341616,0,7273,46444,0
1728056342697,0,7261,27359,0
1728056343777,0,7271,30475,0
1728056344856,0,7280,47137,0
1728056345576,0,7280,17966,0
1728056346655,0,7289,0,65
1728056347735,0,7296,0,64
1728056348815,0,7291,0,58
1728056349895,0,7295,0,59
1728056350615,0,7296,0,61
1728056351695,0,7294,0,60
1728056352775,0,7296,0,59
1728056353855,0,7295,0,61
1728056354575,0,7295,0,62
1728056355655,0,7301,0,61
1728056356735,0,7301,0,60
1728056357816,0,7312,0,61
1728056358895,0,7326,0,60
1728056359615,0,7324,0,61
1728056360695,0,7314,0,61
1728056361775,0,7350,0,61
1728056362855,0,7352,31769,59
1728056363576,0,7349,14959,60
1728056364656,0,7360,44009,0
1728056365734,0,7404,36774,0
1728056366814,0,7447,15135,0
1728056367894,0,7483,17045,0
1728056368614,0,7483,13535,0
1728056369690,0,7483,13535,0
1728056370770,0,7483,13535,0
1728056371854,0,7360,13535,0
1728056372574,0,7370,8597,0
1728056373654,0,7370,11797,0
1728056374734,0,7394,10182,0
1728056375815,0,7401,6866,60
1728056376894,0,7401,4732,55
1728056377614,0,7409,44769,0
1728056378694,0,7434,33074,64
1728056379774,0,7417,26178,61
1728056380854,0,7154,21586,66
1728056381574,0,7083,18292,67
1728056382654,0,7045,15879,63
1728056383732,0,7014,11637,58
1728056384813,0,7001,8464,58
1728056385892,0,6977,6651,58
1728056386613,0,6985,5222,59
1728056387693,0,7000,4523,58
1728056388773,0,7000,4051,58
1728056389853,0,6997,3971,58
1728056390573,0,6993,4613,0
1728056391654,0,6993,5381,0
1728056392733,0,7063,6745,0
1728056393814,0,7055,7719,0
1728056394893,95,7017,9644,0
1728056395614,95,7014,32244,0
1728056396693,95,7067,41062,0
1728056397774,96,7067,0,0
1728056398854,96,7080,0,0
1728056399574,96,7080,0,0
1728056400654,96,7098,0,0
1728056401734,96,7121,0,0
1728056402813,96,7106,0,0
1728056403892,96,7085,0,60
1728056404612,95,7066,25525,61
1728056405692,95,7052,28092,60
1728056406772,94,7051,24256,61
1728056407852,93,7065,18461,62
1728056408572,93,7082,15542,60
1728056409652,93,7106,13318,65
1728056410732,93,7123,11832,64
1728056411812,93,7129,10951,61
1728056412892,93,7128,6953,61
1728056413612,94,7121,5437,61
1728056414692,94,7125,4057,61
1728056415772,94,7133,3050,60
1728056416852,94,7132,2861,60
1728056417573,94,7136,2412,61
1728056418652,94,7146,2597,61
1728056419732,94,7159,2589,63
1728056420813,94,7172,2533,63
1728056421891,94,7176,2485,64
1728056422611,95,7162,2345,64
1728056423691,95,7141,2261,64
1728056424771,95,7125,2046,63
1728056425851,95,7109,1507,64
1728056426571,95,7099,1348,65
1728056427651,96,7106,1214,65
1728056428731,96,7124,1198,65
1728056429812,96,7141,1218,64
1728056430891,96,7156,1231,63
1728056431611,96,7153,1430,63
1728056432692,96,7150,1492,65
1728056433772,96,7165,1618,66
1728056434852,96,7175,1551,66
1728056435572,95,7186,3534,65
