UTCTimestamp_ms,SpO2,DC_R,acc_power,HR
1732209512196,0,0,0,0
1732209512916,0,0,0,0
1732209513996,0,0,0,0
1732209515075,0,0,0,0
1732209515799,0,0,0,0
1732209516518,0,6310,0,0
1732209517598,0,6304,50758,0
1732209518678,0,6286,13267,0
1732209519758,0,6278,3310,0
1732209520839,0,6272,54257,0
1732209521559,0,6284,31762,0
1732209522638,0,6289,61464,0
1732209523719,0,6267,15953,0
1732209524800,0,6267,16834,0
1732209525518,0,6268,7776,0
1732209526598,0,6253,52836,0
1732209527678,0,6267,34118,0
1732209528758,0,6236,14735,0
1732209529839,0,6250,51163,0
1732209530559,0,6235,25234,0
1732209531638,0,6234,61336,0
1732209532719,0,6231,36444,0
1732209533799,0,6223,5545,0
1732209534518,0,6231,25132,0
1732209535598,0,6214,6504,0
1732209536678,0,6229,50868,0
1732209537759,0,6226,11287,0
1732209538839,0,6204,1151,0
1732209539559,0,6203,56196,0
1732209540638,0,6223,30467,0
1732209541718,0,6201,29141,0
1732209542799,96,6188,19982,0
1732209543518,96,6205,13788,0
1732209544598,96,6202,13403,0
1732209545678,97,6181,9133,0
1732209546758,97,6180,6271,0
1732209547839,97,6196,6002,0
1732209548558,97,6203,4582,0
1732209549638,97,6187,3165,0
1732209550719,97,6175,2828,0
1732209551799,96,6170,1821,0
1732209552518,97,6167,1672,0
1732209553598,96,6164,1473,0
1732209554678,93,6162,1323,0
1732209555758,91,6158,1185,0
1732209556839,87,6155,1107,0
1732209557559,84,6154,1138,0
1732209558639,82,6156,1138,0
1732209559719,81,6159,1182,0
1732209560799,81,6166,1061,0
1732209561518,83,6167,1091,0
1732209562598,84,6161,1164,0
1732209563679,86,6143,1270,0
1732209564758,88,6139,1390,0
1732209565838,88,6135,1419,0
1732209566559,88,6140,1416,0
1732209567638,91,6151,1400,0
1732209568719,95,6149,1390,0
1732209569799,97,6145,1340,0
1732209570518,97,6134,1368,0
1732209571598,97,6123,1363,0
1732209572678,96,6116,1416,0
1732209573759,96,6113,1426,0
1732209574838,96,6109,1415,0
1732209575559,97,6113,1367,0
1732209576639,97,6117,1168,0
1732209577719,97,6113,1169,0
1732209578799,97,6110,24967,0
1732209579518,95,6107,57890,0
1732209580599,95,6104,50876,0
1732209581678,94,6102,54891,0
1732209582759,93,6115,52912,0
1732209583839,92,6125,42189,0
1732209584559,92,6123,22869,0
1732209585639,92,6101,41921,0
1732209586719,92,6098,36915,0
1732209587799,92,6095,48001,0
1732209588518,92,6100,30399,0
1732209589599,92,6099,5620,0
1732209590678,93,6099,41661,0
1732209591758,93,6102,1690,0
1732209592838,93,6108,36896,0
1732209593559,93,6108,18927,0
1732209594639,93,6109,34522,0
1732209595719,93,6112,16885,0
1732209596799,93,6111,8330,0
1732209597162,93,6112,15968,0
1732209598242,93,6116,7312,0
1732209599322,93,6114,3772,0
1732209600402,93,6108,6015,0
1732209601482,93,6089,1580,0
1732209602203,93,6086,2944,0
1732209603282,93,6084,3015,0
1732209604362,93,6083,1331,0
1732209605442,93,6104,2174,0
1732209606162,93,6092,1278,0
1732209607242,0,6085,1465,0
1732209608322,0,6093,1873,0
1732209609402,0,6088,1743,0
1732209610482,0,6086,2479,0
1732209611202,0,6090,4397,0
1732209612282,0,6085,56456,0
1732209613362,0,6091,11566,0
1732209614442,0,6087,60261,0
1732209615162,0,6087,60253,0
1732209616242,0,6086,60258,0
1732209617322,0,6085,60253,0
1732209618402,0,6083,60259,0
1732209619482,0,6084,61412,0
1732209620202,0,6083,10000,0
1732209621282,0,6080,4336,0
1732209622362,0,6082,16221,0
1732209623442,0,6083,11534,0
1732209624162,0,6080,9653,0
1732209625242,0,6083,11408,0
1732209626322,0,6083,10079,0
1732209627402,0,6081,9741,0
1732209628482,0,6079,10619,0
1732209629202,0,6080,12393,0
1732209630282,0,6080,14918,0
1732209631362,0,6080,14628,0
1732209632442,0,6080,18681,0
1732209633162,0,6078,21901,0
1732209634242,0,6078,4404,0
1732209635322,0,6078,3054,0
1732209636402,0,6077,2298,0
1732209637482,0,6076,1869,0
1732209638202,0,6077,1681,0
1732209639282,0,6076,1566,0
1732209640362,0,6076,1509,0
1732209641442,0,6075,1247,0
1732209642162,0,6075,1225,0
1732209643242,0,6074,1347,0
1732209644322,0,6074,1399,0
1732209645402,0,6074,1430,0
1732209646482,0,6074,1422,0
1732209647202,0,6073,1422,0
1732209648282,0,6073,1565,0
1732209649362,0,6072,1436,0
1732209650442,0,6073,1410,0
1732209651162,0,6072,1522,0
1732209652242,0,6072,1532,0
1732209653322,0,6072,1479,0
1732209654402,0,6071,1361,0
