UTCTimestamp_ms,SpO2,DC_R,acc_power,HR
96564412,0,0,0,0
96565132,0,0,0,0
96566212,0,0,0,0
96567291,0,0,0,0
96568371,0,0,0,0
96569092,0,0,0,0
96570172,0,6122,36811,0
96571252,0,6115,59024,0
96571975,0,6110,50731,0
96573055,0,6101,23979,0
96573775,0,6109,58401,0
96574855,0,6095,23101,0
96575935,0,6110,31779,0
96577016,0,6081,20205,0
96577735,0,6083,63277,0
96578815,0,6094,21011,0
96579895,0,6069,59737,0
96580975,0,6084,63503,0
96582056,0,6066,33044,0
96582775,0,6074,5240,0
96583855,0,6058,31911,0
96584936,0,6062,27263,0
96586016,0,6052,24994,0
96586735,0,6056,5519,0
96587815,0,6046,6910,0
96588895,0,6044,20284,0
96589976,0,6030,33845,0
96591055,0,6038,0,0
96591775,0,6034,0,0
96592855,0,6022,9956,0
96593936,0,6024,9746,0
96595016,0,6020,8971,0
96595735,0,6014,7270,0
96596815,0,6020,6535,0
96597895,0,6010,5692,0
96598976,0,6017,5059,0
96600056,0,6000,4690,0
96600776,0,6005,3140,0
96601855,0,5999,2793,0
96602937,0,5999,2388,0
96604016,0,5985,1568,0
96604736,0,5996,1699,0
96605816,0,5988,1784,0
96606895,0,5990,1671,0
96607976,0,5982,1583,0
96609056,0,5975,1523,0
96609776,0,5981,1483,0
96610856,0,5983,1434,0
96611936,0,5973,1131,0
96613016,0,5988,1181,0
96613736,0,5968,1233,0
96614816,0,5970,1235,0
96615896,0,5979,1270,0
96616976,0,5975,1191,0
96618056,0,5979,1208,0
96618776,0,5962,1121,0
96619856,0,5980,927,0
96620936,0,5976,960,0
96622016,0,5965,958,0
96622736,0,5978,1132,0
96623817,0,5971,1299,0
96624896,0,5975,1410,0
96625976,0,5966,1500,0
96627056,0,5966,1665,0
96627776,0,5960,1775,0
96628857,0,5957,1834,0
96629936,0,5960,1787,0
96631017,0,5965,7932,0
96631736,0,5965,53159,0
96632816,0,5971,55001,0
96633896,0,5966,14010,0
96634976,0,5971,37424,0
96636057,0,5954,37951,0
96636776,0,5943,54463,0
96637856,0,5948,5778,0
96638936,0,5962,179,0
96640016,0,5964,28308,0
96640736,0,5956,38181,0
96641817,0,5945,22629,0
96642896,0,5944,12088,0
96643976,0,5951,14627,0
96645057,0,5964,14235,0
96645776,0,5967,1222,0
96646857,0,5968,1416,0
96647937,0,5964,1434,0
96649017,0,5964,1538,0
96649737,0,5961,1555,0
96650817,0,5972,1615,0
96651896,0,5948,1598,0
96652976,0,5945,2753,0
96654056,0,5954,1607,0
96654777,0,5943,2765,0
96655856,0,5948,1896,0
96656937,0,5938,1272,0
96658017,0,5959,1938,0
96658737,0,5952,1251,0
96659817,0,5935,1429,0
96660897,0,5957,1705,0
96661977,0,5953,1704,0
96663057,0,5949,1681,0
96663777,0,5955,1593,0
96664857,0,5951,1536,0
96665937,0,5954,1451,0
96667017,0,5956,1232,0
96667737,0,5935,1294,0
96668817,0,5938,1225,0
96669897,0,5942,1303,0
96670977,0,5948,1393,0
96672057,0,5931,1451,0
96672777,0,5942,1368,0
96673857,0,5946,1385,0
96674937,0,5934,1439,0
96676017,0,5942,1400,0
96676737,0,5932,1209,0
96677817,0,5936,1127,0
96678897,0,5943,1067,0
96679977,0,5935,1026,0
96681057,0,5941,1139,0
96681777,0,5932,1254,0
96682857,0,5944,1298,0
96683937,0,5925,1593,0
96685017,0,5928,1647,0
96685737,0,5923,1514,0
96686817,0,5922,1435,0
96687897,0,5923,1475,0
96688977,0,5928,1481,0
96690057,0,5922,1412,0
96690777,0,5931,1315,0
96691857,0,5925,1272,0
96692937,0,5921,1387,0
96694018,0,5925,1267,0
96694737,0,5920,1253,0
96695818,0,5915,1196,0
96696897,0,5924,1179,0
96697977,0,5916,1218,0
96699057,0,5928,1378,0
96699777,0,5923,1339,0
96700857,0,5934,1372,0
96701937,0,5925,1352,0
96703018,0,5912,1384,0
96703737,0,5923,1391,0
96704818,0,5925,1253,0
96705898,0,5914,1210,0
96706978,0,5922,1249,0
96708058,0,5922,1265,0
96708778,0,5932,1227,0
96709858,0,5911,1336,0
