UTCTimestamp_ms,SpO2,DC_R,acc_power,HR
1639661226505,0,0,0,0
1639661226505,0,0,0,0
1639661226505,0,0,0,0
1639661228709,0,0,0,0
1639661228709,0,7792,0,0
1639661230899,0,7809,19581,0
1639661230899,0,7818,6201,0
1639661233103,0,7796,26227,0
1639661233103,0,7796,63366,0
1639661235541,0,7810,49825,0
1639661235541,0,7823,62282,0
1639661237763,0,8309,63057,0
1639661237763,0,8309,56129,0
1639661237763,0,8309,10985,0
1639661239974,0,9328,0,0
1639661239974,0,9063,0,0
1639661242177,0,9063,0,0
1639661242177,0,9063,0,0
1639661244383,0,9063,0,0
1639661244383,0,9104,0,0
1639661246584,0,9104,0,0
1639661246584,0,9104,0,8
1639661248786,0,9104,0,0
1639661248786,0,9104,22129,0
1639661248786,0,9104,25814,0
1639661250990,0,9104,20263,0
1639661250990,0,9104,16087,0
1639661253192,0,9104,14044,0
1639661253192,0,9104,11204,0
1639661255379,0,9104,10218,0
1639661255379,0,9104,6609,0
1639661257191,0,9104,5158,0
1639661257191,0,9104,4747,0
1639661260022,0,9104,2924,0
1639661260022,0,9104,2321,0
1639661260022,0,9104,2221,0
1639661262024,0,9104,1865,0
1639661262024,0,9104,1546,0
1639661264025,0,9104,1481,0
1639661264025,0,9104,1352,0
1639661266024,0,9104,1037,0
1639661266024,0,9104,923,0
1639661268029,0,9104,810,0
1639661268029,0,9104,884,0
1639661271024,0,9105,890,0
1639661271024,0,9104,855,0
1639661271024,0,9105,822,0
1639661273023,0,9104,814,0
1639661273023,0,9105,768,0
1639661275199,0,9105,694,0
1639661275199,0,9105,640,0
1639661277022,0,9104,571,0
1639661277022,0,9104,680,0
1639661279023,0,9105,769,0
1639661279023,0,9104,952,0
1639661282027,0,9105,1024,0
1639661282027,0,9104,1013,0
1639661282027,0,9105,1083,0
1639661284023,0,9105,1050,0
1639661284023,0,9105,981,0
1639661286023,0,9105,865,0
1639661286023,0,9105,822,0
