UTCTimestamp_ms,SpO2,DC_R,acc_power,HR
1673704887767,0,0,0,0
1673704887767,0,0,0,0
1673704887767,0,0,0,0
1673704889976,0,0,0,0
1673704889976,0,0,0,0
1673704892172,0,9091,37211,0
1673704892172,0,9091,1368,0
1673704894380,0,9091,2063,0
1673704894380,0,9091,44491,0
1673704896586,0,9091,22287,0
1673704896586,0,9090,63149,0
1673704898778,0,9090,13975,0
1673704898778,0,9090,16665,0
1673704898778,0,9090,9720,0
1673704901006,0,9090,48926,0
1673704901006,0,9090,31469,0
1673704903175,0,9090,55892,0
1673704903175,0,9090,27246,0
1673704905492,0,9090,64170,0
1673704905492,0,9090,18232,0
1673704907715,0,9090,59459,0
1673704907715,0,9090,36284,0
1673704909937,0,9090,55808,0
1673704909937,0,9090,38320,0
1673704909937,0,9090,25143,0
1673704912177,0,9090,58415,0
1673704912177,0,9090,48912,0
1673704914411,0,9090,42984,0
1673704914411,0,9090,22406,0
1673704916643,0,9090,21575,0
1673704916643,0,9090,15440,0
1673704918854,0,9090,9894,0
1673704918854,0,9090,9556,0
1673704921094,0,9090,6874,0
1673704921094,0,9090,4730,0
1673704921094,0,9090,4616,0
1673704923324,0,9090,3658,0
1673704923324,0,9090,3618,0
1673704925548,0,9090,3486,0
1673704925548,0,9090,3303,0
1673704927769,0,9090,2954,0
1673704927769,0,9090,2978,0
1673704930004,0,9090,2796,0
1673704930004,0,9090,1951,0
1673704932239,0,9090,1538,0
1673704932239,0,9090,1976,0
1673704932239,0,9090,2433,0
1673704934471,0,9090,2687,0
1673704934471,0,9090,2803,0
1673704936697,0,9089,2860,0
1673704936697,0,9107,2965,0
1673704938927,0,9097,2748,0
1673704938927,0,9069,2135,0
1673704941148,0,9121,1720,0
1673704941148,0,9123,1434,0
1673704943386,0,9122,1279,0
1673704943386,0,9123,1009,0
1673704943386,0,9122,901,0
1673704945602,0,9122,816,0
1673704945602,0,9042,814,0
1673704947834,0,9089,815,0
1673704947834,0,9122,834,63
1673704950068,0,9119,888,61
1673704950068,0,9119,863,61
1673704952298,0,9108,1323,61
1673704952298,0,9108,1834,61
1673704954522,0,9108,6737,60
1673704954522,0,9105,58125,58
1673704954522,0,9105,58204,54
1673704956744,0,9105,29097,58
1673704956744,0,9105,57452,58
1673704958969,0,9090,57210,57
1673704958969,0,9090,4182,52
1673704961211,0,9090,46661,0
1673704961211,0,9090,43422,0
1673704963431,0,9090,42607,62
1673704963431,0,9090,21717,0
1673704965675,0,9090,59602,0
1673704965675,0,9090,23841,0
1673704965675,0,9090,52876,0
1673704967905,0,9090,30660,0
1673704967905,0,9090,10391,0
1673704970123,0,9090,25675,0
1673704970123,0,9090,14539,0
1673704972358,0,9090,4667,0
1673704972358,0,9090,11671,0
1673704974592,0,9090,6599,56
1673704974592,0,9090,2518,54
1673704976926,0,9090,4578,53
1673704976926,0,9090,1720,0
1673704976926,0,9090,2931,0
1673704978988,0,9120,2843,0
1673704978988,0,9074,2651,0
1673704981158,0,9074,1875,0
1673704981158,0,9083,4736,0
1673704983383,0,9083,1936,0
1673704983383,0,9083,5609,0
1673704985564,0,9322,12618,0
1673704985564,0,9484,13663,0
1673704987872,0,9195,15752,0
1673704987872,0,9333,4055,0
1673704987872,0,9443,5227,0
1673704990117,0,9443,5227,0
1673704990117,0,9443,6531,0
1673704992340,0,10257,3155,0
1673704992340,0,10996,4149,0
1673704994562,0,10996,10027,0
1673704994562,0,10996,10027,0
1673704996808,0,10580,15173,0
1673704996808,0,10440,8028,0
1673704999035,0,10440,13627,0
1673704999035,0,10316,11588,0
1673704999035,0,10344,3570,63
1673705001277,0,10344,8353,67
