UTCTimestamp_ms,SpO2,DC_R,acc_power,HR
1674137938330,0,0,0,0
1674137938330,0,0,0,0
1674137938330,0,0,0,0
1674137940476,0,0,0,0
1674137940476,0,0,0,0
1674137942777,0,10030,21292,0
1674137942777,0,9903,25730,0
1674137944953,0,9960,9168,0
1674137944953,0,9967,54387,0
1674137947148,0,8456,52157,0
1674137947148,0,8456,16045,0
1674137949338,0,8456,51084,0
1674137949338,0,8456,16322,0
1674137949338,0,8456,44265,0
1674137951531,0,6888,0,0
1674137951531,0,6887,50311,0
1674137953732,0,6887,2672,0
1674137953732,0,6887,58413,0
1674137955929,0,6887,25992,0
1674137955929,0,6886,61520,0
1674137958108,0,6886,34707,0
1674137958108,0,6885,8308,0
1674137960314,0,6884,39235,0
1674137960314,0,6884,27418,0
1674137960314,0,6884,11420,0
1674137962503,0,6883,50122,0
1674137962503,0,6883,43994,0
1674137964705,0,6883,36627,0
1674137964705,0,6883,19618,0
1674137966885,0,6882,18721,0
1674137966885,0,6882,13279,0
1674137969072,0,6882,9136,0
1674137969072,0,6882,8533,0
1674137971269,0,6882,5958,0
1674137971269,0,6881,4192,0
1674137971269,0,6881,3992,0
1674137973484,0,6881,2506,0
1674137973484,0,6880,1973,0
1674137975667,0,6880,1709,0
1674137975667,0,6880,1518,0
1674137977845,0,6880,1201,0
1674137977845,0,6880,1109,0
1674137980046,0,6880,986,0
1674137980046,0,6879,982,0
1674137982247,0,6879,998,0
1674137982247,0,6879,972,0
1674137982247,0,6879,948,0
1674137984422,0,6879,946,0
1674137984422,0,6879,814,0
1674137986610,0,6878,764,0
1674137986610,0,6878,689,0
1674137988807,0,6878,703,0
1674137988807,0,6878,735,0
1674137991010,0,6878,766,0
1674137991010,0,6878,1067,0
1674137993189,0,6878,2050,0
1674137993189,0,6878,2351,0
1674137993189,0,6877,2767,0
1674137995388,0,6877,2760,0
1674137995388,0,6877,2791,0
1674137997586,0,6877,2715,0
1674137997586,0,6877,2518,0
1674137999776,0,6877,1800,0
1674137999776,0,6877,1053,0
1674138001917,0,6877,710,0
1674138001917,0,6856,557,0
1674138004158,0,7164,36497,0
1674138004158,0,7164,46955,0
1674138004158,0,7095,43783,0
1674138006444,0,7001,3052,0
1674138006444,0,7001,3940,0
1674138008548,0,7001,4707,0
1674138008548,0,6986,4726,0
1674138010740,0,7016,4762,0
1674138010740,0,7001,4812,0
1674138012949,0,7001,4610,0
1674138012949,0,7001,4923,0
1674138015128,0,7001,45983,0
1674138015128,0,7001,30467,0
1674138015128,0,7001,45527,59
1674138017333,0,7001,23208,59
1674138017333,0,7001,13479,59
1674138019528,0,7000,22948,59
1674138019528,0,7000,10635,59
1674138021725,0,6968,5686,59
1674138021725,0,6875,9900,59
1674138023918,0,6875,5172,59
1674138023918,0,6875,2984,59
1674138026137,0,6875,3821,56
1674138026137,0,6874,1300,51
1674138026137,0,6874,2489,56
1674138028309,0,6874,1936,0
1674138028309,0,6874,1213,0
1674138030500,0,6874,1203,0
1674138030500,0,6874,1124,0
1674138032692,0,6874,956,0
1674138032692,0,6874,933,0
1674138034893,0,6874,792,0
1674138034893,0,6874,703,0
1674138037085,0,6874,796,0
1674138037085,0,6874,2807,0
1674138037085,0,6874,6161,0
1674138039284,0,6873,7976,0
1674138039284,0,6874,9851,0
1674138041479,0,6874,10609,0
1674138041479,0,6874,10710,0
1674138043685,0,6874,10755,0
1674138043685,0,6874,10398,0
1674138045872,0,6874,8518,0
1674138045872,0,6874,5043,0
1674138048078,0,6874,3700,0
1674138048078,0,6874,2230,0
1674138048078,0,6874,1678,0
1674138050267,0,6874,1225,0
1674138050267,0,6874,1030,0
1674138052469,0,6874,1059,0
1674138052469,0,6874,1762,0
1674138054664,0,6874,1177,55
1674138054664,0,6874,1131,56
1674138056768,0,6875,848,0
1674138056768,0,6875,895,0
1674138059001,0,9232,20725,0
1674138059001,0,10188,24175,0
1674138059001,0,8498,29005,0
1674138061257,0,9786,41432,0
1674138061257,0,10048,57999,0
1674138063444,0,10048,31115,0
1674138063444,0,10048,31115,0
1674138065662,0,10048,2738,0
1674138065662,0,10382,9546,0
1674138067845,0,10027,15026,0
1674138067845,0,10027,31299,0
1674138070054,0,10455,9214,0
1674138070054,0,10455,21599,0
1674138070054,0,10306,4740,0
1674138072236,0,10413,7042,0
1674138072236,0,10413,11309,0
1674138074443,0,10324,4502,57
1674138074443,0,10324,4755,56
1674138076637,0,10370,5178,56
1674138076637,0,10545,1501,61
1674138078825,0,10505,4209,0
1674138078825,0,10339,4630,0
1674138081022,0,10165,4572,0
1674138081022,0,10165,2307,0
1674138081022,0,10165,3024,0
1674138083237,88,10201,4005,0
1674138083237,87,10201,1295,0
1674138085420,87,10196,4701,0
1674138085420,87,10199,3840,57
1674138087630,87,10209,4071,57
1674138087630,88,10207,30313,57
1674138089813,88,10217,22925,57
1674138089813,86,10227,17143,58
1674138092021,86,10238,15006,58
1674138092021,83,10240,13382,58
1674138092021,81,10233,11434,59
1674138094216,81,10231,9983,59
1674138094216,82,10228,8254,58
1674138096405,83,10228,7405,57
1674138096405,84,10228,7387,58
1674138098598,87,10223,5009,59
1674138098598,89,10223,5600,57
1674138100800,91,10228,6886,55
1674138100800,91,10229,5809,54
1674138102994,92,10229,4473,55
1674138102994,93,10232,4336,56
1674138102994,93,10235,3584,56
1674138105184,94,10235,3542,55
1674138105184,94,10214,4500,0
