UTCTimestamp_ms,SpO2,DC_R,acc_power,HR
1677332576017,0,0,0,0
1677332576017,0,0,0,0
1677332576017,0,0,0,0
1677332578277,0,0,0,0
1677332578277,0,0,0,0
1677332580382,0,9127,23482,0
1677332580382,0,9947,36843,0
1677332582623,0,9902,29595,0
1677332582623,0,8691,12501,0
1677332584888,0,8691,54858,0
1677332584888,0,8691,27436,0
1677332587084,0,8691,52295,0
1677332587084,0,7918,52429,0
1677332587084,0,7918,52429,0
1677332589288,0,7919,47042,0
1677332589288,0,7919,47027,0
1677332591488,0,7918,46963,0
1677332591488,0,7919,32516,0
1677332593672,0,7918,32326,0
1677332593672,0,7919,29119,0
1677332595855,0,7919,7132,0
1677332595855,0,7918,65189,0
1677332598053,0,7918,46851,0
1677332598053,0,7919,23299,0
1677332598053,0,7919,60496,0
1677332600254,0,7919,18851,0
1677332600254,0,7918,59462,0
1677332602447,0,7918,25124,0
1677332602447,0,7918,14442,0
1677332604634,0,7918,8394,0
1677332604634,0,7918,33771,0
1677332606832,0,7918,3344,0
1677332606832,0,7918,660,0
1677332609021,0,7918,45112,0
1677332609021,0,7917,29794,0
1677332609021,0,7918,28381,0
1677332611227,0,7917,19346,0
1677332611227,0,7917,15278,0
1677332613411,0,7917,17596,0
1677332613411,0,7917,14731,0
1677332615612,0,7909,15076,0
1677332615612,0,8022,21067,0
1677332617806,0,7899,0,0
1677332617806,0,7899,0,0
1677332620006,0,7915,3264,0
1677332620006,0,7905,2062,0
1677332620006,0,7905,1565,0
1677332622204,0,7994,1299,0
1677332622204,0,7959,1186,0
1677332624396,0,7959,1079,0
1677332624396,0,7958,940,0
1677332626583,0,7958,900,0
1677332626583,0,7957,1148,0
1677332628778,0,7957,1173,0
1677332628778,0,7957,1155,0
1677332630978,0,7956,1144,0
1677332630978,0,7956,1114,0
1677332630978,0,7957,1044,59
1677332633176,0,8012,933,59
1677332633176,0,8137,819,59
1677332635372,0,7822,886,59
1677332635372,0,7948,888,59
1677332637563,0,7796,919,59
1677332637563,0,7762,975,59
1677332639753,0,8031,944,59
1677332639753,0,7955,862,59
1677332641968,0,7943,57701,59
1677332641968,0,7943,58184,59
1677332641968,0,7908,58185,59
1677332644157,0,7908,58186,59
1677332644157,0,7908,58187,59
1677332646343,0,7908,58188,57
1677332646343,0,7908,56646,0
1677332648534,0,7908,58189,0
1677332648534,0,7908,58221,0
1677332650739,0,7907,37262,0
1677332650739,0,7908,58502,0
1677332652933,0,7907,58334,0
1677332652933,0,7907,52572,0
