UTCTimestamp_ms,SpO2,DC_R,acc_power,HR
1677938363227,0,0,0,0
1677938363227,0,0,0,0
1677938363227,0,0,0,0
1677938365446,0,0,0,0
1677938365446,0,0,0,0
1677938367656,0,10364,37429,0
1677938367656,0,10541,43171,0
1677938369864,0,10541,43171,0
1677938369864,0,10197,29051,0
1677938372081,0,10197,1125,0
1677938372081,0,10197,53779,0
1677938374274,0,10197,1688,0
1677938374274,0,10197,40634,0
1677938374274,0,10197,26247,0
1677938376491,0,10784,51707,0
1677938376491,0,10784,0,0
1677938378745,0,10784,25616,0
1677938378745,0,10784,37957,0
1677938380981,0,10784,23997,0
1677938380981,0,10784,59105,0
1677938383202,0,10784,25043,0
1677938383202,0,10784,60246,0
1677938385443,0,10784,35310,0
1677938385443,0,10784,65379,0
1677938385443,0,10784,55516,0
1677938387668,0,10785,32463,0
1677938387668,0,10785,269,0
1677938389907,0,10785,61205,0
1677938389907,0,10785,48782,0
1677938392229,0,10785,28508,0
1677938392229,0,10785,26663,0
1677938394369,0,10785,16807,0
1677938394369,0,10785,12543,0
1677938396588,0,10785,11890,0
1677938396588,0,10785,7499,0
1677938396588,0,10784,5548,0
1677938398842,0,10795,5250,0
1677938398842,0,10795,3356,0
1677938401047,0,10793,2616,0
1677938401047,0,10791,2646,0
1677938403282,100,10793,2201,0
1677938403282,100,10795,1738,0
1677938405518,100,10791,1641,0
1677938405518,100,10793,1435,0
1677938407755,100,10795,1238,0
1677938407755,100,10792,968,0
1677938407755,100,10796,957,0
1677938409984,100,10794,915,0
1677938409984,100,10791,872,64
1677938412109,0,10793,980,63
1677938412109,0,10796,1062,62
1677938414435,0,10788,1054,62
1677938414435,0,10784,988,61
1677938416655,0,10795,1156,61
1677938416655,0,10795,1645,61
1677938418884,0,10795,1733,60
1677938418884,0,10787,2157,61
1677938418884,0,10787,3099,55
1677938421118,0,10787,3765,52
1677938421118,0,10787,4002,0
1677938423340,0,10787,3892,0
1677938423340,0,10787,3855,0
1677938425574,0,10787,3873,0
1677938425574,0,10787,2990,66
1677938427800,0,10787,2657,63
1677938427800,0,10787,1333,0
1677938430041,0,10787,1179,0
1677938430041,0,10787,8532,0
1677938430041,0,10787,36554,0
1677938432269,0,10787,35476,0
1677938432269,0,10787,750,0
1677938434510,0,10787,792,0
1677938434510,0,10787,814,0
1677938436731,0,10787,923,55
1677938436731,0,10787,1000,58
1677938438963,0,10787,1024,0
1677938438963,0,10787,1077,0
1677938441198,0,10787,11998,0
1677938441198,0,10787,50440,64
1677938441198,0,10787,46103,62
1677938443417,0,10787,57098,59
1677938443417,0,10787,24374,57
1677938445656,0,10787,22366,55
1677938445656,0,10788,29980,0
1677938447892,0,10787,12512,0
1677938447892,0,10787,10631,0
1677938450122,0,10787,14527,0
1677938450122,0,10787,4772,0
1677938452358,0,10787,4255,0
1677938452358,0,10787,4806,0
1677938452358,0,10787,889,0
