UTCTimestamp_ms,SpO2,DC_R,acc_power,HR
1678539389091,0,0,0,0
1678539389091,0,0,0,0
1678539389091,0,0,0,0
1678539391370,0,0,0,0
1678539391370,0,0,0,0
1678539393554,0,10026,18890,0
1678539393554,0,10383,21790,0
1678539395753,0,9891,17524,0
1678539395753,0,9891,17524,0
1678539397950,0,9891,64136,0
1678539397950,0,10810,63856,0
1678539400162,0,10932,30668,0
1678539400162,0,10932,16099,0
1678539400162,0,10924,12663,0
1678539402352,0,10924,13410,0
1678539402352,0,10924,0,0
1678539404538,0,10924,42969,0
1678539404538,0,10924,34275,0
1678539406741,0,10924,61183,0
1678539406741,0,10924,23956,0
1678539408933,0,10924,50498,0
1678539408933,0,10925,8017,0
1678539411123,0,10925,48322,0
1678539411123,0,10925,11410,0
1678539411123,0,10925,58464,0
1678539413331,0,10925,32054,0
1678539413331,0,10925,55039,0
1678539415529,0,10925,41257,0
1678539415529,0,10926,24711,0
1678539417722,0,10929,51267,0
1678539417722,0,10899,49234,0
1678539419930,0,10910,34086,0
1678539419930,0,10910,23035,0
1678539422121,0,10910,22138,0
1678539422121,0,10909,14881,0
1678539422121,0,10909,9200,0
1678539424337,0,10909,8623,0
1678539424337,82,10909,5891,0
1678539426519,76,10909,4070,0
1678539426519,71,10909,4003,0
1678539428724,70,10908,3020,0
1678539428724,70,10909,1968,0
1678539430930,70,10909,1783,0
1678539430930,70,10908,1503,0
1678539433128,70,10908,1239,0
1678539433128,70,10908,1060,0
1678539433128,70,10918,812,0
1678539435321,70,10924,775,0
1678539435321,0,10924,785,0
1678539437521,0,10923,745,0
1678539437521,0,10923,819,0
1678539439736,0,10923,1144,0
1678539439736,0,10923,1605,0
1678539441924,0,10923,2055,0
1678539441924,0,10923,2108,0
1678539444120,0,10923,2070,0
1678539444120,0,10923,2081,0
1678539444120,0,10923,1952,0
1678539446325,0,10923,1613,0
1678539446325,0,10923,1356,0
1678539448534,0,10923,921,0
1678539448534,0,10923,965,0
1678539450733,0,10923,998,0
1678539450733,0,10923,979,0
1678539452938,0,10924,1055,0
1678539452938,0,10924,1265,0
1678539455137,0,10924,1553,0
1678539455137,0,10924,40837,0
1678539455137,0,10924,16132,0
1678539457330,0,10924,26820,0
1678539457330,0,10924,0,0
1678539459538,0,10924,0,0
1678539459538,0,10924,5066,0
1678539461744,0,10924,2963,0
1678539461744,0,10924,2259,0
1678539463952,0,10924,1884,0
1678539463952,0,10924,1592,0
1678539466140,0,10924,34917,0
1678539466140,0,10925,16450,0
1678539466140,0,10924,62201,0
1678539468352,0,10924,17936,0
1678539468352,0,10924,54645,0
1678539470547,0,10925,31347,0
1678539470547,0,10924,53256,0
1678539472692,0,10924,29016,0
1678539472692,0,11019,33504,0
1678539474912,0,10659,47053,0
1678539474912,0,10659,46259,0
1678539477121,0,10814,54265,0
1678539477121,0,10833,24584,0
1678539477121,0,10833,6423,0
1678539479309,0,10833,62715,0
1678539479309,0,10833,52270,0
1678539481564,0,10754,8275,0
1678539481564,0,10754,8275,0
1678539483777,0,10674,23252,0
1678539483777,0,10674,27706,0
1678539485962,0,10674,3586,0
1678539485962,0,10674,10946,0
1678539488167,0,10592,10165,0
1678539488167,0,10460,7133,0
1678539488167,0,10549,8428,0
1678539490383,0,10510,2651,0
1678539490383,0,10652,2794,0
1678539492571,0,10652,6008,0
1678539492571,0,10757,1359,0
1678539494771,0,10757,2278,0
1678539494771,0,10850,2241,0
1678539496976,0,10936,1411,0
1678539496976,0,10761,1847,0
1678539499181,0,10660,4507,0
1678539499181,0,10660,4488,0
1678539499181,0,10546,3279,0
1678539501369,0,10640,10922,0
1678539501369,0,10640,12050,0
1678539503570,0,10615,12599,0
1678539503570,0,10557,4277,0
1678539505778,0,10557,3698,0
1678539505778,0,10367,5751,0
1678539507986,0,10281,3156,0
1678539507986,0,10281,2262,0
1678539510176,0,10222,4255,0
1678539510176,0,10187,2080,0
1678539510176,0,10187,5119,0
1678539512385,0,10187,2355,0
1678539512385,0,10187,3828,0
1678539514578,0,10269,0,0
1678539514578,0,10266,0,0
1678539516786,0,10272,0,0
1678539516786,0,10275,0,0
1678539518986,0,10262,0,0
1678539518986,0,10247,0,0
1678539521182,0,10247,0,0
1678539521182,86,10250,0,0
1678539521182,86,10253,8475,0
1678539523374,86,10255,3455,0
1678539523374,85,10256,2528,0
1678539525570,85,10258,4811,0
1678539525570,85,10259,11813,84
1678539527769,85,10259,8136,83
1678539527769,86,10257,6461,82
1678539529966,88,10256,5459,83
1678539529966,89,10254,4755,84
1678539532172,88,10250,4129,85
1678539532172,89,10245,3198,84
1678539532172,89,10230,2827,85
1678539534378,89,10229,8206,85
1678539534378,86,10220,18564,85
1678539536578,90,10215,2568,84
1678539536578,92,10210,2473,84
1678539538773,93,10200,2140,84
1678539538773,93,10194,5780,83
1678539540972,94,10194,9826,82
1678539540972,94,10186,11585,83
