UTCTimestamp_ms,SpO2,DC_R,acc_power,HR
1683896556654,0,0,0,0
1683896556654,0,0,0,0
1683896556654,0,0,0,0
1683896558867,0,0,0,0
1683896558867,0,0,0,0
1683896561056,0,9583,36081,0
1683896561056,0,9583,63709,0
1683896563268,0,9583,65089,0
1683896563268,0,9583,36447,0
1683896565476,0,9583,13463,0
1683896565476,0,9583,52947,0
1683896567683,0,9583,60502,0
1683896567683,0,9583,59257,0
1683896567683,0,9583,42509,0
1683896569885,0,9583,9021,0
1683896569885,0,9583,50403,0
1683896572140,0,9583,49996,0
1683896572140,0,9583,27417,0
1683896574327,0,9583,56705,0
1683896574327,0,9583,3175,0
1683896576519,0,9583,53840,0
1683896576519,0,9583,32106,0
1683896578727,0,9583,62472,0
1683896578727,0,9583,55112,0
1683896578727,0,9583,51668,0
1683896580940,0,9583,36771,0
1683896580940,0,9583,39587,0
1683896583138,0,9583,41235,0
1683896583138,0,9583,18106,0
1683896585354,0,9583,0,0
1683896585354,0,9583,0,0
1683896587554,0,9583,0,0
1683896587554,0,9583,2429,0
1683896589766,0,9583,2687,0
1683896589766,0,9583,2064,0
1683896589766,0,9583,1798,0
1683896591951,0,9583,1676,0
1683896591951,0,9583,1469,0
1683896594176,0,9583,1392,0
1683896594176,0,9583,1959,0
1683896596382,0,9583,6544,0
1683896596382,0,9583,9127,0
1683896598579,0,9583,9714,0
1683896598579,0,9583,9860,0
1683896600784,0,9583,9862,0
1683896600784,0,9583,9811,0
1683896600784,0,9583,8233,0
1683896602989,0,9583,5565,0
1683896602989,0,9583,3715,0
1683896605202,0,9583,1880,0
1683896605202,0,9583,1839,0
1683896607421,0,9583,1711,0
1683896607421,0,9583,1163,0
1683896609620,0,9583,1166,0
1683896609620,0,9583,1172,0
1683896611828,0,9583,1057,0
1683896611828,0,9604,1331,0
1683896611828,0,9548,1939,0
1683896614026,0,9809,2380,0
1683896614026,0,9881,2635,0
1683896616228,0,9877,2709,0
1683896616228,0,9873,2757,0
1683896618422,0,9865,2688,0
1683896618422,0,9869,2536,0
1683896620636,0,9869,1815,0
1683896620636,0,9862,1432,0
1683896622845,0,9863,5655,62
1683896622845,0,9868,58023,62
1683896622845,0,9853,57942,61
1683896625046,0,9820,26099,61
1683896625046,0,9780,56607,60
1683896627253,0,9697,51113,60
1683896627253,0,9697,49375,60
1683896629446,0,9697,35927,59
1683896629446,0,9583,21757,58
1683896631653,0,9583,23257,60
1683896631653,0,9583,59273,52
1683896633857,0,9583,27932,0
1683896633857,0,9583,18472,0
1683896633857,0,9583,28018,0
1683896636060,0,9583,12689,0
1683896636060,0,9583,7773,0
1683896638268,0,9583,12712,0
1683896638268,0,9583,5823,0
1683896640476,0,9583,3507,0
1683896640476,0,9583,834,0
1683896642685,0,9583,1027,0
1683896642685,0,9583,1241,0
1683896644874,0,9583,1573,0
1683896644874,0,9583,1619,0
1683896644874,0,9583,1612,0
1683896647082,0,9583,1597,0
1683896647082,0,9583,1463,0
1683896649278,0,9583,1410,0
1683896649278,0,9583,1411,0
1683896651398,0,9583,1038,0
1683896651398,0,9582,1260,0
1683896653633,0,9583,2072,0
1683896653633,0,9583,1959,0
1683896655848,0,9583,2583,0
1683896655848,0,9583,32641,0
1683896655848,0,9583,44747,0
1683896658053,0,9583,52321,0
1683896658053,0,9578,39809,0
1683896660328,0,9578,39809,0
1683896660328,0,9663,8066,0
1683896662403,0,10409,3819,0
1683896662403,0,10944,13032,0
1683896664701,0,10620,6974,0
1683896664701,0,10620,3132,0
1683896666879,0,10271,5117,0
1683896666879,0,10298,7077,0
1683896666879,0,10310,5136,0
1683896669081,0,10413,2099,0
1683896669081,92,10372,1541,0
1683896671301,92,10372,1541,0
1683896671301,92,10372,5138,0
1683896673493,92,10362,5766,0
1683896673493,92,10362,3717,0
1683896675694,92,10362,11655,0
1683896675694,92,10386,18726,0
1683896677886,92,10386,14580,0
1683896677886,92,10384,6748,0
1683896677886,92,10385,8255,0
1683896680100,92,10384,18410,0
1683896680100,91,10385,12820,0
1683896682291,91,10387,11532,0
1683896682291,91,10386,9699,0
1683896684511,92,10388,8323,0
1683896684511,92,10387,7202,0
1683896686721,92,10391,6311,0
1683896686721,93,10392,6172,90
1683896688920,93,10392,6172,90
1683896688920,93,10405,4778,91
1683896688920,93,10123,4281,89
1683896691126,93,10123,4240,88
1683896691126,93,10147,4843,87
1683896693318,93,10149,5780,91
1683896693318,93,10151,6626,92
1683896695542,92,10158,5799,93
1683896695542,92,10160,6102,94
1683896697726,92,10161,5604,0
1683896697726,0,10172,3407,0
1683896699936,0,10169,4945,0
1683896699936,0,10153,3550,0
1683896699936,0,10153,2971,0
1683896702136,0,10089,2827,0
1683896702136,0,10089,1526,0
1683896704336,0,10089,1526,0
1683896704336,0,10089,3891,0
1683896706546,0,10099,4314,0
1683896706546,0,10125,7945,0
1683896708760,0,10125,23273,95
1683896708760,0,10127,60390,0
1683896710959,91,10127,48366,0
1683896710959,91,10127,39822,0
1683896710959,91,10127,33582,92
1683896713158,91,10127,33583,94
1683896713158,91,10153,24729,94
1683896715374,90,10179,27165,0
1683896715374,90,10184,29529,94
1683896717581,90,10195,26886,94
1683896717581,90,10200,59036,94
1683896719778,90,10211,0,93
1683896719778,91,10215,13614,93
1683896721988,91,10224,8477,93
1683896721988,92,10227,6484,93
1683896721988,93,10228,5326,89
1683896724178,93,10229,4399,89
1683896724178,93,10229,3954,89
1683896726391,94,10227,2628,89
1683896726391,94,10229,2473,89
1683896728585,94,10229,2273,89
1683896728585,95,10227,2022,89
1683896730795,95,10227,2047,89
1683896730795,95,10228,2014,88
1683896732997,95,10228,1995,88
1683896732997,95,10229,1986,88
1683896732997,96,10231,1986,88
1683896735208,96,10231,1986,87
1683896735208,96,10231,1859,86
1683896737421,96,10183,1772,87
1683896737421,96,10140,1699,87
1683896739619,96,10140,1456,87
1683896739619,96,10146,1367,87
1683896741811,96,10146,1265,87
1683896741811,96,10147,1304,87
1683896744021,96,10147,1168,86
1683896744021,96,10145,2589,87
1683896744021,96,10146,3096,87
1683896746220,96,10145,2333,87
1683896746220,96,10144,2108,87
1683896748425,96,10143,1545,87
1683896748425,96,10144,1460,87
1683896750642,96,10143,1533,87
1683896750642,96,10143,2258,87
1683896752829,96,10143,1348,87
