UTCTimestamp_ms,SpO2,DC_R,acc_power,HR
1684243703602,0,0,0,0
1684243703602,0,0,0,0
1684243703602,0,0,0,0
1684243705699,0,0,0,0
1684243705699,0,0,0,0
1684243707909,0,0,0,0
1684243707909,0,9128,5024,0
1684243710121,0,8425,52683,0
1684243710121,0,8655,39508,0
1684243712318,0,8782,13324,0
1684243712318,0,8782,13324,0
1684243714514,0,8782,2882,0
1684243714514,0,8782,19987,0
1684243714514,0,9803,43818,0
1684243716721,0,9803,62981,0
1684243716721,0,9803,30984,0
1684243718987,0,9747,0,0
1684243718987,0,9747,0,0
1684243721184,0,9747,25959,0
1684243721184,0,9747,44011,0
1684243723396,0,9747,21060,0
1684243723396,0,9747,7066,0
1684243725601,0,9749,60828,0
1684243725601,0,9751,52580,0
1684243725601,0,9751,35440,0
1684243727799,0,9752,25572,0
1684243727799,0,9753,23164,0
1684243730006,0,9753,15267,0
1684243730006,0,9753,11093,0
1684243732212,0,9753,10172,0
1684243732212,0,9753,5696,0
1684243734426,0,9753,5073,0
1684243734426,0,9753,4119,0
1684243736616,0,9753,2740,0
1684243736616,0,9753,2453,0
1684243736616,0,9749,2117,0
1684243738825,0,9749,2099,0
1684243738825,0,9749,2209,0
1684243741021,0,9749,2223,0
1684243741021,0,9747,2126,0
1684243743234,0,9747,2230,0
1684243743234,0,9747,2359,0
1684243745436,0,9747,1987,0
1684243745436,0,9747,1848,0
1684243747640,0,9747,1736,0
1684243747640,0,9747,1707,0
1684243747640,0,9747,1588,0
1684243749853,0,9747,1435,0
1684243749853,0,9747,1839,0
1684243752051,0,9747,2869,0
1684243752051,0,9747,3130,0
1684243754261,0,9747,3448,0
1684243754261,0,9747,3457,0
1684243756458,0,9746,3465,0
1684243756458,0,9746,8960,0
1684243758674,0,9747,15171,0
1684243758674,0,9747,17630,0
1684243758674,0,9749,21053,0
1684243760871,0,9749,26306,0
1684243760871,0,9748,35051,0
1684243763081,0,9749,48557,0
1684243763081,0,9748,31173,0
1684243765285,0,9748,0,0
1684243765285,0,9748,0,0
1684243767479,0,9748,0,0
1684243767479,0,9749,3244,0
1684243769683,0,9749,1787,0
1684243769683,0,9748,1390,0
1684243769683,0,9748,2947,0
1684243771905,0,9749,26105,0
1684243771905,0,9749,41879,0
1684243774083,0,9749,776,0
1684243774083,0,9749,738,0
1684243776288,0,9748,743,0
1684243776288,0,9749,780,0
1684243778505,0,9749,864,0
1684243778505,0,9749,954,0
1684243780727,0,9749,892,0
1684243780727,0,9749,27893,0
1684243780727,0,9749,21469,0
1684243782907,0,9748,6556,0
1684243782907,0,9748,12669,0
1684243785123,0,9749,9376,0
1684243785123,0,9748,2372,0
1684243787253,0,9748,5493,0
1684243787253,0,9748,4651,0
1684243789469,0,9748,5156,0
1684243789469,0,9734,21828,0
1684243791681,0,9523,25383,0
1684243791681,0,9523,30365,0
1684243791681,0,9523,43412,0
1684243794237,0,9425,60446,0
1684243794237,0,9442,32923,0
1684243796089,0,9235,8231,0
1684243796089,0,9272,4114,0
1684243798331,0,9272,2568,0
1684243798331,0,9243,9769,0
1684243800542,0,9508,14804,0
1684243800542,0,9587,11438,0
1684243802751,0,9587,11438,0
1684243802751,0,9587,5597,0
1684243802751,0,9882,2943,0
1684243804947,0,10135,6835,0
1684243804947,0,10135,12890,0
1684243807154,0,10135,2667,0
1684243807154,0,10082,2667,0
1684243809359,0,10082,5111,0
1684243809359,0,10234,4437,0
1684243811592,0,10406,2806,0
1684243811592,0,10406,3940,0
1684243813765,0,10406,3723,0
1684243813765,0,10354,18958,0
1684243813765,0,10402,28643,0
1684243815973,0,10441,10858,0
1684243815973,0,10350,10576,0
1684243818171,0,10350,3885,0
1684243818171,0,10350,3885,0
1684243820370,0,10350,52287,0
1684243820370,0,10449,20227,0
1684243822567,0,10455,62347,0
1684243822567,0,10455,62347,0
1684243824770,0,10455,0,0
1684243824770,0,10434,0,0
1684243824770,0,10095,0,0
1684243827613,0,10071,0,0
1684243827613,0,10071,0,0
1684243829092,0,10071,0,0
1684243829092,0,9924,0,0
1684243831327,0,9868,0,0
1684243831327,0,9868,0,0
1684243833546,0,9929,2791,0
1684243833546,0,9981,2443,0
1684243835749,0,10139,1950,0
1684243835749,0,10102,3752,0
1684243835749,0,10282,2313,0
1684243837932,0,10282,2313,0
1684243837932,0,10282,2313,0
1684243840156,86,10282,2625,0
1684243840156,86,10284,1557,0
1684243842355,86,10424,1241,0
1684243842355,86,10424,1304,0
1684243844580,86,10397,5313,0
1684243844580,86,10386,3378,0
1684243846749,86,10374,3769,0
1684243846749,87,10357,48597,0
1684243846749,87,10351,27677,0
1684243849037,86,10355,23041,0
1684243849037,86,10353,19670,0
1684243851229,86,10348,15884,0
1684243851229,87,10342,13500,0
1684243853435,87,10342,11906,0
1684243853435,88,10340,9046,0
1684243855638,89,10342,8653,0
1684243855638,90,10340,6895,0
1684243857837,90,10340,21110,0
1684243857837,91,10338,4598,0
1684243857837,91,10339,3062,0
1684243860041,91,10341,3030,0
1684243860041,91,10336,2980,0
1684243862219,91,10339,2991,0
1684243862219,91,10400,3160,0
1684243864462,91,10366,3625,0
1684243864462,91,10351,4465,0
1684243866669,91,10362,5652,0
1684243866669,92,10362,7118,0
1684243868894,92,10362,12316,0
1684243868894,92,10366,0,0
1684243868894,92,10368,0,0
1684243871081,92,10370,0,0
1684243871081,92,10370,0,0
1684243873284,92,10370,0,0
1684243873284,93,10373,22982,0
1684243875489,93,10375,49343,0
1684243875489,93,10376,39379,0
1684243877696,93,10377,31025,0
1684243877696,94,10377,25047,0
1684243879892,94,10381,21395,0
1684243879892,94,10385,15948,56
1684243879892,95,10386,14162,56
1684243882109,95,10387,10862,57
1684243882109,95,10391,6196,57
1684243884309,95,10393,5696,57
1684243884309,95,10393,3807,57
1684243886507,96,10396,2812,57
1684243886507,96,10399,2630,56
1684243888789,96,10399,2097,0
1684243888789,96,10400,12055,0
1684243890873,96,10515,14236,0
1684243890873,96,10425,17331,0
1684243890873,96,10425,17331,0
1684243893081,96,10430,22238,0
1684243893081,96,10430,31110,0
1684243895328,96,10440,51775,0
1684243895328,96,10440,0,0
1684243897520,96,10461,0,0
1684243897520,96,10466,0,0
1684243899728,96,10466,0,52
1684243899728,96,10470,9099,57
1684243901933,96,10476,9362,56
1684243901933,96,10487,58028,56
1684243901933,96,10493,46072,56
1684243904141,95,10499,37159,57
1684243904141,96,10505,31721,57
1684243906320,96,10512,23245,57
1684243906320,96,10517,19580,57
1684243908518,96,10520,12909,56
1684243908518,96,10523,10887,56
1684243910721,96,10523,7859,56
1684243910721,96,10526,7007,56
1684243912927,96,10528,4750,56
1684243912927,96,10530,3357,56
1684243912927,96,10530,3014,56
1684243915146,96,10529,2548,56
1684243915146,96,10529,1649,56
1684243917342,97,10528,1623,56
1684243917342,97,10527,1000,56
1684243919546,98,10527,1252,56
1684243919546,98,10526,991,54
1684243921746,98,10526,1250,54
1684243921746,98,10525,1187,54
1684243923959,99,10523,1424,53
1684243923959,99,10523,1360,53
1684243923959,99,10522,1055,53
1684243926145,99,10522,1093,54
1684243926145,99,10521,1009,54
1684243928363,98,10520,1072,53
1684243928363,98,10520,1108,53
1684243930558,98,10521,1188,53
1684243930558,98,10521,1114,52
1684243932760,97,10521,1023,52
1684243932760,97,10522,1037,53
1684243934974,97,10522,1142,53
1684243934974,96,10521,1140,53
1684243934974,96,10521,6165,53
1684243937171,96,10521,5399,53
1684243937171,96,10521,6455,54
1684243939383,95,10518,2790,53
1684243939383,95,10517,2273,53
1684243941580,95,10517,2942,53
1684243941580,94,10516,1489,53
1684243943795,94,10515,1232,54
1684243943795,94,10513,1398,54
1684243945992,94,10512,945,54
1684243945992,94,10510,1151,53
1684243945992,94,10508,1061,54
1684243948207,93,10508,898,54
1684243948207,93,10508,1107,54
1684243950402,93,10508,927,54
1684243950402,93,10507,11124,0
1684243952618,93,10507,1596,0
1684243952618,93,10488,1847,0
1684243954828,93,10499,2133,0
1684243954828,93,10482,2630,0
1684243957028,93,10482,4315,0
1684243957028,93,10482,8519,0
1684243957028,93,10482,0,0
1684243959231,92,10458,0,0
1684243959231,92,10456,0,0
1684243961432,92,10453,18768,0
1684243961432,92,10451,15645,56
1684243963641,93,10449,63565,56
1684243963641,93,10449,32664,56
1684243965840,93,10449,26232,55
1684243965840,94,10445,22118,55
1684243968051,94,10445,17548,55
1684243968051,94,10442,14256,55
1684243968051,94,10439,10119,54
1684243970269,94,10436,9386,54
1684243970269,94,10434,6423,53
1684243972465,94,10430,4696,53
1684243972465,94,10429,4391,53
1684243974677,95,10426,3234,53
1684243974677,95,10424,2474,54
1684243976886,95,10420,2385,54
1684243976886,96,10420,2033,54
1684243979075,96,10418,1857,55
1684243979075,96,10416,1792,54
1684243979075,96,10414,1353,54
1684243981294,96,10414,1372,54
1684243981294,96,10413,1305,54
1684243983490,96,10412,1220,54
1684243983490,96,10413,1363,54
1684243985689,96,10413,1313,54
1684243985689,96,10414,1310,54
1684243987905,95,10414,1331,54
1684243987905,95,10405,1377,55
1684243990107,95,10401,1331,55
1684243990107,94,10393,1217,55
1684243990107,95,10375,1644,54
1684243992304,95,10375,1644,54
1684243992304,95,10377,1981,54
1684243994466,95,10261,2502,53
1684243994466,95,10210,2976,54
1684243996727,95,10210,3419,54
1684243996727,94,10218,3450,52
1684243998880,94,10218,4378,54
1684243998880,93,10220,5009,55
1684244001132,93,10221,5596,56
1684244001132,93,10221,6736,57
1684244001132,92,10221,7364,58
1684244003343,92,10222,10560,58
1684244003343,92,10223,18460,58
1684244005545,92,10223,5837,59
1684244005545,92,10223,3016,59
1684244007755,92,10228,11404,59
1684244007755,92,10230,7625,58
1684244009954,92,10230,6601,58
1684244009954,92,10230,5336,59
1684244012157,92,10232,4517,59
