UTCTimestamp_ms,SpO2,DC_R,acc_power,HR
1701955004729,0,0,0,0
1701955004729,0,0,0,0
1701955004729,0,0,0,0
1701955007065,0,0,0,0
1701955007065,0,0,0,0
1701955009189,0,0,19131,0
1701955009189,0,4334,65157,0
1701955011398,0,7453,44137,0
1701955011398,0,8649,18725,0
1701955014058,0,8649,9363,0
1701955014058,0,6411,28088,0
1701955016042,0,6411,44064,0
1701955016042,0,6411,60458,0
1701955016042,0,4616,40626,0
1701955018031,0,4616,0,0
1701955018031,0,4616,0,0
1701955020033,0,4617,0,0
1701955020033,0,4616,0,0
1701955023042,0,4616,0,0
1701955023042,0,4616,0,0
1701955025049,0,4616,0,0
1701955025049,0,4616,0,0
1701955027036,0,4616,10496,0
1701955027036,0,4616,8935,0
1701955027036,0,4616,7474,0
1701955029037,0,4616,5913,0
1701955029037,0,4616,4997,0
1701955031038,0,4616,4343,0
1701955031038,0,4616,3442,0
1701955034040,0,4616,2719,0
1701955034040,0,4616,1955,0
1701955036036,0,4616,1841,0
1701955036036,0,4616,1578,0
1701955038035,0,4616,1307,0
1701955038035,0,4616,1166,0
1701955038035,0,4616,867,0
1701955040032,0,4616,656,0
1701955040032,0,4616,655,0
1701955043031,0,4616,659,0
1701955043031,0,4616,689,0
1701955045039,0,4616,696,0
1701955045039,0,4616,730,0
1701955047038,0,4616,726,0
1701955047038,0,4616,698,0
1701955049041,0,4616,666,0
1701955049041,0,4616,679,0
1701955049041,0,4616,677,0
1701955051033,0,4616,783,0
1701955051033,0,4616,791,0
1701955054031,0,4616,749,0
1701955054031,0,4616,769,0
1701955056033,0,4616,780,0
1701955056033,0,4616,707,0
1701955058190,0,4616,584,0
1701955058190,0,4616,575,0
1701955060030,0,4616,576,0
1701955060030,0,4616,605,0
1701955060030,0,4616,610,0
1701955063033,0,4616,728,0
1701955063033,0,4616,728,0
1701955065036,0,4616,757,0
1701955065036,0,4616,729,0
1701955067037,0,4616,799,0
1701955067037,0,4616,837,0
1701955069036,0,4616,816,0
1701955069036,0,4616,837,0
1701955071039,0,4616,39537,0
1701955071039,0,4616,26446,0
1701955071039,0,4616,33893,0
1701955074031,0,4616,814,0
1701955074031,0,4616,834,0
1701955076032,0,4616,786,0
1701955076032,0,4616,789,0
1701955078034,0,4616,755,0
1701955078034,0,4616,813,0
1701955080041,0,4616,815,0
1701955080041,0,4616,848,0
1701955082042,0,4616,866,0
1701955082042,0,4616,847,0
1701955082042,0,4616,842,0
1701955085040,0,4616,835,0
1701955085040,0,4616,836,0
1701955087038,0,4616,784,0
1701955087038,0,4616,1485,0
1701955089031,0,4616,1811,0
1701955089031,0,4616,1362,0
1701955091033,0,4616,927,0
1701955091033,0,4616,1094,0
1701955094033,0,4616,958,0
1701955094033,0,4616,1009,0
1701955094033,0,4616,1029,0
1701955096030,0,4616,919,0
1701955096030,0,4616,891,0
1701955098035,0,4616,798,0
1701955098035,0,4616,873,0
1701955100038,0,4616,877,0
1701955100038,0,4616,759,0
1701955102031,0,4616,721,0
1701955102031,0,4616,727,0
1701955105032,0,4616,771,0
1701955105032,0,4616,693,0
1701955105032,0,4616,666,0
1701955107038,0,4616,726,0
1701955107038,0,4616,690,0
1701955109040,0,4616,635,0
1701955109040,0,4616,643,0
1701955111031,0,4616,705,0
1701955111031,0,4616,708,0
1701955114029,0,4616,789,0
1701955114029,0,4616,804,0
1701955116039,0,4616,832,0
1701955116039,0,4616,896,0
1701955116039,0,4616,860,0
1701955118032,0,4616,857,0
1701955118032,0,4616,937,0
1701955120036,0,4616,1011,0
1701955120036,0,4616,996,0
1701955122041,0,4616,1014,0
1701955122041,0,4616,1056,0
1701955125039,0,4616,1040,0
1701955125039,0,4616,1057,0
1701955127032,0,4616,1050,0
1701955127032,0,4616,973,0
1701955127032,0,4616,888,0
1701955129031,0,4616,828,0
1701955129031,0,4616,794,0
1701955131031,0,4616,647,0
1701955131031,0,4616,616,0
1701955134031,0,4616,663,0
1701955134031,0,4616,712,0
1701955136036,0,4616,738,0
1701955136036,0,4616,796,0
1701955138034,0,4616,823,0
1701955138034,0,4616,778,0
1701955138034,0,4616,763,0
1701955140039,0,4616,789,0
1701955140039,0,4616,815,0
1701955142036,0,4616,779,0
1701955142036,0,4616,816,0
1701955145040,0,4616,867,0
1701955145040,0,4616,915,0
1701955147032,0,4616,917,0
1701955147032,0,4616,949,0
1701955149041,0,4616,906,0
1701955149041,0,4616,898,0
1701955149041,0,4616,884,0
1701955151039,0,4616,790,0
1701955151039,0,4616,750,0
1701955154035,0,4616,549,0
1701955154035,0,4616,570,0
1701955156042,0,4616,625,0
1701955156042,0,4616,589,0
1701955158035,0,4616,617,0
1701955158035,0,4616,645,0
1701955160045,0,4616,697,0
1701955160045,0,4616,771,0
1701955160045,0,4616,840,0
1701955162031,0,4616,817,0
1701955162031,0,4616,844,0
1701955165041,0,4616,871,0
1701955165041,0,4616,1059,0
1701955167051,0,4616,1174,0
1701955167051,0,4616,1166,0
1701955169038,0,4616,1192,0
1701955169038,0,4616,1232,0
1701955171032,0,4616,1300,0
1701955171032,0,4616,1195,0
1701955171032,0,4616,1196,0
1701955173038,0,4616,1085,0
1701955173038,0,4616,1131,0
1701955176031,0,4616,1101,0
1701955176031,0,4616,1050,0
1701955178044,0,4616,885,0
1701955178044,0,4616,815,0
1701955180029,0,4616,835,0
1701955180029,0,4616,813,0
1701955182035,0,4616,803,0
1701955182035,0,4616,741,0
1701955182035,0,4616,741,0
1701955184197,0,4616,805,0
1701955184197,0,4616,833,0
1701955187032,0,4616,871,0
1701955187032,0,4616,793,0
1701955189031,0,4616,801,0
1701955189031,0,4616,787,0
1701955191040,0,4616,782,0
1701955191040,0,4616,856,0
1701955193040,0,4616,869,0
1701955193040,0,4616,856,0
1701955193040,0,4616,889,0
1701955196038,0,4616,851,0
1701955196038,0,4616,796,0
1701955198036,0,4616,782,0
1701955198036,0,4616,864,0
1701955200032,0,4616,895,0
1701955200032,0,4616,978,0
1701955202040,0,4616,1029,0
1701955202040,0,4616,1024,0
1701955205042,0,4616,1020,0
1701955205042,0,4616,983,0
1701955205042,0,4616,1007,0
1701955207050,0,4616,931,0
1701955207050,0,4616,971,0
1701955209029,0,4616,1000,0
1701955209029,0,4616,956,0
1701955211037,0,4616,949,0
1701955211037,0,4616,892,0
1701955213037,0,4616,826,0
1701955213037,0,4616,759,0
1701955216041,0,4616,687,0
1701955216041,0,4616,734,0
1701955216041,0,4617,759,0
1701955218031,0,4616,748,0
1701955218031,0,4616,744,0
1701955220037,0,4616,781,0
1701955220037,0,4616,816,0
1701955222037,0,4616,775,0
1701955222037,0,4616,681,0
1701955225040,0,4616,693,0
1701955225040,0,4616,687,0
1701955227047,0,4616,793,0
1701955227047,0,4616,3160,0
1701955227047,0,4616,7028,0
1701955229032,0,4616,8914,0
1701955229032,0,4616,10022,0
1701955231047,0,4616,10447,0
1701955231047,0,4616,12221,0
1701955233056,0,4616,13240,0
1701955233056,0,4616,13050,0
1701955236034,0,4616,11531,0
1701955236034,0,4616,10141,0
1701955238035,0,4616,9193,0
1701955238035,0,4616,6627,0
1701955238035,0,4616,4258,0
1701955240030,0,4616,1987,0
1701955240030,0,4616,1791,0
1701955242030,0,4616,1983,0
1701955242030,0,4616,1569,0
1701955245038,0,4616,1800,0
1701955245038,0,4616,1939,0
1701955247031,0,4616,1984,0
1701955247031,0,4617,1524,0
1701955249030,0,4617,1931,0
1701955249030,0,4617,3528,0
1701955249030,0,4617,2722,0
1701955251032,0,4617,3150,0
1701955251032,0,4617,3121,0
1701955253030,0,4617,2761,0
1701955253030,0,4617,2727,5
1701955255184,0,5467,2547,0
1701955255184,0,5467,2556,0
1701955258046,0,5480,2451,0
1701955258046,0,5480,2278,0
1701955260043,0,5467,1895,0
1701955260043,0,5497,1655,0
1701955260043,0,5467,1341,63
1701955262037,0,5467,737,62
