UTCTimestamp_ms,SpO2,DC_R,acc_power,HR
1702682680772,0,0,0,0
1702682680772,0,0,0,0
1702682680772,0,0,0,0
1702682683046,0,0,0,0
1702682683046,0,0,0,0
1702682685268,0,0,24,0
1702682685268,0,0,8418,0
1702682687493,0,10161,6722,0
1702682687493,0,10156,51534,0
1702682689707,0,10140,48733,0
1702682689707,0,10045,11765,0
1702682691926,0,10045,62534,0
1702682691926,0,10055,48630,0
1702682691926,0,10061,12992,0
1702682694164,0,10061,0,0
1702682694164,0,10072,0,0
1702682696362,0,10068,0,0
1702682696362,0,10068,0,0
1702682698586,0,10055,0,0
1702682698586,0,10014,0,0
1702682700820,0,10013,0,0
1702682700820,0,10013,0,0
1702682703038,0,10022,0,0
1702682703038,0,10023,0,0
1702682703038,99,10028,0,0
1702682705250,99,10022,0,0
1702682705250,99,10013,0,0
1702682707462,99,10016,0,0
1702682707462,100,10012,0,0
1702682709695,100,10010,0,0
1702682709695,99,10004,0,0
1702682711922,100,10002,0,0
1702682711922,100,9999,0,0
1702682714139,100,9995,0,0
1702682714139,99,9994,7009,0
1702682714139,99,9993,9755,0
1702682716358,99,9992,8728,83
1702682716358,99,9991,6954,84
1702682718579,98,9987,5978,84
1702682718579,97,9986,5319,84
1702682720793,97,9986,4777,83
1702682720793,96,9986,3697,82
1702682723017,96,9985,2609,82
1702682723017,96,9985,2491,81
1702682725233,95,9986,3523,81
1702682725233,95,9991,3702,0
1702682725233,95,9991,4381,0
1702682727457,96,9960,5209,0
1702682727457,95,9960,6852,0
1702682729679,95,9942,10243,0
1702682729679,95,9943,20047,0
1702682731902,95,9947,0,0
1702682731902,95,9951,0,0
1702682734119,95,9952,0,0
1702682734119,95,9953,0,83
1702682736275,95,9958,0,83
1702682736275,95,9960,53769,82
1702682736275,95,9962,41877,81
1702682738543,95,9967,36828,81
1702682738543,95,9969,31345,82
1702682740753,95,9972,27773,82
1702682740753,95,9971,23978,82
1702682742978,95,9971,20710,83
1702682742978,95,9971,19130,85
1702682745194,95,9972,15025,85
1702682745194,95,9972,13458,85
1702682747419,95,9973,25346,86
1702682747419,94,9974,35950,87
1702682747419,94,9973,58385,87
1702682749635,94,9973,8429,88
1702682749635,94,9972,8380,88
1702682751855,93,9971,6152,89
1702682751855,93,9971,5755,88
1702682754071,93,9974,6005,87
1702682754071,93,9974,8532,86
1702682756293,94,9972,10838,85
1702682756293,94,9971,13133,86
1702682758524,94,9970,13461,85
1702682758524,94,9968,13448,84
1702682758524,94,9968,13303,84
1702682760745,94,9968,11841,83
1702682760745,94,9973,10619,82
1702682762965,94,9970,15059,83
1702682762965,94,9968,16286,84
1702682765180,94,9969,18074,85
1702682765180,94,9970,18384,85
1702682767396,94,9971,18736,85
1702682767396,94,9972,19308,84
1702682769624,94,9971,18200,0
1702682769624,94,9996,19826,0
1702682769624,94,9976,19436,0
1702682771846,94,9929,26459,0
1702682771846,94,9929,46747,0
1702682773970,94,9917,0,0
1702682773970,94,9922,0,0
1702682776196,94,9922,12615,0
1702682776196,94,9883,34578,0
1702682778384,94,9883,20504,0
1702682778384,0,9899,8115,0
1702682780689,0,9903,15976,0
1702682780689,0,9898,5501,0
1702682780689,0,9873,8880,0
1702682782910,94,9860,6222,0
1702682782910,94,9852,749,0
1702682785134,94,9848,7485,0
1702682785134,94,9850,40094,85
1702682787301,94,9853,25007,84
1702682787301,94,9861,54051,84
1702682789496,94,9865,54051,0
1702682789496,94,9873,54051,0
1702682791772,94,9881,54051,0
1702682791772,94,9859,54051,0
1702682791772,95,9859,59060,0
1702682793994,95,9859,0,0
1702682793994,95,9828,0,0
1702682796209,95,9828,0,0
1702682796209,95,9827,0,0
1702682798432,95,9826,31817,0
1702682798432,95,9825,28759,85
1702682800654,95,9823,13548,84
1702682800654,95,9821,45841,84
1702682802864,95,9820,36993,84
1702682802864,95,9821,28868,83
1702682802864,95,9822,24192,82
1702682805090,95,9823,19118,81
1702682805090,95,9825,12298,81
1702682807301,95,9825,11472,81
1702682807301,95,9826,8308,81
1702682809521,95,9828,5250,81
1702682809521,95,9829,5585,81
1702682811755,96,9833,3915,81
1702682811755,96,9835,2727,81
1702682813969,96,9837,2548,81
1702682813969,96,9837,2023,82
1702682813969,96,9836,2510,82
1702682816189,96,9832,5860,82
1702682816189,96,9830,5599,82
1702682818405,96,9828,2030,82
1702682818405,96,9823,2278,83
1702682820623,95,9820,1486,83
1702682820623,95,9818,1149,83
1702682822841,95,9819,2009,83
1702682822841,95,9820,1302,83
1702682825064,95,9824,8228,83
1702682825064,95,9824,6379,83
1702682825064,95,9825,3896,83
1702682827291,95,9824,1735,83
1702682827291,95,9824,3466,82
1702682829504,95,9823,511,83
1702682829504,95,9822,527,83
1702682831726,95,9821,556,84
1702682831726,95,9820,533,84
1702682833944,95,9821,626,83
1702682833944,95,9822,743,83
1702682836163,95,9823,852,83
