UTCTimestamp_ms,SpO2,DC_R,acc_power,HR
1705494850297,0,0,0,0
1705494850297,0,0,0,0
1705494850297,0,0,0,0
1705494852493,0,0,0,0
1705494852493,0,0,0,0
1705494854705,0,0,23539,0
1705494854705,0,0,23539,0
1705494856912,0,8594,35483,0
1705494856912,0,8620,27136,0
1705494859091,0,8647,9813,0
1705494859091,0,8647,11776,0
1705494861310,0,9243,47488,0
1705494861310,0,10226,38605,0
1705494861310,0,7439,21657,0
1705494863523,0,7439,60194,0
1705494863523,0,5092,0,0
1705494865732,0,5092,0,0
1705494865732,0,5092,0,0
1705494867934,0,5092,0,0
1705494867934,0,5092,0,0
1705494870115,0,5092,0,0
1705494870115,0,5092,0,0
1705494872350,0,5092,0,0
1705494872350,0,5092,35713,0
1705494872350,0,5092,63580,0
1705494874357,0,5092,52241,0
1705494874357,0,5092,43072,0
1705494876034,0,5092,35548,0
1705494876034,0,5092,31229,0
1705494879034,0,5092,24487,0
1705494879034,0,5092,28055,0
1705494881036,0,5093,25189,0
1705494881036,0,5093,24119,0
1705494883033,0,5093,36377,0
1705494883033,0,5092,0,0
1705494883033,0,5093,0,0
1705494885044,0,5093,0,0
1705494885044,0,5093,0,0
1705494888044,0,5092,7917,0
1705494888044,0,5092,6221,0
1705494890041,0,5093,4678,0
1705494890041,0,5093,3549,0
1705494892044,0,5093,3039,0
1705494892044,0,5093,2626,0
1705494894041,0,5093,2062,0
1705494894041,0,5092,1501,0
1705494894041,0,5092,1360,0
1705494896032,0,5093,1163,0
1705494896032,0,5093,930,0
1705494899037,0,5093,843,0
1705494899037,0,5092,767,0
1705494901034,0,5093,735,0
1705494901034,0,5093,699,0
1705494903033,0,5092,689,0
1705494903033,0,5093,677,0
1705494905041,0,5093,682,0
1705494905041,0,5093,688,0
1705494905041,0,5092,709,0
1705494908031,0,5092,791,0
1705494908031,0,5093,789,0
1705494910028,0,5093,826,0
1705494910028,0,5093,931,0
1705494912030,0,5093,983,0
1705494912030,0,5093,1008,0
1705494914038,0,5093,961,0
1705494914038,0,5093,1083,0
1705494916038,0,5093,1091,0
1705494916038,0,5093,47423,0
1705494916038,0,5092,57733,0
1705494918179,0,5093,55414,0
1705494918179,0,5093,1044,0
1705494921047,0,5093,998,0
1705494921047,0,5093,949,0
1705494923031,0,5093,942,0
1705494923031,0,5093,897,0
1705494925033,0,5093,907,0
1705494925033,0,5093,879,0
1705494928039,0,5093,930,0
1705494928039,0,5093,934,0
1705494928039,0,5092,840,0
1705494930041,0,5093,849,0
1705494930041,0,5093,838,0
1705494932034,0,5093,840,0
1705494932034,0,5093,826,0
1705494934037,0,5093,10917,0
1705494934037,0,5093,6344,0
1705494936035,0,5093,9168,0
1705494936035,0,5093,5528,0
1705494939036,0,5093,1984,0
1705494939036,0,5093,813,0
1705494939036,0,5093,830,0
1705494941029,0,5093,783,0
1705494941029,0,5093,690,0
1705494943036,0,5093,772,0
1705494943036,0,5093,848,0
1705494945033,0,5093,867,0
1705494945033,0,5093,860,0
1705494947034,0,5093,842,0
1705494947034,0,5093,916,0
1705494950031,0,5093,1546,0
1705494950031,0,5093,1188,0
1705494950031,0,5093,795,0
1705494952040,0,5093,981,0
1705494952040,0,5093,915,0
1705494954039,0,5093,869,0
1705494954039,0,5093,897,0
1705494956044,0,5093,872,0
1705494956044,0,5093,941,0
1705494959039,0,5093,963,0
1705494959039,0,5093,929,0
1705494961034,0,5093,1039,0
1705494961034,0,5093,1045,0
1705494961034,0,5093,1108,0
1705494963039,0,5093,1153,0
1705494963039,0,5092,1091,0
1705494965042,0,5093,1023,0
1705494965042,0,5093,887,0
1705494967041,0,5093,896,0
1705494967041,0,5093,787,0
1705494970036,0,5093,783,0
1705494970036,0,5093,905,0
1705494972033,0,5093,919,0
1705494972033,0,5093,1042,0
1705494972033,0,5093,991,0
1705494974040,0,5093,1099,0
1705494974040,0,5093,1088,0
1705494976038,0,5093,1054,0
1705494976038,0,5093,995,0
1705494979031,0,5093,966,0
1705494979031,0,5093,919,0
1705494981037,0,5093,821,0
1705494981037,0,5093,738,0
1705494983042,0,5093,824,0
1705494983042,0,5093,927,0
1705494983042,0,5093,962,0
1705494985040,0,5093,938,0
1705494985040,0,5093,970,0
1705494987032,0,5093,1078,0
1705494987032,0,5093,1110,0
1705494990043,0,5093,1011,0
1705494990043,0,5093,992,0
1705494992047,0,5093,1054,0
1705494992047,0,5093,1061,0
1705494994036,0,5093,962,0
1705494994036,0,5093,883,0
1705494994036,0,5093,857,0
1705494996040,0,5093,830,0
1705494996040,0,5093,860,0
1705494999035,0,5093,809,0
1705494999035,0,5093,795,0
1705495001033,0,5092,840,0
1705495001033,0,5092,869,0
1705495003055,0,5093,807,0
1705495003055,0,5093,746,0
1705495005044,0,5093,777,0
1705495005044,0,5093,743,0
1705495005044,0,5093,659,0
1705495007036,0,5093,635,0
1705495007036,0,5093,591,0
1705495010041,0,5093,651,0
1705495010041,0,5093,619,0
1705495012038,0,5093,2983,0
1705495012038,0,5093,11297,0
1705495014036,0,5089,13185,0
1705495014036,0,5092,15812,0
1705495016036,0,5091,19767,0
1705495016036,0,5091,26345,0
1705495016036,0,5091,39490,0
1705495018034,0,5091,1826,0
1705495018034,0,5091,3734,0
1705495021038,0,5091,8566,0
1705495021038,0,5091,5660,0
