UTCTimestamp_ms,SpO2,DC_R,acc_power,HR
1706885040621,0,0,0,0
1706885040621,0,0,0,0
1706885040621,0,0,0,0
1706885042869,0,0,0,0
1706885042869,0,0,0,0
1706885045081,0,10053,41430,0
1706885045081,0,10053,60046,0
1706885047293,0,10053,60046,0
1706885047293,0,10053,62432,0
1706885049498,0,9710,34343,0
1706885049498,0,9634,1195,0
1706885051724,0,9634,41314,0
1706885051724,0,9639,51456,0
1706885051724,0,9639,39511,0
1706885053932,0,9639,20317,4
1706885053932,98,9639,47121,0
1706885056156,97,9639,26685,0
1706885056156,96,9639,23705,0
1706885058064,94,9639,57373,0
1706885058064,92,9639,34659,0
1706885061040,91,9639,50375,0
1706885061040,89,9639,28354,0
1706885063039,88,9639,16694,0
1706885063039,88,9639,53683,0
1706885063039,87,9639,42573,0
1706885065031,87,9639,37317,0
1706885065031,87,9639,24476,0
1706885067031,87,9639,19472,0
1706885067031,87,9640,17463,0
1706885069045,88,9611,10278,0
1706885069045,88,9625,11051,0
1706885072043,87,9630,9973,0
1706885072043,84,9631,8995,0
1706885074037,82,9630,11100,0
1706885074037,80,9630,14447,0
1706885074037,77,9631,0,0
1706885076032,75,9631,0,0
1706885076032,74,9630,2144,0
1706885078038,72,9630,1789,0
1706885078038,70,9631,1386,0
1706885081043,70,9630,1441,0
1706885081043,70,9628,1676,61
1706885083037,70,9628,1588,60
1706885083037,70,9630,1576,60
1706885085034,70,9629,1630,60
1706885085034,70,9636,1937,60
1706885085034,70,9636,2046,60
1706885087029,72,9636,2348,60
1706885087029,73,9641,2314,60
1706885089050,75,9641,2355,60
1706885089050,77,9641,2375,60
1706885092034,80,9641,2202,60
1706885092034,80,9641,2104,60
1706885094044,81,9641,1165,59
1706885094044,81,9641,1054,60
1706885096031,82,9641,1029,60
1706885096031,82,9641,2158,60
1706885096031,82,9641,3270,60
1706885098042,83,9641,4284,59
1706885098042,83,9641,4665,60
1706885101032,84,9641,4676,60
1706885101032,84,9641,4722,60
1706885103031,84,9641,4728,60
1706885103031,84,9641,4052,60
1706885105035,84,9641,2382,60
1706885105035,84,9641,1486,60
1706885107032,85,9641,1458,60
1706885107032,85,9641,9753,60
