UTCTimestamp_ms,SpO2,DC_R,acc_power,HR
1706885026195,0,0,0,0
1706885026195,0,0,0,0
1706885026195,0,0,0,0
1706885029100,0,0,0,0
1706885029100,0,0,0,0
1706885031036,0,7796,46490,0
1706885031036,0,7796,10416,0
1706885033051,0,7796,8912,0
1706885033051,0,7796,48656,0
1706885035038,0,7796,28510,0
1706885035038,0,7678,3594,0
1706885038033,0,7678,17138,0
1706885038033,0,7678,25418,0
1706885038033,0,7678,23550,0
1706885040193,0,7678,375,0
1706885040193,0,7678,58447,0
1706885042040,0,7678,30149,0
1706885042040,0,7678,6845,0
1706885044035,0,7678,43290,0
1706885044035,0,7678,65271,0
1706885046032,0,7678,42481,0
1706885046032,0,7678,9121,0
1706885049037,0,7678,20288,0
1706885049037,0,7678,4079,0
1706885049037,0,7678,47106,0
1706885051031,0,7678,7684,0
1706885051031,0,7678,63912,0
1706885053039,0,7678,52561,0
1706885053039,0,7678,28460,0
1706885055037,0,7678,27372,0
1706885055037,0,7678,18652,0
1706885057038,0,7678,12444,0
1706885057038,0,7678,11923,0
1706885060033,0,7678,8425,0
1706885060033,0,7678,5813,0
1706885060033,0,7678,5863,0
1706885062030,0,7678,4678,0
1706885062030,0,7678,3993,0
1706885064047,0,7678,3964,0
1706885064047,0,7678,3532,0
1706885066044,0,7678,3235,0
1706885066044,0,7678,2745,0
1706885069034,0,7776,2655,0
1706885069034,0,7802,2404,0
1706885071035,0,7715,2716,0
1706885071035,0,7779,3124,0
1706885071035,0,7775,4076,0
1706885073045,0,7777,5582,0
1706885073045,0,7775,7059,0
1706885075032,0,7777,0,0
1706885075032,0,7775,0,0
1706885077035,0,7779,2437,0
1706885077035,0,7777,1756,0
1706885080033,0,7775,1476,63
1706885080033,0,7842,1429,62
1706885082030,0,7873,1750,62
1706885082030,0,7852,2076,61
1706885082030,0,7860,2091,61
1706885084030,0,7862,2195,60
1706885084030,0,7785,2502,60
1706885086045,0,7643,2574,0
1706885086045,0,7643,2893,0
1706885089039,0,7678,3189,0
1706885089039,0,7678,3344,0
1706885091039,0,7678,3317,0
1706885091039,0,7678,3100,0
1706885093031,0,7678,7367,0
1706885093031,0,7678,58208,0
1706885093031,0,7678,58197,0
1706885095608,0,7678,22913,0
