UTCTimestamp_ms,SpO2,DC_R,acc_power,HR
1707312138498,0,0,0,0
1707312138498,0,0,0,0
1707312138498,0,0,0,0
1707312141050,0,0,0,0
1707312141050,0,0,0,0
1707312143043,0,0,13434,0
1707312143043,0,9006,29391,0
1707312144921,0,9006,23493,0
1707312144921,0,8794,5563,0
1707312147133,0,8794,6676,0
1707312147133,0,8608,41113,0
1707312149381,0,8677,33659,0
1707312149381,0,8627,27932,0
1707312149381,0,8687,11806,0
1707312151585,0,8187,0,0
1707312151585,0,8187,0,0
1707312153788,0,7778,0,0
1707312153788,0,7779,0,0
1707312155999,0,7778,0,0
1707312155999,0,7778,0,0
1707312158202,0,7778,0,0
1707312158202,0,7779,0,0
1707312160414,0,7779,0,0
1707312160414,0,7778,0,0
1707312160414,0,7778,0,0
1707312162615,0,7778,0,0
1707312162615,0,7778,0,0
1707312165056,0,7778,0,0
1707312165056,0,7778,0,0
1707312167039,0,7778,0,0
1707312167039,0,7778,0,0
1707312169033,0,7778,0,0
1707312169033,0,7778,0,0
1707312172050,0,7778,5942,0
1707312172050,0,7778,3865,0
1707312172050,0,7778,4883,0
1707312174038,0,7778,8037,0
1707312174038,0,7778,8175,0
1707312176039,0,7778,8236,0
1707312176039,0,7778,7658,0
1707312178039,0,7778,9664,0
1707312178039,0,7778,11389,0
1707312180045,0,7778,11465,0
1707312180045,0,7778,11979,0
1707312183047,0,7778,4838,0
1707312183047,0,7779,0,0
1707312183047,0,7778,0,0
1707312185192,0,7778,0,0
1707312185192,0,7778,0,0
1707312187035,0,7778,0,0
1707312187035,0,7778,0,0
1707312189044,0,7779,10969,0
1707312189044,0,7779,6272,0
1707312192047,0,7779,11090,0
1707312192047,0,7778,23773,0
1707312194043,0,7778,23773,0
1707312194043,0,7779,23773,0
1707312194043,0,7778,29430,0
1707312196030,0,7778,39175,0
1707312196030,0,7778,58613,0
1707312198043,0,7778,43692,0
1707312198043,0,7778,0,0
1707312200028,0,7778,0,0
1707312200028,0,7778,0,0
1707312203042,0,7778,6452,0
1707312203042,0,7778,5294,0
1707312205190,0,7778,49942,0
1707312205190,0,7778,41919,0
1707312205190,0,7778,12923,0
1707312207036,0,7778,2856,0
1707312207036,0,7778,2313,0
1707312209033,0,7778,1925,0
1707312209033,0,7778,1330,0
1707312212035,0,7778,1161,0
1707312212035,0,7778,975,0
1707312214040,0,7778,908,0
1707312214040,0,7778,859,0
1707312216032,0,7778,825,0
1707312216032,0,7778,862,0
1707312216032,0,7778,845,0
1707312218031,0,7778,798,0
1707312218031,0,7778,767,0
1707312220031,0,7778,747,0
1707312220031,0,7778,728,0
1707312223045,0,7778,769,0
1707312223045,0,7778,769,0
1707312225041,0,7778,888,0
1707312225041,0,7778,918,0
1707312227037,0,7778,974,0
1707312227037,0,7778,983,0
1707312227037,0,7778,953,0
1707312229033,0,7778,875,0
1707312229033,0,7778,716,0
1707312232037,0,7778,735,0
1707312232037,0,7778,1032,0
1707312234038,0,7778,629,0
1707312234038,0,7778,2086,0
1707312236041,0,7778,4432,0
1707312236041,0,7778,1995,0
1707312238036,0,7778,2610,0
1707312238036,0,7778,916,0
1707312238036,0,7778,949,0
1707312240035,0,7778,986,0
1707312240035,0,7778,976,0
1707312243036,0,7778,890,0
1707312243036,0,7778,793,0
1707312245034,0,7778,730,0
1707312245034,0,7778,690,0
1707312247051,0,7778,675,0
1707312247051,0,7778,621,0
1707312249031,0,7778,672,0
1707312249031,0,7778,710,0
1707312249031,0,7778,983,0
1707312252050,0,7778,1150,0
1707312252050,0,7778,5737,0
1707312254045,0,7778,15624,0
1707312254045,0,7778,880,0
1707312256037,0,7778,934,0
1707312256037,0,7778,1101,0
1707312258041,0,7778,1169,0
1707312258041,0,7778,1241,0
1707312260031,0,7778,1179,0
1707312260031,0,7778,1208,0
1707312260031,0,7778,1202,0
1707312263031,0,7778,1542,0
1707312263031,0,7778,1246,0
1707312265035,0,7778,1287,0
1707312265035,0,7778,1001,0
1707312267033,0,7778,918,0
1707312267033,0,7778,792,0
1707312269028,0,7778,720,0
1707312269028,0,7778,831,0
1707312271036,0,7778,717,0
1707312271036,0,7778,836,0
1707312271036,0,7778,871,0
1707312274041,0,7778,972,0
1707312274041,0,7778,974,0
1707312276035,0,7778,947,0
1707312276035,0,7778,937,0
1707312278038,0,7778,906,0
1707312278038,0,7778,819,0
1707312280034,0,7778,619,0
1707312280034,0,7778,606,0
1707312283034,0,7778,721,0
1707312283034,0,7778,722,0
1707312283034,0,7778,806,0
1707312285038,0,7778,843,0
1707312285038,0,7778,885,0
1707312287031,0,7778,903,0
1707312287031,0,7778,802,0
1707312289036,0,7778,786,0
1707312289036,0,7778,687,0
1707312291036,0,7778,637,0
1707312291036,0,7778,573,0
1707312294047,0,7778,524,0
1707312294047,0,7778,446,0
1707312294047,0,7778,406,0
1707312296042,0,7778,411,0
1707312296042,0,7778,483,0
1707312298039,0,7778,594,0
1707312298039,0,7778,619,0
1707312300043,0,7778,556,0
1707312300043,0,7778,611,0
1707312303031,0,7778,776,0
1707312303031,0,7778,779,0
1707312305036,0,7778,845,0
1707312305036,0,7778,811,0
1707312305036,0,7778,845,0
1707312307044,0,7778,881,0
1707312307044,0,7778,913,0
1707312309029,0,7778,836,0
1707312309029,0,7778,843,0
1707312311031,0,7778,827,0
1707312311031,0,7778,808,0
1707312314033,0,7778,797,0
1707312314033,0,7778,868,0
1707312316039,0,7778,781,0
1707312316039,0,7778,810,0
1707312316039,0,7778,850,0
1707312318034,0,7778,910,0
1707312318034,0,7778,971,0
1707312320033,0,7778,933,0
1707312320033,0,7778,875,0
1707312323034,0,7778,884,0
1707312323034,0,7778,915,0
1707312325041,0,7778,927,0
1707312325041,0,7778,886,0
1707312327036,0,7778,862,0
1707312327036,0,7778,870,0
1707312327036,0,7778,865,0
1707312329043,0,7778,861,0
1707312329043,0,7778,714,0
1707312331174,0,7778,833,0
1707312331174,0,7778,1126,0
1707312334047,0,7778,3043,0
1707312334047,0,7778,2955,0
1707312336042,0,7778,2179,0
1707312336042,0,7778,1861,0
1707312338035,0,7778,1558,0
1707312338035,0,7778,1343,0
1707312338035,0,7778,1190,0
1707312340034,0,7778,1063,0
1707312340034,0,7778,949,0
1707312343033,0,7778,902,0
1707312343033,0,7778,879,0
1707312345037,0,7778,748,0
1707312345037,0,7778,682,0
1707312347032,0,7778,670,0
1707312347032,0,7778,603,0
1707312349040,0,7778,573,0
1707312349040,0,7778,649,0
1707312349040,0,7778,662,0
1707312351043,0,7778,666,0
1707312351043,0,7778,672,0
1707312354036,0,7778,670,0
1707312354036,0,7778,649,0
1707312356033,0,7778,619,0
1707312356033,0,7778,708,0
1707312358038,0,7778,808,0
1707312358038,0,7778,886,0
1707312360172,0,7778,965,0
1707312360172,0,7778,977,0
1707312360172,0,7778,949,0
1707312362038,0,7778,868,0
1707312362038,0,7778,892,0
1707312365033,0,7778,716,0
1707312365033,0,7778,622,0
1707312367043,0,7778,559,0
1707312367043,0,7778,602,0
1707312369029,0,7778,594,0
1707312369029,0,7778,693,0
1707312371038,0,7778,701,0
1707312371038,0,7778,639,0
1707312371038,0,7778,692,0
1707312374031,0,7778,736,0
1707312374031,0,7778,830,0
1707312376031,0,7778,861,0
1707312376031,0,7778,899,0
1707312378033,0,7778,890,0
1707312378033,0,7778,928,0
1707312380044,0,7778,925,0
1707312380044,0,7778,932,0
1707312382031,0,7778,916,0
1707312382031,0,7778,866,0
1707312382031,0,7778,927,0
1707312385032,0,7778,894,0
1707312385032,0,7778,864,0
1707312387029,0,7778,885,0
1707312387029,0,7778,865,0
1707312389032,0,7778,888,0
1707312389032,0,7778,939,0
1707312391026,0,7778,912,0
1707312391026,0,7778,963,0
1707312394039,0,7778,911,0
1707312394039,0,7778,892,0
1707312394039,0,7778,872,0
1707312396035,0,7778,885,0
1707312396035,0,7778,908,0
1707312398050,0,7778,910,0
