UTCTimestamp_ms,SpO2,DC_R,acc_power,HR
1720275095542,0,0,0,0
1720275095542,0,0,0,0
1720275095542,0,0,0,0
1720275097724,0,0,0,0
1720275097724,0,0,0,0
1720275099962,0,14728,22957,0
1720275099962,0,12742,36168,0
1720275102111,0,13123,29055,0
1720275102111,0,12947,12053,0
1720275104324,0,13804,14463,0
1720275104324,0,13804,50847,0
1720275106524,0,14972,49158,0
1720275106524,0,14972,29104,0
1720275106524,0,14972,14057,0
1720275108722,0,14972,0,0
1720275108722,0,14927,0,0
1720275110961,0,14928,29654,0
1720275110961,0,14931,41384,0
1720275113106,0,14931,19393,0
1720275113106,0,14931,29774,0
1720275115502,0,14931,20016,0
1720275115502,0,14931,54217,0
1720275117701,0,14931,20456,0
1720275117701,0,14932,64092,0
1720275117701,0,14931,33790,0
1720275119903,0,14932,51925,0
1720275119903,0,14932,33356,0
1720275122119,0,14931,6920,0
1720275122119,0,14932,18078,0
1720275124329,0,14932,14356,0
1720275124329,0,14932,55099,0
1720275126543,0,14932,38105,0
1720275126543,0,14932,36501,0
1720275128767,0,14932,24740,0
1720275128767,0,14932,16921,0
1720275128767,0,14932,16240,0
1720275130972,0,14932,10939,0
1720275130972,0,14932,7514,0
1720275133182,0,14933,7245,0
1720275133182,0,14932,5016,0
1720275135401,0,14931,3398,0
1720275135401,0,14933,2844,0
1720275137617,0,14933,1848,0
1720275137617,0,14932,1683,0
1720275139820,0,14933,1547,0
1720275139820,0,14933,1102,0
1720275139820,0,14933,993,0
1720275142038,0,14933,1249,0
1720275142038,0,14934,2188,0
1720275144249,0,14934,2551,0
1720275144249,0,14933,2781,0
1720275146473,0,14933,3219,0
1720275146473,0,14934,3734,0
1720275148682,0,14934,3723,0
1720275148682,0,14933,3262,0
1720275150870,0,14934,3102,0
1720275150870,0,14934,2998,0
1720275150870,0,14933,2546,0
1720275153097,0,14933,2199,0
1720275153097,0,14934,1530,0
1720275155305,0,14933,1527,0
1720275155305,0,14931,1462,0
1720275157520,0,14933,1485,0
1720275157520,0,14933,1382,0
1720275159727,0,14934,1474,0
1720275159727,0,14934,1728,0
1720275161947,0,14935,52476,0
1720275161947,0,14935,50837,0
1720275161947,0,14935,18736,0
1720275164156,0,14935,3924,0
1720275164156,0,14935,0,0
1720275166366,0,14934,0,0
1720275166366,0,14935,0,0
1720275168584,0,14934,2979,0
1720275168584,0,14935,2300,0
1720275170793,0,14934,1562,0
1720275170793,0,14934,1186,0
1720275173008,0,14935,59560,0
1720275173008,0,14935,22902,0
1720275173008,0,14936,39698,0
1720275175225,0,14937,14222,0
1720275175225,0,14936,55578,0
1720275177432,0,14936,13315,0
1720275177432,0,14936,44658,0
1720275179652,0,14937,28304,0
1720275179652,0,14936,44454,0
1720275181857,0,14936,22268,0
1720275181857,0,14937,12438,0
1720275184075,0,14937,15940,0
1720275184075,0,14937,2446,0
1720275184075,0,14937,8540,0
1720275186292,0,14914,7631,0
1720275186292,0,14926,3389,0
1720275188500,0,14926,5128,0
1720275188500,0,14926,5365,0
1720275190713,0,14897,4672,0
1720275190713,0,14892,5064,0
1720275192930,0,14075,4716,0
1720275192930,0,15282,3929,0
1720275195154,0,14970,3675,0
1720275195154,0,14970,2781,0
1720275195154,0,14899,1991,0
1720275197350,0,14899,1613,0
1720275197350,0,14969,1529,0
1720275199573,0,14915,1433,0
1720275199573,0,14915,1158,0
1720275201770,0,14900,1057,0
1720275201770,0,14895,1114,0
1720275203984,0,14904,1120,0
1720275203984,0,14940,1562,0
1720275206198,0,14940,1608,0
1720275206198,0,14940,1318,0
1720275206198,0,14937,1709,0
1720275208407,0,14937,1888,0
1720275208407,0,14937,1403,0
1720275210632,0,14938,1352,0
1720275210632,0,14938,1410,0
1720275212836,0,14938,1362,0
1720275212836,0,14937,1100,0
1720275214883,0,14937,1108,0
1720275214883,0,15182,1227,0
1720275217086,0,14415,1538,0
1720275217086,0,15447,1703,0
1720275217086,0,18312,2113,0
1720275219439,0,18312,4122,0
1720275219439,0,16226,0,0
1720275221642,0,16226,0,0
1720275221642,0,12568,0,0
1720275223860,0,12551,0,0
1720275223860,0,12551,0,0
1720275226070,0,12551,0,0
1720275226070,0,12821,0,0
1720275228281,0,12824,0,0
1720275228281,0,12825,0,4
1720275228281,0,12828,5085,0
1720275230495,0,12829,30078,0
1720275230495,0,12832,58821,0
1720275232702,0,12834,46514,0
1720275232702,0,12834,38976,0
1720275234759,0,12836,32817,0
1720275234759,0,12836,28818,0
1720275237125,0,12837,20341,0
1720275237125,0,12838,14598,0
1720275239177,0,12838,14938,0
1720275239177,0,12838,11902,0
1720275239177,0,12838,10281,0
1720275241390,0,12838,11484,0
1720275241390,0,12443,9565,0
1720275243571,0,16406,3748,0
1720275243571,0,21034,3895,0
1720275245787,0,21034,6024,0
1720275245787,0,21034,13138,0
1720275248130,0,23937,31127,0
1720275248130,0,23607,17309,0
1720275250340,0,23255,14460,0
1720275250340,0,22716,15256,0
1720275250340,0,23203,23496,0
