UTCTimestamp_ms,SpO2,DC_R,acc_power,HR
1720447819084,0,0,0,0
1720447819084,0,0,0,0
1720447819084,0,0,0,0
1720447821295,0,0,0,0
1720447821295,0,0,0,0
1720447823491,0,0,62571,0
1720447823491,0,0,5609,0
1720447825682,0,0,5130,0
1720447825682,0,11637,48168,0
1720447827882,0,14412,34351,0
1720447827882,0,14632,41221,0
1720447830144,0,14632,60214,0
1720447830144,0,12361,29766,0
1720447830144,0,12384,45687,0
1720447832307,0,12384,51129,0
1720447832307,0,12384,0,0
1720447834489,0,12535,0,0
1720447834489,0,12720,0,0
1720447836685,0,12439,0,0
1720447836685,0,12439,0,0
1720447839063,0,11410,0,0
1720447839063,0,12008,0,0
1720447841102,0,12008,0,0
1720447841102,0,12401,0,0
1720447841102,0,12451,0,0
1720447843317,0,12451,0,0
1720447843317,0,14273,0,0
1720447845671,0,13410,0,0
1720447845671,0,12813,0,0
1720447847877,0,12239,0,0
1720447847877,0,15422,0,0
1720447850094,0,17252,0,0
1720447850094,0,17252,0,0
1720447852313,0,17252,0,0
1720447852313,0,17232,0,0
1720447852313,0,17233,0,0
1720447854524,0,17234,0,0
1720447854524,0,17235,0,0
1720447856733,0,17235,0,0
1720447856733,0,17235,0,0
1720447858934,0,17235,0,0
1720447858934,0,17235,0,0
1720447861151,0,17236,0,0
1720447861151,0,17236,9502,0
1720447863363,0,17236,6404,0
1720447863363,0,17236,4852,0
1720447863363,0,17236,4003,0
1720447865562,0,17236,3367,0
1720447865562,0,17237,2868,0
1720447867774,0,17237,2226,0
1720447867774,0,17237,1515,0
1720447869988,0,17237,1386,0
1720447869988,0,17237,976,0
1720447872190,0,17238,866,0
1720447872190,0,17238,861,0
1720447874399,0,17238,855,0
1720447874399,0,17238,848,0
1720447874399,0,17238,834,0
1720447876615,0,17238,791,0
1720447876615,0,17238,720,0
1720447878817,0,17239,658,0
1720447878817,0,17239,701,0
1720447881034,0,17239,693,0
1720447881034,0,17239,713,0
1720447883251,0,17239,760,0
1720447883251,0,17240,801,0
1720447885457,0,17240,24249,0
1720447885457,0,17240,57383,0
1720447885457,0,17240,58005,0
1720447887683,0,17240,35394,0
1720447887683,0,17240,1625,0
1720447889897,0,17242,3403,0
1720447889897,0,17242,4289,0
1720447892100,0,17242,4731,0
1720447892100,0,17242,4853,0
1720447894310,0,17242,5027,0
1720447894310,0,17243,6060,0
1720447896529,0,17255,6896,0
1720447896529,0,17121,7305,0
1720447896529,0,17169,7173,0
1720447898735,0,17166,7211,0
1720447898735,0,17299,7155,0
1720447900954,0,17086,6740,0
1720447900954,0,17167,4581,0
1720447903165,0,17124,3637,0
1720447903165,0,17160,2394,0
1720447905372,0,17143,1914,0
1720447905372,0,17150,1624,0
1720447907587,0,17141,1209,0
1720447907587,0,17144,1102,0
1720447907587,0,17150,994,0
1720447909793,0,17160,741,0
1720447909793,0,17099,731,0
1720447912023,0,17015,791,0
1720447912023,0,17015,1383,0
1720447914226,0,17015,2225,0
1720447914226,0,17015,3136,0
1720447916443,0,17243,3315,0
1720447916443,0,17243,3343,0
1720447918650,0,17243,3350,0
1720447918650,0,17243,3171,0
1720447918650,0,17236,7887,0
1720447920849,0,16752,8940,0
1720447920849,0,17264,10806,0
1720447923058,0,30000,12360,0
1720447923058,0,30000,16186,0
1720447925275,0,30000,24304,0
1720447925275,0,30000,45530,0
1720447927489,0,30000,5369,0
1720447927489,0,30000,5369,0
1720447929684,0,19441,3463,0
1720447929684,0,14959,3492,0
1720447929684,0,14978,2018,0
1720447931894,0,12774,1652,0
1720447931894,0,13447,4321,0
1720447934104,0,14663,4906,0
1720447934104,0,14663,1579,0
1720447936316,0,14663,4228,0
1720447936316,0,14663,1681,0
1720447938526,0,14663,1778,0
1720447938526,0,14663,2091,0
1720447940563,0,13463,2145,0
1720447940563,0,13302,2572,0
1720447940563,0,13302,3588,0
1720447942753,0,13302,4190,0
1720447942753,0,13302,3250,0
1720447944978,0,13372,3641,0
1720447944978,0,13347,3366,0
1720447947145,0,13331,2012,0
1720447947145,0,13340,2980,0
1720447949341,0,13427,17087,0
1720447949341,0,13430,13225,0
1720447951541,0,13368,10782,0
1720447951541,0,13330,10377,0
1720447951541,0,13311,8869,0
1720447953727,0,13316,9255,0
1720447953727,100,13279,10217,0
1720447955921,100,13271,10502,0
1720447955921,0,13278,10726,0
1720447958117,100,13268,10058,0
1720447958117,100,13280,10342,0
1720447960310,100,13258,8849,0
1720447960310,100,13241,6650,62
1720447962513,100,13232,5808,63
1720447962513,100,13243,4606,62
1720447962513,100,13197,4302,61
1720447964705,100,13201,3796,62
1720447964705,99,13218,4827,62
1720447966163,99,13218,4827,62
1720447966163,98,13218,4827,62
1720447966713,98,13218,4827,62
1720447966713,97,13218,4990,63
1720447967265,96,13325,5510,62
1720447967265,96,13325,5620,62
1720447967812,0,13325,5934,62
1720447967812,94,13357,5754,62
1720447967812,94,13371,4533,62
1720447968364,94,13359,4211,0
1720447968364,94,13359,3227,57
1720447968911,93,13362,2849,0
1720447968911,93,13372,2189,0
1720447969476,94,13358,2245,0
1720447969476,0,13358,1962,57
1720447970011,0,13365,1726,0
1720447970011,0,13365,1955,0
1720447970563,0,13351,2036,0
1720447970563,0,13353,6800,0
1720447970563,0,13362,2194,0
1720447971114,0,13352,2058,0
1720447971114,0,13352,2028,58
1720447971656,0,13352,1792,0
1720447971656,0,13352,1789,0
1720447972204,0,13353,1616,0
1720447972204,0,13359,1420,57
1720447972753,0,13359,1358,0
1720447972753,0,13374,1323,0
1720447973305,0,13363,1307,0
1720447973305,0,13368,1423,0
1720447973305,0,13377,1445,0
1720447973854,0,13362,1465,0
1720447973854,0,13362,1492,0
1720447974402,0,13357,1432,0
1720447974402,0,13368,1595,0
1720447974956,0,13357,1655,0
1720447974956,0,13357,2004,0
1720447975502,0,13360,1989,0
1720447975502,0,13368,2103,0
1720447977811,0,13351,2520,0
1720447977811,0,13351,2520,0
1720447977811,0,13351,2396,58
1720447980000,0,13399,2550,0
1720447980000,96,13409,2596,0
1720447982214,96,13418,2687,53
1720447982214,96,13421,2594,58
1720447984411,96,13426,2388,0
1720447984411,96,13288,4247,0
