UTCTimestamp_ms,SpO2,DC_R,acc_power,HR
1720529216089,0,0,0,0
1720529216089,0,0,0,0
1720529216089,0,0,0,0
1720529218275,0,0,0,0
1720529218275,0,0,0,0
1720529220641,0,0,12345,0
1720529220641,0,16232,18925,0
1720529222841,0,14266,15460,0
1720529222841,0,14266,61727,0
1720529225058,0,13213,60965,0
1720529225058,0,14603,27055,0
1720529227276,0,14603,14975,0
1720529227276,0,14603,29073,0
1720529227276,0,14603,13977,0
1720529229490,0,16162,0,0
1720529229490,0,16163,0,0
1720529231724,0,16167,0,0
1720529231724,0,16167,0,0
1720529233927,0,16167,0,0
1720529233927,0,16167,0,0
1720529236137,0,16168,0,0
1720529236137,0,16169,0,0
1720529238341,0,16168,0,0
1720529238341,0,16168,0,0
1720529238341,0,16168,9973,0
1720529240565,0,16168,58018,0
1720529240565,0,16169,41981,0
1720529242766,0,16169,34484,0
1720529242766,0,16169,26687,0
1720529244988,0,16169,22939,0
1720529244988,0,16169,16784,0
1720529247201,0,16165,10877,0
1720529247201,0,16187,11443,0
1720529249422,0,16299,12576,0
1720529249422,0,16299,12661,0
1720529249422,0,16359,13841,0
1720529251626,0,16374,13881,0
1720529251626,0,16374,13400,0
1720529253850,0,16374,13292,0
1720529253850,0,16374,12330,0
1720529256048,0,16374,7178,0
1720529256048,0,16374,4458,0
1720529258264,0,16374,3058,0
1720529258264,0,16375,2925,0
1720529260479,0,16374,2643,0
1720529260479,0,16374,1733,0
1720529260479,0,16375,1753,0
1720529262692,0,15276,1794,0
1720529262692,0,15873,1881,0
1720529264920,0,16401,1945,0
1720529264920,0,16303,2040,0
1720529267126,0,16285,2028,0
1720529267126,0,16247,1833,0
1720529269340,0,16407,1514,0
1720529269340,0,16346,1228,0
1720529271552,0,16229,1091,0
1720529271552,0,16232,905,0
1720529271552,0,16225,764,0
1720529273754,0,16344,778,0
1720529273754,0,16309,773,0
1720529275966,0,16268,802,0
1720529275966,0,16275,871,0
1720529278180,0,16335,986,0
1720529278180,0,16335,1432,0
1720529280392,0,16375,1636,0
1720529280392,0,16374,1785,0
1720529282601,0,16374,37867,0
1720529282601,0,16374,58191,0
1720529282601,0,16375,58182,0
1720529284815,0,16375,1482,0
1720529284815,0,16375,1342,0
1720529287024,0,16374,943,0
1720529287024,0,16375,733,0
1720529289237,0,16375,645,0
1720529289237,0,16375,547,0
1720529291453,0,16374,525,0
1720529291453,0,16375,509,0
1720529293671,0,16391,1341,0
1720529293671,0,16003,5454,0
1720529293671,0,16003,11848,0
1720529295891,0,16003,13114,0
1720529295891,0,15897,14917,0
1720529297946,0,15897,15082,0
1720529297946,0,15897,28213,0
1720529300143,0,15897,32831,0
1720529300143,0,15897,39422,0
1720529302327,0,15897,42707,0
1720529302327,0,15354,52891,0
1720529304555,0,16273,40013,0
1720529304555,0,23796,13511,0
1720529304555,0,23796,22112,0
1720529306804,0,22786,44833,0
1720529306804,0,22786,8699,0
1720529309124,0,22827,61860,0
1720529309124,0,22827,50498,0
1720529311338,0,22794,43408,0
1720529311338,0,22794,44050,0
1720529313555,0,22539,22962,0
1720529313555,0,24047,12239,0
1720529315774,0,24262,14128,0
1720529315774,71,23666,8341,0
1720529315774,72,23666,9310,0
1720529317990,71,23666,9270,0
1720529317990,71,23666,3901,0
1720529320194,71,23459,1612,0
1720529320194,71,23427,6957,0
1720529322418,70,23407,2439,0
1720529322418,70,23382,12538,0
1720529324639,70,23352,14180,0
1720529324639,71,23321,9229,0
1720529326852,71,23289,30566,0
1720529326852,72,23265,22604,0
1720529326852,74,23237,14667,0
1720529329066,75,23215,12461,0
1720529329066,78,23205,10460,0
1720529331280,80,23203,8986,0
1720529331280,83,23202,6330,0
1720529333499,85,23191,4297,0
1720529333499,87,23183,4252,0
1720529335709,88,23167,2999,0
1720529335709,88,23158,2217,0
1720529337930,88,23141,2733,0
1720529337930,89,23134,2645,59
1720529337930,89,23124,2324,60
1720529339976,89,23118,2336,62
1720529339976,89,23118,2800,0
1720529342176,89,22988,3113,0
1720529342176,89,23058,2223,0
1720529344393,89,23062,1972,0
1720529344393,89,23163,1783,0
1720529346588,89,23163,2312,0
1720529346588,89,23163,2158,0
1720529348801,88,23163,1521,0
1720529348801,88,23294,1402,60
1720529348801,88,23294,16992,59
1720529351012,88,23329,13568,59
1720529351012,88,23360,15006,60
1720529353211,87,23191,15004,60
1720529353211,87,22979,15173,59
1720529355407,87,22979,15589,60
1720529355407,87,22979,30325,61
1720529357608,86,22844,30044,62
1720529357608,86,22787,52026,61
1720529359810,85,22768,14023,62
1720529359810,86,22738,47476,62
1720529359810,86,22726,24063,61
1720529361992,87,22716,13662,60
1720529361992,88,22716,10262,60
1720529364375,90,22710,7574,60
1720529364375,91,22703,6464,59
1720529366578,93,22705,5979,59
1720529366578,93,22711,5809,59
1720529368798,94,22704,5961,60
1720529368798,94,22705,5881,60
1720529370839,94,22628,6606,59
1720529370839,94,22643,7648,59
1720529370839,94,22614,9591,59
1720529373045,93,22613,8924,59
1720529373045,93,22613,12672,60
1720529375248,93,22589,11722,60
1720529375248,93,22595,0,59
1720529377452,93,22574,0,58
1720529377452,0,22497,26332,58
1720529378468,0,22801,15993,58
1720529378468,0,22801,15993,58
1720529379021,0,22801,15993,58
1720529379021,0,22801,15993,58
1720529379021,0,16275,16249,58
1720529379569,0,14729,13916,58
1720529379569,0,14729,11663,58
1720529380124,0,14852,9854,58
1720529380124,0,14852,9044,53
1720529380673,0,14847,8105,50
1720529380673,0,14844,7406,0
1720529381221,0,14844,6373,49
1720529381221,0,14844,2886,51
1720529381770,0,14840,3151,52
1720529381770,0,14840,3106,0
1720529381770,0,14840,2088,0
1720529382323,0,14840,1971,0
1720529382323,0,14836,2241,52
1720529382874,0,14832,1921,0
1720529382874,0,14832,1922,0
1720529383417,0,14837,1846,0
1720529383417,0,14831,1755,52
1720529383961,0,14831,2013,0
1720529383961,0,14831,1844,0
1720529384510,0,14833,1863,0
1720529384510,0,14828,1826,52
1720529384510,0,14829,1660,50
1720529385054,0,14837,1684,50
1720529385054,0,14837,1957,51
1720529385589,0,14829,1942,53
1720529385589,0,14825,1972,0
1720529386140,0,14827,1698,0
1720529386140,0,14833,1710,0
1720529386687,0,14828,1749,51
1720529386687,0,14824,1894,0
1720529387225,0,14828,1986,0
1720529387225,0,14832,4258,0
1720529387225,0,14827,1730,0
1720529387771,0,14826,1850,51
1720529387771,0,14826,1910,0
1720529388344,0,14834,1808,49
1720529388344,0,14830,1954,51
1720529391094,0,14830,2001,51
1720529391094,92,14830,2001,51
1720529393293,92,14846,2140,49
1720529393293,93,14588,2129,50
1720529395497,93,14525,2278,51
1720529395497,93,14523,2610,49
1720529395497,94,14508,3360,0
1720529397697,94,14512,4020,57
1720529397697,93,14509,4289,59
1720529399907,93,14494,5167,61
1720529399907,93,14457,5568,60
1720529402102,93,14446,6124,60
1720529402102,89,14461,6980,60
1720529404295,86,14467,6936,60
1720529404295,85,14476,7330,60
1720529406502,86,14480,8280,60
1720529406502,87,14479,7981,60
1720529406502,88,14477,7927,59
1720529408684,90,14474,7195,59
1720529408684,92,14471,5795,58
1720529410856,93,14469,5395,59
1720529410856,94,14465,3190,59
1720529413061,95,14465,4482,59
1720529413061,95,14462,3437,60
1720529415449,95,14444,5537,61
1720529415449,95,14441,3955,60
1720529417652,95,14445,4122,58
1720529417652,94,14443,4942,58
1720529417652,94,14452,5061,58
1720529419875,93,14461,4857,58
1720529419875,92,14454,5549,59
1720529422083,92,14449,5849,60
1720529422083,92,14445,5681,59
1720529424298,93,14431,5635,59
1720529424298,93,14420,6249,59
1720529426515,93,14438,7190,59
1720529426515,93,14434,7028,60
1720529428732,94,14433,8573,60
1720529428732,94,14430,10251,60
1720529428732,94,14428,19354,60
1720529430942,94,14428,10501,60
1720529430942,95,14426,5578,61
1720529433152,95,14422,4920,62
1720529433152,95,14419,3499,62
1720529435368,95,14418,3100,61
1720529435368,96,14419,2301,61
1720529437578,96,14419,2064,61
