UTCTimestamp_ms,SpO2,DC_R,acc_power,HR
1720619297339,0,0,0,0
1720619297339,0,0,0,0
1720619297339,0,0,0,0
1720619299408,0,0,0,0
1720619299408,0,0,0,0
1720619301787,0,0,49559,0
1720619301787,0,13341,396,0
1720619303830,0,12848,1338,0
1720619303830,0,12797,45252,0
1720619306045,0,12324,41195,0
1720619306045,0,14252,2342,0
1720619308264,0,16915,1619,0
1720619308264,0,18639,29100,0
1720619308264,0,18639,14057,0
1720619310609,0,18599,0,0
1720619310609,0,18600,0,0
1720619312807,0,18601,0,0
1720619312807,0,18603,0,0
1720619315008,0,18603,0,0
1720619315008,0,18603,0,0
1720619317228,0,18605,0,0
1720619317228,0,18606,0,0
1720619319442,0,18607,34465,0
1720619319442,0,18608,39261,0
1720619319442,0,18608,21678,0
1720619321665,0,18609,5844,0
1720619321665,0,18608,58616,0
1720619323868,0,18610,58616,0
1720619323868,0,18609,45693,0
1720619326082,0,18610,53676,0
1720619326082,0,18611,41488,0
1720619328304,0,18611,18369,0
1720619328304,0,18611,0,0
1720619330505,0,18611,0,0
1720619330505,0,18612,0,0
1720619330505,0,18612,0,0
1720619332716,0,18612,0,0
1720619332716,0,18613,0,0
1720619334921,0,18613,8643,0
1720619334921,0,18614,5861,0
1720619337135,0,18614,4838,0
1720619337135,0,18613,4004,0
1720619339351,0,18614,3404,0
1720619339351,0,18614,2994,0
1720619341556,0,18615,2422,0
1720619341556,0,18615,2319,0
1720619341556,0,18614,1755,0
1720619343783,0,18616,1434,0
1720619343783,0,18615,1371,0
1720619345981,0,18616,1274,0
1720619345981,0,18615,1044,0
1720619348195,0,18616,979,0
1720619348195,0,18616,737,0
1720619350414,0,18618,871,0
1720619350414,0,18617,844,0
1720619352630,0,18617,849,0
1720619352630,0,18618,831,0
1720619352630,0,18618,844,0
1720619354832,0,18618,896,0
1720619354832,0,18618,910,0
1720619357054,0,18619,838,0
1720619357054,0,18619,806,0
1720619359259,0,18618,810,0
1720619359259,0,18620,845,0
1720619361470,0,18620,763,0
1720619361470,0,18619,718,0
1720619363679,0,18620,24321,0
1720619363679,0,18620,58183,0
1720619363679,0,18619,58184,0
1720619365889,0,18620,921,0
1720619365889,0,18620,993,0
1720619368101,0,18620,1045,0
1720619368101,0,18621,1085,0
1720619370311,0,18622,980,0
1720619370311,0,18621,925,0
1720619372518,0,18622,936,0
1720619372518,0,18621,936,0
1720619374727,0,18621,896,0
1720619374727,0,18621,823,0
1720619374727,0,18622,871,0
1720619376940,0,18622,891,0
1720619376940,0,18622,879,0
1720619379147,0,18622,809,0
1720619379147,0,18623,21015,0
1720619381361,0,18622,9324,0
1720619381361,0,18622,15683,0
1720619383568,0,18623,7802,0
1720619383568,0,18623,3275,0
1720619385790,0,18623,1071,0
1720619385790,0,18623,1083,0
1720619385790,0,18623,1026,0
1720619387996,0,18624,933,0
1720619387996,0,18624,848,0
1720619390217,0,18624,671,0
1720619390217,0,18624,663,0
1720619392425,0,18624,726,0
1720619392425,0,18624,797,0
