UTCTimestamp_ms,SpO2,DC_R,acc_power,HR
1720790448592,0,0,0,0
1720790448592,0,0,0,0
1720790448592,0,0,0,0
1720790450818,0,0,0,0
1720790450818,0,0,0,0
1720790452994,0,0,58044,2
1720790452994,0,14328,54482,1
1720790455224,0,12235,33501,0
1720790455224,0,11694,6316,0
1720790457426,0,14372,60008,0
1720790457426,0,14372,9475,0
1720790459623,0,18140,38051,0
1720790459623,0,18140,319,0
1720790459623,0,16502,22568,0
1720790461813,0,14953,0,0
1720790461813,0,16726,0,0
1720790464031,0,17085,0,0
1720790464031,0,17085,0,0
1720790466225,0,17435,0,0
1720790466225,0,17435,0,0
1720790468452,0,17434,0,0
1720790468452,0,17429,0,0
1720790470680,0,17428,28116,0
1720790470680,0,17429,21559,0
1720790470680,0,17426,21559,0
1720790472970,0,17438,21559,0
1720790472970,0,17411,21559,0
1720790475176,0,17356,21559,0
1720790475176,0,17355,22376,0
1720790477395,0,17354,0,0
1720790477395,0,17354,0,0
1720790479610,0,17354,0,0
1720790479610,0,17354,28339,0
1720790481818,0,17354,18168,0
1720790481818,0,17354,13507,0
1720790481818,0,17354,11223,0
1720790484039,0,17354,9336,0
1720790484039,0,17353,7943,0
1720790486249,0,17353,5856,0
1720790486249,0,17353,3809,0
1720790488458,0,17353,3311,0
1720790488458,0,17353,2223,0
1720790490678,0,17353,1881,0
1720790490678,0,17353,1770,0
1720790492879,0,17352,1353,0
1720790492879,0,17352,1222,0
1720790492879,0,17352,1206,0
1720790495098,0,17352,971,0
1720790495098,0,17351,911,0
1720790497293,0,17351,876,0
1720790497293,0,17351,765,0
1720790499513,0,17351,785,0
1720790499513,0,17351,885,0
1720790501720,0,17350,934,0
1720790501720,0,17350,887,0
1720790503935,0,17350,833,0
1720790503935,0,17349,796,0
1720790503935,0,17349,790,0
1720790506157,0,17349,677,0
1720790506157,0,17349,610,0
1720790508362,0,17348,585,0
1720790508362,0,17348,619,0
1720790510567,0,17348,758,0
1720790510567,0,17348,762,0
1720790512797,0,17348,753,0
1720790512797,0,17347,720,0
1720790514996,0,17347,21960,0
1720790514996,0,17347,34018,0
1720790514996,0,17347,21952,0
1720790517218,0,17346,911,0
1720790517218,0,17346,1021,0
1720790519424,0,17346,1093,0
1720790519424,0,17346,1084,0
1720790521638,0,17345,1082,0
1720790521638,0,17345,1092,0
1720790523843,0,17345,1028,0
1720790523843,0,17345,1116,0
1720790526052,0,17345,1166,0
1720790526052,0,17344,1230,0
1720790526052,0,17344,1221,0
1720790528274,0,17344,1179,0
1720790528274,0,17344,1185,0
1720790530482,0,17343,1070,0
1720790530482,0,17343,4559,0
1720790532698,0,17344,2971,0
1720790532698,0,17343,862,0
1720790534911,0,17343,928,0
1720790534911,0,17343,923,0
1720790537125,0,17342,998,0
1720790537125,0,17342,1177,0
1720790537125,0,17342,1264,0
1720790539336,0,17342,1224,0
1720790539336,0,17342,1169,0
1720790541553,0,17341,4056,0
1720790541553,0,17340,1175,0
1720790543762,0,17340,1874,0
1720790543762,0,17340,1989,0
1720790545972,0,17340,911,0
1720790545972,0,17340,1086,0
1720790548177,0,17340,1177,0
1720790548177,0,17339,848,0
1720790548177,0,17339,946,0
1720790550401,0,17338,859,0
1720790550401,0,17338,980,0
1720790552620,0,17338,984,0
1720790552620,0,17338,910,0
1720790554822,0,17338,897,0
1720790554822,0,17337,906,0
1720790557028,0,17337,811,0
1720790557028,0,17337,881,0
1720790559245,0,17337,851,0
1720790559245,0,17337,954,0
1720790559245,0,17336,991,0
1720790561460,0,17336,934,0
1720790561460,0,17336,929,0
1720790563676,0,17336,921,0
1720790563676,0,17336,886,0
1720790565880,0,17335,929,0
1720790565880,0,17335,1054,0
1720790568092,0,17335,1115,0
1720790568092,0,17335,1160,0
1720790570302,0,17335,1121,0
1720790570302,0,17334,1157,0
1720790570302,0,17334,1081,0
1720790572523,0,17334,967,0
1720790572523,0,17334,880,0
1720790574734,0,17334,841,0
1720790574734,0,17334,879,0
1720790576944,0,17334,1009,0
1720790576944,0,17333,1070,0
1720790579158,0,17333,1150,0
1720790579158,0,17333,1122,0
1720790581365,0,17336,1288,0
1720790581365,0,17302,1421,0
1720790581365,0,19077,1679,0
1720790583577,0,19077,1917,0
1720790583577,0,19077,2589,0
1720790585800,0,20265,5945,0
1720790585800,0,20265,1721,0
1720790588011,0,20341,2917,0
1720790588011,0,20359,3289,0
1720790590043,0,20359,2245,0
1720790590043,0,20359,3790,0
1720790592249,0,20365,11795,46
1720790592249,0,20365,9265,0
1720790592249,0,20366,8312,0
1720790594623,0,20367,6850,57
1720790594623,0,20366,5781,0
1720790596830,0,20367,4781,55
1720790596830,0,20367,4098,54
1720790599042,0,20367,3560,0
1720790599042,0,20367,2566,51
1720790601255,0,20368,2105,51
1720790601255,0,20368,1865,56
1720790603463,0,20368,1318,55
1720790603463,0,20368,1096,52
1720790603463,0,20368,1053,0
1720790605673,0,20368,974,0
1720790605673,0,20369,871,53
1720790607892,0,20368,872,55
1720790607892,0,20368,901,54
1720790610105,0,20369,868,54
1720790610105,0,20369,888,0
1720790612315,0,20369,859,0
1720790612315,0,20369,1063,0
1720790614530,0,20369,1087,0
1720790614530,0,20368,1156,0
1720790614530,0,20369,1154,0
1720790616742,0,20369,1180,0
1720790616742,0,20369,1161,0
1720790618939,0,20369,1076,0
1720790618939,0,20369,1032,0
1720790621170,0,20369,770,0
1720790621170,0,20370,752,0
1720790623379,0,20369,723,0
1720790623379,0,20369,731,0
1720790625580,0,20369,822,0
1720790625580,0,20369,805,0
1720790625580,0,20369,745,0
1720790627801,0,20370,933,0
1720790627801,0,20369,843,0
1720790630014,0,20369,952,0
1720790630014,0,20370,950,0
1720790632228,0,20370,940,0
1720790632228,0,20369,1016,0
1720790634441,0,20369,1051,0
1720790634441,0,20369,993,0
1720790636651,0,20369,919,57
1720790636651,0,20369,906,56
1720790636651,0,20369,1034,56
1720790638872,0,20369,921,55
1720790638872,0,20369,963,54
1720790641082,0,20370,799,0
1720790641082,0,20369,842,0
1720790643288,0,20369,828,0
1720790643288,0,20370,755,0
1720790645508,0,20370,777,0
1720790645508,0,20369,751,0
1720790647723,0,20369,741,0
1720790647723,0,20369,729,56
1720790647723,0,20369,743,0
1720790649943,0,20369,746,51
1720790649943,0,20369,730,0
1720790652159,0,20369,822,0
1720790652159,0,20369,1327,0
1720790654356,0,20369,1930,54
1720790654356,0,20369,1955,55
1720790656575,0,20369,1199,0
1720790656575,0,20369,1328,55
1720790658791,0,20369,1143,53
1720790658791,0,20370,859,53
1720790658791,0,20369,801,0
1720790661004,0,20369,698,0
1720790661004,0,20369,611,52
1720790663213,0,20369,662,56
1720790663213,0,20369,566,56
1720790665428,0,20369,702,0
1720790665428,0,20369,827,0
1720790667644,0,20369,777,55
1720790667644,0,20369,871,55
1720790669854,0,20369,923,54
1720790669854,0,20369,983,54
1720790669854,0,20369,961,0
1720790672075,0,20369,906,0
1720790672075,0,20369,922,0
1720790674295,0,20369,926,0
1720790674295,0,20369,974,0
1720790676500,0,20369,963,0
1720790676500,0,20369,968,0
1720790678719,0,20369,924,56
1720790678719,0,20369,961,0
1720790680933,0,20369,1064,0
1720790680933,0,20369,1021,55
1720790680933,0,20369,998,0
1720790683140,0,20369,938,0
1720790683140,0,20368,943,0
1720790685347,0,20369,882,56
1720790685347,0,20369,753,55
1720790687572,0,20368,721,0
1720790687572,0,20369,896,0
1720790689787,0,20369,988,0
1720790689787,0,20368,934,0
1720790691995,0,20369,972,53
1720790691995,0,20368,957,0
1720790691995,0,20369,961,0
1720790694203,0,20368,835,0
1720790694203,0,20369,879,0
1720790696415,0,20368,704,0
1720790696415,0,20368,680,0
1720790698641,0,20368,687,0
1720790698641,0,20368,537,0
1720790700835,0,20368,483,0
1720790700835,0,20368,584,0
1720790703050,0,20368,493,0
1720790703050,0,20368,529,0
1720790703050,0,20368,546,0
1720790705271,0,20369,660,0
1720790705271,0,20369,765,0
1720790707483,0,20369,790,0
1720790707483,0,20368,795,0
1720790709697,0,20368,771,0
1720790709697,0,20368,770,0
1720790711919,0,20368,847,0
1720790711919,0,20368,768,0
1720790714127,0,20368,817,0
1720790714127,0,20368,737,0
1720790714127,0,20368,784,0
1720790716350,0,20368,846,0
1720790716350,0,20368,741,53
1720790718559,0,20368,710,53
1720790718559,0,20368,753,0
1720790720768,0,20368,809,0
1720790720768,0,20368,786,0
1720790722982,0,20368,814,0
1720790722982,0,20367,782,0
1720790725193,0,20367,830,0
1720790725193,0,20367,799,0
1720790725193,0,20368,764,0
1720790727406,0,20367,833,0
1720790727406,0,20368,756,0
1720790729625,0,20368,866,0
1720790729625,0,20367,989,0
1720790731839,0,20368,1120,0
1720790731839,0,20368,1109,0
1720790734052,0,20367,1088,0
1720790734052,0,20368,1086,0
1720790736264,0,20368,1051,0
1720790736264,0,20368,931,56
1720790736264,0,20367,757,57
1720790738484,0,20367,616,0
1720790738484,0,20367,706,0
1720790740694,0,20367,645,0
1720790740694,0,20367,699,0
1720790742904,0,20367,784,0
1720790742904,0,20368,782,0
1720790745123,0,20368,789,0
1720790745123,0,20367,720,0
1720790747330,0,20367,738,0
1720790747330,0,20367,728,0
1720790747330,0,20367,701,0
1720790749541,0,20367,788,0
1720790749541,0,20367,675,0
1720790751765,0,20367,697,0
1720790751765,0,20367,721,52
1720790753972,0,20367,698,54
1720790753972,0,20367,763,0
1720790756181,0,20367,767,0
1720790756181,0,20367,811,0
1720790758397,0,20367,751,53
1720790758397,0,20367,846,0
1720790758397,0,20367,881,0
1720790760615,0,20367,899,57
1720790760615,0,20367,912,56
1720790762826,0,20367,855,56
1720790762826,0,20367,868,54
1720790765038,0,20367,848,0
1720790765038,0,20367,707,0
1720790767243,0,20366,864,0
1720790767243,0,20367,851,0
1720790769464,0,20367,948,0
1720790769464,0,20367,859,0
1720790769464,0,20366,877,0
1720790771664,0,20366,937,0
1720790771664,0,20366,925,0
1720790773870,0,20366,841,0
1720790773870,0,20366,732,0
1720790776085,0,20366,759,0
1720790776085,0,20366,690,0
1720790778302,0,20366,676,0
1720790778302,0,20366,624,0
1720790780517,0,20366,640,0
1720790780517,0,20366,684,53
1720790780517,0,20366,706,55
1720790782729,0,20367,768,0
1720790782729,0,20366,765,0
1720790784945,0,20366,864,0
1720790784945,0,20366,926,0
1720790787155,0,20366,969,0
1720790787155,0,20366,974,0
1720790789371,0,20366,969,0
1720790789371,0,20366,991,53
1720790791586,0,20366,917,50
1720790791586,0,20366,837,0
1720790791586,0,20365,840,0
1720790793798,0,20366,768,0
1720790793798,0,20366,730,52
1720790796016,0,20366,740,53
1720790796016,0,20366,721,56
1720790798225,0,20366,742,57
1720790798225,0,20366,830,0
1720790800434,0,20366,753,0
1720790800434,0,20366,784,0
1720790802649,0,20366,890,54
1720790802649,0,20365,855,0
1720790802649,0,20366,874,0
1720790804864,0,20366,800,0
1720790804864,0,20365,832,0
1720790807079,0,20366,812,0
1720790807079,0,20366,894,0
1720790809292,0,20366,971,0
1720790809292,0,20365,959,0
1720790811510,0,20365,981,0
1720790811510,0,20365,1067,0
1720790813730,0,20365,1115,0
1720790813730,0,20366,1120,0
1720790813730,0,20365,1125,0
1720790815935,0,20365,1123,0
1720790815935,0,20365,1092,0
1720790818153,0,20365,997,54
1720790818153,0,20365,891,56
1720790820368,0,20365,875,58
1720790820368,0,20364,688,53
1720790822585,0,20365,672,50
1720790822585,0,20366,577,0
1720790824800,0,20365,612,0
1720790824800,0,20365,649,0
1720790824800,0,20365,695,0
1720790826993,0,20365,705,0
1720790826993,0,20365,825,0
1720790829210,0,20365,843,0
1720790829210,0,20365,822,0
1720790831439,0,20365,810,0
1720790831439,0,20364,714,0
1720790833647,0,20365,720,0
