UTCTimestamp_ms,SpO2,DC_R,acc_power,HR
1720791229474,0,0,0,0
1720791229474,0,0,0,0
1720791229474,0,0,0,0
1720791231668,0,0,0,0
1720791231668,0,0,0,0
1720791233870,0,0,55016,0
1720791233870,0,15421,44042,0
1720791236056,0,15385,48949,0
1720791236056,0,15375,19963,0
1720791238423,0,15518,41904,0
1720791238423,0,15518,27042,0
1720791240640,0,15518,14411,0
1720791240640,0,15518,11396,0
1720791240640,0,15518,46471,0
1720791242845,0,15518,29789,0
1720791242845,0,15518,1278,0
1720791245060,0,15518,0,0
1720791245060,0,15534,0,0
1720791247106,0,15534,0,0
1720791247106,0,15500,0,0
1720791249460,0,15187,0,0
1720791249460,0,15503,0,0
1720791251534,0,15503,0,0
1720791251534,0,15503,0,0
1720791251534,0,15503,0,0
1720791253735,0,20290,0,0
1720791253735,0,22438,0,0
1720791255974,0,22438,0,0
1720791255974,0,22329,0,0
1720791258301,0,22328,0,0
1720791258301,0,22328,0,0
1720791260504,0,22327,0,0
1720791260504,0,22327,0,0
1720791262715,0,22327,0,0
1720791262715,0,22326,0,0
1720791262715,0,22323,0,0
1720791264931,0,22323,0,0
1720791264931,0,22322,0,0
1720791267143,0,22322,0,0
1720791267143,0,22322,0,0
1720791269361,0,22322,0,0
1720791269361,0,22322,0,0
1720791271570,0,22321,0,0
1720791271570,0,22321,0,0
1720791273791,0,22321,13832,0
1720791273791,0,22321,9360,0
1720791273791,0,22321,7708,0
1720791275995,0,22321,6265,0
1720791275995,0,22321,5204,0
1720791278208,0,22321,4522,0
1720791278208,0,22321,3334,0
1720791280421,0,22321,2943,0
1720791280421,0,22321,1948,0
1720791282648,0,22321,1603,0
1720791282648,0,22321,1525,0
1720791284845,0,22321,1214,0
1720791284845,0,22321,1207,0
1720791284845,0,22321,1150,0
1720791287057,0,22321,1026,0
1720791287057,0,22320,880,0
1720791289266,0,22320,842,0
1720791289266,0,22321,852,0
1720791291475,0,22320,823,0
1720791291475,0,22320,788,0
1720791293695,0,22320,707,0
1720791293695,0,22320,706,0
1720791295903,0,22320,17311,0
1720791295903,0,22321,36427,0
1720791295903,0,22320,55858,0
1720791298103,0,22321,15848,0
1720791298103,0,22320,28272,0
1720791300149,0,22320,866,0
1720791300149,0,22320,872,0
1720791302520,0,22320,832,0
1720791302520,0,22320,846,0
1720791304735,0,22320,888,0
1720791304735,0,22320,901,0
1720791306947,0,22320,892,0
1720791306947,0,22320,912,0
1720791306947,0,22320,934,0
1720791309157,0,22320,1027,0
1720791309157,0,22320,1045,0
1720791311378,0,22320,1026,0
1720791311378,0,22320,988,0
1720791313583,0,22320,5827,0
1720791313583,0,22319,17875,0
1720791315801,0,22318,21122,0
1720791315801,0,22319,25800,0
1720791317997,0,22319,38692,0
1720791317997,0,22319,58028,0
1720791317997,0,22319,44316,0
1720791320221,0,22319,0,0
1720791320221,0,22318,0,0
1720791322421,0,22318,0,0
1720791322421,0,22318,0,0
1720791324636,0,22318,0,0
1720791324636,0,22318,0,0
1720791326852,0,22318,0,0
1720791326852,0,22318,6674,0
1720791329071,0,22318,6372,0
1720791329071,0,22318,3983,0
1720791329071,0,22318,3185,0
1720791331282,0,22318,2642,0
1720791331282,0,22318,2283,0
1720791333499,0,22318,2107,0
1720791333499,0,22318,1947,0
1720791335718,0,22318,1822,0
1720791335718,0,22318,1722,0
1720791337922,0,22318,1360,0
1720791337922,0,22318,1342,0
1720791340137,0,22318,1238,0
1720791340137,0,22317,1028,0
1720791340137,0,22318,1010,0
1720791342346,0,22318,1006,0
1720791342346,0,22318,779,0
1720791344564,0,22318,937,0
1720791344564,0,22318,963,0
1720791346779,0,22318,939,0
1720791346779,0,22318,957,0
1720791348990,0,22318,960,0
1720791348990,0,22318,913,0
1720791351205,0,22318,836,0
1720791351205,0,22318,861,0
1720791351205,0,22317,830,0
1720791353415,0,22318,1049,0
1720791353415,0,22318,1093,0
1720791355634,0,22318,1204,0
1720791355634,0,22318,1171,0
1720791357846,0,22318,1113,0
1720791357846,0,22318,1132,0
1720791360060,0,22318,1173,0
1720791360060,0,22318,1035,0
1720791362269,0,22318,943,0
1720791362269,0,22318,1690,0
1720791362269,0,22317,3729,0
1720791364488,0,22318,4156,0
1720791364488,0,22317,4497,0
1720791366703,0,22317,4554,0
1720791366703,0,22317,4592,0
1720791368766,0,22317,4371,0
1720791368766,0,22318,2870,0
1720791371128,0,22317,2244,0
1720791371128,0,22317,1359,0
1720791373338,0,22317,1298,0
1720791373338,0,22317,1111,0
1720791373338,0,22317,5427,0
1720791375568,0,22317,11432,0
1720791375568,0,22317,966,0
1720791377769,0,22317,896,0
1720791377769,0,22316,839,0
1720791379993,0,22317,832,0
1720791379993,0,22317,798,0
1720791382200,0,22317,1081,0
1720791382200,0,22317,1712,0
1720791384410,0,22317,2041,0
1720791384410,0,22317,2159,0
1720791384410,0,22317,2206,0
1720791386628,0,22316,2286,0
1720791386628,0,22317,2311,0
1720791388838,0,22317,2152,0
1720791388838,0,22316,1706,0
1720791391054,0,22316,1794,0
1720791391054,0,22316,1949,0
1720791393266,0,22317,2061,0
1720791393266,0,22316,2004,0
1720791395481,0,22316,1963,0
1720791395481,0,22316,1792,0
