UTCTimestamp_ms,SpO2,DC_R,acc_power,HR
1722089692673,0,0,0,0
1722089692673,0,0,0,0
1722089692673,0,0,0,0
1722089694847,0,0,0,0
1722089694847,0,0,0,0
1722089697052,0,10955,3074,0
1722089697052,0,10955,3074,0
1722089699221,0,10829,4326,0
1722089699221,0,12756,45854,0
1722089701420,0,12756,10212,0
1722089701420,0,14365,55604,0
1722089703637,0,15043,53618,0
1722089703637,0,17016,52982,0
1722089703637,0,17016,46755,0
1722089705812,0,17016,64367,0
1722089705812,0,17863,38516,0
1722089708026,0,17863,0,0
1722089708026,0,17863,0,0
1722089710243,0,17915,0,0
1722089710243,0,17915,0,0
1722089712449,0,17915,65452,4
1722089712449,0,17916,44691,0
1722089714620,0,17917,36928,0
1722089714620,0,17918,36928,0
1722089714620,0,17918,36928,0
1722089716995,0,17919,36928,0
1722089716995,0,17918,33827,0
1722089719206,0,17918,37623,0
1722089719206,0,18105,45877,0
1722089721421,0,17461,0,0
1722089721421,0,17499,0,0
1722089723635,0,17499,18927,0
1722089723635,0,17885,12276,0
1722089725845,0,17885,8941,0
1722089725845,0,17885,7125,0
1722089725845,0,17854,5859,0
1722089728068,0,17853,4993,0
1722089728068,0,17860,3060,0
1722089730286,0,17879,2151,0
1722089730286,0,17885,1680,0
1722089732499,0,17886,1635,0
1722089732499,0,17856,1501,0
1722089734717,0,17883,1424,0
1722089734717,0,17902,1423,0
1722089736925,0,17902,1842,0
1722089736925,0,17902,2488,0
1722089736925,0,17920,3258,0
1722089739151,0,17920,3628,0
1722089739151,0,17920,3919,0
1722089741356,0,17920,3937,0
1722089741356,0,17920,3932,0
1722089743561,0,17920,3834,0
1722089743561,0,17920,2593,0
1722089745627,0,17934,2057,0
1722089745627,0,17602,1482,0
1722089747972,0,17602,1656,0
1722089747972,0,17602,1299,0
1722089747972,0,17602,1427,0
1722089750032,0,17602,1782,0
1722089750032,0,17602,0,0
1722089752218,0,17602,0,0
1722089752218,0,16519,0,0
1722089754421,0,16519,0,0
1722089754421,0,14929,0,0
1722089756649,0,14929,0,0
1722089756649,0,16413,0,0
1722089758849,0,16726,0,0
1722089758849,0,14931,4624,0
1722089758849,0,14979,31494,0
1722089761048,0,14979,52968,0
1722089761048,0,15395,11496,0
1722089763247,0,14476,0,0
1722089763247,0,14907,0,0
1722089765457,0,14907,0,0
1722089765457,0,14677,0,0
1722089767638,0,14677,0,0
1722089767638,0,13811,0,0
1722089769843,0,19874,0,0
1722089769843,0,19874,0,0
1722089769843,0,19874,0,0
1722089772050,0,28076,0,0
1722089772050,0,27933,48160,0
1722089774210,0,28771,10343,0
1722089774210,0,29757,26218,0
1722089776578,0,29757,0,0
1722089776578,0,28952,0,0
