UTCTimestamp_ms,SpO2,DC_R,acc_power,HR
1627481587,0,0,0,0
1627481588,0,0,0,0
1627481589,0,0,0,0
1627481590,0,0,0,0
1627481591,0,0,0,0
1627481592,0,10320,10929,0
1627481593,0,10304,16930,0
1627481594,0,10262,64887,0
1627481595,0,10265,42934,0
1627481596,0,10283,38413,0
1627481597,0,10283,64401,0
1627481598,0,10287,40018,0
1627481599,0,10322,6111,0
1627481600,0,10327,31072,0
1627481601,0,10336,0,0
1627481602,100,10319,0,0
1627481603,100,10293,0,0
1627481604,99,10267,0,0
1627481605,100,10236,0,0
1627481606,100,10225,0,0
1627481607,100,10217,0,0
1627481608,99,10216,2631,0
1627481609,99,10219,49955,0
1627481610,99,10222,37108,0
1627481611,99,10221,30527,0
1627481612,99,10222,25717,66
1627481613,99,10223,21896,65
1627481614,99,10226,17682,65
1627481615,98,10228,10437,66
1627481616,98,10228,9253,66
1627481617,98,10229,6785,66
1627481618,98,10231,4810,66
1627481619,98,10231,4330,66
1627481620,97,10229,3158,67
1627481621,97,10227,2386,66
1627481622,97,10228,1961,66
1627481623,97,10228,1419,66
1627481624,97,10225,1274,66
1627481625,97,10226,1185,66
1627481626,97,10226,1155,65
1627481627,97,10225,1285,65
1627481628,97,10224,1446,66
1627481629,97,10226,1454,65
1627481630,98,10226,1608,65
1627481631,98,10224,1586,66
1627481632,98,10221,1711,66
1627481633,98,10219,1615,66
1627481634,97,10222,1645,66
1627481635,97,10223,1568,66
1627481636,97,10223,1617,66
1627481637,97,10224,1453,67
1627481638,98,10227,1630,66
1627481639,98,10231,2238,65
1627481640,98,10233,2381,65
1627481641,98,10234,2513,65
1627481642,98,10234,2456,64
1627481643,98,10244,2800,0
1627481644,98,10230,3103,0
1627481645,98,10192,3521,0
1627481646,98,10135,2781,0
1627481647,98,10135,1851,0
1627481648,98,10135,2115,0
1627481649,98,10135,0,0
1627481650,98,10135,0,0
1627481651,0,10135,0,0
1627481652,0,10127,0,0
1627481653,0,10152,42792,0
1627481654,0,10282,19501,0
1627481655,0,10282,62144,0
1627481656,0,10282,0,0
1627481657,0,10282,0,0
1627481658,0,10243,35636,0
1627481659,0,10158,35636,0
1627481660,0,9907,35636,0
1627481661,0,9907,35636,0
1627481662,0,9907,35636,0
1627481663,0,9661,35636,0
1627481664,0,9515,35636,0
1627481665,0,9588,0,0
1627481666,0,9588,0,0
1627481667,0,9377,0,0
1627481668,0,9377,0,0
1627481669,0,9462,0,0
1627481670,0,9462,0,0
1627481671,94,9964,0,61
1627481672,94,10300,11526,0
1627481673,94,10300,17346,0
1627481674,94,10238,47378,0
1627481675,94,10250,854,0
1627481676,93,10247,36985,0
1627481677,93,10230,21380,0
1627481678,93,10230,25159,0
1627481679,93,10217,10800,0
1627481680,93,10212,16232,69
1627481681,94,10209,34105,68
1627481682,94,10209,34959,64
1627481683,94,10209,32807,62
1627481684,95,10214,26064,62
1627481685,95,10216,22202,64
1627481686,96,10216,19410,63
1627481687,96,10221,16579,62
1627481688,96,10223,15704,62
1627481689,96,10223,10596,63
1627481690,96,10224,7664,64
1627481691,96,10225,6162,64
1627481692,96,10226,4382,64
1627481693,96,10220,5247,66
1627481694,96,10206,6600,65
1627481695,96,10217,11905,64
1627481696,95,10219,13181,63
1627481697,95,10220,14785,63
1627481698,96,10220,14822,63
1627481699,96,10221,14844,63
1627481700,96,10223,14961,63
1627481701,96,10224,11832,63
1627481702,96,10225,8856,63
1627481703,96,10225,5898,63
1627481704,96,10225,5476,63
1627481705,96,10226,5303,63
1627481706,96,10225,4121,64
1627481707,96,10224,3950,64
1627481708,97,10223,3631,64
1627481709,97,10220,2800,64
1627481710,97,10217,2627,65
1627481711,97,10214,2427,65
1627481712,97,10206,1693,65
1627481713,97,10185,1834,0
1627481714,97,10105,1671,0
1627481715,97,10193,1829,0
1627481716,97,10249,2101,0
1627481717,97,10417,1589,0
1627481718,96,10417,0,0
1627481719,96,10417,0,0
1627481720,96,10417,0,0
1627481721,95,10387,0,0
1627481722,95,10307,32300,0
1627481723,95,10307,0,0
1627481724,96,10303,0,0
1627481725,95,10298,0,0
1627481726,95,10297,42293,65
1627481727,95,10299,20893,62
1627481728,95,10302,18188,61
1627481729,95,10309,14692,63
1627481730,96,10315,13386,63
1627481731,96,10318,11683,64
1627481732,96,10321,9930,61
1627481733,96,10328,10201,64
1627481734,96,10333,9928,64
1627481735,95,10333,10214,64
1627481736,95,10338,11544,64
1627481737,95,10342,11295,63
1627481738,94,10344,16799,65
1627481739,94,10347,0,64
1627481740,94,10351,0,64
1627481741,95,10355,0,64
1627481742,95,10359,3650,64
1627481743,96,10364,3020,65
1627481744,96,10368,16843,65
1627481745,97,10377,10362,64
1627481746,97,10381,1672,64
1627481747,97,10385,4508,64
1627481748,98,10388,3077,65
1627481749,98,10392,1400,64
1627481750,98,10395,2348,63
1627481751,98,10399,1375,64
1627481752,98,10402,1491,64
1627481753,98,10405,1587,64
1627481754,98,10407,1156,64
1627481755,98,10409,2884,64
1627481756,98,10411,4503,65
1627481757,98,10412,6057,64
1627481758,98,10413,5677,64
1627481759,98,10413,3808,65
1627481760,98,10413,978,65
1627481761,98,10414,2141,64
1627481762,98,10415,2621,64
1627481763,98,10416,1336,64
1627481764,98,10417,2045,64
1627481765,98,10417,1470,64
1627481766,98,10418,1209,64
1627481767,98,10418,1711,64
1627481768,97,10417,1257,65
1627481769,97,10416,1248,66
1627481770,97,10413,1368,66
1627481771,97,10412,1409,66
1627481772,97,10410,1757,66
1627481773,97,10405,1808,67
1627481774,97,10403,1741,67
1627481775,97,10401,1881,67
1627481776,97,10399,1897,67
1627481777,97,10397,1746,68
1627481778,97,10396,1396,68
1627481779,97,10394,1248,67
1627481780,97,10392,1222,67
1627481781,97,10392,1185,68
1627481782,97,10392,1115,68
1627481783,97,10392,988,67
1627481784,97,10392,924,66
1627481785,97,10392,1087,66
1627481786,97,10393,1150,66
1627481787,97,10393,1289,66
1627481788,97,10392,3838,65
1627481789,97,10390,3598,66
1627481790,97,10388,1339,66
1627481791,97,10386,3624,65
1627481792,97,10383,1786,65
1627481793,97,10381,1921,66
1627481794,97,10378,2443,66
1627481795,97,10356,5727,0
1627481796,97,10220,6752,0
1627481797,97,10270,8217,0
1627481798,97,10351,10540,0
1627481799,97,10342,18342,0
1627481800,97,10342,36619,0
1627481801,96,10342,0,0
1627481802,96,10289,0,0
1627481803,97,10289,6627,0
1627481804,97,10289,5332,66
1627481805,96,10303,6042,66
1627481806,96,10305,26547,66
1627481807,96,10306,33308,66
1627481808,96,10306,26815,69
1627481809,96,10308,21171,68
1627481810,96,10312,18104,67
1627481811,97,10314,14635,67
1627481812,97,10311,13621,69
1627481813,97,10309,9192,70
1627481814,97,10308,6850,69
1627481815,97,10306,6627,70
1627481816,97,10305,5408,70
1627481817,97,10304,4287,68
1627481818,97,10308,4645,67
1627481819,97,10308,4267,66
1627481820,97,10307,4002,67
1627481821,97,10306,4151,68
1627481822,97,10306,3840,69
1627481823,97,10304,3904,70
1627481824,97,10299,3480,70
1627481825,97,10296,3442,68
1627481826,97,10297,4208,66
1627481827,97,10300,5310,66
1627481828,97,10299,5721,67
1627481829,97,10299,6097,66
1627481830,97,10299,6304,65
1627481831,97,10299,6564,65
1627481832,97,10297,6749,65
1627481833,97,10297,5541,65
1627481834,96,10295,5750,64
1627481835,96,10295,4950,65
1627481836,96,10295,4936,65
1627481837,96,10284,4546,66
1627481838,96,10281,4130,66
1627481839,96,10280,3838,65
1627481840,96,10278,2856,65
1627481841,96,10276,2743,65
1627481842,96,10272,2261,65
1627481843,97,10272,1929,64
1627481844,97,10272,1140,64
1627481845,97,10270,1024,65
1627481846,97,10262,963,65
1627481847,97,10257,1029,65
1627481848,97,10256,1298,65
1627481849,97,10255,1352,65
1627481850,97,10252,1374,66
1627481851,97,10247,1368,67
1627481852,97,10244,1373,67
1627481853,97,10241,1440,67
1627481854,97,10240,1406,66
1627481855,97,10240,1455,66
1627481856,97,10242,5294,65
1627481857,97,10244,1587,66
1627481858,97,10246,1737,65
1627481859,97,10248,2010,65
1627481860,97,10247,2173,65
1627481861,97,10246,2162,66
1627481862,97,10246,2274,66
1627481863,97,10248,2334,66
1627481864,97,10249,2214,65
1627481865,97,10249,2086,66
1627481866,97,10250,1770,66
1627481867,97,10250,5733,66
1627481868,97,10247,8493,66
1627481869,97,10247,5907,65
1627481870,97,10243,6763,65
1627481871,97,10240,10178,70
1627481872,97,10237,11660,71
1627481873,97,10236,20581,72
1627481874,97,10230,25567,73
1627481875,97,10225,1389,75
1627481876,97,10219,14531,75
1627481877,97,10214,9696,75
1627481878,97,10213,8771,76
1627481879,97,10214,7612,75
1627481880,97,10215,6546,75
1627481881,97,10214,6031,74
1627481882,97,10215,5120,74
1627481883,97,10216,5040,73
1627481884,97,10219,4245,73
1627481885,97,10221,3870,72
1627481886,97,10224,4133,72
1627481887,97,10225,4727,72
1627481888,97,10226,4383,70
1627481889,97,10225,4945,68
1627481890,97,10223,6116,68
1627481891,97,10222,6485,70
1627481892,97,10211,11021,70
1627481893,97,10205,14612,68
1627481894,97,10198,12879,68
1627481895,97,10206,8686,69
1627481896,97,10201,14393,72
1627481897,97,10194,16462,73
1627481898,97,10189,13424,72
1627481899,97,10186,7718,69
1627481900,97,10187,8487,66
1627481901,97,10193,24693,65
1627481902,96,10196,16966,65
1627481903,96,10194,13820,65
1627481904,96,10187,10870,66
1627481905,96,10182,9069,66
1627481906,96,10180,7730,65
1627481907,96,10183,4926,64
1627481908,97,10187,4015,65
1627481909,97,10188,2299,65
1627481910,97,10186,2123,66
1627481911,97,10183,1608,66
1627481912,97,10183,1414,65
1627481913,97,10186,1527,65
1627481914,97,10187,1266,65
1627481915,97,10184,1285,66
1627481916,97,10181,1264,67
1627481917,97,10178,1159,67
1627481918,97,10179,1092,66
1627481919,97,10181,1117,67
1627481920,97,10179,1146,67
1627481921,97,10178,1129,68
1627481922,97,10177,1073,67
1627481923,97,10178,1054,66
1627481924,97,10180,1079,67
1627481925,97,10180,866,67
1627481926,97,10177,1008,68
1627481927,97,10177,1047,68
1627481928,97,10177,1138,68
1627481929,97,10177,4098,68
1627481930,97,10176,916,69
1627481931,97,10175,1022,69
1627481932,97,10178,981,68
1627481933,97,10178,978,68
1627481934,97,10177,996,69
1627481935,97,10175,1026,69
1627481936,97,10176,1040,68
1627481937,97,10178,1416,68
1627481938,97,10178,1880,68
1627481939,97,10176,2349,69
1627481940,97,10176,1522,69
1627481941,97,10176,1386,68
1627481942,97,10176,2116,68
1627481943,97,10175,1665,68
1627481944,97,10175,1665,68
1627481945,97,10175,1306,68
1627481946,97,10379,1376,68
1627481947,97,10559,1487,69
1627481948,97,10559,1591,71
1627481949,97,10536,1733,69
1627481950,97,10535,1569,68
1627481951,97,10532,1516,69
1627481952,97,10532,1507,68
1627481953,97,10532,1464,68
1627481954,97,10531,1278,68
1627481955,97,10532,1086,68
1627481956,97,10533,946,68
1627481957,97,10534,894,68
1627481958,97,10537,925,67
1627481959,97,10538,1026,67
1627481960,97,10538,1093,67
1627481961,97,10538,1241,67
1627481962,97,10538,1224,67
1627481963,97,10537,4586,66
1627481964,97,10536,2942,67
1627481965,97,10536,1604,67
1627481966,97,10534,1465,67
1627481967,97,10534,1489,67
1627481968,97,10533,1060,67
1627481969,97,10531,1188,67
1627481970,97,10530,1068,67
1627481971,97,10530,978,67
1627481972,97,10530,1036,66
1627481973,97,10529,972,67
1627481974,97,10525,951,67
1627481975,97,10523,1093,67
1627481976,97,10521,974,67
1627481977,97,10518,954,68
1627481978,97,10518,1024,67
1627481979,97,10517,942,67
1627481980,97,10516,1039,67
1627481981,97,10517,992,67
1627481982,97,10520,1012,67
1627481983,97,10501,1167,0
1627481984,97,10442,1209,0
1627481985,97,10391,1450,0
1627481986,97,10468,1511,0
