UTCTimestamp_ms,SpO2,DC_R,acc_power,HR
1667824721347,0,0,0,0
1667824721347,0,0,0,0
1667824721347,0,0,0,0
1667824723555,0,0,0,0
1667824723555,0,9249,0,0
1667824725764,0,9249,11555,0
1667824725764,0,9249,26976,0
1667824728003,0,9249,21761,0
1667824728003,0,9249,3542,0
1667824730218,0,9249,4251,0
1667824730218,0,9249,38082,0
1667824732417,0,9249,29232,0
1667824732417,0,9250,29103,0
1667824732417,0,9249,14057,0
1667824734600,0,9249,0,0
1667824734600,0,9250,0,0
1667824736394,0,9250,47505,0
1667824736394,0,9252,23469,0
1667824738596,0,9237,18709,0
1667824738596,0,9381,44993,0
1667824740794,0,9271,63679,0
1667824740794,0,9286,38535,0
1667824742987,0,9274,17690,0
1667824742987,0,9266,18310,0
1667824742987,0,9266,22173,0
1667824745102,0,9250,50360,0
1667824745102,0,9136,61816,0
1667824747338,0,9136,25371,0
1667824747338,0,10755,25371,0
1667824749548,0,13527,0,0
1667824749548,0,14593,0,0
1667824751707,0,14593,0,0
1667824751707,0,14593,0,0
1667824753951,0,14442,0,0
1667824753951,0,14442,0,0
1667824753951,0,14441,0,0
1667824756191,0,14443,19497,0
1667824756191,0,14442,53126,0
1667824758317,0,14442,41811,0
1667824758317,0,14293,34956,0
1667824760550,0,16268,34956,0
1667824760550,0,16268,34956,0
1667824762725,0,16268,34956,0
1667824762725,0,16268,26303,0
1667824764970,0,20044,33714,0
1667824764970,0,23577,38462,0
1667824764970,0,23577,0,0
1667824767174,0,23141,0,0
1667824767174,0,22880,0,0
1667824769383,0,22880,0,0
1667824769383,0,22880,0,0
1667824771587,0,22880,0,0
1667824771587,0,22868,0,0
1667824773831,0,22868,0,0
1667824773831,0,22868,0,0
1667824776059,0,22827,0,0
1667824776059,0,22827,0,0
1667824776059,0,22827,40379,0
1667824778241,0,22827,24631,0
1667824778241,0,22983,19700,0
1667824780433,0,23022,16534,0
1667824780433,0,23018,13922,0
1667824782620,0,23009,12177,0
1667824782620,0,23005,8607,0
1667824784823,0,23005,7393,0
1667824784823,0,23005,7009,0
1667824787027,0,23005,5329,0
1667824787027,0,23005,3761,0
1667824787027,70,23006,2544,0
1667824789215,70,23006,35133,0
1667824789215,70,23006,58198,0
1667824791405,70,23014,58195,0
1667824791405,70,22996,2091,0
1667824793546,70,22972,2134,0
1667824793546,70,22972,1965,0
1667824795808,70,22993,1914,0
1667824795808,70,23000,1937,0
1667824798009,70,23000,1784,0
1667824798009,70,23000,1566,0
1667824798009,70,22993,1112,0
1667824800207,70,22993,6793,0
1667824800207,70,22499,35472,0
1667824802329,70,22289,26693,0
1667824802329,70,22289,63481,0
1667824804547,0,22289,32983,0
1667824804547,0,27839,45276,0
1667824806757,0,27503,48705,0
1667824806757,0,27503,0,0
1667824809005,0,27503,0,0
1667824809005,0,27503,0,0
1667824809005,0,27503,0,0
1667824811204,0,27503,46832,0
1667824811204,0,27503,3859,0
1667824813401,0,27503,55075,0
1667824813401,0,27503,44124,0
1667824815603,0,27503,36247,0
1667824815603,0,27503,31153,0
1667824817792,0,27503,19072,0
1667824817792,0,27503,17594,0
1667824819992,0,27503,16880,0
1667824819992,0,27503,7703,0
1667824819992,0,27503,10326,0
1667824822182,0,27503,9594,0
1667824822182,0,27503,16054,0
1667824824365,0,27503,19590,0
1667824824365,0,27503,20441,0
1667824826573,0,27503,20737,0
1667824826573,0,27503,20570,0
1667824828764,0,27503,19719,0
1667824828764,0,27503,15833,0
1667824830962,0,27503,9924,0
1667824830962,0,27503,6862,0
1667824830962,0,27503,4605,0
1667824833168,0,27503,4567,0
1667824833168,0,27503,6247,0
1667824835365,0,27503,7735,0
1667824835365,0,27503,9360,0
1667824837559,0,27503,11308,0
1667824837559,0,27503,17455,0
1667824839740,0,27503,19912,0
1667824839740,0,27503,52004,0
1667824841937,0,27503,41146,0
1667824841937,0,27503,7652,0
1667824841937,0,27503,7991,0
1667824844137,0,27503,4947,0
1667824844137,0,27503,4020,0
1667824846322,0,27503,3701,0
1667824846322,0,27503,3211,0
1667824848524,0,27503,2962,0
1667824848524,0,27503,2645,0
1667824850733,0,27503,2438,0
1667824850733,0,27503,2589,0
1667824852926,0,27503,2124,0
1667824852926,0,27503,1933,0
1667824852926,0,27503,1952,0
1667824855119,0,28525,1890,0
1667824855119,0,25242,2025,0
1667824857227,0,24885,2187,0
1667824857227,0,24885,2148,0
1667824859494,0,24885,3272,0
1667824859494,0,24885,4520,0
1667824861688,0,15747,3787,0
1667824861688,0,15747,3787,0
1667824863828,0,13925,0,0
1667824863828,0,12170,0,0
1667824863828,0,9940,0,0
1667824866053,0,9940,0,0
1667824866053,0,10144,0,0
1667824868302,0,10396,0,0
1667824868302,0,10396,0,0
1667824870494,0,10368,0,0
1667824870494,0,10367,0,0
1667824872690,0,10363,60964,0
1667824872690,95,10358,31049,0
1667824874858,95,10352,41521,0
1667824874858,96,10344,32409,0
1667824874858,96,10339,20688,0
1667824877062,97,10334,16474,0
1667824877062,96,10330,13999,0
1667824879264,96,10326,11789,0
1667824879264,95,10322,11148,0
1667824881451,96,10320,13062,0
1667824881451,0,10325,14631,0
1667824883650,96,10307,17283,0
1667824883650,0,10307,24797,0
1667824885835,96,10398,28459,0
