UTCTimestamp_ms,SpO2,DC_R,acc_power,HR
1670249846489,0,0,0,0
1670249846489,0,0,0,0
1670249846489,0,0,0,0
1670249848709,0,0,0,0
1670249848709,0,0,0,0
1670249850902,0,0,35300,0
1670249850902,0,0,30749,0
1670249853087,0,0,7650,0
1670249853087,0,0,38186,0
1670249855313,0,0,64028,0
1670249855313,0,22264,13512,0
1670249857507,0,22271,14528,0
1670249857507,0,22277,2233,0
1670249857507,0,22281,34279,0
1670249859748,0,21758,3833,0
1670249859748,0,25835,2745,0
1670249861902,0,25835,54433,0
1670249861902,0,25835,54114,0
1670249864179,0,25835,40233,0
1670249864179,0,14916,44972,0
1670249866358,0,14916,0,0
1670249866358,0,26493,0,0
1670249868481,0,24942,0,0
1670249868481,0,26320,0,0
1670249868481,0,24680,0,0
1670249870719,0,27199,0,0
1670249870719,0,28625,43086,0
1670249872912,0,28625,63180,0
1670249872912,0,20805,55950,0
1670249875134,0,20805,55950,0
1670249875134,0,21009,55950,0
1670249877295,0,17782,55950,0
1670249877295,0,17782,55950,0
1670249879532,0,17782,8406,0
1670249879532,0,12704,11636,0
1670249879532,0,10578,0,0
1670249881729,0,10756,0,0
1670249881729,0,10756,0,0
1670249883931,0,10756,24314,0
1670249883931,0,10679,24314,0
1670249886170,0,10624,24314,0
1670249886170,0,10624,24314,0
1670249888400,0,10644,24314,0
1670249888400,0,10407,24314,0
1670249890575,0,10379,24314,0
1670249890575,0,10379,0,0
1670249890575,99,10665,0,0
1670249892778,99,10665,0,0
1670249892778,98,10799,12291,0
1670249894976,98,10799,11847,0
1670249894976,97,11381,19203,0
1670249897181,97,11381,19203,0
1670249897181,97,11456,15255,0
1670249899378,97,10321,12816,0
1670249899378,97,9614,13966,0
1670249901575,97,9614,13966,0
1670249901575,97,9614,15476,0
1670249901575,95,10068,17797,0
1670249903780,94,10779,17129,0
1670249903780,93,10779,21658,0
1670249905985,92,10637,29637,0
1670249905985,94,10688,31396,0
