UTCTimestamp_ms,SpO2,DC_R,acc_power,HR
1692799460462,0,0,0,0
1692799460462,0,0,0,0
1692799460462,0,0,0,0
1692799462676,0,0,0,0
1692799462676,0,0,0,0
1692799465046,0,7290,38429,0
1692799465046,0,9391,46996,0
1692799467039,0,9391,37781,0
1692799467039,0,9391,19548,0
1692799470033,0,9391,61138,0
1692799470033,0,8458,33154,0
1692799472032,0,8458,52268,0
1692799472032,0,8458,52855,0
1692799472032,0,8458,52855,0
1692799474404,0,8442,52797,0
1692799474404,99,8569,19888,0
1692799476047,99,8556,19928,0
1692799476047,99,8556,16098,0
1692799478043,99,8556,37169,0
1692799478043,99,8556,29379,0
1692799481039,0,8461,0,0
1692799481039,0,8459,0,0
1692799483044,0,8357,0,0
1692799483044,0,10208,0,0
1692799483044,99,10486,0,0
1692799485054,99,13844,0,0
1692799485054,99,13844,0,0
1692799487030,99,13844,0,0
1692799487030,99,13844,0,0
1692799489654,99,10865,0,0
1692799489654,99,9886,0,0
1692799491852,99,9886,0,0
1692799491852,99,9901,0,0
1692799494040,100,9901,0,0
1692799494040,100,9876,0,0
1692799494040,100,9876,0,0
1692799496064,100,9859,0,0
1692799496064,100,9849,0,0
1692799498033,99,9842,18888,0
1692799498033,99,9842,384,0
1692799500168,99,9835,61697,0
1692799500168,99,9833,44891,0
1692799503032,99,9833,38904,0
1692799503032,99,9833,33999,0
1692799505031,99,9821,33584,0
1692799505031,99,9798,34341,0
1692799505031,99,9789,25016,0
1692799507041,99,9783,27429,0
1692799507041,99,9781,33394,0
1692799509035,99,9784,23862,0
1692799509035,99,9784,0,0
1692799512055,0,9783,0,0
1692799512055,0,9783,0,0
1692799514033,0,9781,23579,0
1692799514033,0,9782,27422,0
1692799516040,0,9780,27422,0
1692799516040,0,9776,27422,0
1692799516040,0,9773,27422,0
1692799518030,0,9774,27422,0
1692799518030,0,9776,27422,0
1692799520101,0,9770,41099,0
1692799520101,0,9774,0,0
1692799522304,0,9774,0,0
1692799522304,0,9764,0,0
1692799524504,0,9774,0,0
1692799524504,0,9774,0,0
1692799526696,0,9785,0,0
1692799526696,0,9777,63802,0
1692799526696,0,9774,28114,0
1692799529035,0,9770,28114,0
1692799529035,0,9775,62203,0
1692799531038,0,9777,25787,0
1692799531038,95,9777,58220,0
1692799534037,95,9785,2423,0
1692799534037,94,9787,31984,0
1692799536050,94,9789,7130,0
1692799536050,93,9791,61199,0
1692799538031,0,9791,25773,0
1692799538031,0,9792,18133,0
1692799538031,0,9793,13121,0
1692799540040,0,9794,11111,0
1692799540040,0,9796,8009,0
1692799542037,0,9793,6218,0
1692799542037,0,9792,6051,0
1692799545042,0,9791,5119,0
1692799545042,0,9789,4535,0
1692799547043,0,9789,4604,0
1692799547043,0,9788,4488,57
1692799549036,0,9786,3873,59
1692799549036,0,9785,3355,56
1692799549036,0,9784,3328,56
1692799551030,0,9783,3341,59
1692799551030,0,9780,3286,58
1692799554043,0,9780,3247,59
