UTCTimestamp_ms,SpO2,DC_R,acc_power,HR
1695564796976,0,0,0,0
1695564796976,0,0,0,0
1695564796976,0,0,0,0
1695564798529,0,0,0,0
1695564798529,0,0,0,0
1695564800753,0,0,13507,0
1695564800753,0,0,30350,0
1695564802947,0,9595,24420,0
1695564802947,0,9595,6645,0
1695564805176,0,9595,7974,0
1695564805176,0,9595,42736,0
1695564807392,0,9595,42736,0
1695564807392,0,9595,33201,0
1695564807392,0,8321,29077,0
1695564809599,0,8321,13968,0
1695564809599,0,7802,0,0
1695564811816,0,8352,0,0
1695564811816,0,7600,0,0
1695564814042,0,8266,0,0
1695564814042,0,8187,0,0
1695564817033,0,8187,0,0
1695564817033,0,8486,0,0
1695564819031,0,8486,0,0
1695564819031,0,8486,0,0
1695564819031,0,9316,0,0
1695564821032,0,9967,0,0
1695564821032,0,9702,0,0
1695564823030,0,9714,0,0
1695564823030,0,9739,52998,0
1695564825519,0,8661,52998,0
1695564825519,0,8661,52998,0
1695564827749,0,8661,52998,0
1695564827749,0,8661,52998,0
1695564829960,0,9057,52998,0
1695564829960,0,9676,52998,0
1695564829960,0,12005,0,0
1695564832176,0,12652,0,0
1695564832176,0,12652,0,0
1695564834395,99,12652,0,0
1695564834395,99,10387,0,0
1695564836034,99,9629,0,0
1695564836034,100,9695,0,0
1695564839041,100,9686,0,0
1695564839041,100,9684,0,0
1695564841190,99,9683,0,0
1695564841190,100,9683,0,0
1695564841190,100,9683,0,0
1695564843041,100,9691,28599,0
1695564843041,99,9693,42938,0
1695564845032,99,9694,37230,0
1695564845032,99,9694,29261,0
1695564848041,99,9694,25220,0
1695564848041,99,9694,21974,0
1695564850033,98,9694,19942,0
1695564850033,98,9693,17408,0
1695564852036,97,9693,10712,0
1695564852036,97,9689,8756,0
1695564852036,96,9687,6273,0
1695564854037,96,9687,4023,0
1695564854037,96,9685,3852,0
1695564856036,96,9683,2729,0
1695564856036,96,9682,1934,0
1695564859037,96,9682,1931,0
1695564859037,96,9681,1711,0
1695564861028,96,9681,1343,57
1695564861028,96,9680,1326,58
1695564863046,96,9680,1239,58
1695564863046,96,9679,1230,58
1695564863046,96,9677,1344,58
1695564865031,96,9673,1519,60
1695564865031,96,9670,34882,60
1695564868036,95,9669,58205,61
1695564868036,95,9668,58192,61
1695564870050,95,9668,2684,62
1695564870050,95,9668,2696,62
1695564872043,96,9669,2608,61
1695564872043,96,9670,1883,59
1695564874030,96,9670,1668,58
1695564874030,96,9671,1419,58
1695564874030,96,9671,1440,59
1695564876049,96,9674,1144,59
1695564876049,96,9675,1097,59
1695564879034,96,9676,1046,60
1695564879034,96,9677,963,61
1695564881035,96,9677,882,62
1695564881035,96,9678,822,62
1695564883043,96,9679,848,61
1695564883043,96,9681,1045,60
1695564885035,96,9682,1086,59
1695564885035,96,9683,1152,59
1695564885035,96,9685,1176,59
1695564888042,96,9686,23963,59
1695564888042,96,9687,1226,59
1695564890039,96,9688,993,59
1695564890039,96,9689,983,60
1695564892029,96,9689,916,60
1695564892029,95,9690,1020,61
1695564894031,95,9690,977,61
1695564894031,95,9690,967,61
1695564896044,95,9690,951,60
1695564896044,95,9689,938,59
1695564896044,95,9689,907,59
1695564899038,95,9689,827,58
1695564899038,95,9689,862,58
1695564901167,95,9688,971,59
1695564901167,95,9687,960,61
1695564903034,95,9686,1008,63
1695564903034,95,9685,1070,64
1695564905035,95,9684,4272,62
1695564905035,95,9683,10648,60
