UTCTimestamp_ms,SpO2,DC_R,acc_power,HR
1719497229773,0,0,0,0
1719497229773,0,0,0,0
1719497229773,0,0,0,0
1719497232216,0,0,0,0
1719497232216,0,0,0,0
1719497234319,0,0,28825,0
1719497234319,0,16596,36416,0
1719497236538,0,25429,29254,0
1719497236538,0,25429,12284,0
1719497238759,0,25429,14741,0
1719497238759,0,30000,51194,0
1719497240966,0,30000,29364,0
1719497240966,0,30000,29093,0
1719497240966,0,30000,14057,0
1719497243183,0,30000,0,0
1719497243183,0,30000,0,0
1719497245402,0,30000,0,0
1719497245402,0,30000,0,0
1719497247627,0,30000,0,0
1719497247627,0,30000,0,0
1719497249833,0,30000,0,0
1719497249833,0,30000,0,0
1719497252041,0,30000,0,0
1719497252041,0,30000,0,0
1719497252041,0,30000,0,0
1719497254253,0,30000,0,0
1719497254253,0,30000,0,0
1719497256308,0,30000,0,0
1719497256308,0,30000,0,0
1719497258538,0,30000,0,0
1719497258538,0,30000,0,0
1719497260717,0,30000,0,0
1719497260717,0,30000,0,0
1719497262974,99,30000,0,0
1719497262974,99,30000,0,0
1719497262974,99,30000,0,0
1719497265115,99,30000,0,0
1719497265115,100,30000,0,0
1719497267338,100,30000,0,0
1719497267338,100,30000,0,0
1719497269544,100,30000,0,0
1719497269544,100,30000,0,0
1719497271744,100,30000,0,0
1719497271744,99,30000,18309,0
1719497273986,99,30000,14831,0
1719497273986,99,30000,12142,0
1719497273986,98,30000,9699,0
1719497276128,97,30000,8205,0
1719497276128,96,30000,7088,0
1719497278518,95,30000,5954,0
1719497278518,94,30000,4689,0
1719497280719,94,30000,3280,0
1719497280719,93,30000,2379,0
1719497282932,93,30000,1788,0
1719497282932,93,30000,1243,0
1719497285144,93,30000,1145,0
1719497285144,93,30000,1035,0
1719497285144,93,30000,972,0
1719497287373,93,30000,930,0
1719497287373,93,30000,992,0
1719497289577,93,30000,1028,0
1719497289577,93,30000,1080,52
1719497291789,93,30000,1139,52
1719497291789,93,30000,1144,52
1719497294003,93,30000,1213,52
1719497294003,93,30000,1132,52
1719497296219,93,30000,39702,52
1719497296219,93,30000,58181,52
1719497296219,93,30000,58186,52
1719497298439,93,30000,1275,52
1719497298439,93,30000,1281,52
1719497300645,93,30000,1207,52
1719497300645,93,30000,1191,53
1719497302871,93,30000,1150,53
1719497302871,93,30000,1032,52
1719497305079,94,30000,937,52
1719497305079,94,30000,4445,53
1719497307274,94,30000,11051,53
1719497307274,94,30000,13040,52
1719497307274,93,30000,14212,52
1719497309486,93,30000,14244,54
1719497309486,93,30000,14977,54
1719497311704,93,30000,15315,54
1719497311704,93,30000,13265,53
1719497313929,93,30000,12172,53
1719497313929,93,30000,9050,55
1719497316124,94,30000,8893,56
1719497316124,94,30000,9055,56
1719497318328,94,30000,6461,57
1719497318328,94,30000,6101,58
1719497318328,94,30000,8160,57
1719497320554,94,30000,9401,56
1719497320554,94,30000,11291,0
1719497322757,94,30000,13981,0
1719497322757,94,30000,18799,0
1719497324975,93,30000,30312,0
1719497324975,94,30000,7238,0
1719497327189,94,30000,0,55
1719497327189,94,30000,0,54
1719497329398,93,30000,0,54
1719497329398,93,30000,12942,54
1719497329398,93,30000,13332,54
1719497331616,93,30000,10217,54
1719497331616,93,30000,8156,54
1719497333838,93,30000,7081,52
1719497333838,93,30000,6059,52
1719497336051,93,30000,5593,52
1719497336051,93,30000,4193,52
1719497338270,93,30000,3511,0
1719497338270,93,30000,3808,0
1719497340475,93,30000,3993,0
1719497340475,93,30000,4455,0
1719497340475,93,30000,6889,0
1719497342690,93,30000,9912,0
1719497342690,93,30000,4615,0
1719497344908,93,30000,2214,0
1719497344908,93,30000,3179,0
1719497347124,93,30000,3240,0
1719497347124,93,30000,4227,0
1719497349334,93,30000,23844,52
1719497349334,93,30000,17468,52
1719497351538,93,30000,13892,52
1719497351538,93,30000,12262,51
1719497351538,93,30000,11436,51
1719497353754,93,30000,9143,52
1719497353754,93,30000,7727,52
1719497355963,93,30000,6899,52
1719497355963,93,30000,6236,51
1719497358189,93,30000,5038,51
1719497358189,93,30000,2631,51
1719497360395,93,30000,2422,51
1719497360395,93,30000,1921,51
1719497362615,93,30000,1484,51
1719497362615,93,30000,1461,51
1719497362615,93,30000,1290,51
1719497364820,93,30000,1381,51
1719497364820,93,30000,2379,51
1719497367025,93,30000,4309,51
1719497367025,93,30000,7772,51
1719497369067,93,30000,10102,0
1719497369067,93,30000,7741,0
1719497371281,93,30000,9202,0
1719497371281,93,30000,19534,0
1719497373462,93,30000,28248,0
1719497373462,93,30000,44448,0
1719497373462,93,30000,23290,0
1719497375846,0,30000,13424,0
1719497375846,0,30000,17713,0
1719497378059,0,30000,15161,53
1719497378059,0,30000,20889,54
1719497380263,0,30000,37470,55
1719497380263,0,30000,7238,0
1719497382487,0,30000,0,0
1719497382487,0,30000,0,0
1719497384703,0,30000,0,0
1719497384703,0,30000,0,0
1719497384703,0,30000,0,0
1719497386930,0,30000,0,0
1719497386930,0,30000,0,0
1719497389142,0,30000,0,0
1719497389142,0,30000,16737,0
1719497391355,0,30000,30843,0
1719497391355,0,30000,37708,0
1719497393562,0,30000,8024,0
1719497393562,0,30000,13513,0
1719497395594,0,30000,13603,0
1719497395594,0,30000,8449,0
1719497395594,0,30000,3827,0
1719497397974,0,30000,14039,0
1719497397974,0,30000,27634,0
1719497400175,0,30000,0,0
1719497400175,0,30000,0,0
1719497402406,0,30000,0,0
1719497402406,0,30000,0,0
1719497404610,0,30000,0,0
1719497404610,0,30000,0,0
1719497406821,0,30000,0,0
1719497406821,0,30000,0,0
1719497406821,0,30000,0,0
1719497409043,0,30000,0,0
1719497409043,0,30000,52764,0
1719497411252,92,30000,25988,0
1719497411252,92,30000,42322,0
1719497413461,92,30000,5207,0
1719497413461,92,30000,7680,0
1719497415689,93,30000,16833,0
1719497415689,93,30000,13654,0
1719497417898,92,30000,4292,0
1719497417898,92,30000,21723,56
1719497417898,91,30000,20475,46
1719497420107,91,30000,16481,51
1719497420107,90,30000,14580,51
1719497422333,90,30000,12992,47
1719497422333,90,30000,12987,0
1719497424536,90,30000,13798,59
1719497424536,90,30000,13705,53
1719497426757,91,30000,16877,54
1719497426757,91,30000,19310,57
1719497428970,91,30000,47693,53
1719497428970,91,30000,0,55
1719497428970,91,30000,4630,55
1719497431187,91,30000,3804,54
1719497431187,92,30000,2730,55
1719497433407,92,30000,2177,54
1719497433407,92,30000,1846,54
1719497435616,92,30000,1553,54
1719497435616,92,30000,1680,54
1719497437835,92,30000,1807,54
1719497437835,92,30000,3826,53
1719497440042,92,30000,5936,54
1719497440042,92,30000,6614,54
1719497440042,92,30000,6742,53
1719497442264,92,30000,6672,52
1719497442264,92,30000,6700,53
1719497444472,92,30000,6031,53
1719497444472,92,30000,5636,53
1719497446685,92,30000,2168,52
1719497446685,92,30000,1800,52
1719497448899,92,30000,1840,52
1719497448899,92,30000,1626,53
1719497451116,92,30000,1314,53
1719497451116,93,30000,1220,53
1719497451116,93,30000,1068,53
1719497453326,93,30000,1108,53
1719497453326,93,30000,1066,52
1719497455541,93,30000,1095,52
1719497455541,93,30000,1136,51
1719497457764,94,30000,1243,53
1719497457764,94,30000,1264,54
1719497459977,94,30000,1191,53
1719497459977,94,30000,1338,52
1719497462190,94,30000,1343,52
1719497462190,94,30000,1396,53
1719497462190,93,30000,1286,53
1719497464406,93,30000,1384,52
1719497464406,93,30000,1395,52
1719497466621,93,30000,1334,53
1719497466621,93,30000,1265,53
1719497468839,93,30000,1286,52
1719497468839,93,30000,1313,52
1719497471056,93,30000,1379,52
1719497471056,93,30000,1321,53
1719497473262,93,30000,1217,52
1719497473262,93,30000,1222,52
1719497473262,93,30000,1154,52
1719497475475,93,30000,1159,52
1719497475475,93,30000,1113,52
1719497477695,93,30000,1123,52
1719497477695,93,30000,1127,52
1719497479912,93,30000,3933,53
1719497479912,93,30000,3352,52
1719497482124,93,30000,3117,52
1719497482124,93,30000,3748,52
1719497484331,93,30000,3839,52
1719497484331,93,30000,936,53
1719497484331,93,30000,933,52
1719497486549,93,30000,986,52
1719497486549,93,30000,994,52
1719497488757,93,30000,881,52
1719497488757,93,30000,826,52
1719497490973,93,30000,755,52
1719497490973,93,30000,684,52
1719497493185,93,30000,839,52
1719497493185,93,30000,647,52
1719497495391,93,30000,629,52
1719497495391,93,30000,704,53
1719497495391,93,30000,706,52
1719497497610,93,30000,1051,52
1719497497610,93,30000,1797,52
1719497499823,93,30000,1849,52
1719497499823,93,30000,4136,53
1719497502036,93,30000,1002,53
1719497502036,93,30000,1022,53
1719497504246,93,30000,1074,54
1719497504246,93,30000,1280,54
1719497506463,93,30000,1008,54
1719497506463,93,30000,1126,53
1719497506463,92,30000,1106,53
1719497508688,92,30000,996,53
1719497508688,92,30000,1059,53
1719497510882,92,30000,823,52
1719497510882,92,30000,810,53
1719497513097,92,30000,697,52
1719497513097,92,30000,775,52
1719497515313,92,30000,997,52
1719497515313,92,30000,1194,52
1719497517526,92,30000,1275,52
1719497517526,92,30000,1260,53
1719497517526,92,30000,1311,53
1719497519744,92,30000,1290,53
1719497519744,92,30000,1362,53
