UTCTimestamp_ms,SpO2,DC_R,acc_power,HR
1722776496735,0,0,0,0
1722776496735,0,0,0,0
1722776496735,0,0,0,0
1722776498924,0,0,0,0
1722776498924,0,0,0,0
1722776501137,0,0,3628,0
1722776501137,0,15437,58517,0
1722776503341,0,15448,23967,0
1722776503341,0,15452,47740,0
1722776505548,0,15460,2948,0
1722776505548,0,15469,12712,0
1722776507746,0,15476,6293,0
1722776507746,0,15482,41734,61
1722776507746,0,15492,13654,61
1722776509952,0,15500,51828,61
1722776509952,99,15502,15364,60
1722776512157,99,15507,46715,60
1722776512157,99,15509,19807,60
1722776514501,99,15518,64489,59
1722776514501,99,15518,54387,60
1722776516704,99,15537,39053,60
1722776516704,99,15535,29233,60
1722776518901,99,15535,24700,60
1722776518901,99,15548,17440,60
1722776518901,99,15534,14013,60
1722776520975,99,15558,14064,60
1722776520975,99,15570,13268,60
1722776523316,99,15491,13220,59
1722776523316,99,15520,18249,59
1722776525518,99,15513,26353,59
1722776525518,98,15523,0,59
1722776527722,98,15574,0,59
1722776527722,98,15667,0,60
1722776529927,98,15677,0,59
1722776529927,98,15688,0,59
1722776529927,98,15696,0,59
1722776532128,98,15699,0,58
1722776532128,98,15696,0,59
1722776534332,98,15697,27441,60
1722776534332,98,15697,22568,60
1722776536544,98,15694,16464,59
1722776536544,98,15704,13919,59
1722776538738,98,15703,11906,59
1722776538738,98,15701,10235,59
1722776540940,97,15698,8481,58
1722776540940,98,15689,6525,59
1722776540940,98,15684,4872,58
1722776543156,98,15684,4088,58
1722776543156,98,15680,2235,58
1722776545349,97,15677,2048,59
1722776545349,97,15676,1838,59
1722776547564,97,15676,1421,59
1722776547564,98,15676,1197,58
1722776549763,98,15673,1051,58
1722776549763,98,15669,1166,59
1722776551966,98,15666,1037,59
1722776551966,98,15664,1096,59
1722776551966,98,15664,1171,60
1722776554186,98,15664,1095,60
1722776554186,98,15665,1155,59
1722776556379,98,15665,1062,59
1722776556379,98,15659,1100,59
1722776558577,98,15657,1064,60
1722776558577,98,15655,967,61
1722776560785,98,15651,1061,61
1722776560785,98,15647,1008,60
1722776562995,98,15645,29850,61
1722776562995,98,15644,26398,61
1722776562995,98,15639,19950,61
1722776565191,98,15635,12709,61
1722776565191,98,15633,63214,61
1722776567399,98,15643,52946,60
1722776567399,98,15615,53152,60
1722776569608,98,15589,34217,61
1722776569608,98,15600,32324,62
1722776571806,98,15586,40240,62
1722776571806,98,15581,29941,62
1722776574006,98,15581,45491,63
1722776574006,98,15583,60653,63
1722776574006,98,15580,3902,62
1722776576219,98,15575,10364,62
1722776576219,98,15575,23883,63
1722776578412,98,15574,8460,62
1722776578412,97,15565,7079,62
1722776580486,97,15561,5348,62
1722776580486,97,15555,7385,62
1722776582830,97,15546,3372,62
1722776582830,97,15540,2522,63
1722776585028,97,15537,2116,63
1722776585028,97,15533,1990,62
1722776585028,97,15529,1624,62
1722776587234,97,15529,1628,62
1722776587234,97,15527,1466,62
1722776589431,97,15524,1315,62
1722776589431,97,15524,1199,61
1722776591639,97,15525,1160,61
1722776591639,97,15519,1190,60
1722776593838,97,15510,1785,61
1722776593838,97,15506,1905,62
1722776596053,97,15499,4523,63
1722776596053,97,15494,4077,62
1722776596053,97,15497,3015,62
1722776598245,97,15503,3405,63
1722776598245,97,15508,1942,62
1722776600463,97,15508,1653,61
1722776600463,97,15509,1435,60
1722776602658,97,15509,1298,60
1722776602658,97,15508,1239,60
1722776604873,97,15504,1251,60
1722776604873,97,15505,1157,60
1722776607076,97,15509,1107,59
1722776607076,97,15504,1002,58
1722776607076,97,15503,957,58
1722776609277,97,15502,923,58
1722776609277,97,15498,925,58
1722776611477,97,15498,934,58
1722776611477,97,15499,925,58
1722776613683,97,15499,933,58
1722776613683,97,15494,1093,58
