UTCTimestamp_ms,SpO2,DC_R,acc_power,HR
1723386295717,0,0,0,0
1723386295717,0,0,0,0
1723386295717,0,0,0,0
1723386297925,0,0,0,0
1723386297925,0,0,0,0
1723386300132,0,0,60628,2
1723386300132,0,13697,39480,5
1723386302342,0,13699,26808,0
1723386302342,0,13701,1877,0
1723386304560,0,13701,17487,0
1723386304560,0,13703,36689,0
1723386306763,0,13702,37353,0
1723386306763,0,13702,19647,0
1723386306763,0,13702,61185,0
1723386308968,0,13703,12461,58
1723386308968,98,13705,49392,58
1723386311165,98,13704,3223,58
1723386311165,98,13707,32724,59
1723386313355,97,13675,19153,0
1723386313355,97,13688,8869,0
1723386315722,97,13692,60817,0
1723386315722,98,13700,63965,0
1723386317928,98,13696,61108,0
1723386317928,97,13749,51701,0
1723386317928,97,13772,5987,0
1723386320140,96,13764,0,0
1723386320140,96,13751,0,0
1723386322334,96,13753,0,0
1723386322334,96,13757,0,0
1723386324539,96,13760,0,0
1723386324539,96,13765,0,60
1723386326749,96,13766,0,60
1723386326749,96,13768,35497,60
1723386328793,96,13770,32946,60
1723386328793,96,13766,24478,61
1723386328793,96,13760,24478,0
1723386331020,96,13746,24478,0
1723386331020,96,13714,24478,0
1723386333212,96,13693,27029,0
1723386333212,95,13681,23010,0
1723386335497,95,13680,0,0
1723386335497,95,13681,0,0
1723386337796,95,13680,0,62
1723386337796,95,13673,35926,63
1723386339995,95,13676,29801,63
1723386339995,95,13662,27678,63
1723386339995,95,13662,22095,63
1723386342197,95,13657,18459,63
1723386342197,95,13664,16038,64
1723386344406,94,13675,12989,64
1723386344406,94,13681,12388,64
1723386346602,94,13686,8237,64
1723386346602,94,13693,5294,64
1723386348800,94,13700,4538,64
1723386348800,94,13710,3064,64
1723386351020,94,13706,2668,64
1723386351020,94,13702,2591,64
1723386351020,94,13699,2120,64
1723386353214,94,13699,1922,64
1723386353214,94,13699,1778,64
1723386355421,94,13707,1639,64
1723386355421,94,13714,1606,63
1723386357625,94,13723,1547,62
1723386357625,94,13719,1197,62
1723386359815,94,13714,1027,62
1723386359815,94,13707,938,62
1723386362030,94,13703,22236,61
1723386362030,94,13699,23627,62
1723386362030,94,13694,47260,62
1723386364242,94,13694,21572,62
1723386364242,94,13674,653,62
1723386366427,95,13659,14045,61
1723386366427,95,13658,55525,61
1723386368637,95,13656,33879,61
1723386368637,95,13657,41033,61
1723386370839,95,13658,28068,61
1723386370839,95,13659,16982,59
1723386373056,95,13658,17512,60
1723386373056,95,13657,8353,59
1723386373056,95,13657,10236,60
1723386375263,95,13651,686,60
1723386375263,95,13644,667,61
1723386377462,94,13635,717,62
1723386377462,95,13635,713,63
1723386379673,95,13633,808,65
1723386379673,95,13635,1064,66
1723386381868,95,13646,1927,65
1723386381868,95,13663,2017,65
1723386384071,95,13678,2231,64
1723386384071,95,13691,2258,62
1723386384071,94,13701,2220,62
1723386386270,94,13707,2129,61
1723386386270,94,13715,1410,60
1723386388475,94,13724,6602,60
1723386388475,94,13715,5706,60
1723386390687,94,13712,1158,60
1723386390687,94,13713,1001,61
1723386392884,94,13734,1045,60
1723386392884,94,13748,1133,59
1723386395097,94,13741,1124,59
1723386395097,94,13738,1186,59
1723386395097,94,13722,1138,59
1723386397292,93,13717,1124,58
1723386397292,93,13715,1143,58
1723386399508,93,13712,2132,58
1723386399508,94,13712,6472,59
1723386401696,94,13711,5630,59
1723386401696,94,13710,1018,59
1723386403902,94,13708,2629,59
1723386403902,94,13707,2361,59
1723386406115,94,13707,1046,59
1723386406115,94,13712,1375,59
1723386406115,94,13723,1307,59
1723386408319,94,13733,938,58
1723386408319,94,13738,1149,58
1723386410527,94,13743,910,58
1723386410527,95,13745,988,58
1723386412728,95,13743,1254,58
1723386412728,95,13740,1034,58
1723386414929,95,13737,905,58
1723386414929,95,13735,930,59
1723386417135,95,13735,1022,59
1723386417135,95,13738,1002,59
1723386417135,95,13745,1000,59
1723386419342,94,13748,995,58
1723386419342,94,13754,1035,58
1723386421539,94,13759,1015,58
1723386421539,94,13762,966,57
1723386423748,94,13764,983,58
1723386423748,94,13764,1014,58
1723386425958,95,13763,896,58
1723386425958,95,13763,892,58
1723386428158,95,13761,1337,58
1723386428158,95,13759,1144,57
1723386428158,95,13758,1026,57
1723386430360,95,13755,987,57
1723386430360,95,13752,992,57
1723386432423,95,13752,1019,57
1723386432423,94,13748,974,57
1723386434606,94,13745,943,57
1723386434606,94,13740,952,57
1723386436806,94,13737,951,57
1723386436806,95,13737,872,57
1723386439177,95,13735,901,57
1723386439177,95,13732,957,57
1723386439177,95,13731,1069,57
1723386441385,95,13731,1105,57
1723386441385,95,13729,1473,57
1723386443581,95,13729,1266,58
1723386443581,95,13725,1031,59
1723386445790,95,13728,1077,60
1723386445790,95,13731,1080,60
1723386447998,95,13736,1070,61
1723386447998,94,13741,1118,61
1723386450196,94,13744,1086,61
1723386450196,94,13748,1157,60
1723386450196,94,13750,1233,60
1723386452393,94,13747,1223,60
1723386452393,94,13746,1119,62
1723386454591,94,13741,1095,63
1723386454591,94,13734,1046,63
1723386456805,94,13731,989,63
1723386456805,94,13729,720,63
1723386459011,94,13727,580,63
1723386459011,94,13726,563,63
1723386461212,94,13726,618,62
1723386461212,94,13724,733,62
1723386461212,94,13723,736,62
1723386463427,94,13721,854,62
1723386463427,94,13721,898,62
1723386465620,94,13718,930,61
1723386465620,94,13713,914,61
1723386467827,94,13710,947,61
1723386467827,94,13705,978,61
1723386470038,94,13700,984,61
1723386470038,94,13694,979,61
1723386472233,94,13689,1000,62
1723386472233,94,13684,1051,63
1723386472233,94,13680,948,65
1723386474446,94,13678,943,66
1723386474446,94,13682,911,65
1723386476647,94,13687,860,63
1723386476647,94,13693,830,62
1723386478856,94,13699,897,62
1723386478856,94,13701,1042,62
1723386481072,94,13700,1088,62
1723386481072,94,13699,1079,63
1723386483257,94,13695,1049,62
1723386483257,94,13698,1070,63
1723386483257,94,13701,1152,63
1723386485467,94,13705,1094,63
1723386485467,94,13710,1102,62
1723386487681,94,13715,1027,62
1723386487681,94,13719,1058,61
1723386489881,94,13725,1088,61
1723386489881,94,13727,1054,61
1723386492074,94,13726,1070,60
1723386492074,94,13725,1049,60
1723386494284,94,13717,1047,59
1723386494284,94,13716,1018,59
1723386494284,94,13713,1014,59
1723386496483,94,13709,1004,59
1723386496483,94,13708,1021,59
1723386498690,94,13708,865,60
1723386498690,94,13707,943,59
1723386500899,94,13708,854,59
1723386500899,94,13711,769,59
1723386503104,94,13711,724,58
1723386503104,94,13713,584,58
1723386505304,94,13716,730,57
1723386505304,94,13718,870,57
1723386505304,94,13719,1144,58
1723386507503,94,13719,1147,58
1723386507503,94,13718,1073,58
1723386509702,94,13716,1211,58
1723386509702,94,13712,1203,58
1723386511921,94,13708,1144,59
1723386511921,94,13707,1055,59
1723386514118,94,13704,919,59
1723386514118,94,13701,930,59
1723386516320,94,13701,747,60
1723386516320,94,13699,757,60
1723386516320,93,13700,768,60
1723386518531,93,13701,812,60
1723386518531,93,13701,874,60
1723386520735,93,13705,929,60
1723386520735,93,13710,1026,60
1723386522942,93,13715,1025,60
1723386522942,93,13727,1023,60
1723386525141,93,13732,1029,60
1723386525141,93,13735,1042,61
1723386527340,93,13738,1056,60
1723386527340,93,13742,897,60
1723386527340,93,13748,921,60
1723386529546,93,13751,880,60
1723386529546,93,13749,845,60
1723386531750,93,13752,771,61
1723386531750,93,13765,738,62
1723386533966,93,13765,882,60
1723386533966,93,13790,898,61
1723386536164,94,13816,1009,61
1723386536164,94,13834,1110,61
1723386538365,94,13842,1135,61
1723386538365,94,13843,1130,61
1723386538365,94,13843,1063,59
1723386540572,94,13838,929,58
1723386540572,94,13833,973,52
1723386542783,94,13828,902,53
1723386542783,94,13818,893,53
1723386544985,94,13810,952,53
1723386544985,94,13805,1016,54
1723386547185,95,13794,1067,54
1723386547185,95,13775,950,55
